"Instance","N","K","L","Exp Profit","p_1","p_2","p_3","p_4","p_5","surplus"
1,5,1,3,0.386402871366419,1.12,0.86,0.86,1.25,0.86,0.711741717455304
2,5,1,3,0.188780166046841,0.91,0.69,0.62,0.82,0.62,0.527902940657536
3,5,1,3,0.158871450423457,0.62,0.67,0.62,1.21,0.62,0.525394162334356
4,5,1,3,0.427307329542287,1.11,1.21,1.11,1.11,1.11,0.693002890505854
5,5,1,3,0.302733089074574,1.12,1.36,1.09,1.09,1.09,0.602724674820839
6,5,1,3,0.241524650524876,1.02,0.73,1.12,0.73,0.73,0.610770722644227
7,5,1,3,0.0979609921212893,0.72,0.83,0.46,0.72,0.41,0.384091043863056
8,5,1,3,0.211845236857956,1.09,0.66,0.52,1.05,0.52,0.670671533118947
9,5,1,3,0.193653777774866,0.67,0.61,0.92,0.61,0.61,0.623342554350534
10,5,1,3,0.371481363121773,1.03,0.99,1.34,0.99,0.99,0.730536545230578
11,5,1,3,0.22077033774251,0.71,0.99,0.71,0.78,0.71,0.670691045231256
12,5,1,3,0.139987856285891,0.83,0.63,0.54,0.54,0.54,0.455858872652105
13,5,1,3,0.265002652704695,0.76,0.73,0.73,0.73,0.73,0.747404846898188
14,5,1,3,0.25125789928752,1.11,0.82,0.69,1.18,0.69,0.585458623276985
15,5,1,3,0.304356745698897,1.1,1.1,1.1,1.1,1.1,0.525883699215664
16,5,1,3,0.26552208488248,1.07,0.92,0.73,0.89,0.73,0.675775791305683
17,5,1,3,0.257139502099483,0.86,1,0.86,0.86,0.86,0.561109498574892
18,5,1,3,0.323905456924877,1.21,0.87,1.09,0.77,0.77,0.72348628760268
19,5,1,3,0.162545518218621,0.53,0.99,0.53,0.95,0.53,0.491455143835803
20,5,1,3,0.230489945029505,0.77,1.13,0.74,0.74,0.74,0.645447556375084
21,5,1,3,0.37810038798463,0.99,0.83,1.31,0.83,0.83,0.792119030274803
22,5,1,3,0.166180655699889,0.48,1.17,0.94,0.8,0.48,0.512734313213844
23,5,1,3,0.263897375070523,0.76,1.15,0.76,0.92,0.76,0.661392990385958
24,5,1,3,0.525338451649442,1.36,1.36,1.36,1.36,1.36,0.73876964487283
25,5,1,3,0.335658876101184,0.84,0.84,1.28,0.84,0.84,0.687514213767279
26,5,1,3,0.438953293760572,1.19,1.19,1.19,1.19,1.19,0.671442240699048
27,5,1,3,0.251586121462619,1.1,0.92,0.92,0.92,0.92,0.532630337751001
28,5,1,3,0.456441453377347,1.31,1.02,1.22,1.02,1.02,0.774286609425118
29,5,1,3,0.191232806852419,0.68,0.66,0.99,0.82,0.66,0.521062843825361
30,5,1,3,0.254322738378344,0.77,0.76,0.76,0.76,0.76,0.636528634523911
31,5,1,3,0.368871763765696,1.13,1.13,1.28,1.13,1.13,0.607631443478361
32,5,1,3,0.142404514062871,0.96,0.76,0.44,0.63,0.44,0.522968980870502
33,5,1,3,0.224925225976844,0.91,1.15,0.87,0.87,0.87,0.461209119209111
34,5,1,3,0.330236885489721,0.97,1.14,1.44,0.97,0.97,0.578325091084017
35,5,1,3,0.238303079536489,0.66,0.9,0.65,0.65,0.65,0.616672459451787
36,5,1,3,0.211021254437111,0.67,1.12,0.67,1.08,0.67,0.552889634251342
37,5,1,3,0.535598231333391,1.17,1.17,1.17,1.45,1.17,0.813653709114988
38,5,1,3,0.16563847115001,0.75,1.13,0.55,0.83,0.49,0.554488428300318
39,5,1,3,0.263527971536656,0.72,0.67,1.26,0.67,0.67,0.728036330823994
40,5,1,3,0.374975861561379,1.16,0.96,1.18,0.96,0.96,0.660290779403912
41,5,1,3,0.209160168133874,0.64,1.11,0.77,0.63,0.63,0.614793119402423
