"Instance","N","K","L","Exp Profit","p_1","p_2","p_3","p_4","p_5","p_6","p_7","p_8","p_9","p_10","surplus"
1,10,3,3,0.70528056369741,1.3,1.55,1.45,1.3,1.3,1.3,1.3,1.8,1.3,1.3,1.17518791950873
2,10,3,3,0.761515735000472,1.24,1.47,1.24,1.24,1.24,1.31,1.62,1.55,1.24,1.24,1.34195775288738
3,10,3,3,0.317069527282893,0.76,0.81,0.91,1.21,0.76,0.75,0.75,0.97,0.75,0.84,0.927310301433962
4,10,3,3,1.15983314665744,1.94,1.94,1.94,2.15,2.06,1.94,1.94,1.94,2.13,1.94,1.26970584887188
5,10,3,3,0.814962240809121,1.62,1.5,1.78,1.51,1.61,1.5,1.5,1.5,1.5,1.5,1.15777383953224
6,10,3,3,0.517513398369585,1,1,1.34,1,1.01,1.12,1,1.48,1,1,1.12607401997989
7,10,3,3,0.37450730772212,1.05,1.02,0.79,1.24,0.86,1.08,0.99,0.79,0.79,0.79,1.05773654529325
8,10,3,3,0.823599596558387,1.6,1.54,1.53,1.67,1.53,1.54,1.53,1.53,1.53,1.53,1.1635347967167
9,10,3,3,0.824906523978826,1.44,1.44,1.45,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.39191949753504
10,10,3,3,0.664665928050359,1.26,1.26,1.26,1.26,1.26,1.26,1.71,1.55,1.26,1.26,1.31679689147761
11,10,3,3,0.46765330585897,1.08,0.99,0.82,0.86,1.04,0.82,0.82,1.47,0.82,0.82,1.15508594852109
12,10,3,3,0.873784110137844,1.48,1.48,1.48,1.48,1.56,1.48,1.48,1.84,1.48,1.48,1.31690417846976
13,10,3,3,0.353486633413311,0.98,0.78,1.26,1.11,1.04,0.67,0.67,0.93,0.67,0.87,0.979648188030648
14,10,3,3,0.300747006466171,0.8,0.71,0.98,0.87,0.85,0.71,0.71,0.86,0.71,0.71,0.894645934366313
15,10,3,3,1.07930962956133,1.85,1.85,1.85,1.85,1.98,1.85,1.85,1.85,1.85,1.85,1.39841250886717
16,10,3,3,0.504277888066021,1.11,1.32,1.11,1.11,1.11,1.26,1.11,1.41,1.11,1.11,1.02606255314777
17,10,3,3,1.34479685736839,2.05,2.05,2.05,2.05,2.14,2.05,2.05,2.21,2.05,2.05,1.44388816624311
18,10,3,3,0.640797460546334,1.23,1.23,1.2,1.32,1.2,1.2,1.2,1.33,1.2,1.2,1.19890093195009
19,10,3,3,0.497091400148681,0.95,0.95,0.95,1.09,1,0.95,1.47,0.95,0.95,0.95,1.17126025650953
20,10,3,3,0.354813468663996,0.85,0.85,0.99,0.85,0.85,1.13,0.85,1.05,0.85,0.85,0.988714565760182
21,10,3,3,0.310770157876642,0.8,0.75,0.76,1.19,0.93,0.75,0.75,0.75,0.9,0.81,0.945256829652093
22,10,3,3,0.593391233163029,1.24,1.13,1.26,1.13,1.49,1.13,1.27,1.13,1.13,1.13,1.08781700338355
23,10,3,3,0.809069727791657,1.38,1.38,1.38,1.38,1.38,1.42,1.38,1.38,1.38,1.43,1.15866506581939
24,10,3,3,0.444058129838524,1.1,1.01,0.94,0.89,0.89,0.95,1.39,0.89,0.97,0.89,1.05288602471494
25,10,3,3,1.10113277545853,2.03,2.03,2.03,2.03,2.03,2.03,2.25,2.03,2.03,2.03,1.18389020190015
26,10,3,3,1.11055461013753,1.96,1.96,1.96,2.1,1.96,1.96,1.96,1.96,1.96,1.96,1.19062625988135
27,10,3,3,0.624623269155059,1.3,1.22,1.04,1.4,1.12,1.63,1.55,1.27,1.04,1.04,1.11894009737011
28,10,3,3,0.803038614751042,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.48,1.44,1.22205773025424
29,10,3,3,0.811966269210705,1.74,1.58,1.67,1.58,1.81,1.58,1.58,1.58,1.58,1.58,1.1166378911673
30,10,3,3,0.865427110540648,1.77,1.77,1.77,1.87,1.77,1.77,1.77,1.77,1.77,1.77,1.13849808086642
31,10,3,3,0.470240642726571,1.09,1.09,1.15,1.35,1.28,1.09,1.09,1.09,1.09,1.09,0.980843270605417
