"Instance","N","K","L","Exp Profit","p_1","p_2","p_3","p_4","p_5","p_6","p_7","p_8","p_9","p_10","p_11","p_12","p_13","p_14","p_15","p_16","p_17","p_18","p_19","p_20","surplus"
1,20,3,3,0.595577046767748,1.16,1.16,1.16,1.16,1.32,1.16,1.21,1.16,1.4,1.16,1.39,1.16,1.16,1.6,1.16,1.16,1.16,1.17,1.23,1.16,1.31094429198153
2,20,3,3,1.00903079135288,1.78,1.78,1.78,1.78,2.03,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.87,1.78,1.92,1.78,1.78,1.78,1.78,1.78,1.36432572176864
3,20,3,3,0.729661023013561,1.28,1.21,1.42,1.41,1.09,1.11,1.59,1.63,1.3,1.27,1.09,1.47,1.09,1.09,1.09,1.17,1.09,1.36,1.41,1.09,1.40144739118269
4,20,3,3,0.788719662108286,1.32,1.29,1.29,1.29,1.52,1.29,1.29,1.29,1.29,1.29,1.29,1.63,1.4,1.45,1.29,1.29,1.75,1.29,1.29,1.29,1.55507407927549
5,20,3,3,1.29699775308437,2.11,2.12,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,1.30621233202033
6,20,3,3,0.874001994530812,1.62,1.62,1.62,1.62,1.76,1.67,1.63,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.39582566712361
7,20,3,3,0.414986485658786,0.84,0.84,0.98,1.24,0.91,0.84,1.18,0.84,1.37,1.1,0.93,0.99,1.09,0.84,0.87,1.23,0.87,0.84,0.84,0.84,1.05862748646399
8,20,3,3,1.1516614564119,1.88,1.88,1.88,1.88,1.88,1.99,1.88,1.88,2.17,1.88,1.95,1.88,1.93,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.32171086287427
9,20,3,3,0.704785955989858,1.3,1.34,1.15,1.36,1.15,1.15,1.15,1.15,1.2,1.44,1.36,1.15,1.15,1.55,1.62,1.15,1.15,1.15,1.15,1.15,1.37836242082357
10,20,3,3,1.34401582674439,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.37,2.16,2.16,2.16,2.2,2.18,2.16,2.16,2.16,2.16,2.16,2.16,1.34304965029819
11,20,3,3,0.919331128206643,1.54,1.61,1.54,1.54,1.55,1.75,1.54,1.54,1.54,1.74,1.6,1.87,1.54,1.54,1.54,1.64,1.54,1.54,1.54,1.54,1.35581238968421
12,20,3,3,0.652921679063085,1.11,1.11,1.11,1.19,1.46,1.11,1.56,1.2,1.11,1.16,1.57,1.55,1.11,1.53,1.11,1.11,1.15,1.2,1.11,1.11,1.33210654860983
13,20,3,3,1.64666850686334,2.4,2.45,2.4,2.41,2.4,2.48,2.4,2.4,2.52,2.4,2.4,2.4,2.4,2.47,2.53,2.4,2.4,2.4,2.4,2.4,1.54057104603473
14,20,3,3,1.16500317787622,1.84,1.84,1.84,1.84,1.84,1.84,1.84,2.12,1.84,2.05,1.88,1.84,1.84,1.84,1.84,2.3,1.85,1.84,1.84,1.84,1.37562801791767
15,20,3,3,0.997535642402643,1.57,1.6,1.57,1.63,1.57,1.63,1.59,1.57,1.66,1.57,1.57,1.57,1.6,1.57,1.57,1.75,1.57,1.57,1.57,1.57,1.54230081928194
16,20,3,3,0.855990050538867,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.69,1.58,1.47,1.56,1.47,1.47,1.89,1.47,1.47,1.47,1.47,1.47,1.29917624940988
17,20,3,3,0.616444352667896,1.13,1.13,1.13,1.21,1.2,1.37,1.13,1.3,1.13,1.13,1.33,1.13,1.15,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.2756593768436
18,20,3,3,0.543818001593748,1.07,0.96,1.18,0.96,1.25,1.04,0.99,0.96,1.22,1.5,0.96,0.96,1.38,1.2,0.96,0.96,0.96,0.96,0.98,0.96,1.24237787715832
19,20,3,3,0.643077270282685,1.27,1.04,1.22,1.4,1.31,1.04,1.04,1.56,1.04,1.16,1.26,1.12,1.36,1.04,1.36,1.04,1.04,1.04,1.04,1.04,1.37741149405375
20,20,3,3,0.964410721487954,1.83,1.83,1.83,1.89,1.88,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.95,1.92,1.83,1.83,1.83,1.83,1.83,1.13063026577509
21,20,3,3,0.571024385817667,1.06,0.99,1.07,0.99,1.03,1.04,0.99,0.99,0.99,1.22,0.99,0.99,1.51,1.05,0.99,1.54,0.99,0.99,0.99,0.99,1.31057781473802
