"Instance","N","K","L","Exp Profit","p_1","p_2","p_3","p_4","p_5","surplus"
1,5,3,3,0.254180240715756,0.909690841871432,0.931145004584892,0.761185369756504,1.44957054112946,0.658147420517151,0.57668376070253
2,5,3,3,0.166862450842786,1.09926818008481,0.97236151509201,0.568219596798944,0.851467495426716,0.498834908244821,0.491108312629216
3,5,3,3,0.214356305734092,0.677129556145834,0.67066546173722,1.42799681684627,1.21700822306513,0.562445095414301,0.518262978913201
4,5,3,3,0.46050596505421,0.799016131019515,0.728911833094626,0.596108055200823,0.978884904517722,0.554251300347084,2.33255856955083
5,5,3,3,0.517620190989064,1.03337031658727,0.929257790942779,1.17223817025531,0.807562442907003,0.61531545706434,2.581264737484
6,5,3,3,0.588980266060125,1.09873413181181,1.64469647754089,1.06807962423962,1.36696085164159,0.931270683642175,1.06253839997527
7,5,3,3,0.273982923343536,1.09469460561423,0.760855551319534,1.05362207025604,0.625998052378533,0.576867180281225,0.819047927950731
8,5,3,3,0.330822880315509,0.984592951125912,0.775765645230784,1.27562852149404,0.620959748792825,0.482373268926283,1.39380321225409
9,5,3,3,0.240170712099213,0.865148066197011,0.61431093764162,0.984592782323422,0.664566396582392,0.531116410066709,0.715395887885702
10,5,3,3,0.38127811877679,0.754614370209779,0.74123062452304,0.617521947845725,0.723504229123359,0.557774515435568,1.5814794877756
11,5,3,3,0.355804138546938,0.757722419956146,1.10494398570214,0.812119895261086,0.633198139750981,0.571970949760479,1.11269669985509
12,5,3,3,0.567284898799663,1.20366478657627,1.52223553310184,1.02584553723328,1.28125382274537,0.872253902566622,1.17704156824984
13,5,3,3,0.428624500505433,0.850534411630338,0.745416401152098,1.25417118840765,1.5070860452133,0.659710740920455,1.14054849747157
14,5,3,3,0.291963017698006,0.827014245945381,1.03325354150285,0.813516903510942,0.773692617644802,0.581917462527213,0.84974603373
15,5,3,3,0.25440524551842,1.15664476548973,0.583340836741613,1.04201608286951,0.953858865842442,0.563118381640506,0.755045835959786
16,5,3,3,0.303880797062875,0.840845844335143,0.839549288181628,1.32905016680672,0.654927516358959,0.583478066622176,0.935885445806481
17,5,3,3,0.440793602174448,1.04434033836488,1.28454032051111,0.92423239824823,1.19187693641929,0.869724239021194,0.832685154429757
18,5,3,3,0.788322149248716,1.29666259785221,1.5935454242468,1.25097647774816,1.05285649350619,0.992513151887342,1.8241210064827
19,5,3,3,0.425084219349213,0.863996064923963,1.09844464906874,0.794621479522951,1.54232319079637,0.746647942598586,0.913071339925822
20,5,3,3,0.311372642650719,0.920313601230484,1.14814477157807,1.05366564004581,0.877543951076441,0.675404003044022,0.697584892171192
21,5,3,3,0.595318027759682,1.03555152292233,1.28780187815052,1.08007558490574,0.978365079277425,0.830937183946363,1.44065864287121
22,5,3,3,0.344540955290873,0.941671660866434,0.849661671867311,1.31206395291888,0.702299634677881,0.928821226841399,0.738210972212965
23,5,3,3,0.478984757434857,1.06242247170213,0.941939811454149,1.29414259542042,1.03066947033067,0.87156520202663,0.932191023019374
24,5,3,3,0.265726697669334,0.895057104064236,0.797877296965052,1.27536734489742,0.799687646050398,0.708464975438066,0.515195505456218
25,5,3,3,0.395580014161925,1.02902271312094,0.913908717591935,0.72540611265473,0.737030470802545,0.641342885185711,1.18417025822415
26,5,3,3,0.350744177665315,0.879159671289858,1.18089429343228,0.925947528181334,0.80533332602697,0.585237984462117,1.04846948240523
27,5,3,3,0.765072204466632,1.37451209159704,1.76117162772088,1.3563756698218,1.20892943842189,1.1634444862066,1.23237292809666
28,5,3,3,0.684314915789194,1.46915142679892,1.06467258885326,1.49388311955722,0.902081109089389,1.14815058918246,1.58823929116524
29,5,3,3,0.412463218718476,0.983966929588146,0.634623517148454,0.871131127297719,0.706758598003732,0.537794909363704,1.84365297015004
30,5,3,3,0.230038702780095,0.798876529566222,1.197629237281,0.523401544631817,0.764182779786043,0.468917925681124,0.855893799389291
31,5,3,3,0.345638396567106,1.00081215744022,0.961499456838256,0.787824108924347,0.596802158217271,0.578438679117557,1.17531017418756
32,5,3,3,0.592970473988065,1.10639344430855,1.04365595514377,1.28513085322874,0.903627930853112,0.787814021103019,1.80283870799843
33,5,3,3,0.535462078497854,1.27275311272475,0.907409382771004,1.13496117064303,1.59030581973579,0.842044467125944,1.08194484870959
34,5,3,3,0.519000680489532,1.12459769354049,1.38917319778068,1.09203813995157,0.997515342216011,0.848277023927418,1.00219633627454
35,5,3,3,0.485387165854205,0.941457488298379,1.00203546223471,0.817006049833119,0.778141593261819,0.625476875766667,2.01562425182871
36,5,3,3,0.226221532232526,0.888180759569176,0.701657612290777,0.694774254734415,0.592542544980293,0.449468725268164,0.833683232817887
37,5,3,3,0.537183811287301,1.09329570940579,1.33451528558566,1.64011813408247,1.09006721251253,0.891899581985326,1.0202759083191
38,5,3,3,0.47112895460156,1.08309816576176,1.03555172339581,1.03990432186628,0.81795644712839,0.666774688263642,1.53811739890995
39,5,3,3,0.51630515865816,1.21749471707057,1.0497351219616,0.884537151598328,0.837643809257627,0.736539360244208,1.47230862556676
40,5,3,3,0.42163897971463,0.917324025474554,1.39346297080035,0.803878847969298,1.04669669251929,0.72623084840791,1.075318426959
