"Instance","N","K","L","Exp Profit","p_1","p_2","p_3","p_4","p_5","p_6","p_7","p_8","p_9","p_10","p_11","p_12","p_13","p_14","p_15","p_16","p_17","p_18","p_19","p_20","surplus"
1,20,3,3,0.519252153866017,1.02928988210483,0.919099692623115,0.963405069964646,0.901962745668398,1.18698957058553,0.950647665671738,1.0758588526583,0.705440488286428,1.26605891918642,0.706964720791151,1.2591816910839,0.888480482534496,0.710267783109038,1.46984222705887,0.672888206767597,0.874910623757516,0.988793334309016,1.03738846551945,1.09099481771944,0.682878266800052,1.7384638586496
2,20,3,3,0.805368975181846,1.32260751649922,1.35239337552453,1.46761120960437,1.29912309802301,1.75585831321635,1.42837877484841,1.39245122122426,1.13510323474005,1.28875637014465,1.24464457946002,1.39087491003053,1.05998493585263,1.59461200225237,1.02959020056172,1.65042137972775,1.23433487961035,1.40299648942066,0.997247610990718,1.05180555325686,1.20009338535635,1.88227614174166
3,20,3,3,0.652329131901134,1.12066704680764,1.04985349871709,1.26450798980986,1.25651850708931,0.872251162804177,0.948721073157397,1.42751442102513,1.47551289254664,1.14441164791059,1.11517054946865,0.849743614801367,1.30858940548791,0.829753009781947,0.799939967091029,0.914007380802002,1.01631418173782,0.814431734572899,1.2007544983618,1.25466571829654,0.787951947319817,2.13306051875481
4,20,3,3,0.633617822535374,1.07372170813123,1.00602655395666,0.983182631433932,1.02152105519138,1.27145583488307,0.874388194509411,0.783787034912902,0.977625655364736,0.891813716031441,1.03897064602063,0.778401629306345,1.37880584421492,1.1490191832257,1.20393629748455,0.94713712402387,0.810262937501194,1.50318524094286,0.716189266123605,0.766235094750029,0.815134781781536,2.50453849142682
5,20,3,3,1.00041134878367,1.38355876414426,1.62597577619352,1.41932239983969,1.58704693348693,1.54694312240294,1.52616777310636,1.44051322263622,1.42048488066116,1.39244900599406,1.58603686584433,1.58943625588748,1.35276795253961,1.31608341060157,1.22973662396283,1.47698946698745,1.16187196721727,1.25370110907493,1.45329381887331,1.3734301444712,1.20927658094134,2.23702601677044
6,20,3,3,0.713945054369595,1.25650848776396,1.13890570680602,1.37346211335424,1.09600824752268,1.54568770373781,1.45402454511196,1.40898289770923,0.941751642160541,1.02095667971986,1.31035249276457,1.3913054607361,1.16190513483106,0.881916637575657,1.36311723843801,1.04691490683745,1.24897257550161,0.979357490671772,1.31136453750188,1.04177534430201,0.91808274206117,1.89668400350779
7,20,3,3,0.380759962295845,0.739861539595877,0.72187087318805,0.883545078419112,1.14104502513318,0.813389570088385,0.690788394127052,1.08265207524676,0.591392403656646,1.27636112028595,1.00034363028493,0.831620360489451,0.897549502910231,0.996861862533588,0.573519086810006,0.773602599098876,1.13264575233553,0.772709075179379,0.54504179775376,0.598873765085509,0.716396950571819,1.43346951340845
8,20,3,3,0.849537238546005,1.27838399893001,1.35322205187068,1.20763151654487,1.35250197046451,1.0987687450258,1.4834795830602,1.20087789429178,1.26036216457194,1.66629744140785,1.05957203193795,1.44361811183079,1.01993979156863,1.42169697648663,0.979633396216493,1.06126673657717,0.978689631187504,1.36024470121351,0.969958416120763,1.30823876196218,1.22494626853898,2.44739009938444
9,20,3,3,0.62144583990596,1.14736359348036,1.1928010770454,0.981937113837392,1.21613616423823,0.943204674774879,0.956657677684037,0.838592890482511,0.91113233842476,1.0564951143049,1.29608789625488,1.20886490091766,0.934868652286732,0.89773423738134,1.40400146114381,1.46829648418859,0.852913647975238,0.759496426931379,0.843928360131779,0.763341828161994,0.972398337211138,1.98864496627299
10,20,3,3,1.17440767839111,1.58538083099572,1.81091636490515,1.60683284353211,1.67158383984541,1.8175686201317,1.58960298025149,1.59305009063793,1.47326267192891,2.09332053261689,1.63827712044011,1.5491643229057,1.77944882573005,1.92448922515795,1.8982857775294,1.52167812609707,1.43186181266886,1.44541084029485,1.73686651742279,1.56993799090897,1.45569784108228,1.94653351757023
11,20,3,3,0.718813194189195,1.05620328368185,1.25837009786465,0.930691849167859,1.1419219454022,1.20203700175717,1.39938579744656,0.987276064636031,0.987882610205835,1.14991596984618,1.39739221371289,1.25678745139544,1.51993042756833,0.999929300674878,0.925303556505945,1.0073763601247,1.2962590889,0.940841949719252,0.878150959273616,0.926153846143345,0.876348903424939,2.40672545586146
12,20,3,3,0.563691959732788,0.921395334187487,0.856079004573562,0.91380516355934,1.01490755078536,1.28319949510191,0.841294104081291,1.3837756316325,1.02795089525757,0.793611616707907,0.988098474856427,1.39984149165966,1.37442215762936,0.787355426869979,1.35954295671509,0.712965674264906,0.880608177046066,0.977766633416635,1.02552535286567,0.797017763549241,0.734024927489942,2.01904960266017
13,20,3,3,1.18932850525503,1.49098920523091,1.80083710506045,1.40636001145871,1.76315622583275,1.67631569457501,1.82907429433251,1.35897897408247,1.42727923151373,1.86738305991198,1.35055476239356,1.68904312110913,1.31349136614928,1.48844971524944,1.82198316325991,1.8803839258497,1.45685061064364,1.37598843764335,1.33995838772218,1.72099967056391,1.30970652677692,3.02542485134593
14,20,3,3,0.834387485627449,1.26715102710378,1.21219834940254,1.20578917837699,1.2412754249389,1.01096876789723,1.07367494351674,1.20238627524639,1.59161166331355,1.26160477563835,1.52375014347304,1.36002343499785,1.03102236487849,1.13331608628659,1.04505186083233,1.00521416851408,1.78031198406973,1.32391033029712,0.95312763200792,1.02504743785487,0.955029467530908,2.6186283176939
15,20,3,3,0.751671933968137,1.1059558893649,1.22453313197872,1.09657021309985,1.25350741147314,0.977421070678995,1.2478696227591,1.20864895846016,0.961225726714162,1.28238719867464,1.08220576737405,0.874959058357336,1.07464506731073,1.21713166292399,0.85453761562941,0.952743886529378,1.3673767848954,0.877014692249629,1.1377953492791,1.09112835300036,0.867284956869955,2.80659925850517
16,20,3,3,0.709342560335156,1.12336677031635,1.03083914332775,1.13974224130869,1.17721412441474,1.01447449992553,1.17268916210338,0.988898845711169,1.13133388302309,1.4179772148397,1.30678014964458,1.12956649655412,1.28747276550452,0.968766599453986,0.94530863138684,1.62139241306516,1.06552595646063,0.876805413040519,0.931273114401617,0.857062138112081,1.03287622520772,2.00286504000842
17,20,3,3,0.494223598620805,0.88874724971666,0.74871130955448,0.736381456623308,0.977254931393946,0.961373570141403,1.12819529484153,0.838623644145133,1.06658994231677,0.752669970120408,0.872778825453637,1.09743940420063,0.69630866257561,0.912443343885152,0.630445628125065,0.7205771937585,0.875657865333145,0.894411257033212,0.657596441595333,0.732280510437317,0.649761047825408,2.14167565137879
18,20,3,3,0.472070972041083,0.916731961745784,0.768713834862051,1.02651265204771,0.696315993218571,1.09753599455888,0.885209712832315,0.834343129418299,0.787524729223484,1.07311394791955,1.34727681761956,0.793148335487283,0.752786328053864,1.22609960118868,1.04932358811311,0.608703769107611,0.766600173952612,0.586410668137951,0.731589808849985,0.827287235037353,0.711358257513837,1.8514067951143
19,20,3,3,0.561146907177477,1.10287475688989,0.837686799013112,1.05479962561142,1.23349618081226,1.14513057262705,0.797105279062641,0.769770684200579,1.3949372666701,0.832333947361961,0.993133422807083,1.09602656791433,0.955284812508572,1.19649437278618,0.751584154501577,1.19077829110167,0.723761128556478,0.877948927027517,0.722602123156276,0.680225030417888,0.847494765201527,2.09388163958554
20,20,3,3,0.845798805650088,1.43988248254137,1.45708588847624,1.38425618283028,1.68982950536133,1.68558809995719,1.4803513259701,1.29284596591142,1.62718125480433,1.21117460446535,1.36655494096655,1.28411231401752,1.48504318969232,1.13616018983875,1.75416830075452,1.72329276649409,1.25021165781025,1.15914802562092,1.55262446198267,1.33280845376639,1.14440641172209,1.52853576926692
21,20,3,3,0.493398964350429,0.891948734633681,0.818167505237962,0.903689059233669,0.731619650419528,0.86271416237377,0.87945151755853,0.739302546709912,0.813696067044684,0.678310730147123,1.05653100881023,0.723957892383505,0.699850204126541,1.34538294731172,0.882167253661909,0.735096645009359,1.37858132026172,0.717065343592739,0.630693139575291,0.696248487780523,0.607391614048417,2.00702576394406
22,20,3,3,0.58542439759748,0.914109969584513,1.01648396042286,1.18624250533445,0.935887143259169,1.20335752458629,1.1307778208763,0.818931044933386,1.17047460394317,1.08547992134543,0.756581959530784,1.1544922300908,0.895479693051994,0.876698423133322,1.4068556660269,0.794388606358101,1.10554862286386,1.15372562200449,0.786631649062346,0.74258900943399,1.0338676280062,1.88678131979654
23,20,3,3,0.484574345833697,1.11703713089812,0.975547373309709,0.916332463870943,0.760177282370745,0.998458453295999,0.848833188059862,1.07165444674227,1.31204665710545,0.870696697546842,0.701684653651279,0.858699980677162,0.765914371168122,1.11755686533403,0.710500336888892,0.632459592788856,1.39469813886267,0.69562701399578,0.89187213037629,1.04673032765773,0.679754722276174,1.72211653224676
24,20,3,3,0.750311143994138,1.06886555119599,1.1386514347182,1.08115763393191,1.15114134403627,1.06754180117532,1.40489795367897,0.983851540850225,0.965223965755864,1.47375682860552,1.46028810906208,1.23379611660638,0.962632537177266,1.20485138963743,1.07599297017927,0.847197966019838,1.47187381612927,0.960541660146028,0.820619025734795,1.0692789698836,0.95706830293109,2.99096250231501
25,20,3,3,0.798876618504369,1.32759529740792,1.22995675768934,1.03875999439722,1.41923979332232,1.51745628709882,1.34215469344761,1.1351776539895,1.47580987265987,1.0620567227002,1.37822025409418,1.15515612544644,1.72526849055518,1.02150242562763,1.0711758744798,0.977340570244849,1.31187008445639,1.4109841866848,0.997440487523973,1.52036850053891,1.00404842666919,2.02756396218661
26,20,3,3,0.464677691997772,1.00698728902028,0.858913759695209,1.24671280461582,0.770595169963468,1.04166396435948,1.25574461557942,1.04056049045177,0.906305220120554,1.22902355525935,0.8593425049398,1.33881986254301,1.25186761505851,0.741777717779449,1.08036477602294,0.853115149342432,0.960687987952777,0.730302153165677,0.835293521797903,0.657167659905552,0.717355164459208,1.48927025556505
27,20,3,3,0.562007445792957,0.898198345370406,1.03403385233386,0.96941017603374,0.754389698276456,0.815199645452229,0.796624435579854,1.20119176631061,0.777762528860587,1.10199928646266,1.23619158375771,0.862883626129913,0.728043517970795,1.12912388838204,0.657399723598108,0.805383233088373,1.32758515502582,1.18873129009318,0.734838697613412,0.897937015043294,0.679350260208203,2.36940485147423
28,20,3,3,0.659066951829315,1.26167136699974,1.02492544758964,0.937465634810248,1.01892936301169,1.31105199655778,1.0890981331046,1.27944753858695,1.32255684642949,1.25056002922008,0.992260962426803,1.03971466345569,1.10983450139212,1.58344971432387,0.93396538036496,0.850583538277997,0.843627337880642,1.06117425670908,0.978373074588481,1.12220993433782,0.875873741277789,1.79734683557371
29,20,3,3,0.510857311701558,0.889065719669354,1.08017280977667,1.17686246397212,1.06740520820438,1.21777014004713,1.14000484776368,0.861894448868858,0.99430905963587,0.910792469168434,0.826060214977932,1.13514162436564,1.21187688562703,0.976873742459444,0.770970678101567,1.15114073588427,0.914732597879872,0.726994191616118,0.892939920555348,0.71256976061634,0.8725490467355,1.43747650191497
30,20,3,3,0.848920860916256,1.24246021417807,1.51134024695329,1.40855269145375,1.37602500179345,1.11104824332515,1.49926841220224,1.20578034792012,1.11290383602528,1.07024084048276,1.41917816184027,1.50472278994399,1.12132593655615,1.48391978841356,1.44860762903062,1.83301056540679,1.43028537194238,1.11693191658141,1.19678623939601,1.05501216338707,1.10342952434682,2.01175131572447
31,20,3,3,0.785906824213281,1.28433574359163,1.26273523898944,1.20941451500011,1.22451136254788,1.16676907018465,1.29447921297525,1.27413900159708,1.20183254827614,1.59406370833018,1.03671415078368,1.13510857089755,1.28922106872121,1.10249192186385,1.53688049850086,1.77497991671223,1.25930843721777,1.07233666808196,1.65122502587597,1.03989314137497,1.02886888771607,1.66185405191545
32,20,3,3,0.74120669046878,1.13580085959025,1.09920517983007,1.25410118101698,1.04571553813862,1.22114087278441,1.38921949144293,1.0241942829766,1.22792279613621,0.993664612011929,1.24081648782305,1.1729175105531,1.52361843717138,0.985431907113599,1.17553382959169,1.31942066745554,1.10984137365793,0.926221676422825,0.980050505386494,1.0896061300034,0.937669656783619,2.05578651023254
33,20,3,3,0.739163585714384,1.19988843013264,1.08487857413719,1.27815506582009,1.54359953470772,1.43945256755965,0.987135472062631,1.29975482829997,1.13748442848343,1.59168302013986,1.45829181195275,1.69775306098223,1.29558324710708,0.920225891809036,1.22393092862721,1.00184208922748,1.38502622731232,1.14870958243238,1.05613723278825,1.12089822511663,0.950294764065914,1.89454541469167
34,20,3,3,0.598436151913504,0.934553291807423,1.06899207094194,1.11550406135535,1.11374496276927,1.042662679738,0.975539436455171,0.882223120747641,0.889486128891669,1.07903069324896,1.01465294533942,1.45172115561166,0.907228904855456,0.76974306639511,0.979438721164529,0.778944662577158,1.35744652084787,0.888435587129451,0.959912053382828,0.7458987143877,0.808746335938225,2.12070667252617
35,20,3,3,0.625638086529957,1.09578095823144,0.90417830495931,1.03539254337389,1.22061353237717,1.08685385298491,0.95677624926184,0.76894093529273,1.10957410848224,1.03303818968785,1.13495507086811,1.43664017140108,0.963856666870112,1.0152235881575,0.748359904807899,0.736652514772908,1.40745576202447,0.987617450095366,0.898668407634974,0.857155723511988,0.742395410377291,2.52642900954271
