"Instance","N","K","L","Exp Profit","p_1","p_2","p_3","p_4","p_5","surplus"
1,5,5,3,0.721661365546846,1.49,1.83,1.49,1.49,1.49,1.0133080193299
2,5,5,3,0.28571472404704,0.79,1.27,0.79,0.91,0.79,0.866564725932919
3,5,5,3,0.559691955641598,1.28,1.28,1.14,1,1,0.962423141963146
4,5,5,3,2.14729549119311,2.96,2.96,3.26,2.96,2.96,1.86994201140461
5,5,5,3,0.723962366772028,1.25,1.55,1.23,1.23,1.23,1.25322224897175
6,5,5,3,0.865058418690709,1.75,1.75,1.75,1.75,1.75,1.04228431894931
7,5,5,3,1.13897347007523,1.83,1.82,2.04,1.82,1.82,1.82576795385342
8,5,5,3,1.0193476602906,1.88,1.73,1.73,1.73,1.73,1.47359315499696
9,5,5,3,0.426219825108317,0.86,1.37,1.19,0.82,0.82,1.07981616452813
10,5,5,3,0.309308773834654,0.76,1,1.34,0.68,0.63,0.837998031562322
11,5,5,3,0.667977955792603,1.46,1.32,1.32,1.32,1.32,1.39468761525603
12,5,5,3,0.730397111268926,1.62,1.62,1.62,1.66,1.62,1.32124551241136
13,5,5,3,0.986034984975747,1.74,1.74,2.01,1.74,1.74,1.45232433261367
14,5,5,3,0.857320971381737,1.8,1.8,1.8,1.8,1.8,1.42216359660222
15,5,5,3,0.708526772249029,1.57,1.57,1.57,1.59,1.57,1.36824871891858
16,5,5,3,0.329691548125056,1.18,0.67,0.87,1.1,0.67,0.957474156534318
17,5,5,3,0.473774766568858,1.11,0.83,1.08,1.57,0.83,1.07057455093756
18,5,5,3,0.420184523227459,1.06,1.04,1.04,1.27,1.04,1.03536827701094
19,5,5,3,0.859687070404138,1.36,1.36,1.36,1.36,1.36,1.67827131946184
20,5,5,3,0.956962873016774,1.46,1.65,1.46,1.61,1.46,1.62643955204877
21,5,5,3,0.508225722830681,1.19,1.52,1.17,1.17,1.17,1.08848416270887
22,5,5,3,0.793356919827049,1.44,1.35,1.74,1.58,1.35,1.1905495064507
23,5,5,3,0.695054427619144,1.4,1.6,1.4,1.4,1.4,1.09216495664022
24,5,5,3,1.36672656928251,1.91,1.91,1.91,1.91,1.91,1.67150589658236
25,5,5,3,0.776164765048288,1.52,1.1,1.1,1.55,1.1,1.59349422051994
26,5,5,3,0.534980527641084,1.48,1.14,1.01,1.43,1.01,1.0229372827149
27,5,5,3,0.700519114445437,1.67,1.67,1.67,1.67,1.67,0.96001973476649
28,5,5,3,1.22771734249169,1.96,1.96,2.16,1.96,1.96,1.34392929347607
29,5,5,3,0.289104318884843,0.94,0.79,1.02,0.79,0.79,0.852726601691112
30,5,5,3,1.39526462219863,2.31,2.2,2.2,2.2,2.2,1.43720673220846
31,5,5,3,0.464550748712048,0.97,1.29,1.07,0.97,0.97,1.07245863681846
32,5,5,3,0.579708328834202,1.02,1.59,1.02,1.42,1.02,1.205063386568
33,5,5,3,0.69585467841934,1.61,1.61,1.61,1.65,1.61,1.0896044664896
34,5,5,3,0.763585088013956,1.36,1.32,1.59,1.45,1.32,1.32467412516033
35,5,5,3,0.429488502442526,1.05,0.92,0.96,0.92,0.92,1.10732899606357
36,5,5,3,0.851488085681028,1.59,1.37,1.35,1.34,1.34,1.3712720999714
37,5,5,3,1.15224058141716,2.03,1.92,1.74,1.91,1.74,1.35247836722235
38,5,5,3,1.32529217447554,2.2,2.2,2.2,2.2,2.2,1.55622831043637
39,5,5,3,0.502694585767867,1.02,1.3,1.19,1.02,1.02,1.0951007731105
40,5,5,3,0.638576010170601,1.53,1.53,1.6,1.53,1.53,0.950179464752048
41,5,5,3,0.589728316884628,1.23,1.55,1.24,1.23,1.23,1.05046943315591
42,5,5,3,2.41355137516514,3.28,3.28,3.28,3.28,3.28,1.8492982448287
43,5,5,3,0.647981993615686,1.53,1.53,1.53,1.53,1.53,1.36332904026122
44,5,5,3,0.738935098036268,1.2,1.2,1.57,1.84,1.2,1.35360074833898
45,5,5,3,1.34788596518112,2.24,2.13,2.27,2.13,2.13,1.35845893945479
46,5,5,3,0.53363918608061,1.06,0.99,1.55,0.99,0.99,1.06113548471305
47,5,5,3,0.662141766207019,1.21,1.58,1.21,1.21,1.21,1.29749037409322
48,5,5,3,0.354322307163973,0.83,1.14,0.83,1.06,0.83,0.863747046173659
49,5,5,3,1.04040176768067,1.68,1.68,2.12,1.68,1.68,1.33095618748491
50,5,5,3,1.03110399096236,2,2,2,2,2,1.4024183156297
51,5,5,3,0.897442393056779,1.47,1.47,1.47,1.88,1.47,1.27253012746035
52,5,5,3,0.579083535304129,1.58,1.07,1.32,1.55,1.07,0.989322837149958
53,5,5,3,0.584989422537951,1.36,1.36,1.36,1.36,1.36,1.0419496853234
54,5,5,3,1.71233442462798,2.3,2.35,2.82,2.3,2.3,1.81594945114826
55,5,5,3,1.2262547681008,1.7,2.04,2.27,1.72,1.7,1.59397719514426
56,5,5,3,0.302729885124347,0.88,0.78,1.24,0.75,0.75,0.900833401007409
57,5,5,3,0.322247482999569,0.85,1.24,0.98,0.85,0.85,0.845482532739357
58,5,5,3,0.299186180661061,0.99,0.96,0.83,0.83,0.83,0.885735310574244
59,5,5,3,0.661268690406325,1.33,1.42,1.33,1.33,1.33,1.22694609367985
60,5,5,3,0.812048997327654,1.36,1.66,1.31,1.31,1.31,1.35361051618371
61,5,5,3,0.89617624581125,1.84,1.83,1.83,1.83,1.83,1.25541620732294
62,5,5,3,0.397692069988729,0.72,1.21,1.45,1.08,0.72,1.060878244277
63,5,5,3,0.336189945497457,1.05,0.71,1.31,0.89,0.71,0.861107072906375
64,5,5,3,1.27770439395425,1.85,1.93,1.85,1.85,1.85,1.85145212676646
65,5,5,3,0.688179730602893,1.5,1.5,1.82,1.5,1.5,1.10112656940619
66,5,5,3,0.942335625864926,1.93,1.93,1.93,1.93,1.93,1.4706123008107
67,5,5,3,0.630183407120973,1.27,1.75,1.55,1.2,1.2,1.13814079026174
68,5,5,3,1.39790141052854,2.17,2.33,2.17,2.17,2.17,1.46279843576655
69,5,5,3,1.72046520133583,2.58,2.58,2.58,2.58,2.58,1.5172189905984
70,5,5,3,0.29340322073691,1.08,0.91,0.71,0.59,0.97,0.892934164874878
71,5,5,3,1.28776419613884,2.05,2.05,2.05,2.05,2.05,1.57688575422757
72,5,5,3,0.60708517721581,1.26,1.17,1.4,1.17,1.17,1.1531630905198
73,5,5,3,0.458526859603976,0.98,0.87,1.22,0.82,0.82,1.15496951588244
74,5,5,3,1.18922364949027,1.9,2.37,1.94,1.9,1.9,1.41605747610715
75,5,5,3,0.57412891540853,1.02,1.55,1.17,1.02,1.02,1.34288581875213
76,5,5,3,0.457210283278143,0.99,0.96,1.28,0.96,0.96,1.1576523623113
77,5,5,3,0.400412631657453,1.11,0.88,0.8,1.45,0.8,1.09289140080599
78,5,5,3,0.517638919277414,0.97,1.17,1.56,1,0.97,1.12790252718363
79,5,5,3,0.55827088231268,1.09,1.09,1.09,1.41,1.09,1.29597138299257
80,5,5,3,1.10007602758253,2.06,2.06,2.06,2.06,2.06,1.39185362946021
81,5,5,3,0.511089643699077,1.34,1.13,1.37,0.95,0.8,1.1939394201089
82,5,5,3,0.636641325664106,1.51,1.38,1.38,1.62,1.38,1.05531880005583
83,5,5,3,0.841431188443381,1.7,1.7,2.01,1.7,1.7,1.12754643663282
84,5,5,3,0.409511726482223,1.01,1.34,1.01,1.01,1.01,0.829250457618034
85,5,5,3,0.763613916970246,1.63,1.63,1.63,1.63,1.63,1.26121011289069
86,5,5,3,0.383672389216013,0.91,0.87,1.37,0.87,0.87,0.878111704185148
87,5,5,3,0.61929550938142,1.42,1.26,1.14,1.14,1.14,1.34457545759306
88,5,5,3,1.29900665983605,2.32,2.03,2.21,2.03,2.03,1.55195520111755
89,5,5,3,0.384249538149996,1,0.92,0.88,1.54,0.88,0.784769487246811
90,5,5,3,1.10008190026409,1.8,1.97,1.8,1.8,1.8,1.30627200391147
91,5,5,3,1.09121924651562,2.01,2.01,2.3,2.01,2.01,1.33583596813452
92,5,5,3,1.54430256982605,2.21,2.21,2.21,2.38,2.21,1.67268920752885
93,5,5,3,0.668388172937361,1.15,1.72,1.15,1.39,1.15,1.18596038198219
94,5,5,3,1.02308484574086,1.75,1.75,2.17,2,1.75,1.24233073547078
95,5,5,3,0.608450086480812,1.4,1.22,1.69,1.22,1.22,1.04813548771694
96,5,5,3,0.404424811222009,0.88,0.78,1.49,1.06,0.78,1.07378142341169
97,5,5,3,0.634493611320812,1.27,1.27,1.27,1.27,1.27,1.12649363197357
98,5,5,3,0.484584377320478,1.14,0.97,0.97,1.03,0.97,1.21441130646472
99,5,5,3,1.00783461855633,2.08,1.94,1.8,1.8,1.8,1.21220047383695
100,5,5,3,0.797226687242605,1.39,1.74,1.63,1.39,1.39,1.14863022399906
