"Instance","N","K","L","Exp Profit","p_1","p_2","p_3","p_4","p_5","p_6","p_7","p_8","p_9","p_10","surplus"
1,10,1,3,0.489658027011115,1.07,0.98,1.18,1.13,1.01,1.53,0.95,0.95,0.96,0.95,0.908170243019628
2,10,1,3,0.655401345041186,1.35,1.51,1.35,1.35,1.37,1.35,1.35,1.69,1.35,1.35,0.91610291997706
3,10,1,3,0.279052507151121,0.75,0.77,1.17,0.65,0.8,1.12,0.65,1.08,0.65,0.65,0.779873447715867
4,10,1,3,0.3298565889348,0.77,0.97,0.82,1.2,0.84,0.77,0.78,0.77,0.77,0.77,0.866234500086765
5,10,1,3,0.412374504833931,0.95,1.12,1.24,0.87,0.86,1.18,1.29,0.99,0.86,0.86,0.803134363834127
6,10,1,3,0.256930192906818,0.65,1,0.95,1.12,0.84,0.74,0.57,0.75,0.61,0.57,0.778421093250977
7,10,1,3,0.590682667908398,1.24,1.24,1.52,1.24,1.53,1.24,1.31,1.24,1.24,1.24,0.933073299073015
8,10,1,3,0.43203193865927,1.02,1.1,1.31,1,1.17,1,1,1.39,1,1,0.838543923083823
9,10,1,3,0.241399587944264,0.71,0.74,0.61,0.93,1.08,0.79,0.59,0.56,0.94,0.56,0.754272591072445
10,10,1,3,0.465066264218265,1.25,1.23,1.17,1.2,0.96,0.92,1.23,0.92,1.16,0.92,0.894791167185398
11,10,1,3,0.294129502526116,0.85,0.76,1.03,0.68,0.93,1.03,0.68,0.87,0.68,0.68,0.768791409084015
12,10,1,3,0.190615211100522,0.85,1.07,1.18,1.03,0.74,0.87,0.72,0.66,0.66,0.66,0.562522716246747
13,10,1,3,0.530421976489952,1.4,1.25,1.26,1.25,1.25,1.25,1.62,1.53,1.25,1.25,0.800460435122511
14,10,1,3,0.420065194085484,0.96,0.98,0.93,1.27,1.04,0.99,1.09,0.93,0.93,0.93,0.838298237377155
15,10,1,3,0.243482051167398,0.87,0.85,0.72,0.86,0.61,0.76,0.61,1.31,0.61,0.61,0.692061206415613
16,10,1,3,0.304800720225057,0.79,0.79,0.79,1.01,0.79,0.79,0.93,0.79,0.94,0.79,0.817551825173132
17,10,1,3,0.570586941686501,1.46,1.37,1.37,1.45,1.37,1.37,1.37,1.37,1.37,1.37,0.793988223603639
18,10,1,3,0.223935743000942,0.7,0.73,0.63,0.81,0.62,1.06,0.55,0.52,0.78,0.52,0.723163988996355
19,10,1,3,0.381368324099849,0.82,1.29,1.22,0.81,0.88,1.39,0.81,1.02,1.22,0.81,0.799630018831377
20,10,1,3,0.16180128232375,0.65,0.83,0.74,0.79,0.74,0.63,0.54,0.81,0.52,0.5,0.58400369050452
21,10,1,3,0.20036712109062,0.84,0.81,0.75,0.57,1,1.22,0.53,0.78,0.58,0.53,0.683508094521045
22,10,1,3,0.248246499245288,0.84,0.94,0.64,0.88,0.55,0.86,0.55,0.84,0.76,0.55,0.78953999794129
23,10,1,3,0.263108761602675,0.76,0.72,0.91,0.67,0.97,0.71,0.94,0.67,0.7,0.67,0.779866726144262
24,10,1,3,0.44439521937562,1.09,0.81,1.25,1.08,0.81,1.25,1.06,0.81,0.99,0.81,0.96214627553002
25,10,1,3,0.35790755289399,0.87,1.08,0.9,0.87,1.19,1,0.87,0.87,0.87,0.87,0.836790227992666
26,10,1,3,0.453277644899475,1.25,1.09,1.27,1.09,1.25,1.09,1.09,1.09,1.09,1.09,0.794587060166726
27,10,1,3,0.700587508808939,1.41,1.42,1.68,1.41,1.68,1.41,1.41,1.43,1.41,1.41,0.910593476294961
28,10,1,3,0.32587227786136,0.89,0.76,0.94,1.11,0.82,0.76,0.86,1.48,0.76,0.78,0.74555442106282
29,10,1,3,0.27812915033589,0.81,0.72,1.04,0.72,0.95,0.72,0.72,0.72,0.72,0.72,0.757970833853532
30,10,1,3,0.327976073044984,1.07,0.72,1.07,1.25,0.69,1.07,0.78,0.92,0.69,0.69,0.808124273899352
31,10,1,3,0.300156129049181,0.78,0.69,0.8,0.69,0.7,1.06,0.69,0.69,0.69,0.84,0.890988028592114
32,10,1,3,0.269563295238404,0.71,1.06,0.79,0.98,0.73,0.64,0.73,0.95,0.64,0.64,0.796863297867417
33,10,1,3,0.444536113257367,1.1,0.93,1.27,1.19,0.93,0.97,1.31,0.93,0.94,0.93,0.903743348135157
34,10,1,3,0.461962310872807,1.26,1.28,0.95,1.23,1.33,0.93,1.04,0.93,1.3,0.93,0.845759357283512
35,10,1,3,0.428113733859878,1.24,0.99,0.98,1.33,0.98,0.98,0.98,1.44,0.98,0.98,0.788771411957413
36,10,1,3,0.525261419401499,1.29,1.46,1.29,1.55,1.29,1.29,1.29,1.32,1.29,1.29,0.759808733563005
37,10,1,3,0.710854610504594,1.28,1.71,1.63,1.28,1.28,1.5,1.62,1.28,1.28,1.28,1.01799772970886
38,10,1,3,0.330822730514781,0.88,0.88,0.83,0.8,0.78,1.33,1.43,0.78,0.79,0.78,0.80010257021976
39,10,1,3,0.41587315202919,0.93,0.9,0.89,1.32,0.9,1.12,0.9,0.89,0.89,0.89,0.894179248358452
40,10,1,3,0.226052644318228,0.74,0.78,0.99,0.73,0.94,1.3,0.71,0.69,0.69,0.69,0.707039741644749
41,10,1,3,0.642302379374069,1.38,1.38,1.6,1.46,1.39,1.7,1.38,1.38,1.38,1.38,0.882210639724403
42,10,1,3,0.360039867873764,0.78,1.08,0.8,0.78,1.09,0.78,0.78,1.47,0.78,0.94,0.827985735449705
43,10,1,3,0.261156406484078,1.06,0.79,1.2,0.74,1.05,0.99,0.72,0.66,0.68,0.66,0.73408554624236
44,10,1,3,0.752340996720431,1.7,1.55,1.7,1.51,1.46,1.46,2.05,1.46,1.46,1.46,0.930283592017654
45,10,1,3,0.595192673172506,1.41,1.28,1.24,1.24,1.24,1.24,1.24,1.24,1.69,1.24,0.945311476377182
46,10,1,3,0.198116300342613,0.69,0.62,0.56,0.58,1.18,0.99,0.71,1.15,0.56,0.56,0.67399393152064
47,10,1,3,0.276435821185045,0.85,0.8,1.22,0.72,0.86,1.18,0.71,0.71,0.79,0.71,0.725110453667944
48,10,1,3,0.414764117379142,1.3,1.44,1.26,1.2,1.07,0.98,1.23,0.95,0.85,0.81,0.826437493059768
