"Instance","N","K","L","Exp Profit","p_1","p_2","p_3","p_4","p_5","p_6","p_7","p_8","p_9","p_10","surplus"
1,10,3,3,0.477418433188835,1.72824513475828,1.45818957615314,1.6651833856845,1.30540902853867,1.86164048252703,1.58068525536596,1.32104637351613,1.54308310918534,1.2565178357937,1.1602221410291,0.569190808009461
2,10,3,3,0.89338598368267,1.53232819878819,1.31583270801854,1.42085971940454,1.24120227979081,1.19423619549435,1.78423117328195,1.08490381375691,1.49748777299316,1.07267574089695,1.27843805678894,2.08641468928949
3,10,3,3,1.01556260356878,1.55458023980169,1.57014052295817,1.56430574823684,1.32917416170633,1.43021913309017,1.85336470006072,1.2870250880433,1.67557369156235,1.35756816113482,1.26574630189203,1.82826539659156
4,10,3,3,0.234737377143211,1.43401417420374,1.30938810558956,1.04969896565527,0.955826138399523,1.18337538392359,1.58640007712106,1.51136531588504,1.33879977529713,0.963465282971116,0.916172034263993,0.327739440628588
5,10,3,3,0.412399289563828,1.09782491935323,1.08291624936089,1.03933232894953,0.952000493670065,1.45539188481251,1.22412293814143,0.986647976280888,0.902353045799367,0.83183627803257,0.798724888494991,0.869512279860955
6,10,3,3,0.643225185591057,1.38488805259796,0.96145270508757,1.29342286277738,0.820730032445693,0.964640497607778,1.48348738406438,1.34146337326724,0.864391644477838,1.26844706412213,0.796209945123572,2.03426340749461
7,10,3,3,0.34990120131344,1.12652716616765,1.05474098118135,1.50227455624425,1.28161992118371,1.11547090392576,1.02161865475546,1.66810208067163,1.01012572572043,1.16786728915121,0.97998037433378,0.492296867254481
8,10,3,3,0.804489993663341,1.19994485889434,1.45164063583417,1.17039335031348,1.40155429382828,1.02832667228534,1.23919836472132,1.64240711962476,1.19196550348999,1.07222608736071,0.985214277363815,2.24316374293217
9,10,3,3,1.19901189753886,1.70330302851716,1.60697280314564,1.46844811711012,1.91307853226193,1.42873495694871,1.88315677643299,1.78807834237892,1.6971876016924,1.44271511503528,1.35102978882762,2.76031309622537
10,10,3,3,0.689578920268174,1.03183804956941,1.32751046989323,1.13519741234861,1.10463292559504,1.08727042471302,1.32689510488531,1.62898940545038,1.05778468549388,0.864167587777466,0.966808487388003,1.83853604944524
11,10,3,3,0.329435546312089,1.51011351527434,1.51825905724032,1.44521677655307,1.43533217463369,1.75933651189659,1.41826078032886,1.33357276868197,1.71898970288185,1.37221007896036,1.28411043072714,0.320935037163042
12,10,3,3,0.222232042559901,1.11039229478751,1.32468984054469,1.03129271046756,1.53671412137095,1.4815230867581,1.7298093761924,1.33865064310406,1.05279623845364,0.973853473759175,1.19044660554439,0.27306828990197
13,10,3,3,0.751003658062271,1.19493833021825,1.18820410099466,1.42064870592432,1.03152684760452,1.30145897349568,0.959899776330633,1.18071430031476,1.38862007997119,1.10502516343014,0.940001336447198,1.92013786058451
