"Instance","N","K","L","Exp Profit","p_1","p_2","p_3","p_4","p_5","p_6","p_7","p_8","p_9","p_10","p_11","p_12","p_13","p_14","p_15","p_16","p_17","p_18","p_19","p_20","surplus"
1,20,3,3,0.824573730525634,1.24245693495624,1.12818951649616,1.20361669505586,1.33827520839056,1.06461200719222,1.48373247152095,1.47178147821843,1.31700408171605,1.20486110836048,1.30305952856968,1.02548599241121,1.50256357004131,1.13327659896852,1.19265341483144,1.02958522045721,1.50648452958937,1.33308114634524,1.15120247381255,1.02073668927069,1.0081072670815,2.26601976812731
2,20,3,3,0.643280750008255,1.55188835226098,1.47139885013865,1.44877651457326,1.67055489961235,1.53989446194983,1.41462274640833,1.54646263539738,1.38265847231424,1.90733980571643,1.74438107603665,1.32353704804606,1.76455225466822,1.50466207327072,1.65435694351107,1.4204870636278,1.32734280147248,1.63625968923298,1.42467238487309,1.33511669536807,1.29568678864964,0.740223022351216
3,20,3,3,0.243294777856211,1.46182230715763,1.682616926619,1.45765274700202,1.44596318432924,1.70381267353918,1.77963083153686,1.51951899465123,1.78004725093313,1.71055680912745,1.53546875610314,1.52999126447133,1.35265524390105,1.49992104969267,1.64336637015915,1.33078424404611,1.4340511475224,1.49220201413386,1.22168363557993,1.31666249897895,1.2967969590736,0.233123504010772
4,20,3,3,0.819106974406349,1.13050746872732,1.04732360566541,1.35715191338763,1.08258038601518,1.03671083563631,1.34064074137258,1.53415114760745,1.08179759707969,1.06096802466224,1.18559693657025,1.55293379526679,1.02936540588859,0.993571713430886,0.951065633930635,1.17108822198296,1.51891141716542,1.15344511290811,0.893663810972514,1.00747580962968,0.983789946662241,3.04597286412218
5,20,3,3,0.903557530298834,1.19579105412675,1.41717024019752,1.30471146954999,1.18081282897485,1.50474645405161,1.57573504433118,1.09109611963168,1.50977475214918,1.21360391013943,1.3197717944486,1.06091896385906,1.1624676694087,1.12020471957061,1.53344075398573,1.44639380399635,1.35537432895199,1.60093179463534,1.05255298597761,1.01752290992262,1.11352386768367,2.43822584062131
6,20,3,3,0.736234446549195,1.08800856889859,1.07599158952886,1.03910026467432,1.11952902178872,1.3986975527538,1.35887267244034,0.992058870885449,1.01921286923357,1.00565705922956,1.15924304833258,1.31839588585167,1.50968736773307,0.94300467599521,1.01467532438184,0.877941338340811,0.852668920508831,0.949598976073607,1.09541660281363,1.33434671718617,0.850403066803136,2.52939859768771
7,20,3,3,0.944096187575,1.27911726421744,1.09228469507708,1.52347560200451,1.57910654214357,1.34288465640542,1.17919667624768,1.76282917460716,1.81920731052329,1.45329930197863,1.74547758615241,1.28366654144825,1.10281009842558,1.73391586497391,1.17629205655306,1.42047488880829,1.10246922941395,1.62495934214979,1.02139860664024,1.40519350900876,1.09522689376148,3.07115677014318
8,20,3,3,0.398042041521086,1.21232810472189,1.22323032596186,1.38821570859414,1.32140066895532,1.31104808818021,1.30749013322768,1.36621144530769,1.13102390248365,1.09633740535986,1.23057084436082,1.05153096474951,1.29057195809754,1.35075228941895,1.08995034550275,1.25079322171851,1.09288424340985,1.0496433185677,0.998467976524495,1.19282904043528,1.06719471389611,0.542990103393858
9,20,3,3,0.888960957110119,1.33001798703403,1.28455556311688,1.43448359154251,1.27750123085399,1.24026077941871,1.67664453564006,1.45090599578612,1.42431031808347,1.20153263197134,1.39485772029007,1.32473836600748,1.69007532435767,1.22315736956288,1.31904889584858,1.18070141772567,1.89154564578041,1.46429595183085,1.20649923447211,1.11572880785574,1.1645658119879,1.82413233567126
10,20,3,3,0.902516659310839,1.48518230005088,1.52319333543879,1.64162923098758,1.52139019094675,1.38811888602295,1.3635029905175,1.53418577465082,1.66944448933204,1.51413682091754,1.40114946342677,1.31556353040524,1.60513378054111,1.80409647758144,1.52186847719936,1.38336260371168,1.47819493754953,1.25284665784262,1.22489179075285,1.36889943065328,1.25680279842026,1.44750881962788
