"Instance","N","K","L","Exp Profit","p_1","p_2","p_3","p_4","p_5","surplus"
1,5,5,3,0.301752079493218,0.79,0.81,0.79,0.79,0.79,0.839702445862798
2,5,5,3,0.178915260970423,0.56,0.98,0.75,0.56,0.56,0.537644852617655
3,5,5,3,0.308788936705681,1.14,0.93,0.92,0.92,0.92,0.64884878527395
4,5,5,3,0.189324877589308,0.94,0.88,0.72,0.64,0.64,0.569193498448115
5,5,5,3,0.173777934557139,0.72,0.52,0.72,1.2,0.52,0.610396237282748
6,5,5,3,0.453418566309824,1.02,1.02,1.02,1.02,1.02,0.799577841048341
7,5,5,3,0.24631359022086,0.64,0.8,1.05,1.32,0.64,0.673868977863383
8,5,5,3,0.253831427016573,0.73,0.73,0.72,1.34,0.72,0.646546665612024
9,5,5,3,0.175274109876007,0.59,1.02,0.59,0.77,0.59,0.562269713032921
10,5,5,3,0.378383579464582,0.93,1.43,0.93,1.04,0.93,0.770372426942389
11,5,5,3,0.39130173511505,1.51,1.29,1.2,1.2,1.2,0.644158720789048
12,5,5,3,0.20997577898984,0.69,0.98,0.72,0.69,0.69,0.617719640033882
13,5,5,3,0.329638708945503,1.14,1.01,0.88,0.88,0.88,0.798657404931205
14,5,5,3,0.521749549737349,1.39,1.39,1.39,1.39,1.39,0.722987703863548
15,5,5,3,0.154305116418486,0.74,0.6,0.96,0.6,0.6,0.481894731067543
16,5,5,3,0.285571734251012,0.76,0.78,1.27,0.76,0.76,0.753627084981171
17,5,5,3,0.374718013265912,0.83,0.83,1.41,1.2,0.83,0.93907936570879
18,5,5,3,0.21362372280485,0.78,0.6,0.75,1.06,0.6,0.688554849971911
19,5,5,3,0.375976160795713,1.07,1.04,1.04,1.04,1.04,0.707944014627212
20,5,5,3,0.244995961672245,0.75,1.2,0.65,0.93,0.65,0.63254704173362
21,5,5,3,0.727239128345158,1.27,1.46,1.74,1.27,1.27,1.117906244807
22,5,5,3,0.509422642696254,1.16,1.16,1.33,1.16,1.16,0.856398319589166
23,5,5,3,0.337116217809798,0.87,0.87,0.87,0.87,0.87,0.807240835907834
24,5,5,3,0.194318166425962,0.6,0.6,0.69,0.6,0.6,0.653376604451655
25,5,5,3,0.445515352226712,1.12,1.12,1.12,1.12,1.12,0.940849285800063
26,5,5,3,0.286127705584881,0.83,0.83,1.26,0.83,0.83,0.671794259823822
27,5,5,3,0.330823016761203,1.19,0.77,1.07,0.76,0.76,0.763524897280889
28,5,5,3,0.222421739930751,0.73,1.16,1.02,0.73,0.73,0.520941681095077
29,5,5,3,0.434831963991391,1.24,1.47,1.24,1.24,1.24,0.637293220953377
30,5,5,3,0.643885934313021,1.42,1.42,1.7,1.42,1.42,0.987047456361793
31,5,5,3,0.179178031081424,1.02,0.62,0.86,0.62,0.62,0.516776442839525
32,5,5,3,0.481470392534671,1.17,1.32,1.17,1.17,1.17,0.732200388467313
33,5,5,3,0.147218797444932,0.83,0.47,0.75,0.47,0.47,0.548835969057487
34,5,5,3,0.312055665911321,0.81,0.87,0.81,1.17,0.81,0.788575714878897
35,5,5,3,0.465373258508186,1.42,1.42,1.42,1.42,1.42,0.794866304083814
36,5,5,3,0.637240490499198,1.36,1.3,1.3,1.3,1.3,1.02742881239335
37,5,5,3,0.19914037386619,0.71,0.71,0.71,0.71,0.71,0.575044005191923
38,5,5,3,0.277913750009833,0.76,0.76,1.35,1.13,0.76,0.657109657351049
39,5,5,3,0.312658002419968,1.03,1.34,0.91,0.91,0.91,0.626789427702899
40,5,5,3,0.185859156861109,0.78,0.78,1.2,0.78,0.78,0.541436433986033
41,5,5,3,0.295732920591265,1.15,0.96,1.12,0.96,0.96,0.573135854639735
42,5,5,3,0.333738297014595,1,0.88,0.96,0.88,0.88,0.82342552771618
43,5,5,3,0.298077991033063,0.81,1.35,0.9,0.81,0.81,0.740636606417031
44,5,5,3,0.288430960297047,0.99,0.86,1.14,0.72,0.71,0.77548810628054
45,5,5,3,0.336945730924203,0.85,1.06,1.36,0.85,0.85,0.75394781205987
46,5,5,3,0.171841203070894,0.65,0.85,0.72,0.65,0.65,0.586497091094105
47,5,5,3,0.219085808834382,0.67,0.8,0.64,0.64,0.64,0.644171942425942
48,5,5,3,0.188053156901809,0.78,0.5,0.77,1.23,0.5,0.625228753895265
49,5,5,3,0.166672005130719,0.62,1.06,0.65,0.62,0.62,0.598864712247664
50,5,5,3,0.12148480200449,0.6,0.58,1.09,0.58,0.58,0.463332113701208
51,5,5,3,0.249508009690388,0.88,0.76,0.68,1,0.68,0.630968281120132
52,5,5,3,0.310164885775802,1.04,1,0.99,0.99,0.99,0.658787085820452
53,5,5,3,0.322860589856946,0.84,0.84,1.21,1.48,0.84,0.632013792141581
54,5,5,3,0.430909371892535,1.14,0.93,0.93,1.23,0.93,0.869541647014096
55,5,5,3,0.320446682090034,1.04,0.78,0.78,1.14,0.78,0.93353926759544
56,5,5,3,0.388762434123828,1.12,1.55,1.33,1.12,1.12,0.669267918411917
57,5,5,3,0.344874069620622,1.04,0.99,0.99,0.99,0.99,0.670467760731683
58,5,5,3,0.0952483286436731,0.73,1.03,0.7,0.53,0.53,0.374798528746432
59,5,5,3,0.30462553227341,0.94,1.06,0.94,0.94,0.94,0.56986689266486
60,5,5,3,0.149328706953416,0.77,0.53,0.92,0.57,0.48,0.560640900073514
61,5,5,3,0.511551112627355,1.41,1.41,1.41,1.41,1.41,0.775789457124758
62,5,5,3,0.263649059037536,0.7,1.09,0.88,0.7,0.7,0.836851679505133
63,5,5,3,0.456101636346376,1.15,1.51,1.15,1.15,1.15,0.665057285695421
64,5,5,3,0.434641336444359,1.04,1.04,1.09,1.54,1.04,0.851594515700982
65,5,5,3,0.147633230148429,0.67,0.76,0.67,0.67,0.67,0.465187165748216
66,5,5,3,0.0921906370743975,0.57,1.09,0.92,0.53,0.41,0.373064119975185
67,5,5,3,0.254720612129593,0.74,0.97,0.74,0.89,0.74,0.691715168503758
68,5,5,3,0.21141558379334,0.62,0.88,0.62,1.25,0.62,0.546161088174426
69,5,5,3,0.218000793652305,0.7,1.27,0.84,0.7,0.7,0.571117198865988
70,5,5,3,0.336469670067505,0.78,1.07,0.81,0.78,0.78,0.815258298806831
71,5,5,3,0.161797360383149,0.63,0.55,1.15,0.71,0.55,0.519163347979794
72,5,5,3,0.373941077475746,1.03,1.03,1.17,1.03,1.03,0.76530683088217
73,5,5,3,0.409480961994455,1.09,1.09,1.09,1.09,1.09,0.640388837408814
74,5,5,3,0.30096526002998,0.87,1.25,1.22,0.87,0.87,0.613704853782046
75,5,5,3,0.225421918947252,0.8,0.8,1.21,0.8,0.8,0.546116552536653
76,5,5,3,0.188958904987524,0.66,0.96,0.6,0.85,0.6,0.584497707324952
77,5,5,3,0.43935530468362,1.16,1.22,1.51,1.16,1.16,0.678836962344853
78,5,5,3,0.302375406348777,0.9,0.83,0.83,0.96,0.83,0.792814861554891
79,5,5,3,0.164560083110499,0.71,0.96,0.49,0.79,0.49,0.549913784420943
80,5,5,3,0.42754047923773,1.37,1.14,1.18,1.14,1.14,0.7859496439486
81,5,5,3,0.138717854515719,0.86,0.52,0.8,0.42,0.42,0.523986368723962
82,5,5,3,0.283592315115516,0.86,1.31,1.1,0.86,0.86,0.590562154382484
83,5,5,3,0.205645771686138,0.81,1.06,0.59,0.88,0.59,0.618226222025757
84,5,5,3,0.245429118374,0.81,1.16,0.65,0.94,0.65,0.69774344825724
85,5,5,3,0.180401549979361,0.68,0.64,0.98,0.64,0.64,0.634811865937379
86,5,5,3,0.207076395008954,0.72,0.81,0.72,0.72,0.72,0.556439778631414
87,5,5,3,0.265227142197589,0.8,1.15,0.8,0.8,0.8,0.623326063232071
88,5,5,3,0.287482122745307,0.88,0.89,1.14,0.88,0.88,0.662053454504173
89,5,5,3,0.472571786327924,1.14,1.14,1.14,1.14,1.14,0.851738683690603
90,5,5,3,0.196241039060973,0.86,1.23,0.81,0.65,0.65,0.546257900086508
91,5,5,3,0.550210782559096,1.34,1.32,1.32,1.32,1.32,0.902274409512042
92,5,5,3,0.466475439550724,1.22,1.2,1.14,1.14,1.14,0.755268509421548
93,5,5,3,0.863927604191798,1.59,1.59,1.92,1.71,1.59,1.00433666442273
94,5,5,3,0.370911170145571,0.94,0.94,0.94,1.03,0.94,0.841023835466187
95,5,5,3,0.314386245588232,1.21,1.1,0.9,0.77,0.69,0.824809466067882
96,5,5,3,0.349701456247265,1,1.32,1,1,1,0.73517127536362
97,5,5,3,0.286134135867866,0.91,0.91,1.06,0.91,0.91,0.69529353042782
98,5,5,3,0.211241028480106,1.04,0.73,1.05,0.66,0.66,0.666481516932773
99,5,5,3,0.176463503426556,0.86,0.9,0.53,0.84,0.53,0.599536240552697
100,5,5,3,0.211242980268842,0.74,0.74,0.97,0.74,0.74,0.621346834963322
