"Instance","N","K","L","Exp Profit","p_1","p_2","p_3","p_4","p_5","p_6","p_7","p_8","p_9","p_10","surplus"
1,10,3,3,0.46911489312499,1.16,1.16,1.16,1.25,1.16,1.16,1.45,1.16,1.16,1.16,0.72432341695295
2,10,3,3,0.389597790076091,0.92,1.12,0.87,0.87,0.87,0.91,1.24,1.17,0.87,0.87,0.956413218551959
3,10,3,3,0.239252685533012,0.82,0.58,0.72,0.87,0.6,0.54,1.3,0.62,1.13,0.54,0.771988106546273
4,10,3,3,0.944944804198145,1.76,1.76,1.79,1.76,1.76,1.76,1.79,1.76,1.76,1.76,1.11790662771429
5,10,3,3,0.445917354421467,1.03,1.19,0.86,1.38,1.15,0.86,0.86,0.92,1.13,0.86,1.01041872444825
6,10,3,3,0.453141638803455,0.94,1.08,1.18,0.95,0.94,0.94,0.98,0.94,0.94,0.94,0.926862273738331
7,10,3,3,0.245295035431095,0.93,0.85,0.73,0.8,0.73,0.73,1.03,0.73,0.73,0.73,0.65152111904683
8,10,3,3,0.325121799602052,0.82,1.11,0.93,1.17,0.82,0.82,0.82,0.98,0.82,0.82,0.831795825662078
9,10,3,3,0.299869565567738,1.03,0.72,1.13,1.05,0.9,0.84,1.04,0.72,0.72,0.75,0.749089511725881
10,10,3,3,0.238028963599111,0.66,0.63,0.66,1.22,0.63,0.93,0.63,1.19,0.63,0.63,0.763199745845867
11,10,3,3,0.585674685602342,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.54,1.29,1.29,0.838768939006869
12,10,3,3,0.541554605170546,1.31,1.31,1.31,1.52,1.38,1.33,1.31,1.31,1.31,1.31,0.810787871435594
13,10,3,3,0.29013875150761,0.79,0.88,0.79,1.12,0.79,0.95,0.79,0.89,0.79,0.79,0.768499144518551
14,10,3,3,0.704376916137549,1.6,1.54,1.54,1.62,1.54,1.54,1.54,1.54,1.54,1.54,0.966879566936839
15,10,3,3,0.287639894213416,1.06,0.76,0.88,1,0.8,1.39,1.19,0.76,0.76,0.76,0.701110928825719
16,10,3,3,0.527301479865456,1.2,1.2,1.21,1.52,1.2,1.5,1.2,1.2,1.2,1.2,0.812024934133993
17,10,3,3,0.425615868382681,1.2,1.09,1.09,1.09,1.27,1.51,1.09,1.09,1.09,1.09,0.836980863544583
18,10,3,3,0.638975678638322,1.53,1.63,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,0.83882597955987
19,10,3,3,0.670350700245767,1.3,1.3,1.3,1.3,1.3,1.3,1.39,1.3,1.3,1.3,1.05934271942414
20,10,3,3,0.216164208686104,0.87,0.65,0.86,0.55,1.05,0.55,0.7,0.92,0.55,0.55,0.682990107482492
21,10,3,3,0.71879424569265,1.42,1.43,1.42,1.42,1.64,1.42,1.42,1.42,1.42,1.42,0.963667877475962
22,10,3,3,0.250052480272862,0.87,0.85,0.75,1.19,0.68,0.68,0.68,1.18,0.87,0.68,0.725895971677551
23,10,3,3,0.312454116660696,0.86,0.96,1.25,0.98,0.91,1.36,0.86,0.86,0.86,0.89,0.671117449998056
24,10,3,3,0.411009500536219,0.99,0.87,0.97,0.87,0.87,0.87,1.39,1.01,1.31,0.87,0.933055998466498
25,10,3,3,0.526517853300733,1.18,1.18,1.18,1.18,1.29,1.53,1.18,1.18,1.18,1.18,0.821367638643829
26,10,3,3,0.466962539525804,1.06,1.37,1.21,1.06,1.44,1.06,1.06,1.19,1.06,1.06,0.862983588028772
27,10,3,3,0.20619311224708,0.89,0.58,1.07,0.58,0.98,1.28,0.81,0.92,0.76,0.58,0.56983958129491
28,10,3,3,0.573432131019621,1.25,1.25,1.25,1.25,1.35,1.25,1.33,1.25,1.25,1.25,0.867446833982793
29,10,3,3,0.249817259241117,0.69,0.97,0.77,0.67,1.07,0.6,0.81,0.65,0.6,0.6,0.792315681379972
30,10,3,3,0.419157319118277,1.05,0.92,0.92,0.98,1.48,0.92,0.92,1.31,0.92,0.92,0.940899104167155
31,10,3,3,0.344313199643715,1.22,0.9,1.26,0.84,1.14,0.84,0.84,1.28,1.01,0.84,0.754545728438964
