"Instance","N","K","L","Exp Profit","p_1","p_2","p_3","p_4","p_5","p_6","p_7","p_8","p_9","p_10","p_11","p_12","p_13","p_14","p_15","p_16","p_17","p_18","p_19","p_20","surplus"
1,20,3,3,0.522285472291936,1.07,1.08,1.18,1.24,1.35,1.12,1.07,1.07,1.2,1.07,1.16,1.09,1.58,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.0395698038429
2,20,3,3,0.672347322846442,1.26,1.45,1.26,1.26,1.54,1.44,1.39,1.26,1.26,1.57,1.26,1.26,1.36,1.26,1.51,1.26,1.26,1.26,1.26,1.26,1.09095460225279
3,20,3,3,0.508010561326086,1.13,1.13,1.32,1.13,1.2,1.13,1.13,1.13,1.36,1.18,1.23,1.13,1.59,1.36,1.13,1.13,1.13,1.13,1.13,1.13,0.868547451362751
4,20,3,3,0.58468262335004,1.09,1.09,1.17,1.35,1.26,1.09,1.09,1.13,1.29,1.09,1.09,1.34,1.21,1.09,1.09,1.39,1.09,1.18,1.09,1.09,1.10582753897197
5,20,3,3,0.327379576538147,0.93,0.98,0.88,0.74,0.74,0.9,0.97,0.74,0.74,1.2,1.11,0.74,0.84,0.74,0.95,0.74,1.22,0.83,0.74,0.74,0.908407990111473
6,20,3,3,0.567846700749349,1.11,1.21,1.11,1.22,1.11,1.11,1.11,1.25,1.36,1.23,1.58,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.08994810434128
7,20,3,3,0.913822633763173,1.6,1.61,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.82,1.6,1.98,1.82,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.11870614985675
8,20,3,3,0.488591424606598,1.06,1.06,1.1,1.18,1.06,1.06,1.11,1.06,1.4,1.5,1.14,1.54,1.06,1.06,1.06,1.08,1.06,1.06,1.06,1.06,0.888286686655059
9,20,3,3,0.66059503015924,1.31,1.31,1.31,1.5,1.31,1.55,1.41,1.31,1.31,1.4,1.5,1.31,1.33,1.31,1.31,1.31,1.48,1.31,1.34,1.31,0.979707729841433
10,20,3,3,0.815073209191697,1.53,1.53,1.61,1.53,1.68,1.53,1.53,1.61,1.53,1.53,1.53,1.71,1.67,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.11763178443302
11,20,3,3,0.416034384189721,0.92,0.92,0.92,1.06,0.92,1,0.96,0.92,0.92,0.92,0.99,1.16,0.92,0.92,1.12,0.99,0.92,0.92,0.92,0.92,0.959442620113655
12,20,3,3,0.614215850093209,1.25,1.22,1.22,1.22,1.25,1.22,1.22,1.22,1.27,1.57,1.22,1.27,1.66,1.22,1.26,1.22,1.22,1.22,1.22,1.22,1.10748228951351
13,20,3,3,0.451161291720772,0.96,1.02,1.14,1.11,0.96,1.23,0.96,1.15,1.06,0.96,1,0.96,1.51,1.2,0.96,0.96,0.96,0.96,1.02,0.96,0.983611393745565
14,20,3,3,0.673668951076666,1.3,1.3,1.3,1.46,1.3,1.3,1.3,1.3,1.3,1.3,1.5,1.57,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.04919543122966
15,20,3,3,0.531362088854584,1.12,1.12,1.23,1.12,1.12,1.12,1.12,1.27,1.12,1.12,1.12,1.35,1.12,1.23,1.12,1.12,1.12,1.12,1.12,1.12,0.938696688882375
16,20,3,3,0.539578102449618,1.15,1.2,1.03,1.03,1.24,1.44,1.33,1.03,1.24,1.03,1.05,1.03,1.03,1.27,1.16,1.03,1.03,1.03,1.03,1.03,1.03545265505693
17,20,3,3,0.656047841734879,1.43,1.43,1.43,1.43,1.51,1.57,1.5,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,0.917613868741522
18,20,3,3,0.614867606928792,1.33,1.33,1.33,1.42,1.33,1.33,1.33,1.45,1.44,1.33,1.65,1.33,1.33,1.71,1.43,1.33,1.33,1.33,1.33,1.33,0.88215970648184
19,20,3,3,0.838533952480604,1.54,1.54,1.54,1.54,1.54,1.71,1.54,1.66,1.54,1.54,1.54,1.59,1.54,1.55,1.54,1.54,1.54,1.54,1.54,1.54,1.09373579069492
20,20,3,3,0.229179736976621,0.73,0.86,0.73,0.83,0.8,1.01,0.63,1.11,0.66,1,0.76,0.85,0.64,0.61,0.61,0.67,0.61,0.61,0.78,0.61,0.75410257319034
21,20,3,3,0.499052187252652,1.08,1.35,1.32,1.19,1.08,1.24,1.1,1.3,1.08,1.08,1.08,1.08,1.08,1.29,1.08,1.09,1.08,1.08,1.08,1.08,0.913798660802874
22,20,3,3,0.517526074965473,1.05,1.09,1.05,1.05,1.05,1.26,1.05,1.05,1.05,1.05,1.3,1.07,1.05,1.05,1.53,1.32,1.17,1.05,1.05,1.05,0.979778307303072
23,20,3,3,0.350936385624758,0.81,0.95,0.81,0.78,0.88,0.74,0.74,0.74,0.74,1.14,0.74,1.28,1.05,0.74,0.74,0.74,0.97,0.93,0.74,0.74,0.898297885844318
24,20,3,3,0.6766974736912,1.36,1.27,1.3,1.4,1.27,1.51,1.27,1.33,1.61,1.35,1.27,1.34,1.31,1.27,1.36,1.27,1.27,1.27,1.27,1.27,1.10258085008226
25,20,3,3,0.25820770508345,0.67,0.63,0.77,1.02,0.7,0.62,0.62,0.82,0.91,1.12,1.24,0.76,0.82,0.62,0.65,1,0.62,0.62,0.62,0.62,0.796443777724413
26,20,3,3,0.428943199900736,1,0.93,1,0.85,0.95,0.85,1.06,0.87,0.85,0.85,1.05,1.25,1.4,0.88,0.85,0.85,1.09,0.91,0.85,0.85,1.06977477434875
27,20,3,3,0.4796337632783,1.07,0.97,0.97,0.96,0.99,0.96,1.32,0.96,0.96,0.96,1.09,1.31,1.13,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1.07171396711454
28,20,3,3,0.523580761475718,1.03,1.03,1.16,1.03,1.03,1.35,1.03,1.27,1.03,1.52,1.19,1.03,1.06,1.03,1.03,1.03,1.34,1.03,1.08,1.03,1.02404370692936
29,20,3,3,0.502563437412524,1.1,0.95,1.13,1.38,0.95,0.95,0.95,1.11,1.06,1.42,0.95,0.95,1.41,1.25,1.4,1.03,1.16,0.95,0.95,0.95,1.04805145736333
30,20,3,3,0.489173052636256,1,1.11,1,1.31,1,1.4,1,1.32,1.38,1,1.04,1.28,1.14,1.2,1.14,1,1,1,1,1,1.02339232341616
31,20,3,3,0.558772400424776,1.08,1.06,1.04,1.04,1.08,1.4,1.21,1.04,1.04,1.19,1.06,1.04,1.04,1.52,1.48,1.04,1.04,1.04,1.04,1.04,1.12247371364721
32,20,3,3,0.284535404659509,0.78,0.84,0.66,0.78,0.63,1.02,1.12,0.65,0.63,1.07,0.63,0.87,0.63,0.7,0.63,0.87,1.12,1,0.63,0.63,0.842388249467351
33,20,3,3,0.52468257713313,1.06,1.12,1.06,1.06,1.25,1.15,1.06,1.23,1.06,1.06,1.06,1.25,1.45,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.08874827208428
34,20,3,3,0.2613406571826,0.69,0.74,0.81,0.91,0.62,1.09,0.62,0.84,0.9,0.8,0.62,0.62,0.89,1.04,0.62,0.62,0.66,0.81,0.62,0.62,0.782516572190542
35,20,3,3,0.546965304276527,1.14,1.17,1.12,1.12,1.2,1.13,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.23,1.51,1.38,1.12,1.12,1.12,1.12,0.971636264054355
36,20,3,3,0.36343937854221,0.83,0.83,1.1,0.85,1,0.83,1.12,0.83,1.24,0.83,0.98,0.83,0.83,0.83,0.83,0.83,1.2,0.83,1.01,0.83,0.849280983711041
37,20,3,3,0.533269551049929,1.16,1.3,1.13,1.19,1.17,1.13,1.13,1.19,1.39,1.13,1.13,1.13,1.13,1.13,1.13,1.39,1.13,1.13,1.13,1.13,0.997579700013887
