"Instance","N","K","L","Exp Profit","p_1","p_2","p_3","p_4","p_5","p_6","p_7","p_8","p_9","p_10","p_11","p_12","p_13","p_14","p_15","p_16","p_17","p_18","p_19","p_20","surplus"
1,20,1,3,0.214689510286473,0.735895328171453,0.63672908809928,0.956534612480251,1.05851002305008,0.71820956811351,1.14665909007907,0.86929894826782,0.696535942205501,0.917346075498547,0.598825905265656,0.714333998520837,0.55382846722234,0.796547657195459,0.6323374575121,1.11434457344581,1.26769681147605,0.578284447893727,0.553025842394723,0.790472873183723,0.512251214268255,0.610252283507846
2,20,1,3,0.221982665067833,0.790556852443725,0.699798580011217,0.909992707729646,1.16733833340157,0.660127738811683,1.11441303419677,0.992854099474782,0.631786762473765,0.623121226040395,0.618065338081348,1.31390268581939,1.06110782741717,1.25109105463545,0.986243713990077,0.663202399963686,0.546270431807496,0.990313328072961,0.897671435412815,0.661443024936864,0.621144884554234,0.556677155848619
3,20,1,3,0.220978063434063,0.702321649113467,0.631587457624734,0.688788911150059,0.613397884025892,1.07149508892078,0.993025601612102,0.667115316604609,0.874274049056779,0.570360005302198,0.666901069424899,0.562821772857525,1.08689469453246,0.666293888929844,1.07308314946551,0.812524427650305,0.611610276630796,0.504384724677143,0.478420457070685,0.582775289331686,0.654339274097449,0.697602835144434
4,20,1,3,0.334856212166489,0.870171990535785,0.726190468930744,0.849785028914056,1.03832298138233,0.613139696044465,1.05761478699607,0.871390287136136,0.979096569620819,1.14370784037964,0.720862201567828,0.871090190532522,0.58984295671419,0.686964620613932,0.968833213999196,0.891252891886013,0.578716179011136,0.659323672564547,0.772861936696542,0.5414792617688,0.595950336591894,1.15005304075723
5,20,1,3,0.223147558487301,0.8572306893138,0.831416230280659,0.811490181997902,0.873804734411392,0.775485975606097,0.634957063046339,0.821631156754516,0.91894788498135,0.662793085557841,0.655360899264385,0.648110154426814,1.01945184663936,0.646116172443818,0.74940179662826,0.989151439714292,0.625969193336944,0.486632361977391,0.585604332267498,0.823685674812262,0.552970123066989,0.663789151900944
6,20,1,3,0.257780248193867,0.868981740746908,0.921511753460814,1.01935748811657,0.816464203161232,1.02040714582302,1.00959433030096,0.89694412399256,0.751362332093088,0.668449719945284,0.895663339106534,1.10978521676232,0.884502369520311,0.704376042876157,0.996129000851385,0.588478135644731,0.84684693226918,0.602980292572233,0.770810216499275,0.730579961560078,0.596638933357668,0.68464591201472
7,20,1,3,0.302692393682818,0.768742705397677,0.789415774726729,0.883967152747643,0.852515406544878,0.938887781516793,0.760369701032692,0.931811576914915,0.670450675283442,0.935411585709774,0.682037333643861,0.925570608633641,0.698762676933288,0.563014031290836,0.847598006922453,0.662378573371016,0.624188724507451,0.974393942497387,0.620958333722032,0.632392347208212,0.587205091948975,0.929844134098301
8,20,1,3,0.373143991718287,0.864716538887029,0.742661513822792,1.00803167364746,0.731510226994197,0.820459804153093,1.11302299405576,0.989354507614175,0.638223461837811,1.08756855738099,1.26590029968161,0.822449806217299,0.655677176594042,0.612372197638361,0.766888635176904,0.962319528502124,1.10854514425828,0.739243861447474,0.613029359712295,0.947380588226118,0.57918797138973,1.2643762403537
9,20,1,3,0.315076721451743,0.805027725430295,0.803053437245167,1.15047438562389,0.728118867179991,0.793797125626437,1.12952801236244,1.03985523320645,1.29339226940451,0.713840196096867,1.14149216208238,0.663066212763329,1.0085433147752,0.82300576854616,1.24974500790147,0.889665137577322,0.655588531822297,0.620665438338333,1.1081148762475,0.588132380430011,0.791969639197287,0.850659291649417
10,20,1,3,0.439658082331227,1.112641004925,1.02150954019347,0.776883732567854,0.848159418650249,0.965523911755519,0.768612762422831,0.817421345437878,1.06645898415974,1.25938931438764,1.13530028002125,1.27615545598762,0.852663849357878,0.679983711120258,1.1720017387714,0.936141224164788,0.854637854444849,0.670115620132197,0.834073872763092,0.806951897950497,0.698277152218915,1.19689779782748
11,20,1,3,0.337436143413127,0.81434064080556,1.05541961018935,0.737343130968175,1.14464460772078,1.00777143362986,0.920551724373318,0.596802749951112,0.6876377588228,1.1593535402517,0.593813855823041,0.926479548680352,0.811110377278507,0.593282898266155,0.548590937860079,0.726786174653766,1.1728495833594,0.938697267297987,1.09073271083773,0.537570184102356,0.602460352332198,1.16682215098366
