Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,p.P1,p.P2,p.P3,p.P4,p.P5,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,a.P1,a.P2,a.P3,a.P4,a.P5,b.1,b.2,b.3,b.4,b.5,gamma0,gamma1,eta0,eta1
0,5,1,3,0.3564826525553977,0.20624671042411113,0.3204912270527692,0.25181786352271335,0.03596080955942174,1.0,0.775,0.55,0.325,0.1,0.5,1.0,0.5,0.5,0.5,0.26979437563617326,0.37491742481647594,0.3773813292291015,0.3780469321326465,0.3874324888080669,2.513612213521136,2.801425455197311,3.1010313487546446,3.372178968374013,3.8759438054560955,1.898048380521246,0.21396546439279573,1,1
1,5,1,3,0.32141547632910245,0.6280830578168068,0.33112226993615174,0.058510296958000176,0.285499258266487,0.775,1.0,0.55,0.1,0.325,1.0,1.0,1.0,0.5,0.5,0.28694478572242554,0.4918844716043934,0.2185999928074264,0.3902180684984565,0.43905835510062297,3.4183833041028926,4.100517089872448,2.7968946773071184,4.855689716055392,3.2797048820360803,1.3211315941641364,0.15221743623438558,1,1
2,5,1,3,0.3118190626738112,0.34241717426015184,0.23781461851315966,0.21083910116219087,0.06062353888321368,1.0,0.775,0.55,0.325,0.1,0.5,1.0,1.0,0.5,0.5,0.35359548228285487,0.29363532941120085,0.327978398916111,0.3747911490540127,0.47424070214898917,4.145040051966378,4.71566029341561,4.956778224228615,4.837958368344201,4.375295438419727,1.5175610479098791,0.5374262663707688,1,1
3,5,1,3,0.36020228018129674,0.4184175225477961,0.13193551892296096,0.3681532342195648,0.06635280214106025,1.0,0.775,0.325,0.55,0.1,1.0,0.5,0.5,0.0,0.0,0.4712629809900942,0.2000265601793634,0.4569020915392323,0.35323996173751304,0.2969234271447956,4.2663168244383005,4.630243356404431,2.5972500503854303,4.600530728724914,4.373950913551721,1.7516055843286373,0.7235013583749874,1,1
4,5,1,3,0.6494122768211679,0.4763582548231105,0.12339154138917036,0.48101265750664546,0.038650346577968085,1.0,0.775,0.325,0.55,0.1,0.5,1.0,1.0,1.0,0.0,0.4267091902485118,0.2962785682845719,0.22564416035676074,0.3214133002658631,0.4188623491231133,4.607067575211206,4.3045199297154095,4.406792159234741,4.505592592038337,3.9607033179760185,1.9778516150185839,0.9779485257405084,1,1
5,5,1,3,0.29317049940876005,0.20781242208694484,0.3346100922004241,0.04330473938056173,0.2790700485873839,1.0,0.775,0.55,0.1,0.325,0.5,0.5,0.0,0.5,0.0,0.2654733956043458,0.48358629423512034,0.4339273736054017,0.44683660851969453,0.4945343225338562,3.5373476582053747,4.044561016469131,3.208517200093117,3.116861561084722,4.754560301772258,1.1451606237408378,0.8643961172237997,1,1
6,5,1,3,0.3093346324662473,0.33470558610986445,0.15549316063112986,0.8770853935384455,0.040306494848067365,0.775,0.55,0.325,1.0,0.1,1.0,0.0,1.0,0.5,0.0,0.3210230602869638,0.47530917221641933,0.40847660999947133,0.36163309079831363,0.3687674448348769,4.375159340417655,3.290605130914083,3.9375256025887992,4.407823946613493,4.106764056124038,1.1820139759631236,0.2855364635150207,1,1
7,5,1,3,0.3007008284560664,0.33922304701472616,0.17945236679404086,0.15981639215219437,0.031601646204403144,1.0,0.775,0.55,0.325,0.1,0.5,0.5,0.5,1.0,1.0,0.3667359509503971,0.21935286645011282,0.3510341046584896,0.3891710566378582,0.35146300214744475,2.2316379771918875,3.371075993933069,3.4010389352496686,4.766203786860082,4.044722328307165,1.3408948164894121,0.45290301233055186,1,1
8,5,1,3,0.36583947889438706,0.2952505464346856,0.08435117356030566,0.39483492288233785,0.07545136795721763,1.0,0.775,0.325,0.55,0.1,1.0,0.5,1.0,0.5,0.0,0.25630170859763945,0.4611888783104407,0.36261926578121034,0.4595931537639652,0.42683089395690127,2.0095025679882856,3.2406266145551523,2.4479533445413164,2.398367034156275,4.498581235502379,1.349385461063968,0.7947484530189715,1,1
9,5,1,3,0.43033594981984424,0.4565009438345319,0.32137214534361375,0.22674105722959662,0.05935958715140926,1.0,0.775,0.55,0.325,0.1,1.0,0.5,0.0,0.5,0.5,0.26536270767455605,0.4428880574607144,0.39977867782513077,0.3307530318592156,0.3973591638486135,3.637346450646259,2.124587433224473,3.082438535398553,4.292224293629735,3.357036872532607,1.4951452786781307,0.2550358576406162,1,1
10,5,1,3,0.31961122846373924,0.23346719141410255,0.23426165247661002,0.24659788895449528,0.07128887172193701,1.0,0.775,0.55,0.325,0.1,1.0,1.0,0.5,0.5,0.0,0.30755204130905356,0.37942836804220376,0.3497543366210754,0.42991495616358477,0.3945670053175143,2.2804445595902183,3.7716514244888177,3.2819296268548643,3.135942898566617,2.6767237708044505,1.102347899497179,0.8729694521918934,1,1
11,5,1,3,0.5527463096583398,0.46706442116343166,0.4011134119898087,0.2802023711911426,0.058281113497560426,1.0,0.775,0.55,0.325,0.1,1.0,0.5,1.0,0.5,1.0,0.4699469782783487,0.22990554279658706,0.265738350244399,0.2324568601038692,0.45422863379169903,3.4102101723158067,3.6387719905355027,4.966761856571506,2.3308753179794173,4.426080950547677,1.130446861015093,0.9552268733038356,1,1
12,5,1,3,0.31673323181605473,0.3189519565864872,0.16818926688462488,0.025777812084604793,0.28132166602169295,1.0,0.775,0.55,0.1,0.325,0.5,1.0,0.0,0.5,1.0,0.2739973420623284,0.29603272526222724,0.24818346477893863,0.4624514125956842,0.3841390111786439,4.693641321350206,3.023739199621284,2.1544354391155127,2.3267828745558945,3.402681617965209,1.8371888061890251,0.11890607845701305,1,1
13,5,1,3,0.2985645477103214,0.6380075731690065,0.26438475133184525,0.15837509850684175,0.06659268448137216,0.775,1.0,0.55,0.325,0.1,0.5,1.0,0.0,0.0,1.0,0.4151139246122035,0.2901270788363428,0.38964393842227363,0.3563844764899071,0.4351079087786688,3.8140501504819104,4.435351776174864,4.144427095395985,4.0845576832706065,4.984142124171429,1.4073303340570176,0.6842878921896914,1,1
14,5,1,3,0.6056717814225032,0.5204802852016043,0.16562738415289094,0.4416487307514318,0.06823241090756135,1.0,0.775,0.325,0.55,0.1,1.0,1.0,0.5,1.0,0.5,0.4472648649305517,0.29580486367094233,0.36144489823512005,0.37673401065711243,0.3449839387327902,4.076626618054445,3.8688059227689076,4.659015192291678,3.6672864296194323,3.3097382093325787,1.2467209563809205,0.4651029420575421,1,1
15,5,1,3,0.20842717371328845,0.5152829873570786,0.24293605776561422,0.14563461655174426,0.03638483291635755,0.775,1.0,0.55,0.325,0.1,0.5,1.0,1.0,0.0,0.5,0.483096407061971,0.2588167387458927,0.30542111484867673,0.3939596625220151,0.263493392339943,3.9530650551021145,2.4574140492203727,2.572171645569002,3.788741367783037,4.431925662945859,1.8197669450382565,0.13811562029819072,1,1
16,5,1,3,0.5421951969228542,0.3239021548408981,0.5685879790775192,0.22395422961850328,0.049013374534024906,1.0,0.55,0.775,0.325,0.1,1.0,0.0,0.5,0.5,0.5,0.4099428543753974,0.28146003698820704,0.23424696528641395,0.3357062500842406,0.3324957364788265,3.0794893307854614,2.526973186371416,2.1057077069174426,2.1562408117669616,4.8080911190309354,1.9238558783759996,0.2530129825061015,1,1
17,5,1,3,0.4831841774028667,0.46728856268746705,0.34039522303834874,0.17955464240474633,0.0784500387673646,1.0,0.775,0.55,0.325,0.1,1.0,1.0,0.0,0.5,0.0,0.2912554576870717,0.35062966980019344,0.327925982507869,0.24015027174131465,0.4731250693367311,2.4750586987543737,2.540609860381165,2.4663183617686393,2.241261184619085,2.9309239108334357,1.097570208807947,0.8829957772135388,1,1
18,5,1,3,0.6705801245176721,0.524968222206264,0.3403100512067275,0.2044804729249403,0.05866725128518057,1.0,0.775,0.55,0.325,0.1,1.0,0.0,1.0,0.5,0.0,0.46126816468043197,0.3010800847681867,0.3513220939989114,0.49170272307896484,0.3207491340513953,2.5104283632748428,2.242694628434787,4.958158703265806,2.876693734611435,2.4720981211755944,1.4496401605845934,0.14990900772404625,1,1
19,5,1,3,0.4460151396359372,0.48020070624194633,0.34245612321942337,0.17351915524850384,0.034217298058841744,1.0,0.775,0.55,0.325,0.1,1.0,1.0,0.5,0.5,0.5,0.29918103499859505,0.33179290353056695,0.2707401469165854,0.4947660197714814,0.49871911162760335,2.345663909724843,4.282454953582127,3.4721682744790483,4.841359213494721,4.1622691229435596,1.4268057876317621,0.5979641679604766,1,1
20,5,1,3,0.5354769610747603,0.10952389768999354,0.5943591518768211,0.4440000733511672,0.04697991490924992,1.0,0.325,0.775,0.55,0.1,0.5,0.5,1.0,0.0,0.0,0.21645047908971082,0.38404101129055557,0.44751137624506543,0.40197306412489886,0.4005522258128994,3.403601117239572,4.579000866003579,2.1776395301271276,4.443192196335863,3.416512087079719,1.161795263793486,0.6702096289222021,1,1
21,5,1,3,0.1949358317327996,0.2057209977508765,0.841371151575058,0.1705498050277243,0.025155074380901213,0.775,0.55,1.0,0.325,0.1,1.0,1.0,1.0,1.0,0.5,0.22476793899711528,0.3524756354413736,0.4915144765375205,0.4269540528738681,0.3022710986616223,3.8042656635951806,2.6788138307057503,4.236402366666314,4.5861853988087695,4.204988027434333,1.5957847559465526,0.2784012158240631,1,1
22,5,1,3,0.4967555408988027,0.3193598071268085,0.3091659126493799,0.2645946019222041,0.06644120837600433,1.0,0.775,0.55,0.325,0.1,0.5,0.5,0.0,0.0,0.0,0.3483096607780254,0.2540544081492571,0.34679066578372864,0.37882943438417027,0.2538932716505218,2.717027501782511,3.529612689374507,2.430872120400309,2.3011350014408194,4.704107556540322,1.0016888035260578,0.564068629351516,1,1
23,5,1,3,0.5744950888914524,0.5766025822945289,0.3554556927668784,0.23969124615273188,0.07273509110863854,1.0,0.775,0.55,0.325,0.1,1.0,0.5,0.5,0.5,0.0,0.4621013283523237,0.3106120778245446,0.3500649254195043,0.25377455206574345,0.2749807923488283,2.7173457253230753,3.4625897861236083,3.2326067330191934,2.864392903078743,4.311492536884328,1.563285139335866,0.14940222807029416,1,1
24,5,1,3,0.34895436276599545,0.36579689269589666,0.3128355451296167,0.037541795432905256,0.27631503807277047,1.0,0.775,0.55,0.1,0.325,1.0,1.0,0.5,0.5,0.0,0.22905288668526502,0.3814693066684475,0.4367576884558322,0.4449733658709649,0.28043999031230626,4.600473359136975,4.450582596980446,2.818269742292149,4.226096392479886,4.094971416046041,1.9950095697882633,0.69685876260579,1,1
25,5,1,3,0.28805670733811706,0.3928754124595919,0.17233021858225495,0.27499754231615475,0.0527105703808514,1.0,0.775,0.55,0.325,0.1,0.5,0.5,0.5,0.5,0.5,0.20306381357498554,0.3383911557280247,0.35536871093732925,0.3812820270578253,0.47280356378062904,3.95389462642088,2.7808809361057683,3.3788463458352296,4.139377285025599,2.1794719092494415,1.0723270041483575,0.18939842431937098,1,1
26,5,1,3,0.27072368961360277,0.7715329132126744,0.5478327735890884,0.10514501716338523,0.036213528878041815,0.55,1.0,0.775,0.325,0.1,0.0,1.0,0.5,0.0,0.5,0.39294107739988493,0.43694205165965294,0.4839335100544596,0.39121058634993117,0.22745384895846388,2.238621270649479,3.2840698766205527,3.024721724648126,2.4862241186315206,2.4787676017281344,1.5874407214161788,0.8892769404072202,1,1
27,5,1,3,0.3087747790827363,0.5721529412020654,0.14172596355374656,0.368642162373723,0.05652435595557625,0.775,1.0,0.325,0.55,0.1,1.0,1.0,0.0,0.5,0.5,0.23434353421052903,0.2888823611328598,0.46710372706170145,0.4303756493319658,0.2894886628229975,3.7274278961973386,4.347354463564887,3.7323249120109865,2.6666353417111517,2.39114060442774,1.9678572980184876,0.5510349880808417,1,1
28,5,1,3,0.3448611079569268,0.2518645223332736,0.17128049440156523,0.13938064801494263,0.041316451614043063,1.0,0.775,0.55,0.325,0.1,0.5,0.5,0.0,0.5,0.0,0.47237038143351323,0.3749805660100836,0.4248403571255576,0.4512196451711173,0.40880933933828445,3.0653178780702546,2.6736463659998706,3.579281746872189,2.0601872543903155,4.813165639147181,1.005118235893448,0.7893891862253829,1,1
29,5,1,3,0.5209701844023112,0.3780921747848733,0.8993906379978418,0.036598732899833536,0.2645945605765356,0.775,0.55,1.0,0.1,0.325,1.0,0.0,0.5,0.0,0.0,0.47904816053143556,0.3248789882155002,0.3274377460548804,0.2103132729077914,0.2503003040858957,3.802046378495796,3.6751052191461318,3.248649873405598,2.9195737739830623,4.337856851085613,1.5285319119666367,0.9125194810318487,1,1
30,5,1,3,0.5084328495070369,0.1698417320425039,0.5639507183603073,0.15701333995126687,0.06552218048235359,1.0,0.55,0.775,0.325,0.1,0.5,0.5,1.0,0.0,0.5,0.38798369123878973,0.4818952811416795,0.4105554422688129,0.2754098058027679,0.2205599502013092,4.655235076071877,4.963686823291106,3.828349579168518,2.451326204148251,3.4750563036728845,1.8674365023827928,0.9015489792575211,1,1
31,5,1,3,0.2756119081161542,0.6662303843779216,0.43474569270313623,0.2653351938648945,0.04533353803021543,0.775,1.0,0.55,0.325,0.1,0.5,0.5,1.0,0.5,1.0,0.32675067801839275,0.42390046031257234,0.49620949626920635,0.3165767384510077,0.29060986368625313,4.7757201616834415,2.0091227346216387,2.689485836395551,2.673738359146041,4.888256516904528,1.1076466280549038,0.2680990722091263,1,1
32,5,1,3,0.4257636999332744,0.10149066111048771,0.8686389742201593,0.026153246925902582,0.48142959989848483,0.775,0.325,1.0,0.1,0.55,0.5,1.0,1.0,0.0,1.0,0.322551483883778,0.26588447111101304,0.3221373774412126,0.20369808327701633,0.39126036536454345,2.7438602907323135,4.580263486279367,3.058450460008146,4.39943814712414,3.7977752745788704,1.410125797475509,0.9930129905003823,1,1
33,5,1,3,0.301461470407687,0.7729743825272289,0.11756291153337506,0.3849739854075951,0.03508899856899601,0.775,1.0,0.325,0.55,0.1,0.5,0.5,0.0,1.0,0.0,0.20576082986098904,0.4539961527782443,0.3104454297889164,0.4679820924762714,0.24483965600176782,2.1104618410138203,3.455449830497283,4.304324796058161,3.9295519737963924,3.645504464935377,1.43943499789391,0.5792205001634059,1,1
34,5,1,3,0.3797594521139631,0.30405860091327674,0.19253443712977625,0.48152496116908866,0.06362472105266298,1.0,0.775,0.325,0.55,0.1,0.5,0.5,1.0,0.0,0.5,0.3966397260191171,0.2129916926623103,0.25618368405419917,0.2146887620924024,0.4318428138569925,3.9910988447286404,2.45241647933748,2.769879151455233,4.15760629364029,4.721209818998854,1.3696232017450019,0.790419133408794,1,1
35,5,1,3,0.49034763543856286,0.4305747207655236,0.2384352546690911,0.12333353856262869,0.05736225693384145,1.0,0.775,0.55,0.325,0.1,1.0,0.5,1.0,0.0,0.0,0.2569820729035727,0.30417748652854154,0.2964631283975854,0.21462740506664335,0.47019249697081483,2.2528159814365893,4.00377130213866,3.2962308295107188,3.669927843631874,4.036559749952542,1.5600456293708067,0.1274316581241831,1,1
36,5,1,3,0.3509192523305825,0.5177084921078163,0.3589638022066118,0.1767078401989095,0.07513605560443165,1.0,0.775,0.55,0.325,0.1,0.5,1.0,0.5,0.5,0.5,0.25241286985851386,0.26223673701620365,0.3941757945739909,0.44879463368226924,0.48044115733038467,3.053366330063163,4.496737467636802,2.5154554201016195,2.486237360405938,2.8636947715050027,1.5866957619045667,0.6094444901263878,1,1
37,5,1,3,0.39341671509593645,0.4735627907314367,0.289300593546582,0.1808449292816257,0.030982442806612553,1.0,0.775,0.55,0.325,0.1,0.5,1.0,0.0,0.5,0.0,0.2618781409015952,0.298071671087224,0.41977578592216047,0.45843798659742724,0.3711098202207724,4.0042290381104015,2.176952485437388,4.336910935704772,4.686211918271857,4.779591064671958,1.285958299286309,0.6259985571521328,1,1
38,5,1,3,0.41702773869085463,0.20718487251143522,0.8994005663124763,0.6935128882243811,0.08865024150112116,0.55,0.325,1.0,0.775,0.1,0.0,0.5,0.5,1.0,0.5,0.3064199331815253,0.27723008118155845,0.32111823745315116,0.31839969570286925,0.329902114881665,2.406713833885199,2.359294906855164,3.9216389922677255,2.153403244407708,4.1023407990030405,1.3011390840041366,0.7754963959145484,1,1
39,5,1,3,0.5990476197109389,0.3039421713873078,0.5613161384760416,0.22655341474022275,0.04065868778066448,1.0,0.55,0.775,0.325,0.1,0.5,0.0,0.5,0.0,0.5,0.4350227428762298,0.29982691138126893,0.3082942006631174,0.306578421678864,0.3943485412675528,2.6476009491579964,2.1762096449904855,4.3470197718062344,2.3357956595257754,3.817821134363612,1.691327079447286,0.7715486899462431,1,1
40,5,1,3,0.6733356426102952,0.5149534830630851,0.204738042272892,0.43370743422222574,0.05023856749224495,1.0,0.775,0.325,0.55,0.1,1.0,0.5,0.0,1.0,0.5,0.35053267238504054,0.3541283797834046,0.47063292602414,0.21984386960376512,0.20523301291111753,2.7156088643658123,2.2469253064375887,2.586155414747586,4.02987602630739,2.8993611193351727,1.7938763148918901,0.5098581140484262,1,1
41,5,1,3,0.7137340417075932,0.2919270882122462,0.642277386709544,0.19523777016388577,0.08200515984190973,1.0,0.55,0.775,0.325,0.1,0.5,0.5,0.5,0.5,0.0,0.3928248589557127,0.41230756356671094,0.31274489968401614,0.34808175745570247,0.4781650998762533,3.390299820263632,3.959906146518991,4.812763823343143,2.169707789517273,3.5575577311621935,1.233707931724953,0.3055187767383774,1,1
42,5,1,3,0.3073020178999335,0.3441486670591573,0.41191803560075924,0.23659760386337694,0.07948954920026774,1.0,0.775,0.55,0.325,0.1,0.5,0.0,0.5,0.5,0.0,0.3079498838664073,0.48701326800111644,0.43184068419812194,0.21649024305631742,0.47529543694273646,2.9358719944800775,3.461459002670626,3.832382520182307,4.85893134449595,4.186322815272236,1.002839477325343,0.45319474657768444,1,1
