Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,p.P1,p.P2,p.P3,p.P4,p.P5,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta2.P1,theta2.P2,theta2.P3,theta2.P4,theta2.P5,theta3.P1,theta3.P2,theta3.P3,theta3.P4,theta3.P5,a.P1,a.P2,a.P3,a.P4,a.P5,b.1,b.2,b.3,b.4,b.5,gamma0,gamma1,gamma2,gamma3,eta0,eta1,eta2,eta3
0,5,3,3,0.43444027662205986,0.28518130486760446,0.5801191813700257,0.13710278840163823,0.07535284139714599,1.0,0.55,0.775,0.325,0.1,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.4603989348477477,0.4385303368373517,0.3945924820093971,0.2818751358089956,0.4771408192114908,4.048746311949622,3.3490439336515982,4.226663288014749,4.679584110724118,3.480292127713614,1.4663021582931826,0.18632168711879832,0.18632168711879832,0.18632168711879832,1,1,1,1
1,5,3,3,0.2557942893731969,0.17210712181531995,0.8246231472474533,0.20220147800440608,0.07801336378830057,0.775,0.55,1.0,0.325,0.1,1.0,0.0,0.5,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.4796377066718495,0.44269606528448996,0.3232722193121039,0.2780199976233381,0.4101029911278926,3.453783672132995,2.3561067766561066,3.0907234138533815,3.023601562607655,4.668397075144798,1.0285545640757996,0.2477631391242908,0.2477631391242908,0.2477631391242908,1,1,1,1
2,5,3,3,0.42899259084899055,0.35739094022976886,0.8078734669910398,0.20104957887754565,0.041301078203458796,0.775,0.55,1.0,0.325,0.1,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.0,0.0,0.3745773583492916,0.2344515792924235,0.3335557379050018,0.4543797192436526,0.21701118607696346,4.092187046397823,2.057617180296385,2.9372974629660598,2.9680245404568764,4.528764758641236,1.4805207090805403,0.23965164676869422,0.23965164676869422,0.23965164676869422,1,1,1,1
3,5,3,3,0.3996063293319907,0.36230264637987697,0.22164993833918567,0.10493477865316467,0.0347130702451981,1.0,0.775,0.55,0.325,0.1,1.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.0,1.0,0.5,0.0,0.5,0.5,0.21483547291509064,0.4075873265212888,0.25154733830438875,0.2279098307450786,0.26091389558279193,3.3156723227678113,4.443140634918861,2.4577228918823426,2.471950605828045,3.3033533758159925,1.2714111939254025,0.37415468827846665,0.37415468827846665,0.37415468827846665,1,1,1,1
4,5,3,3,0.2662352014519149,0.25310732326300567,0.27547607841877164,0.2845432320290918,0.0710207056436133,1.0,0.775,0.55,0.325,0.1,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.5,1.0,0.5,0.0,0.5,0.5,0.49630469679372424,0.29649414994048695,0.23257557430265624,0.4360052946205444,0.2214423936091992,3.6998369389546997,2.7365060215438395,4.159512112599035,3.1351829292298556,3.233436217200939,1.6883851480017795,0.4463597005934804,0.4463597005934804,0.4463597005934804,1,1,1,1
5,5,3,3,0.38984223903109805,0.22868796145138348,0.5745105265973105,0.23835709118345688,0.06110147878145225,1.0,0.55,0.775,0.325,0.1,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.0,0.5,1.0,1.0,1.0,0.0,0.5,0.335450420002182,0.21143602857209529,0.24063865480466787,0.465577112474146,0.22743679376464904,4.417127500304768,4.712729819870493,3.6827481884249407,3.0247355324901384,2.5624499411152772,1.206037508878183,0.33470791338655803,0.33470791338655803,0.33470791338655803,1,1,1,1
6,5,3,3,0.4705219063150753,0.15255646012566004,0.10198198185206922,0.6499049892900121,0.08466277570075317,1.0,0.55,0.325,0.775,0.1,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.29520100885285205,0.3686443896725966,0.36985029055492424,0.3650530202868747,0.42690271358550436,3.087022756961194,3.9238014638348018,2.3261306824903802,2.917955951350759,4.348516886559435,1.0518114524437672,0.6609075538138726,0.6609075538138726,0.6609075538138726,1,1,1,1
7,5,3,3,0.37262816393685827,0.2589627913146578,0.23984235582514762,0.1920000519669795,0.06435315912457278,1.0,0.775,0.55,0.325,0.1,1.0,0.5,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.3162080505499868,0.48184513425484743,0.3303866774184607,0.33625489889455606,0.2459655098319195,2.856463841359191,2.073882875214025,3.7795240741178016,4.931985485039008,3.4160427013497285,1.1190489892019755,0.34230849247055806,0.34230849247055806,0.34230849247055806,1,1,1,1
8,5,3,3,0.605351090531702,0.8352844191066545,0.39013831590197134,0.24276981014359106,0.025334484271218802,0.775,1.0,0.55,0.325,0.1,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,1.0,0.5,0.0,1.0,0.0,0.2783917507987859,0.499670926906496,0.28152712734525026,0.3127328748663011,0.31933424399048704,2.5963268276555587,3.7015617172756983,2.92548903029215,3.3846116150662606,3.322619303501617,1.754765498769887,0.8828805471776671,0.8828805471776671,0.8828805471776671,1,1,1,1
9,5,3,3,0.41857952747110105,0.3095395660379004,0.1917057816843138,0.42441124248726125,0.06224690334100577,1.0,0.775,0.325,0.55,0.1,1.0,0.0,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.23626582742826188,0.37529264696725295,0.22027783539065757,0.4675462237867208,0.2394854951305238,3.666200774708526,2.9020595131259954,3.6982090835512142,4.118259706305378,3.5443107569628,1.7748516558717347,0.580665126167003,0.580665126167003,0.580665126167003,1,1,1,1
