Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,p.P1,p.P2,p.P3,p.P4,p.P5,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta2.P1,theta2.P2,theta2.P3,theta2.P4,theta2.P5,theta3.P1,theta3.P2,theta3.P3,theta3.P4,theta3.P5,theta4.P1,theta4.P2,theta4.P3,theta4.P4,theta4.P5,theta5.P1,theta5.P2,theta5.P3,theta5.P4,theta5.P5,a.P1,a.P2,a.P3,a.P4,a.P5,b.1,b.2,b.3,b.4,b.5,gamma0,gamma1,gamma2,gamma3,gamma4,gamma5,eta0,eta1,eta2,eta3,eta4,eta5
0,5,5,3,0.37033768653444377,0.1588005370166176,0.8518327836852432,0.47007043690105565,0.039966611298935195,0.775,0.325,1.0,0.55,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,1.0,1.0,1.0,0.5,0.5,0.48996858310252117,0.3183572007224225,0.38747579958542805,0.4899956163075262,0.23935652744374716,4.79802961195159,2.907725196621626,2.276208039965995,2.818574496522874,4.379971721171983,1.7731961630570416,0.6718690874511706,0.6718690874511706,0.6718690874511706,0.6718690874511706,0.6718690874511706,1,1,1,1,1,1
1,5,5,3,0.5027993576151815,0.11888040864826394,0.6133727925028769,0.4585197687191812,0.04355765717056962,1.0,0.325,0.775,0.55,0.1,0.5,0.5,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.0,0.5,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.28254584035800534,0.33950156753713145,0.40463781751782724,0.41725169998390366,0.3175423001111194,2.0375227291529674,4.5760431936747725,3.2202013727913643,2.831688438275207,3.320336009868945,1.4592100878905239,0.27650862794799597,0.27650862794799597,0.27650862794799597,0.27650862794799597,0.27650862794799597,1,1,1,1,1,1
2,5,5,3,0.5791797260453879,0.1327963033724404,0.8312827613699049,0.4531405077437459,0.03819941988328243,0.775,0.325,1.0,0.55,0.1,1.0,0.5,1.0,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,1.0,0.5,1.0,0.5,0.5,1.0,0.0,0.5,0.5,0.0,0.42762697587122883,0.2436124342838875,0.455039817558116,0.43273705675159546,0.35143364930447496,4.964783224764666,4.40824536606212,4.6677022874894405,4.334438422713889,3.4805535120595015,1.035074737409184,0.6398023046494539,0.6398023046494539,0.6398023046494539,0.6398023046494539,0.6398023046494539,1,1,1,1,1,1
3,5,5,3,0.22829883060647338,0.45642306774059016,0.3472680659665263,0.1818731346816302,0.05120487032139798,0.775,1.0,0.55,0.325,0.1,0.5,0.5,0.5,0.5,0.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,1.0,0.4977872091566197,0.30587860371088615,0.29369906986129585,0.4131082048278685,0.42052346234795285,4.270072969608993,4.417806567984872,3.137775928566505,3.5173453213627135,3.5203905331571916,1.8311155569026383,0.4856926751564401,0.4856926751564401,0.4856926751564401,0.4856926751564401,0.4856926751564401,1,1,1,1,1,1
4,5,5,3,0.3683861919455873,0.2882380753783846,0.3050131178695851,0.08625623110812741,0.08698191006563076,1.0,0.775,0.55,0.325,0.1,1.0,1.0,0.0,0.0,0.5,1.0,1.0,0.5,0.5,0.0,1.0,0.5,1.0,0.5,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.2384344797698337,0.3559781263329471,0.33847766053514733,0.3145358615660018,0.2790945481428267,2.371576963624838,3.6286477935193115,3.3265834796272546,4.596028141521572,4.506875072090011,1.5879057375717265,0.3772661345180147,0.3772661345180147,0.3772661345180147,0.3772661345180147,0.3772661345180147,1,1,1,1,1,1
5,5,5,3,0.2666712799054952,0.2942994874060986,0.5491962520643054,0.15804032675995205,0.07236261134573793,1.0,0.55,0.775,0.325,0.1,0.5,0.0,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.4525999295369628,0.39684029060254855,0.21777984201653672,0.394263150328574,0.39462047832671826,3.5249926701468697,2.7900469221345925,4.021172025525392,3.4372904391403365,2.0148044973164345,1.7346903755955754,0.4365851154220576,0.4365851154220576,0.4365851154220576,0.4365851154220576,0.4365851154220576,1,1,1,1,1,1
6,5,5,3,0.6864870473052251,0.31214968292236656,0.15014570681672693,0.665143312783191,0.08100470551481052,1.0,0.55,0.325,0.775,0.1,0.5,0.5,0.5,1.0,0.0,0.5,1.0,1.0,0.5,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,1.0,0.0,1.0,0.0,0.5,0.0,0.5,0.3467011807825616,0.4414181126801774,0.3303648970828156,0.23805012608107612,0.3916501774739516,4.906505761789482,3.883032887553396,4.287015837258288,3.5119933843552413,2.622183242092311,1.8818726642504884,0.7288363366884485,0.7288363366884485,0.7288363366884485,0.7288363366884485,0.7288363366884485,1,1,1,1,1,1
7,5,5,3,0.3423401316320266,0.6604223896858143,0.3502946629467158,0.15968229520177885,0.03820868183981461,0.775,1.0,0.55,0.325,0.1,0.5,1.0,0.5,0.5,0.0,0.5,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.5,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.25628850317913227,0.24356825308794317,0.49975761144580816,0.2268119566572443,0.35893876356513943,3.231974564764561,2.91748027630943,3.408485469171686,3.939240078891647,3.9132631576856696,1.6969602892424311,0.6329785615222273,0.6329785615222273,0.6329785615222273,0.6329785615222273,0.6329785615222273,1,1,1,1,1,1
8,5,5,3,0.23061225767635568,0.46164347994968863,0.756232364146148,0.2406228225207368,0.03607097149514982,0.55,0.775,1.0,0.325,0.1,0.5,1.0,1.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,1.0,0.5,1.0,0.5,0.5,0.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.0,0.5,0.2044175551951428,0.21382354361410577,0.3924410176300876,0.4872650487693577,0.4435505508786566,2.9610222827682064,4.458039609614671,4.868091220269195,4.208750065521767,4.3669463305589,1.4157578918727438,0.705789836881316,0.705789836881316,0.705789836881316,0.705789836881316,0.705789836881316,1,1,1,1,1,1
9,5,5,3,0.5128495115863799,0.33280363566666676,0.2665507661670791,0.04705169057120098,0.292282633478292,1.0,0.775,0.55,0.1,0.325,1.0,0.5,1.0,0.5,0.5,1.0,0.5,1.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.46847848011055204,0.26755778408590336,0.3934506476627856,0.3005466000459561,0.3231639106566755,3.0247467596226407,2.8145495230769484,2.9518006413731386,4.127082011631259,3.144602450298177,1.8212930617514071,0.8995063725524811,0.8995063725524811,0.8995063725524811,0.8995063725524811,0.8995063725524811,1,1,1,1,1,1
