Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,c.P6,c.P7,c.P8,c.P9,c.P10,p.P1,p.P2,p.P3,p.P4,p.P5,p.P6,p.P7,p.P8,p.P9,p.P10,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta1.P6,theta1.P7,theta1.P8,theta1.P9,theta1.P10,a.P1,a.P2,a.P3,a.P4,a.P5,a.P6,a.P7,a.P8,a.P9,a.P10,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,gamma0,gamma1,eta0,eta1
0,10,1,3,0.2904234477046921,0.15503267807960242,0.46714116049929444,0.6230283322717027,0.5228508852707605,0.34802699767540257,0.3050935002138979,0.21929706572583996,0.03373871595355993,0.16405918030384975,0.8,0.6,0.9,1.0,0.7000000000000001,0.5,0.4,0.30000000000000004,0.1,0.2,0.5,0.5,0.0,0.5,1.0,1.0,0.5,0.0,0.5,0.5,0.29995574373016237,0.22424139595639225,0.2267551006837551,0.32932631905515775,0.44135747205434955,0.3219261911658926,0.3972841618533105,0.44940881033145963,0.4926980425047706,0.22371471460563347,2.4758990587973666,3.164537157093992,3.518437411704498,3.592879241409714,3.850379705509127,4.103306999555999,3.525131874388472,4.437103139954445,4.685744244606828,2.0181870717599866,1.824724150892074,0.10536327984432958,1,1
1,10,1,3,0.4522597616797709,0.40750778821721584,0.21297845965692963,0.5678502976997811,0.42370582855953726,0.769053538882701,0.1266017644972882,0.33277925254941176,0.23828943581860737,0.060813430991094375,1.0,0.7000000000000001,0.5,0.8,0.6,0.9,0.2,0.4,0.30000000000000004,0.1,0.5,1.0,0.5,0.0,0.5,0.5,0.0,0.5,1.0,0.0,0.2579026912119387,0.43546094966838744,0.3837401991682322,0.4536581635843509,0.309747667723389,0.3167557612454748,0.27209212563986573,0.26573200837187455,0.398235848223529,0.2410840900976709,3.8405882789259467,4.610791031535285,3.543225092472104,4.698893434957849,2.57403399875089,3.9207453995151247,2.3197934269990403,2.080817298313912,3.901237324444083,3.7481924218807583,1.8564338641582525,0.5942676584781121,1,1
2,10,1,3,0.3771220153057778,0.23551323680059255,0.43814016689732144,0.4003379797998729,0.08913420503611386,0.31369833765579164,0.05277226945514804,0.8026832085610819,0.3340248224208918,0.04611766442883522,1.0,0.6,0.8,0.7000000000000001,0.30000000000000004,0.5,0.2,0.9,0.4,0.1,1.0,0.5,1.0,1.0,0.5,0.5,0.0,0.5,0.5,0.0,0.3365850993245013,0.3739386083338606,0.2950801733355236,0.29912191564806134,0.24621385487608752,0.38029605054074755,0.4527552853882966,0.2673159093870577,0.24715590441509283,0.3770564140150786,2.2237480608054216,4.1599233779766704,3.8712055294907763,2.799936372526331,4.02941785642205,2.87082894678681,2.5794058289583557,4.488659638910054,4.663846349330986,3.440301715693017,1.2773991926971089,0.3300888068775123,1,1
3,10,1,3,0.1843141066686954,0.38107519279386487,0.18708086490456355,0.6035808117232317,0.5374510916769202,0.1549997482307892,0.11717488708161516,0.2783323830948313,0.11079301266005,0.05898994261950932,0.7000000000000001,0.8,0.6,1.0,0.9,0.5,0.30000000000000004,0.4,0.2,0.1,0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.5,0.5,0.0,0.37583080016836445,0.21362451377790073,0.34732475920583966,0.21518005125643846,0.2275861262327067,0.3271130999325486,0.4179271710026447,0.28839957522862375,0.4430271644053171,0.2994557017786742,3.962317811705249,2.7606185153321285,2.417391781629723,4.120858433172497,4.150411950027975,3.1086333807558924,4.0461637159239245,2.8983872329076235,4.832905609447581,4.94687893705791,1.7503268636523412,0.4732734811032906,1,1
4,10,1,3,0.6297942133563469,0.5529559848896327,0.4760673044461286,0.4695840091035995,0.38201982217591174,0.08915320295831666,0.4957288079971768,0.24279336082893294,0.34404225291399426,0.0758115661067692,1.0,0.9,0.8,0.7000000000000001,0.5,0.2,0.6,0.30000000000000004,0.4,0.1,0.5,0.5,1.0,1.0,0.5,0.0,1.0,0.0,1.0,0.5,0.4011707531943044,0.24760182370784645,0.22345828691574068,0.3632443621581063,0.3273586976672548,0.21849849869600538,0.4927345076710839,0.27016313493337263,0.4023857100349517,0.31680635789506556,4.72566103587001,4.648380875719135,4.886223333660604,2.176218972885233,3.4717906253906454,2.0911577095770144,4.311440320368858,4.448959378759481,3.400233996799347,3.606954144031175,1.1498193961793084,0.3043335893744846,1,1
5,10,1,3,0.3367805364750539,0.17766087366791483,0.38261910402226545,0.5079100019102535,0.21304871700697187,0.7602695475372566,0.23683167668538765,0.14027772860157545,0.029494456665194915,0.15584834031507366,0.9,0.6,0.7000000000000001,0.8,0.5,1.0,0.4,0.30000000000000004,0.1,0.2,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.31550287261982973,0.2641280370227963,0.25007385178800523,0.4907948112168146,0.46704194197506077,0.4037981590496341,0.24654003941129585,0.46868954269871715,0.2462433217865663,0.20802475942657697,3.3528473246457615,4.7061561849627855,4.898994566259912,2.664411479316545,4.3135537055996185,4.515482436565595,2.4940548596340184,3.0577735498260643,4.962568612376591,2.1693931450324406,1.6593942677081142,0.7752678383785396,1,1
6,10,1,3,0.2925712782850649,0.5094419978981235,0.4952955786364115,0.4870516737399676,0.18919376419241726,0.39674776726077426,0.16696685114521614,0.39245987673562654,0.055832334383250914,0.15868877342645166,1.0,0.9,0.8,0.7000000000000001,0.4,0.6,0.30000000000000004,0.5,0.1,0.2,0.5,1.0,1.0,0.5,1.0,0.0,0.5,0.5,0.5,0.0,0.33222028949720633,0.3525419129499454,0.39868306794986574,0.4132785173892689,0.20478449870152998,0.32227900619220495,0.3818908702062272,0.3853672499846674,0.32426599078744633,0.4743688167279599,2.744605609360711,3.966381189786657,3.1319424651236316,4.32526551427118,3.9040220844205176,3.445194352057939,2.669291574647287,2.6433322740462595,4.597192245077706,3.199837930481031,1.2794814784274546,0.1703506264878018,1,1
7,10,1,3,0.2442347534880538,0.22137866684008706,0.3505115350772981,0.6454047477978713,0.14910004039069902,0.10471409860791397,0.3393960304063031,0.842065831108073,0.10371901689736306,0.0295357124651974,0.8,0.6,0.7000000000000001,0.9,0.4,0.30000000000000004,0.5,1.0,0.2,0.1,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.4849445491304104,0.26232591852672155,0.42883871767320486,0.42139546458517474,0.33962262612735555,0.3211348723384211,0.2277418934392729,0.4118274343608474,0.39725434745508886,0.3846280927864143,3.556720461556295,2.3523802567331407,2.4269173759906555,3.945965102179956,4.81339987959684,3.4234212820399064,4.602516649594293,3.921488425834541,4.701804370485448,4.34616061117123,1.7675051872349625,0.27141254064658504,1,1
8,10,1,3,0.34670179582703897,0.4339916293686262,0.15306683125143283,0.7037443871319675,0.30506182352189504,0.4881003335162907,0.2225910567382349,0.07229379590355348,0.1875819355999929,0.06870300689788274,0.9,0.8,0.5,1.0,0.6,0.7000000000000001,0.4,0.2,0.30000000000000004,0.1,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,1.0,0.0,0.2846240150811095,0.4955477446601599,0.4800504744741871,0.4921038109804348,0.44862433429444404,0.3750389557567193,0.3543621534611783,0.4397850502799533,0.27069799582294785,0.4145700595017038,4.3275707190280635,4.502594509744963,4.783853913781825,2.328201382941925,2.9811260234281507,2.8489134532041174,2.5157474613666624,2.734132811847865,3.7971314038151758,4.199857262346116,1.584582491303052,0.9152700338082113,1,1
9,10,1,3,0.32794491108208196,0.6547924698508392,0.26639513481195,0.6773003285009309,0.2791727198907094,0.19168788187111008,0.5956784049690731,0.09109712374831398,0.03819433991734511,0.2592657969894904,0.7000000000000001,1.0,0.6,0.9,0.5,0.4,0.8,0.2,0.1,0.30000000000000004,1.0,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.3109710511329887,0.4120069879586956,0.4456126735722816,0.27016605204327493,0.30311291033745885,0.2050721401705579,0.3724383692212687,0.46856157843371987,0.2864163179660631,0.4524192233667494,4.175988489502868,2.0498035564776655,3.8815597009486518,4.685644299662251,4.537768056250632,4.4407631817386335,4.285887210505408,2.373809823773163,4.833369158255652,4.617371585117975,1.9222209805769845,0.7055399245925454,1,1
