Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,c.P6,c.P7,c.P8,c.P9,c.P10,p.P1,p.P2,p.P3,p.P4,p.P5,p.P6,p.P7,p.P8,p.P9,p.P10,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta1.P6,theta1.P7,theta1.P8,theta1.P9,theta1.P10,theta2.P1,theta2.P2,theta2.P3,theta2.P4,theta2.P5,theta2.P6,theta2.P7,theta2.P8,theta2.P9,theta2.P10,theta3.P1,theta3.P2,theta3.P3,theta3.P4,theta3.P5,theta3.P6,theta3.P7,theta3.P8,theta3.P9,theta3.P10,a.P1,a.P2,a.P3,a.P4,a.P5,a.P6,a.P7,a.P8,a.P9,a.P10,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,gamma0,gamma1,gamma2,gamma3,eta0,eta1,eta2,eta3
0,10,3,3,0.22846512020747078,0.4836051203642491,0.20471392112187003,0.29716930979262357,0.26104008837323106,0.6623606009794929,0.4874131917954155,0.2083651118793841,0.04350106825183986,0.16517601469608156,0.9,1.0,0.7000000000000001,0.5,0.4,0.8,0.6,0.30000000000000004,0.1,0.2,0.5,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.0,1.0,0.4379705389365597,0.3016022334497145,0.44006224751170775,0.40630315897076014,0.3419709529367505,0.36586592795347517,0.22711085502381562,0.2385257563653223,0.4569134058192727,0.2652932406131623,3.0421309784138577,2.3169826729048495,3.633680259002129,2.000817802252393,3.4885914139403047,4.275948769869817,4.860602672821015,3.0789003551201826,2.4962853090648793,3.250171642159635,1.8177919878636104,0.7398042028183068,0.7398042028183068,0.7398042028183068,1,1,1,1
1,10,3,3,0.3123182197774037,0.4502538473307894,0.10850419159285085,0.7653797392234345,0.4613197479384558,0.5755216772614082,0.21587067337895943,0.43151209790599543,0.13676877038884877,0.08830452861672691,0.9,0.8,0.4,1.0,0.6,0.7000000000000001,0.30000000000000004,0.5,0.2,0.1,1.0,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.0,0.43957429100450934,0.2589182606055619,0.48064808744405946,0.4560329589813165,0.3678043021487584,0.3769805398054126,0.3972070286655818,0.3775802375371491,0.47176410416688697,0.36509655455048706,2.2230552982039944,4.316452226562411,3.17933270078452,4.471790589525082,3.794176139949457,2.073648446547786,3.4629914555164785,3.4410948153392904,4.822818403097759,3.2230220491785233,1.4954513231681852,0.8099724172091399,0.8099724172091399,0.8099724172091399,1,1,1,1
2,10,3,3,0.24299508007579673,0.5023643866568499,0.20477039263729507,0.22651014500280608,0.7067875565544806,0.07638480779830702,0.18619585965502003,0.3172703881552085,0.5204257291225727,0.03197508335588947,0.8,1.0,0.7000000000000001,0.5,0.9,0.2,0.30000000000000004,0.4,0.6,0.1,0.5,0.5,0.5,0.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.0,1.0,0.0,1.0,0.5,0.2049307530765999,0.40627179158635374,0.4750873562304098,0.4350767047364289,0.27808662806890544,0.21494679490552693,0.4225248531024347,0.35202779464927575,0.2035875212417303,0.22668384670651315,4.916906520358749,3.0328254319779404,4.773062412108505,2.2460490915380005,3.889935568470395,2.5750864336682,3.6816051851340563,3.464343010444236,4.25447406177236,4.631076273188163,1.7560863672813412,0.8994609415043324,0.8994609415043324,0.8994609415043324,1,1,1,1
3,10,3,3,0.29860277407004593,0.7059724272554067,0.24097855976795513,0.1609529077992193,0.5689454455801942,0.5154842240620708,0.7881399971284371,0.22106501129379727,0.13880870971244738,0.0699602966739808,0.6,1.0,0.5,0.4,0.8,0.7000000000000001,0.9,0.30000000000000004,0.2,0.1,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.33179728182517765,0.3489770351122199,0.20191597855062388,0.42595018920795324,0.3829804813302612,0.27454279445704993,0.3053568943312051,0.22414966206353518,0.28095201533334774,0.2718625058844224,4.59059482145806,4.290321189307548,3.8227409004762203,2.1306913317275615,3.3379911535004765,2.6362437437023765,2.7117428185535486,2.940275648433494,3.455395530064578,2.2028019556788587,1.2271405817478893,0.8711862039700405,0.8711862039700405,0.8711862039700405,1,1,1,1
4,10,3,3,0.32734630977519635,0.5874273011040777,0.4456831666385146,0.36311813992486286,0.16435582368288135,0.1011357908031503,0.8416482884993461,0.09873381896946441,0.4313298923479231,0.06917723376669993,0.8,0.9,0.7000000000000001,0.6,0.4,0.30000000000000004,1.0,0.2,0.5,0.1,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.5,0.5,1.0,0.0,0.5,1.0,0.5,0.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.40922997635068353,0.3991982118147329,0.30542203928620854,0.354670362674096,0.2583219060079355,0.38039900745139354,0.2174710666607466,0.4499914414016516,0.26521324928407164,0.2950534140954531,2.6833168361836197,4.259648637457513,4.030866267913657,3.6680556491408423,4.217317878438008,2.538032464475375,4.958955981378878,2.639193215895346,4.564559411435788,2.587812313897111,1.9702250998753055,0.7049318352363259,0.7049318352363259,0.7049318352363259,1,1,1,1
5,10,3,3,0.49530708144604685,0.5402086988724806,0.34129370336840664,0.33531767395887796,0.07911133395315081,0.2859261570284682,0.6359740643542872,0.3193803116513581,0.03753826475682111,0.1787489842454173,1.0,0.9,0.7000000000000001,0.6,0.30000000000000004,0.5,0.8,0.4,0.1,0.2,0.5,0.5,0.5,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,1.0,1.0,0.0,1.0,0.5,0.0,0.5,0.3852917208057979,0.21689404125703612,0.48927794131793834,0.30891330038594705,0.24119269726616666,0.3744075159434389,0.2577162176786657,0.3229319868797408,0.4900649361242929,0.3245683556997083,2.4289663841807814,3.9707903438916166,4.886025897154445,2.4506533548797957,2.5554223080502325,2.0688185705202855,2.9461068309028673,3.1619168087998286,4.9111889411888585,2.586758741445527,1.677393601198672,0.7522539717097751,0.7522539717097751,0.7522539717097751,1,1,1,1
6,10,3,3,0.4057464760563268,0.21748754362293032,0.3792913575989363,0.30435955142723103,0.7181370551254689,0.23727772280199982,0.06001663443112604,0.2786742514020308,0.2514222367546805,0.08645937273986043,0.9,0.7000000000000001,0.8,0.6,1.0,0.5,0.2,0.4,0.30000000000000004,0.1,0.5,0.5,1.0,0.5,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.5,0.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.5,0.439189675629426,0.3249783732395237,0.4561892771122935,0.29556877125676295,0.35873156060988676,0.2782002070410615,0.4375788139390943,0.31152508778663657,0.27843784439933145,0.23500489256362667,4.287876122428071,2.506860568754876,4.8708948452625505,3.236411371120544,2.6298105090644963,4.926394463490846,2.3038264116121434,3.6346066308493397,2.4657371704066104,3.019760124082311,1.8326969937829374,0.15141411821458872,0.15141411821458872,0.15141411821458872,1,1,1,1
7,10,3,3,0.2530795094969911,0.34648883978285516,0.3025529009267767,0.27101392178624467,0.1693811762074119,0.46496847161715377,0.1660511902349725,0.28723977094005354,0.11732414067448366,0.03950450089135772,1.0,0.9,0.8,0.7000000000000001,0.5,0.6,0.30000000000000004,0.4,0.2,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.43457858062525256,0.4666400408266676,0.40309764359506306,0.27097039293180847,0.4625036268856391,0.3585961616371085,0.43553610529793235,0.26915662584552225,0.2148824822085551,0.47637286869760737,4.970762669948469,2.9249148513115144,4.755414863736359,2.1178288273086467,2.9996193288788358,4.685043668545144,3.503048271848535,3.250683209934442,4.460632471619499,2.483443887062656,1.7887387672125756,0.5169345876515189,0.5169345876515189,0.5169345876515189,1,1,1,1
8,10,3,3,0.29206900250263557,0.5461460198417176,0.48455201844023976,0.7046321803350245,0.34149186698611333,0.24680285980554828,0.06870914421550045,0.47330207274782143,0.2022969055658192,0.07518433766050536,0.8,1.0,0.7000000000000001,0.9,0.5,0.4,0.2,0.6,0.30000000000000004,0.1,0.5,0.5,0.0,1.0,0.5,0.5,0.5,1.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.28280989211064245,0.38840236307975795,0.22593728009381125,0.4850575356647063,0.33353743308841755,0.249200398175509,0.4160882377420838,0.22515427782726216,0.23870106443423098,0.4651853731368776,3.8116063790868795,3.42475871276568,4.779629230490473,4.658810651328913,2.8285155670443434,4.989267543520677,3.4140482808609067,4.259795692128627,4.1579232469274094,4.821268405080499,1.6891003909365256,0.47769365163990674,0.47769365163990674,0.47769365163990674,1,1,1,1
9,10,3,3,0.3043087170136477,0.18964962909446237,0.3156973369406546,0.3835784812549002,0.3078642355291479,0.8590211405865178,0.3090469799447555,0.11382198369494455,0.0375442009767645,0.265954339859869,0.9,0.7000000000000001,0.8,0.6,0.5,1.0,0.4,0.2,0.1,0.30000000000000004,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,1.0,0.0,1.0,0.5,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.3167060817783495,0.2608280597335707,0.30787280033222947,0.23554343478879958,0.3188820917340057,0.30312825731784876,0.24394574132516855,0.4355076983798116,0.48257997749512666,0.29170068042037073,3.963652060433181,2.9844959055959634,3.9670854084466853,4.696816948154543,2.6219525643512367,2.5298056228099313,2.262945542237512,4.742177855325577,2.9309331989665877,4.72141868188095,1.1144516615665552,0.7187767429718535,0.7187767429718535,0.7187767429718535,1,1,1,1
