Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,p.P1,p.P2,p.P3,p.P4,p.P5,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,beta_0,beta_p,beta_theta1
0,5,1,3,0.3564826525553977,0.20624671042411113,0.3204912270527692,0.25181786352271335,0.03596080955942174,1.0,0.775,0.55,0.325,0.1,0.0,0.0,1.0,1.0,1.0,0.45497146386545284,-4.33890866879106,0.3237232934952954
1,5,1,3,0.32141547632910245,0.6280830578168068,0.33112226993615174,0.058510296958000176,0.285499258266487,0.775,1.0,0.55,0.1,0.325,0.0,1.0,1.0,1.0,1.0,0.6191416736476287,-4.680371740016098,0.05586041264233537
2,5,1,3,0.3118190626738112,0.34241717426015184,0.23781461851315966,0.21083910116219087,0.06062353888321368,1.0,0.775,0.55,0.325,0.1,1.0,0.5,1.0,0.0,0.0,0.47131294886169134,-5.4083444377986725,0.42718301504804396
3,5,1,3,0.36020228018129674,0.4184175225477961,0.13193551892296096,0.3681532342195648,0.06635280214106025,1.0,0.775,0.325,0.55,0.1,1.0,0.5,0.0,1.0,0.0,0.3065951907138569,-4.7767384516845635,0.8411225182748783
4,5,1,3,0.6494122768211679,0.4763582548231105,0.12339154138917036,0.48101265750664546,0.038650346577968085,1.0,0.775,0.325,0.55,0.1,0.0,1.0,0.0,0.5,0.0,0.4290000995709945,-5.891414587387136,0.8892605847592029
5,5,1,3,0.29317049940876005,0.20781242208694484,0.3346100922004241,0.04330473938056173,0.2790700485873839,1.0,0.775,0.55,0.1,0.325,0.0,0.5,1.0,0.0,1.0,0.39863655677846155,-3.9735773473240883,0.6760400375848852
6,5,1,3,0.3093346324662473,0.33470558610986445,0.15549316063112986,0.8770853935384455,0.040306494848067365,0.775,0.55,0.325,1.0,0.1,0.5,0.0,0.5,0.5,0.5,0.6483689005693519,-5.232990454454468,0.17969831293315128
7,5,1,3,0.3007008284560664,0.33922304701472616,0.17945236679404086,0.15981639215219437,0.031601646204403144,1.0,0.775,0.55,0.325,0.1,0.5,0.5,0.5,1.0,0.0,0.5473199308234136,-4.216133458111287,0.28112135434182006
8,5,1,3,0.36583947889438706,0.2952505464346856,0.08435117356030566,0.39483492288233785,0.07545136795721763,1.0,0.775,0.325,0.55,0.1,1.0,0.0,0.5,1.0,1.0,0.5206557880279257,-3.6961473908781413,0.8119920052580134
9,5,1,3,0.43033594981984424,0.4565009438345319,0.32137214534361375,0.22674105722959662,0.05935958715140926,1.0,0.775,0.55,0.325,0.1,0.0,0.5,1.0,0.5,0.5,0.6044349107221545,-4.236710393350462,0.1637335221591824
10,5,1,3,0.31961122846373924,0.23346719141410255,0.23426165247661002,0.24659788895449528,0.07128887172193701,1.0,0.775,0.55,0.325,0.1,1.0,0.0,0.0,0.5,0.0,0.4493036975691159,-3.795531607423194,0.9154246011038295
11,5,1,3,0.5527463096583398,0.46706442116343166,0.4011134119898087,0.2802023711911426,0.058281113497560426,1.0,0.775,0.55,0.325,0.1,0.5,1.0,1.0,0.0,0.0,0.34837578748494824,-4.215516927894435,0.799495494466376
12,5,1,3,0.31673323181605473,0.3189519565864872,0.16818926688462488,0.025777812084604793,0.28132166602169295,1.0,0.775,0.55,0.1,0.325,1.0,1.0,1.0,0.5,1.0,0.4942720911705616,-4.150520572595848,0.14736366408255536
13,5,1,3,0.2985645477103214,0.6380075731690065,0.26438475133184525,0.15837509850684175,0.06659268448137216,0.775,1.0,0.55,0.325,0.1,1.0,0.0,0.5,1.0,0.0,0.361677960013546,-5.076465923695351,0.7483349187003583
14,5,1,3,0.6056717814225032,0.5204802852016043,0.16562738415289094,0.4416487307514318,0.06823241090756135,1.0,0.775,0.325,0.55,0.1,1.0,0.0,0.5,0.5,0.0,0.5013899294053764,-4.72212245953937,0.4594436687363736
15,5,1,3,0.20842717371328845,0.5152829873570786,0.24293605776561422,0.14563461655174426,0.03638483291635755,0.775,1.0,0.55,0.325,0.1,0.0,0.5,0.0,1.0,0.0,0.4446103083495568,-4.2042329877924525,0.1185278885740727
16,5,1,3,0.5421951969228542,0.3239021548408981,0.5685879790775192,0.22395422961850328,0.049013374534024906,1.0,0.55,0.775,0.325,0.1,0.5,0.0,0.5,0.0,1.0,0.6706026611943112,-3.9934701544349203,0.09912192790215814
17,5,1,3,0.4831841774028667,0.46728856268746705,0.34039522303834874,0.17955464240474633,0.0784500387673646,1.0,0.775,0.55,0.325,0.1,0.0,0.0,0.5,0.5,0.0,0.33145771373361926,-3.497518738342185,0.9469313285146063
18,5,1,3,0.6705801245176721,0.524968222206264,0.3403100512067275,0.2044804729249403,0.05866725128518057,1.0,0.775,0.55,0.325,0.1,0.5,0.0,0.5,1.0,1.0,0.7115692412967768,-3.9942233199136474,0.06630843346254989
19,5,1,3,0.4460151396359372,0.48020070624194633,0.34245612321942337,0.17351915524850384,0.034217298058841744,1.0,0.775,0.55,0.325,0.1,0.0,1.0,0.0,0.0,1.0,0.5432192003082638,-4.578682116991022,0.519893291101019
20,5,1,3,0.5354769610747603,0.10952389768999354,0.5943591518768211,0.4440000733511672,0.04697991490924992,1.0,0.325,0.775,0.55,0.1,0.0,1.0,1.0,0.5,0.5,0.5524024768018079,-4.1786627130390475,0.4436929160345126
21,5,1,3,0.1949358317327996,0.2057209977508765,0.841371151575058,0.1705498050277243,0.025155074380901213,0.775,0.55,1.0,0.325,0.1,0.0,0.0,0.5,0.5,0.5,0.39425745389255307,-4.591575208791504,0.3477326854526488
22,5,1,3,0.4967555408988027,0.3193598071268085,0.3091659126493799,0.2645946019222041,0.06644120837600433,1.0,0.775,0.55,0.325,0.1,0.5,0.5,0.5,0.0,1.0,0.32025245593664387,-3.726733299333016,0.6068274213288655
23,5,1,3,0.5744950888914524,0.5766025822945289,0.3554556927668784,0.23969124615273188,0.07273509110863854,1.0,0.775,0.55,0.325,0.1,0.5,0.5,0.5,0.5,0.5,0.4793621849772972,-4.222619848515422,0.2160778973878043
24,5,1,3,0.34895436276599545,0.36579689269589666,0.3128355451296167,0.037541795432905256,0.27631503807277047,1.0,0.775,0.55,0.1,0.325,1.0,0.0,0.5,0.5,0.0,0.6143934306510958,-5.299452296836988,0.505187336787247
25,5,1,3,0.28805670733811706,0.3928754124595919,0.17233021858225495,0.27499754231615475,0.0527105703808514,1.0,0.775,0.55,0.325,0.1,1.0,0.5,1.0,0.5,1.0,0.3316900798819686,-3.692112311979386,0.08851940572780788
26,5,1,3,0.27072368961360277,0.7715329132126744,0.5478327735890884,0.10514501716338523,0.036213528878041815,0.55,1.0,0.775,0.325,0.1,0.0,0.0,0.0,1.0,1.0,0.5689050709317108,-3.935390020081283,0.7949837940971342
27,5,1,3,0.3087747790827363,0.5721529412020654,0.14172596355374656,0.368642162373723,0.05652435595557625,0.775,1.0,0.325,0.55,0.1,0.5,0.5,0.0,0.0,0.0,0.3908183557622449,-4.632131965192905,0.5839232327808688
