Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,p.P1,p.P2,p.P3,p.P4,p.P5,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta2.P1,theta2.P2,theta2.P3,theta2.P4,theta2.P5,theta3.P1,theta3.P2,theta3.P3,theta3.P4,theta3.P5,beta_0,beta_p,beta_theta1,beta_theta2,beta_theta3
0,5,3,3,0.43444027662205986,0.28518130486760446,0.5801191813700257,0.13710278840163823,0.07535284139714599,1.0,0.55,0.775,0.325,0.1,1.0,0.0,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.7318082692402823,-4.695980387805055,0.24150185178667946,-0.039010955529137935,0.08145871482220013
1,5,3,3,0.2557942893731969,0.17210712181531995,0.8246231472474533,0.20220147800440608,0.07801336378830057,0.775,0.55,1.0,0.325,0.1,1.0,0.0,0.5,1.0,0.5,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.7002177512109888,-4.2898268657680125,0.4612578655850668,0.16292560101998096,-0.027250147114377225
2,5,3,3,0.42899259084899055,0.35739094022976886,0.8078734669910398,0.20104957887754565,0.041301078203458796,0.775,0.55,1.0,0.325,0.1,0.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.0,1.0,1.0,0.5,0.5,0.0,0.5,0.28452729331732646,-3.959218058186984,0.15402276424459424,0.3174167343258464,0.24451475863523914
3,5,3,3,0.3996063293319907,0.36230264637987697,0.22164993833918567,0.10493477865316467,0.0347130702451981,1.0,0.775,0.55,0.325,0.1,0.0,1.0,0.5,0.5,1.0,0.5,0.0,0.5,0.0,0.0,1.0,0.5,1.0,0.5,0.5,0.2796564130100633,-3.878324304842246,0.40684176249081005,0.33274137166359696,0.3803316803795701
4,5,3,3,0.2662352014519149,0.25310732326300567,0.27547607841877164,0.2845432320290918,0.0710207056436133,1.0,0.775,0.55,0.325,0.1,0.5,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5530555622098953,-4.622075301245711,0.33795092277854033,0.3480267228707006,0.45398613262023946
5,5,3,3,0.38984223903109805,0.22868796145138348,0.5745105265973105,0.23835709118345688,0.06110147878145225,1.0,0.55,0.775,0.325,0.1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.2608902866859774,-4.304612867049852,0.3271977260372083,0.35129874455078086,0.3784288895220515
6,5,3,3,0.4705219063150753,0.15255646012566004,0.10198198185206922,0.6499049892900121,0.08466277570075317,1.0,0.55,0.325,0.775,0.1,0.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,0.3713306301065106,-4.07521260457355,0.5113061480557989,0.7233299947355517,0.6585975318337418
7,5,3,3,0.37262816393685827,0.2589627913146578,0.23984235582514762,0.1920000519669795,0.06435315912457278,1.0,0.775,0.55,0.325,0.1,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.40273382952820663,-3.7282095400051545,0.22362919417888644,0.37448161222883575,0.2914971762819938
8,5,3,3,0.605351090531702,0.8352844191066545,0.39013831590197134,0.24276981014359106,0.025334484271218802,0.775,1.0,0.55,0.325,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.046283898294671263,-4.470592845950057,1.080000999489134,0.9770514285288041,0.8459517244548672
9,5,3,3,0.41857952747110105,0.3095395660379004,0.1917057816843138,0.42441124248726125,0.06224690334100577,1.0,0.775,0.325,0.55,0.1,1.0,1.0,0.0,0.0,1.0,0.5,1.0,0.5,1.0,0.5,0.0,1.0,0.5,1.0,1.0,0.3518634234958388,-4.528893213434423,0.6164282001954466,0.5011230222944092,0.4569099169121057
10,5,3,3,0.2575551250745738,0.24488389160192592,0.12580862062479337,0.38918181930235146,0.06915178658445582,1.0,0.775,0.325,0.55,0.1,1.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,0.5,0.3738388324015552,-3.899311705111667,0.6047843276844678,0.6072175404910037,0.5977538847276034
11,5,3,3,0.2320102605908395,0.8039391591467807,0.6968102516578879,0.05662689842692473,0.28769065023860707,0.55,1.0,0.775,0.1,0.325,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.3364333208056348,-4.100161423529677,0.8001083642606539,0.7395731315252482,0.6275709402287444
12,5,3,3,0.3815571446526306,0.2976128674365039,0.10626632157491236,0.6148510719623155,0.05862858587245939,1.0,0.55,0.325,0.775,0.1,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.42353134484194893,-4.58837045147933,0.8127329616413419,0.7934728055977853,0.7087384324422228
13,5,3,3,0.2999777139297437,0.7754196606965323,0.5663898431480819,0.13661384633010337,0.04057976823666201,0.55,1.0,0.775,0.325,0.1,0.5,1.0,0.5,1.0,0.0,1.0,0.0,0.5,0.5,0.0,1.0,0.5,0.0,0.0,1.0,0.5434992994263276,-4.81049831621602,0.09372633063125692,0.3623064338444509,0.33017710418380414
14,5,3,3,0.3359042086019617,0.33801125341931576,0.20834301274170672,0.46563955651158845,0.03492035252175167,1.0,0.775,0.325,0.55,0.1,1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.6164385742357124,-5.249071615818141,0.8366626060630041,1.000707031285916,0.705693660878005
15,5,3,3,0.3398169749629185,0.3063641326872036,0.5435064989980496,0.2196232706763055,0.07051213402393262,1.0,0.55,0.775,0.325,0.1,1.0,0.0,1.0,0.5,1.0,0.0,0.5,1.0,1.0,0.0,1.0,0.5,1.0,1.0,0.5,0.49701053942338025,-4.890778471338999,0.7498786178977049,0.7564804247828731,0.5581950762847627
16,5,3,3,0.27362459856352916,0.5746585282519959,0.16599342534859918,0.25676073135544314,0.08263607659695275,0.775,1.0,0.55,0.325,0.1,0.5,0.5,1.0,0.5,1.0,0.0,0.5,0.5,0.0,0.5,1.0,0.0,0.0,0.5,0.5,0.5281442829355656,-4.433204471187796,0.5800271322384387,0.829022782581674,0.8399834539666512
17,5,3,3,0.5991348190589519,0.27287591295295077,0.08811909303544824,0.6402453022769111,0.02923317207423609,1.0,0.55,0.325,0.775,0.1,0.5,0.0,1.0,0.5,1.0,1.0,0.5,0.0,0.5,0.5,0.5,0.5,1.0,0.0,1.0,0.5728698333155872,-4.85986177525829,0.4194903510898972,0.4893434061573534,0.43307939327425443
18,5,3,3,0.40487197197014346,0.14120220159018027,0.19302025750409021,0.6675088508855648,0.03983249581000253,1.0,0.55,0.325,0.775,0.1,0.5,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5416125171285665,-4.010549821442285,0.13612882890418354,0.13191799568588766,0.12489604724022588
19,5,3,3,0.5380316488494914,0.6062446650356415,0.47350842752948596,0.2505896070780281,0.0744836312736515,1.0,0.775,0.55,0.325,0.1,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.5,0.0,1.0,0.0,0.5,0.0,0.0,1.0,0.5664707159937389,-4.296957200514906,0.8008815268709656,0.6975153536673142,0.7335850348039801
20,5,3,3,0.42355467676518305,0.7759347515285857,0.41115969519056733,0.24138061487828202,0.04309570065219949,0.775,1.0,0.55,0.325,0.1,0.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.0,1.0,0.5,0.0,0.5,0.5,0.5,0.45223769055502355,-3.949841067327318,0.34401511770877796,0.18950337219942665,0.09892855212689633
21,5,3,3,0.4004876108083667,0.3922794583591069,0.3532108232306176,0.15722994542328614,0.05884128677979233,1.0,0.775,0.55,0.325,0.1,1.0,0.0,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.6849540587370586,-4.466857480813097,0.24644582902137016,0.3732853262395748,0.40016286111815813
22,5,3,3,0.551642158687456,0.11023158684877105,0.6423582409037495,0.4514110835577749,0.07287422377221467,1.0,0.325,0.775,0.55,0.1,1.0,1.0,0.5,0.5,0.0,0.5,0.0,0.5,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.216844458777519,-4.9360055527556,0.30777216953463826,0.19945634983571697,0.3183080578477549
23,5,3,3,0.16335072485849567,0.7340591202203705,0.5136692448968071,0.2229945328001444,0.03488085795101914,0.55,1.0,0.775,0.325,0.1,1.0,0.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.5420022403353612,-4.36846794200648,0.2067964657668971,0.40705485155097637,0.5648762911728715
24,5,3,3,0.4272390707438938,0.20989095969487803,0.18525506983502216,0.17036709724803634,0.08459708211826168,1.0,0.775,0.55,0.325,0.1,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.3611387462058375,-4.500568950341531,0.4210690502645979,0.2754854444114217,0.3870644019360908
25,5,3,3,0.43475922664293276,0.3087985628472206,0.1118947585153793,0.5714498574758898,0.04973195280830441,1.0,0.55,0.325,0.775,0.1,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.5,0.46276763981975705,-4.8216526069477155,0.43764085894622556,-0.05020069912908187,0.22428166597518615
26,5,3,3,0.39365763919715,0.32266668714896,0.4093854663833264,0.19563775068857578,0.08879235445940223,1.0,0.775,0.55,0.325,0.1,0.0,0.5,0.0,0.0,0.0,1.0,0.5,1.0,0.5,1.0,0.0,1.0,0.5,1.0,1.0,0.5586890587033511,-4.123938739218505,0.25036428242590353,0.4209688556833916,0.30616006206385177
27,5,3,3,0.4625452341449099,0.2771232522840996,0.5634468562456049,0.1268645994387042,0.047406521512454614,1.0,0.55,0.775,0.325,0.1,1.0,1.0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.41686783662484866,-4.1636735719084275,0.5261474134062556,0.3264128151887063,0.5696875327407865
28,5,3,3,0.4287049882394359,0.5307292406011557,0.3820223960357677,0.18737836142399894,0.06158151742451415,1.0,0.775,0.55,0.325,0.1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,0.5,0.5,0.5,1.0,0.3276883117442633,-4.246880291023644,0.6595192285310046,0.8352003693421505,0.5211338057235686
29,5,3,3,0.18934643473578666,0.5952573506134009,0.1910563897292758,0.8868204837142492,0.05900116996459596,0.55,0.775,0.325,1.0,0.1,0.0,0.5,1.0,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,1.0,0.0,0.5,1.0,0.3249608206841027,-3.7563044072228404,0.9581752283430657,1.1175511628258523,0.9342254123817575
30,5,3,3,0.21962246609483255,0.5214718959682259,0.8029603297492369,0.17358108785201615,0.029900299646386297,0.55,0.775,1.0,0.325,0.1,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.4853256368402788,-4.659821902371105,0.4204745254058817,0.7787736825994444,0.6893573313062193
31,5,3,3,0.4245910152657253,0.43175998506933333,0.366547322303837,0.041922591248474646,0.2877943113998158,1.0,0.775,0.55,0.1,0.325,0.5,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,1.0,0.45615978853747263,-4.546112378342521,0.6296551773542437,0.7852506874769175,0.7319929516481533
32,5,3,3,0.6127127773164324,0.5000360458912868,0.35766058626557323,0.2141623891423907,0.0721117252215082,1.0,0.775,0.55,0.325,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,1.0,0.6604596896685665,-4.869439409256396,0.735613024767141,0.6586985492249346,0.8420676527279916
33,5,3,3,0.5589540887350619,0.18334395839162854,0.5613159041423861,0.21036944373316258,0.031586541678728514,1.0,0.55,0.775,0.325,0.1,0.0,0.5,0.5,0.0,0.5,1.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,0.5,0.5,0.71910187263905,-4.515687786678941,0.027431464435861738,-0.1973411105681641,0.17906092833360757
34,5,3,3,0.2582618765268344,0.5905273610169255,0.3240996321975342,0.21691044613027805,0.02586482264233972,0.775,1.0,0.55,0.325,0.1,0.5,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.19134318029968125,-2.954297720719023,0.45576711378199325,0.3778796807748412,0.4916060208311889
35,5,3,3,0.43237981473278986,0.7528527990087703,0.36403938423030696,0.2626242166793061,0.0818875362228266,0.775,1.0,0.55,0.325,0.1,1.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,0.0,0.5,0.5,0.0,1.0,0.0,0.43164998460508053,-4.771429834943224,0.08696426804166119,0.1196715452820673,0.3100753400587635
36,5,3,3,0.27258481518595923,0.2639792532380796,0.08847044083741648,0.3316965171060208,0.04672685975731574,1.0,0.775,0.325,0.55,0.1,1.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.4577762483910473,-4.413062777697372,0.7019361611220076,0.728424472088985,0.6421382952170975
37,5,3,3,0.17614092275669818,0.6864624817196092,0.5139719912869491,0.23763372454112405,0.07262866616549761,0.55,1.0,0.775,0.325,0.1,0.0,0.5,1.0,1.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.5,0.43751667275124845,-4.779740600309289,0.5466313400203326,0.41925310244157377,0.48803887082127057
