Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,p.P1,p.P2,p.P3,p.P4,p.P5,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta2.P1,theta2.P2,theta2.P3,theta2.P4,theta2.P5,theta3.P1,theta3.P2,theta3.P3,theta3.P4,theta3.P5,theta4.P1,theta4.P2,theta4.P3,theta4.P4,theta4.P5,theta5.P1,theta5.P2,theta5.P3,theta5.P4,theta5.P5,beta_0,beta_p,beta_theta1,beta_theta2,beta_theta3,beta_theta4,beta_theta5
0,5,5,3,0.37033768653444377,0.1588005370166176,0.8518327836852432,0.47007043690105565,0.039966611298935195,0.775,0.325,1.0,0.55,0.1,0.5,0.5,0.5,0.5,0.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.5,1.0,0.0,0.5,0.5,0.0,0.0,1.0,0.2227702654617909,-4.304204412558466,0.6194188557465072,0.8017922010078363,0.5807769449150217,0.5159621157141785,0.5736107953171399
1,5,5,3,0.5027993576151815,0.11888040864826394,0.6133727925028769,0.4585197687191812,0.04355765717056962,1.0,0.325,0.775,0.55,0.1,0.5,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.5,0.5,1.0,0.5,0.5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.8823823094324974,-4.192315992051521,0.23524794352806386,0.2912577938251853,0.020585738984254434,0.006716408872848034,0.11531350496744097
2,5,5,3,0.5791797260453879,0.1327963033724404,0.8312827613699049,0.4531405077437459,0.03819941988328243,0.775,0.325,1.0,0.55,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.0,1.0,1.0,0.0,0.5,0.5,0.22681440005022538,-5.00960021817945,0.5784870980314135,0.6677896156670363,0.5309999381276048,0.6363225904366085,0.5426564298660401
3,5,5,3,0.22829883060647338,0.45642306774059016,0.3472680659665263,0.1818731346816302,0.05120487032139798,0.775,1.0,0.55,0.325,0.1,0.0,0.5,0.0,0.5,0.0,0.5,0.5,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,0.5,0.5,0.6664674677574004,-5.6216746658128365,0.4448950149521361,0.26723431455051305,0.4471080071071242,0.43109853874442067,0.5760004996568784
4,5,5,3,0.3683861919455873,0.2882380753783846,0.3050131178695851,0.08625623110812741,0.08698191006563076,1.0,0.775,0.55,0.325,0.1,0.5,0.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.41275623899851793,-4.764181288093322,0.36653722797203797,0.4513719754147055,0.20371601796959635,0.42510006002212014,0.5093335281672238
5,5,5,3,0.2666712799054952,0.2942994874060986,0.5491962520643054,0.15804032675995205,0.07236261134573793,1.0,0.55,0.775,0.325,0.1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.0,1.0,0.4933094316151315,-4.1450953056639115,0.45299141354605177,0.4793732642741612,0.14778745067776167,0.37964497545887366,0.605481007595916
6,5,5,3,0.6864870473052251,0.31214968292236656,0.15014570681672693,0.665143312783191,0.08100470551481052,1.0,0.55,0.325,0.775,0.1,0.5,0.5,0.0,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.0,0.5,1.0,0.5,0.0,0.0,0.5,0.0,1.0,0.5,1.0,0.5,0.5,1.0,0.3477624473989074,-4.835994826913522,0.694366295831869,0.754497437210344,0.7041021530330553,0.6832257262147415,0.615311033284229
7,5,5,3,0.3423401316320266,0.6604223896858143,0.3502946629467158,0.15968229520177885,0.03820868183981461,0.775,1.0,0.55,0.325,0.1,0.0,0.5,1.0,1.0,0.0,0.5,0.5,1.0,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.22820283195631533,-4.542620516229814,0.6060378349749598,0.5955590437190731,0.6311679653002631,0.9092621226330225,0.6474871696828035
8,5,5,3,0.23061225767635568,0.46164347994968863,0.756232364146148,0.2406228225207368,0.03607097149514982,0.55,0.775,1.0,0.325,0.1,0.0,0.5,0.5,0.5,1.0,1.0,0.5,0.0,1.0,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,1.0,0.5,0.5,0.5,0.0,0.5205451735121661,-4.876918480980645,0.6208271718086928,0.6128808131766759,0.6447261897982662,0.5934508205547946,0.4702428398343828
9,5,5,3,0.5128495115863799,0.33280363566666676,0.2665507661670791,0.04705169057120098,0.292282633478292,1.0,0.775,0.55,0.1,0.325,1.0,0.5,0.0,0.5,1.0,0.0,1.0,1.0,1.0,0.5,0.5,0.0,1.0,1.0,0.0,0.5,0.5,0.0,1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.42111370637698314,-4.672951948589115,0.902154226361114,0.7609707963784882,0.7156779493073206,1.052040134046067,0.901976575690349
10,5,5,3,0.3469579454086632,0.25861273733047974,0.4684924578944566,0.2445922511033361,0.06693364110159426,1.0,0.775,0.55,0.325,0.1,0.0,0.5,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5,0.0,1.0,0.5,0.5,0.0,1.0,0.5,0.2485036605710515,-4.4484020709061625,0.7534558899198697,0.8051973876796932,0.7615587061073612,0.7750948061803146,0.7544359672128675
