Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,c.P6,c.P7,c.P8,c.P9,c.P10,p.P1,p.P2,p.P3,p.P4,p.P5,p.P6,p.P7,p.P8,p.P9,p.P10,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta1.P6,theta1.P7,theta1.P8,theta1.P9,theta1.P10,beta_0,beta_p,beta_theta1
0,10,1,3,0.2904234477046921,0.15503267807960242,0.46714116049929444,0.6230283322717027,0.5228508852707605,0.34802699767540257,0.3050935002138979,0.21929706572583996,0.03373871595355993,0.16405918030384975,0.8,0.6,0.9,1.0,0.7000000000000001,0.5,0.4,0.30000000000000004,0.1,0.2,0.5,0.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.0,0.49386620832936845,-4.790409904095975,0.299419991587811
1,10,1,3,0.4522597616797709,0.40750778821721584,0.21297845965692963,0.5678502976997811,0.42370582855953726,0.769053538882701,0.1266017644972882,0.33277925254941176,0.23828943581860737,0.060813430991094375,1.0,0.7000000000000001,0.5,0.8,0.6,0.9,0.2,0.4,0.30000000000000004,0.1,0.5,0.5,0.5,1.0,0.0,1.0,0.5,0.5,0.5,0.0,0.5460452224676139,-4.959709152480973,0.4997629349773835
2,10,1,3,0.3771220153057778,0.23551323680059255,0.43814016689732144,0.4003379797998729,0.08913420503611386,0.31369833765579164,0.05277226945514804,0.8026832085610819,0.3340248224208918,0.04611766442883522,1.0,0.6,0.8,0.7000000000000001,0.30000000000000004,0.5,0.2,0.9,0.4,0.1,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.3892331108458022,-3.9320469849614796,0.3496902096877347
3,10,1,3,0.1843141066686954,0.38107519279386487,0.18708086490456355,0.6035808117232317,0.5374510916769202,0.1549997482307892,0.11717488708161516,0.2783323830948313,0.11079301266005,0.05898994261950932,0.7000000000000001,0.8,0.6,1.0,0.9,0.5,0.30000000000000004,0.4,0.2,0.1,1.0,0.5,0.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.4517457765273934,-4.497091361133476,0.4992381780205958
4,10,1,3,0.6297942133563469,0.5529559848896327,0.4760673044461286,0.4695840091035995,0.38201982217591174,0.08915320295831666,0.4957288079971768,0.24279336082893294,0.34404225291399426,0.0758115661067692,1.0,0.9,0.8,0.7000000000000001,0.5,0.2,0.6,0.30000000000000004,0.4,0.1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.3450878177821064,-4.357127860792098,0.5824306168961891
5,10,1,3,0.3367805364750539,0.17766087366791483,0.38261910402226545,0.5079100019102535,0.21304871700697187,0.7602695475372566,0.23683167668538765,0.14027772860157545,0.029494456665194915,0.15584834031507366,0.9,0.6,0.7000000000000001,0.8,0.5,1.0,0.4,0.30000000000000004,0.1,0.2,0.0,1.0,0.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.2166695161314294,-4.153460296042597,0.7847343354593275
6,10,1,3,0.2925712782850649,0.5094419978981235,0.4952955786364115,0.4870516737399676,0.18919376419241726,0.39674776726077426,0.16696685114521614,0.39245987673562654,0.055832334383250914,0.15868877342645166,1.0,0.9,0.8,0.7000000000000001,0.4,0.6,0.30000000000000004,0.5,0.1,0.2,0.0,0.0,0.5,0.5,0.0,0.5,1.0,0.0,0.5,0.5,0.6926298736232653,-4.5475470891006,0.08353073785721013
7,10,1,3,0.2442347534880538,0.22137866684008706,0.3505115350772981,0.6454047477978713,0.14910004039069902,0.10471409860791397,0.3393960304063031,0.842065831108073,0.10371901689736306,0.0295357124651974,0.8,0.6,0.7000000000000001,0.9,0.4,0.30000000000000004,0.5,1.0,0.2,0.1,1.0,0.0,0.5,0.5,1.0,0.0,0.0,1.0,0.5,1.0,0.5476533003250301,-4.63646573314009,0.24600971206073652
8,10,1,3,0.34670179582703897,0.4339916293686262,0.15306683125143283,0.7037443871319675,0.30506182352189504,0.4881003335162907,0.2225910567382349,0.07229379590355348,0.1875819355999929,0.06870300689788274,0.9,0.8,0.5,1.0,0.6,0.7000000000000001,0.4,0.2,0.30000000000000004,0.1,0.5,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0.5,0.0,0.5635185831471826,-4.454923979087831,0.83809021990046
9,10,1,3,0.32794491108208196,0.6547924698508392,0.26639513481195,0.6773003285009309,0.2791727198907094,0.19168788187111008,0.5956784049690731,0.09109712374831398,0.03819433991734511,0.2592657969894904,0.7000000000000001,1.0,0.6,0.9,0.5,0.4,0.8,0.2,0.1,0.30000000000000004,0.0,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.5,1.0,0.6092253754026699,-5.060851777606653,0.5587557762547025
10,10,1,3,0.36965539571028166,0.3274313507918634,0.5936392764028913,0.31400622122734595,0.27472151386989785,0.08541330941489161,0.2093379399540244,0.8734485278680997,0.14534817785338774,0.058861047317370865,0.8,0.7000000000000001,0.9,0.6,0.5,0.30000000000000004,0.4,1.0,0.2,0.1,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.5,1.0,1.0,0.5988767860266675,-4.944041561341415,0.5653084878375433
11,10,1,3,0.568244027694182,0.5651033788971733,0.41900428496577824,0.06464218565887464,0.36575346124190566,0.1912605459484673,0.2920423576280727,0.4940446517326865,0.7092185403337908,0.07460143323874505,1.0,0.9,0.7000000000000001,0.2,0.5,0.30000000000000004,0.4,0.6,0.8,0.1,0.5,1.0,0.0,0.0,0.5,0.0,1.0,0.5,1.0,1.0,0.3930129097174855,-4.220486183602424,0.4212488766904352
12,10,1,3,0.39764500510932554,0.23763063804151857,0.19656699406004152,0.5883083396703132,0.25353544087132507,0.5582482319624159,0.07554126546427214,0.19861842681107736,0.3257301270946484,0.07499707656560184,1.0,0.7000000000000001,0.6,0.9,0.5,0.8,0.2,0.30000000000000004,0.4,0.1,0.0,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.8458565618919672,-4.895651447312047,0.24738702276370306
13,10,1,3,0.3694035821022127,0.21421821443710776,0.1724398426370396,0.10751949017233337,0.5962833010451725,0.09802196535073732,0.5508945368332981,0.7529394432764276,0.12458365366409133,0.08725896534884624,1.0,0.6,0.5,0.4,0.8,0.30000000000000004,0.7000000000000001,0.9,0.2,0.1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.45898437328542,-3.9077228205768506,0.8197768296111861
14,10,1,3,0.37106623097793556,0.36653909094285764,0.4304720446365794,0.3944058279592791,0.22747501863169767,0.09593281303858497,0.5029481632839363,0.11292724056009285,0.3449309772132165,0.0627486841564527,1.0,0.9,0.8,0.7000000000000001,0.5,0.30000000000000004,0.6,0.2,0.4,0.1,1.0,0.0,0.5,0.5,1.0,0.0,0.5,0.5,0.5,1.0,0.26422651192623836,-3.5712162394694804,1.0652199973043728
15,10,1,3,0.47300871180316895,0.39109865071147987,0.23812379042542564,0.13253780716165742,0.27823254494133554,0.3790792437960339,0.6690110627997858,0.21781096614622478,0.12125984608743737,0.07736350550611444,1.0,0.9,0.7000000000000001,0.4,0.5,0.6,0.8,0.30000000000000004,0.2,0.1,0.5,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.5,0.0,0.40516894849473845,-3.89290665128138,0.42033802764659745
16,10,1,3,0.3432337500805098,0.48140551768331574,0.36014077144073303,0.17978078475929576,0.3052808603973397,0.1506850049053564,0.07650918121680378,0.2846903932060041,0.7024288628961004,0.03474949409006538,1.0,0.9,0.7000000000000001,0.5,0.6,0.30000000000000004,0.2,0.4,0.8,0.1,0.0,0.0,0.5,0.5,0.5,0.0,1.0,1.0,0.5,0.0,0.5523814717483213,-4.119839165720443,0.43057476162529934
