Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,c.P6,c.P7,c.P8,c.P9,c.P10,p.P1,p.P2,p.P3,p.P4,p.P5,p.P6,p.P7,p.P8,p.P9,p.P10,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta1.P6,theta1.P7,theta1.P8,theta1.P9,theta1.P10,theta2.P1,theta2.P2,theta2.P3,theta2.P4,theta2.P5,theta2.P6,theta2.P7,theta2.P8,theta2.P9,theta2.P10,theta3.P1,theta3.P2,theta3.P3,theta3.P4,theta3.P5,theta3.P6,theta3.P7,theta3.P8,theta3.P9,theta3.P10,beta_0,beta_p,beta_theta1,beta_theta2,beta_theta3
0,10,3,3,0.22846512020747078,0.4836051203642491,0.20471392112187003,0.29716930979262357,0.26104008837323106,0.6623606009794929,0.4874131917954155,0.2083651118793841,0.04350106825183986,0.16517601469608156,0.9,1.0,0.7000000000000001,0.5,0.4,0.8,0.6,0.30000000000000004,0.1,0.2,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.0,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,1.0,0.5,0.670522364273956,-4.5593784453917054,0.7306924885790246,0.6490902838780405,0.5575096800477594
1,10,3,3,0.3123182197774037,0.4502538473307894,0.10850419159285085,0.7653797392234345,0.4613197479384558,0.5755216772614082,0.21587067337895943,0.43151209790599543,0.13676877038884877,0.08830452861672691,0.9,0.8,0.4,1.0,0.6,0.7000000000000001,0.30000000000000004,0.5,0.2,0.1,0.0,0.5,0.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.6706805353751591,-4.280347227520147,0.7368903310149727,0.7993461443886359,0.6806101132447283
2,10,3,3,0.24299508007579673,0.5023643866568499,0.20477039263729507,0.22651014500280608,0.7067875565544806,0.07638480779830702,0.18619585965502003,0.3172703881552085,0.5204257291225727,0.03197508335588947,0.8,1.0,0.7000000000000001,0.5,0.9,0.2,0.30000000000000004,0.4,0.6,0.1,1.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.5,1.0,0.0,1.0,0.5,1.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.29731935360438916,-4.508107558786302,0.963830081709382,0.8692186810356037,0.7764876849765944
3,10,3,3,0.29860277407004593,0.7059724272554067,0.24097855976795513,0.1609529077992193,0.5689454455801942,0.5154842240620708,0.7881399971284371,0.22106501129379727,0.13880870971244738,0.0699602966739808,0.6,1.0,0.5,0.4,0.8,0.7000000000000001,0.9,0.30000000000000004,0.2,0.1,0.5,1.0,0.5,0.5,0.0,0.0,1.0,0.5,0.0,1.0,0.0,0.5,1.0,0.5,1.0,1.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,1.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0763507384279679,-4.150854844676298,0.9459214254906854,0.7933362255479431,1.1359812671342808
4,10,3,3,0.32734630977519635,0.5874273011040777,0.4456831666385146,0.36311813992486286,0.16435582368288135,0.1011357908031503,0.8416482884993461,0.09873381896946441,0.4313298923479231,0.06917723376669993,0.8,0.9,0.7000000000000001,0.6,0.4,0.30000000000000004,1.0,0.2,0.5,0.1,0.0,0.0,0.5,0.5,0.5,0.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,0.3400068217621135,-4.747466602713305,0.7024896451705234,0.561880997046996,0.7668872118950922
5,10,3,3,0.49530708144604685,0.5402086988724806,0.34129370336840664,0.33531767395887796,0.07911133395315081,0.2859261570284682,0.6359740643542872,0.3193803116513581,0.03753826475682111,0.1787489842454173,1.0,0.9,0.7000000000000001,0.6,0.30000000000000004,0.5,0.8,0.4,0.1,0.2,0.5,0.5,0.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.5,0.628927053050922,-4.284665339658211,0.5473623904801164,0.7331755658021363,0.6089647837696943
6,10,3,3,0.4057464760563268,0.21748754362293032,0.3792913575989363,0.30435955142723103,0.7181370551254689,0.23727772280199982,0.06001663443112604,0.2786742514020308,0.2514222367546805,0.08645937273986043,0.9,0.7000000000000001,0.8,0.6,1.0,0.5,0.2,0.4,0.30000000000000004,0.1,1.0,0.0,1.0,0.5,0.0,1.0,0.5,1.0,0.5,1.0,0.0,0.5,1.0,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.5,1.0,0.5,1.0,0.0,0.5044242879692011,-4.6251222765559135,0.28959735858932106,0.1291791465259808,0.1697697221245684
7,10,3,3,0.2530795094969911,0.34648883978285516,0.3025529009267767,0.27101392178624467,0.1693811762074119,0.46496847161715377,0.1660511902349725,0.28723977094005354,0.11732414067448366,0.03950450089135772,1.0,0.9,0.8,0.7000000000000001,0.5,0.6,0.30000000000000004,0.4,0.2,0.1,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.5,0.0,1.0,1.0,0.0,0.5,0.5764017422572447,-4.655060736699137,0.4472844359805714,0.49905317911375635,0.5414074327176852
8,10,3,3,0.29206900250263557,0.5461460198417176,0.48455201844023976,0.7046321803350245,0.34149186698611333,0.24680285980554828,0.06870914421550045,0.47330207274782143,0.2022969055658192,0.07518433766050536,0.8,1.0,0.7000000000000001,0.9,0.5,0.4,0.2,0.6,0.30000000000000004,0.1,1.0,0.5,1.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.0,0.4619797091950491,-5.13318652655876,0.41916399643120067,0.4487828817677687,0.4511680290746215
9,10,3,3,0.3043087170136477,0.18964962909446237,0.3156973369406546,0.3835784812549002,0.3078642355291479,0.8590211405865178,0.3090469799447555,0.11382198369494455,0.0375442009767645,0.265954339859869,0.9,0.7000000000000001,0.8,0.6,0.5,1.0,0.4,0.2,0.1,0.30000000000000004,0.5,0.5,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.0,1.0,0.5,0.5,0.44212174799803744,-3.874100825173471,0.7435287512520429,0.5916830251576419,0.4699574213165029
