Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,c.P6,c.P7,c.P8,c.P9,c.P10,p.P1,p.P2,p.P3,p.P4,p.P5,p.P6,p.P7,p.P8,p.P9,p.P10,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta1.P6,theta1.P7,theta1.P8,theta1.P9,theta1.P10,theta2.P1,theta2.P2,theta2.P3,theta2.P4,theta2.P5,theta2.P6,theta2.P7,theta2.P8,theta2.P9,theta2.P10,theta3.P1,theta3.P2,theta3.P3,theta3.P4,theta3.P5,theta3.P6,theta3.P7,theta3.P8,theta3.P9,theta3.P10,theta4.P1,theta4.P2,theta4.P3,theta4.P4,theta4.P5,theta4.P6,theta4.P7,theta4.P8,theta4.P9,theta4.P10,theta5.P1,theta5.P2,theta5.P3,theta5.P4,theta5.P5,theta5.P6,theta5.P7,theta5.P8,theta5.P9,theta5.P10,beta_0,beta_p,beta_theta1,beta_theta2,beta_theta3,beta_theta4,beta_theta5
0,10,5,3,0.4829598913754815,0.6389104381532,0.2470235570207634,0.23230975693904404,0.20741846366953018,0.5228040028017239,0.16027634947039435,0.6784454460044977,0.134594485156503,0.04760658520127542,0.9,1.0,0.6,0.5,0.4,0.7000000000000001,0.30000000000000004,0.8,0.2,0.1,0.0,0.0,0.5,0.5,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.0,1.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.5,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.0,0.0,1.0,0.0,0.5231476099448802,-5.029903859736446,0.2402785401736838,0.13350489296565135,0.17168611218352584,0.37514344950522766,0.39055421062488255
1,10,5,3,0.34430567418464464,0.16756131194202262,0.5723042617151246,0.42629151852377034,0.13797771661880776,0.25531673220836526,0.05201372615398148,0.6800097689329497,0.2329840389112628,0.08062135747254862,1.0,0.6,0.9,0.7000000000000001,0.4,0.5,0.2,0.8,0.30000000000000004,0.1,0.5,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,1.0,1.0,0.5,0.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,0.5,0.0,0.47704177725863434,-4.481146376677297,0.2961705790961284,0.46775745934635493,0.6697887260139794,0.6397287815773052,0.5809579783594526
2,10,5,3,0.3572449582137883,0.4562959509007802,0.5967615055958769,0.39983365485340655,0.3176892628430535,0.1849066093833549,0.18862882642388382,0.4210094390292579,0.1616763975929607,0.08279269319310939,1.0,0.8,0.9,0.7000000000000001,0.6,0.4,0.30000000000000004,0.5,0.2,0.1,0.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.5,0.0,0.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.0,1.0,0.0,1.0,0.5,1.0,0.5,1.0,0.5,0.5936822208006974,-4.449231558352573,0.3433584652743124,0.6631509564151137,0.48036205554807443,0.5129633578968086,0.673790875422492
3,10,5,3,0.23120197993358216,0.3420389317192959,0.24518281954966198,0.6929609313179367,0.09558803068209171,0.06583549646991116,0.3731356875745834,0.7045128349457999,0.35909474143125186,0.07111137971581823,0.9,0.7000000000000001,0.6,1.0,0.30000000000000004,0.2,0.5,0.8,0.4,0.1,1.0,0.5,0.0,0.5,1.0,1.0,0.5,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.0,0.5,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.5,0.0,0.5,0.0,1.0,1.0,1.0,0.0,0.5,1.0,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5,0.0,0.5,0.0,0.5,0.6252441656596887,-4.6245721766410215,0.7350970271842947,0.5825415021649311,0.8077829591718066,0.7674341310396646,0.8165129006526433
4,10,5,3,0.30226936768111584,0.41366184267800366,0.23208149872876482,0.24721782232470668,0.2332829342284362,0.15923852902206095,0.0815614542615907,0.8997805738226813,0.32797392971283434,0.08823738210116504,0.8,0.9,0.7000000000000001,0.6,0.5,0.30000000000000004,0.2,1.0,0.4,0.1,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,1.0,0.5,0.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,1.0,0.6275244287045637,-4.103205851560549,-0.026221632965841967,0.25001358926574835,0.0273319454331135,0.10054655616213867,-0.007926450638827635
5,10,5,3,0.4579629845024398,0.18374212109911514,0.4513581700327112,0.19472015955828115,0.32075400793158226,0.08341045789683721,0.08106358439570045,0.8022618874860277,0.31155896517938503,0.03849717393120633,1.0,0.7000000000000001,0.8,0.5,0.6,0.30000000000000004,0.2,0.9,0.4,0.1,0.5,0.5,0.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.47283409109879926,-4.498455092134058,0.009057315516560166,0.2877158733516371,0.08824475174469676,0.23965724406621003,0.133906318215268
6,10,5,3,0.39085895051154684,0.20702100310158644,0.4003852001956338,0.33998231626306524,0.1515566535946666,0.7228920054998064,0.165795048993704,0.09599082934590153,0.03727126839891193,0.4430422885867895,1.0,0.8,0.7000000000000001,0.6,0.4,0.9,0.30000000000000004,0.2,0.1,0.5,1.0,1.0,0.0,0.5,0.5,1.0,0.5,0.5,0.0,0.0,1.0,0.5,0.0,0.5,1.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.5,1.0,0.5,0.5,0.0,0.0,1.0,0.0,0.5,0.19886805358540005,-4.697238520537524,0.733344644357656,0.8309184014580347,0.7464274488452518,0.8023142812972249,0.8257057317543122
7,10,5,3,0.3291426065865203,0.4641469800894673,0.317992794538174,0.1817778793303202,0.4028791549625726,0.39188255701476793,0.2083657989223991,0.11360445450521192,0.05826403065857161,0.029532126343013818,0.9,1.0,0.8,0.5,0.7000000000000001,0.6,0.4,0.30000000000000004,0.2,0.1,0.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.5,0.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,1.0,1.0,0.0,0.5,1.0,0.7152071063163379,-4.170980056752146,0.10050578998714214,0.3259907612702965,0.1712157162860818,-0.03755245476828636,0.11975754047603004
8,10,5,3,0.25497412840052225,0.3571537711963645,0.3282684952063474,0.18021193731355523,0.4261758006446246,0.6686525818330322,0.18615148121776023,0.09818369252687009,0.44979129685981295,0.07632139336903454,1.0,0.9,0.7000000000000001,0.4,0.6,0.8,0.30000000000000004,0.2,0.5,0.1,0.5,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,1.0,0.0,1.0,0.5,0.0,0.5,1.0,0.5,1.0,0.5,0.0,0.21347242113500728,-4.490081757954651,0.8818619595087642,1.034756320826488,1.034852304678594,1.000122726802207,0.9209267857594261
9,10,5,3,0.273954957408276,0.3452307988686255,0.1998681423333346,0.16099433347540543,0.3778957516395031,0.5925175481659882,0.19544105006365672,0.17683163540996732,0.12922257736932213,0.04478615179870995,1.0,0.9,0.6,0.5,0.7000000000000001,0.8,0.4,0.30000000000000004,0.2,0.1,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.0,1.0,0.0,0.0,1.0,0.5,0.0,0.5,1.0,0.5,0.5,0.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,0.5,1.0,0.0,1.0,1.0,0.5,0.0,1.0,0.3490006567429374,-4.434943753903838,0.8212579618464154,0.7541514247754482,0.6020795266249723,0.6573674711643213,0.8210714503588578
