Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,c.P6,c.P7,c.P8,c.P9,c.P10,c.P11,c.P12,c.P13,c.P14,c.P15,c.P16,c.P17,c.P18,c.P19,c.P20,p.P1,p.P2,p.P3,p.P4,p.P5,p.P6,p.P7,p.P8,p.P9,p.P10,p.P11,p.P12,p.P13,p.P14,p.P15,p.P16,p.P17,p.P18,p.P19,p.P20,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta1.P6,theta1.P7,theta1.P8,theta1.P9,theta1.P10,theta1.P11,theta1.P12,theta1.P13,theta1.P14,theta1.P15,theta1.P16,theta1.P17,theta1.P18,theta1.P19,theta1.P20,theta2.P1,theta2.P2,theta2.P3,theta2.P4,theta2.P5,theta2.P6,theta2.P7,theta2.P8,theta2.P9,theta2.P10,theta2.P11,theta2.P12,theta2.P13,theta2.P14,theta2.P15,theta2.P16,theta2.P17,theta2.P18,theta2.P19,theta2.P20,theta3.P1,theta3.P2,theta3.P3,theta3.P4,theta3.P5,theta3.P6,theta3.P7,theta3.P8,theta3.P9,theta3.P10,theta3.P11,theta3.P12,theta3.P13,theta3.P14,theta3.P15,theta3.P16,theta3.P17,theta3.P18,theta3.P19,theta3.P20,beta_0,beta_p,beta_theta1,beta_theta2,beta_theta3
0,20,3,3,0.27384886220577986,0.25012329008863465,0.27221111302015166,0.2208324800371793,0.5244760876541921,0.3380216237672867,0.11612219327395695,0.6894382166424088,0.5560727733299733,0.15530231129216987,0.2776316928787582,0.39379389495022205,0.1655843497374948,0.48994031019879364,0.11631470776774488,0.5912838894515652,0.16611863353436057,0.4186534727802289,0.0998433769435611,0.06887240252572424,1.0,0.8578947368421053,0.8105263157894737,0.7157894736842105,0.9526315789473684,0.6210526315789474,0.38421052631578945,0.9052631578947369,0.7631578947368421,0.33684210526315794,0.43157894736842106,0.5263157894736842,0.2894736842105263,0.5736842105263158,0.19473684210526315,0.6684210526315789,0.24210526315789474,0.4789473684210527,0.1473684210526316,0.1,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.0,0.5,0.5,0.0,1.0,0.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.0,1.0,0.5,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.5,1.0,0.5,0.0,1.0,1.0,0.5,0.5,0.5,0.5692178553343588,-4.69077800304538,0.09275625365118241,0.25438060548770214,0.17848720981993235
1,20,3,3,0.27017461722214153,0.4032947125819116,0.6540937014724166,0.4972989047595244,0.27298362562218187,0.7022194801475701,0.16205454549384346,0.3325008236003654,0.4289148055947169,0.856039238804657,0.10181108291205157,0.06223878255297843,0.6901380801669377,0.5038887514803507,0.561537992398556,0.18719644452064135,0.2949329868336449,0.08635113471409427,0.3771813161492009,0.06418543272891218,0.8578947368421053,0.7157894736842105,0.9526315789473684,0.7631578947368421,0.5263157894736842,0.9052631578947369,0.33684210526315794,0.4789473684210527,0.5736842105263158,1.0,0.24210526315789474,0.19473684210526315,0.8105263157894737,0.6210526315789474,0.6684210526315789,0.2894736842105263,0.38421052631578945,0.1473684210526316,0.43157894736842106,0.1,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,1.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,0.5,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.6266311142533767,-4.214316907133739,0.37663437025125374,0.44496109543727413,0.27963752599227654
2,20,3,3,0.2464756104468786,0.3169326908499723,0.502262053788334,0.23157687106982977,0.516622443770457,0.4267042540728764,0.29089881520325295,0.2659486891880333,0.8017158140376772,0.5806907484768256,0.20234223239904695,0.11443413822620307,0.42278950807773674,0.4860056345779808,0.07840141872251863,0.2327142799442459,0.05504043196690141,0.15909746950607992,0.025782449381332645,0.3740748122912883,0.9052631578947369,0.8105263157894737,0.9526315789473684,0.6684210526315789,0.8578947368421053,0.7157894736842105,0.5263157894736842,0.4789473684210527,1.0,0.7631578947368421,0.38421052631578945,0.2894736842105263,0.5736842105263158,0.6210526315789474,0.19473684210526315,0.33684210526315794,0.1473684210526316,0.24210526315789474,0.1,0.43157894736842106,0.5,0.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.5,1.0,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.8283438166704798,-4.7849444522624776,0.7334571519494086,0.5387357383735157,0.5895680303619737
3,20,3,3,0.20763055308726353,0.35088918515625345,0.3061388970284264,0.5520070533637492,0.12438348503007557,0.28160249006501675,0.364516723300175,0.4815616567203163,0.6130436455546245,0.14946398147596016,0.7888317123349696,0.11673041706792117,0.2711968891752163,0.3770462217886108,0.45153552016515747,0.09620527188530709,0.1667986397743843,0.2736989701754968,0.12967378830724371,0.08366855217994988,0.8105263157894737,0.9052631578947369,0.7157894736842105,0.9526315789473684,0.4789473684210527,0.6210526315789474,0.6684210526315789,0.7631578947368421,0.8578947368421053,0.38421052631578945,1.0,0.2894736842105263,0.43157894736842106,0.5263157894736842,0.5736842105263158,0.19473684210526315,0.24210526315789474,0.33684210526315794,0.1473684210526316,0.1,0.5,0.0,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.5,0.0,0.5,0.5,1.0,1.0,1.0,0.5,0.0,0.0,1.0,0.5,1.0,0.5,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,1.0,0.0,0.5,1.0,0.5,1.0,0.5,0.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5908583527280715,-5.145354404426537,0.5127630827269106,0.43615431031426544,0.7610327616444748
4,20,3,3,0.3220093384571693,0.33588080704759116,0.3194799218911143,0.2846472763429069,0.420162590490975,0.2858554106297114,0.2514415062151387,0.6784212474573069,0.11691845109670196,0.2363725246802168,0.6638277310639901,0.22330144058841955,0.6172933436081512,0.17756612184297146,0.13069188625854042,0.7040287165002179,0.0786571800973685,0.12704295113743772,0.06594207357537257,0.07957735939210742,1.0,0.7631578947368421,0.6684210526315789,0.6210526315789474,0.7157894736842105,0.5736842105263158,0.5263157894736842,0.9526315789473684,0.38421052631578945,0.4789473684210527,0.9052631578947369,0.43157894736842106,0.8105263157894737,0.33684210526315794,0.2894736842105263,0.8578947368421053,0.19473684210526315,0.24210526315789474,0.1473684210526316,0.1,1.0,1.0,0.0,1.0,0.5,0.0,1.0,0.5,0.5,0.5,0.0,0.5,0.0,0.5,1.0,0.0,1.0,1.0,0.5,1.0,0.0,0.5,1.0,1.0,0.5,0.0,1.0,0.0,0.5,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,0.5,0.0,0.5,0.5,1.0,1.0,0.5,0.0,0.5,0.5,1.0,0.0,1.0,1.0,0.5980707049107898,-4.5960272128661375,0.006872178797370839,0.2508307113017411,0.1613922525410589
5,20,3,3,0.334215979050808,0.23451417498667948,0.20717011924852513,0.37828235734345816,0.31544463105192744,0.6084490012759496,0.4377097393660201,0.09715491192338377,0.21489503280585853,0.12521289973540126,0.7057342929734304,0.43785055799025374,0.38296849725727183,0.31730430896140877,0.46840967319559373,0.19092664656672229,0.14175685162059692,0.05785716790538638,0.11859881461712564,0.21718545960344673,1.0,0.8105263157894737,0.7157894736842105,0.8578947368421053,0.6684210526315789,0.9526315789473684,0.7631578947368421,0.38421052631578945,0.4789473684210527,0.33684210526315794,0.9052631578947369,0.6210526315789474,0.5263157894736842,0.43157894736842106,0.5736842105263158,0.2894736842105263,0.19473684210526315,0.1,0.1473684210526316,0.24210526315789474,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,1.0,0.5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,1.0,0.5,0.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,0.5,1.0,0.0,0.0,1.0,0.33344189910592786,-4.113456372598239,0.2820867033350418,0.15455620942086387,0.13308882146621479
6,20,3,3,0.26040361251202515,0.3918961652663842,0.15706439935433036,0.6169359569846135,0.4795535328664476,0.354615829480617,0.32324323561802326,0.5483365208764633,0.7952397893801015,0.2546841639489613,0.5419275166316572,0.09866993966814266,0.07818791288959095,0.17714444045089733,0.05235530681361686,0.547633332989398,0.26570282272457985,0.42224101411470255,0.3346619610285773,0.05240492858450361,0.9052631578947369,0.8578947368421053,0.5263157894736842,0.9526315789473684,0.8105263157894737,0.6684210526315789,0.5736842105263158,0.7631578947368421,1.0,0.43157894736842106,0.7157894736842105,0.24210526315789474,0.19473684210526315,0.2894736842105263,0.1473684210526316,0.6210526315789474,0.33684210526315794,0.4789473684210527,0.38421052631578945,0.1,0.5,1.0,1.0,1.0,0.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.0,1.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.0,1.0,0.5,1.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,0.22901995379550363,-4.502563496288134,0.7045971355803686,0.8275271875371993,0.588219780152186
7,20,3,3,0.17983886416945927,0.17234371845725555,0.5396731870975715,0.3587661147798423,0.33824974598169694,0.2666225855847704,0.13409009305011366,0.25644553541392423,0.12841762941639212,0.11787866992601895,0.6411822007669453,0.2995340810676673,0.746570323125096,0.44954503828529513,0.8297484718913228,0.08087515119298154,0.14501536595504144,0.06904482859896827,0.23832011012777757,0.06342542515163817,0.7157894736842105,0.6684210526315789,1.0,0.8105263157894737,0.7631578947368421,0.6210526315789474,0.43157894736842106,0.5263157894736842,0.38421052631578945,0.33684210526315794,0.8578947368421053,0.4789473684210527,0.9052631578947369,0.5736842105263158,0.9526315789473684,0.19473684210526315,0.24210526315789474,0.1473684210526316,0.2894736842105263,0.1,0.5,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,0.0,0.5,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.0,1.0,1.0,0.0,0.5,1.0,0.0,0.5,0.6003866241540522,-4.20592358677605,0.5316575314697283,0.5760348276032148,0.3980931148478007
8,20,3,3,0.21612349404971198,0.3684868700968136,0.43085481572224926,0.15576105712098398,0.3032897810456087,0.46029303924111725,0.15194713923770675,0.1402986486087313,0.08748243550275775,0.5640839917335082,0.786188927322769,0.45747593318082425,0.25432022971921536,0.4122196044358198,0.12923785772670116,0.1591347415072926,0.025691174340972442,0.31043384063437324,0.10303298217496376,0.16157157785297083,0.7631578947368421,0.9052631578947369,0.9526315789473684,0.6210526315789474,0.7157894736842105,0.8578947368421053,0.5263157894736842,0.4789473684210527,0.33684210526315794,0.8105263157894737,1.0,0.6684210526315789,0.43157894736842106,0.5736842105263158,0.2894736842105263,0.24210526315789474,0.1,0.38421052631578945,0.1473684210526316,0.19473684210526315,1.0,0.5,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.5,1.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.5,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.47659902093470513,-4.121955824528949,0.723059610851162,0.6827802099303567,0.7083818854393755
9,20,3,3,0.2736130650158667,0.2608531971459802,0.33060300553220345,0.1433121909884637,0.48917077913745105,0.24221451694867757,0.45285903274244543,0.6980936545257487,0.10273720226194405,0.7671461361768299,0.35844930823937043,0.07437824759241352,0.4386877246412867,0.08366474825944029,0.5414595375760731,0.27094783433887837,0.32546000419457616,0.10794124100000317,0.07513575701664514,0.03905572413224262,0.9052631578947369,0.8578947368421053,0.7631578947368421,0.4789473684210527,0.8105263157894737,0.5263157894736842,0.7157894736842105,0.9526315789473684,0.33684210526315794,1.0,0.5736842105263158,0.2894736842105263,0.6210526315789474,0.24210526315789474,0.6684210526315789,0.38421052631578945,0.43157894736842106,0.19473684210526315,0.1473684210526316,0.1,0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.5,1.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.5,0.0,0.5,0.5,0.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.47395448080092345,-4.41963718658171,0.3595473904196083,0.5530008554286072,0.5472025703557774
