Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,c.P6,c.P7,c.P8,c.P9,c.P10,c.P11,c.P12,c.P13,c.P14,c.P15,c.P16,c.P17,c.P18,c.P19,c.P20,p.P1,p.P2,p.P3,p.P4,p.P5,p.P6,p.P7,p.P8,p.P9,p.P10,p.P11,p.P12,p.P13,p.P14,p.P15,p.P16,p.P17,p.P18,p.P19,p.P20,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta1.P6,theta1.P7,theta1.P8,theta1.P9,theta1.P10,theta1.P11,theta1.P12,theta1.P13,theta1.P14,theta1.P15,theta1.P16,theta1.P17,theta1.P18,theta1.P19,theta1.P20,theta2.P1,theta2.P2,theta2.P3,theta2.P4,theta2.P5,theta2.P6,theta2.P7,theta2.P8,theta2.P9,theta2.P10,theta2.P11,theta2.P12,theta2.P13,theta2.P14,theta2.P15,theta2.P16,theta2.P17,theta2.P18,theta2.P19,theta2.P20,theta3.P1,theta3.P2,theta3.P3,theta3.P4,theta3.P5,theta3.P6,theta3.P7,theta3.P8,theta3.P9,theta3.P10,theta3.P11,theta3.P12,theta3.P13,theta3.P14,theta3.P15,theta3.P16,theta3.P17,theta3.P18,theta3.P19,theta3.P20,theta4.P1,theta4.P2,theta4.P3,theta4.P4,theta4.P5,theta4.P6,theta4.P7,theta4.P8,theta4.P9,theta4.P10,theta4.P11,theta4.P12,theta4.P13,theta4.P14,theta4.P15,theta4.P16,theta4.P17,theta4.P18,theta4.P19,theta4.P20,theta5.P1,theta5.P2,theta5.P3,theta5.P4,theta5.P5,theta5.P6,theta5.P7,theta5.P8,theta5.P9,theta5.P10,theta5.P11,theta5.P12,theta5.P13,theta5.P14,theta5.P15,theta5.P16,theta5.P17,theta5.P18,theta5.P19,theta5.P20,beta_0,beta_p,beta_theta1,beta_theta2,beta_theta3,beta_theta4,beta_theta5
0,20,5,3,0.22746076826452255,0.3856397865128901,0.3402581210612845,0.5459802845336013,0.32492602210928484,0.21452888627366629,0.31358291266723454,0.2907345876289389,0.5031187716072105,0.7093577205141381,0.23373000121185633,0.47539329999292995,0.07712550634580864,0.27425233792777065,0.08808216983298545,0.40496194456452345,0.22649618595190638,0.2868215684609216,0.10468720693028319,0.07296384877333356,0.8105263157894737,0.9052631578947369,0.8578947368421053,1.0,0.7157894736842105,0.5263157894736842,0.6210526315789474,0.5736842105263158,0.7631578947368421,0.9526315789473684,0.43157894736842106,0.6684210526315789,0.24210526315789474,0.38421052631578945,0.19473684210526315,0.4789473684210527,0.2894736842105263,0.33684210526315794,0.1473684210526316,0.1,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,1.0,0.5,0.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,1.0,0.0,0.5,0.5,1.0,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,1.0,0.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.38447433782162205,-4.4658701850795275,0.5186813829048771,0.21740605767303375,0.5127611869031806,0.2978724356727993,0.45905701728752035
1,20,5,3,0.30771201614859134,0.46179828834174014,0.24041702005793253,0.31089608114237854,0.12847268211325313,0.42029133356078296,0.29757021750986146,0.4986471442851656,0.12217125834764231,0.646329250190255,0.8106200662424102,0.38964477750922494,0.06820249533020414,0.23235950888900642,0.04319441991534041,0.4336553008523648,0.20744343018489345,0.03156169983420587,0.14351787289764462,0.38795803816615865,0.9052631578947369,0.9526315789473684,0.7157894736842105,0.6684210526315789,0.4789473684210527,0.7631578947368421,0.6210526315789474,0.8105263157894737,0.33684210526315794,0.8578947368421053,1.0,0.5736842105263158,0.24210526315789474,0.38421052631578945,0.1473684210526316,0.5263157894736842,0.2894736842105263,0.1,0.19473684210526315,0.43157894736842106,1.0,1.0,0.5,0.5,0.5,0.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,1.0,0.5,1.0,0.0,0.5,0.0,1.0,0.0,0.5,1.0,1.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,0.5,0.0,0.5,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.4380543000116141,-5.248948846919826,0.7038485908223163,0.5861406314032576,0.7090150405446004,0.5675171477990067,0.7716846651335709
2,20,5,3,0.27543343369344486,0.26531532012434567,0.24370342319972815,0.3012759218437232,0.4706482787824624,0.2916367683765204,0.15233549653386969,0.18686821522261443,0.2350331333693304,0.3776964720327878,0.14205404818444206,0.10960260473723438,0.050683676786051735,0.859582643998739,0.12768965315905853,0.801988226142819,0.42564162756095875,0.6355498398049539,0.07114994737211067,0.0731136460854541,0.9526315789473684,0.8578947368421053,0.7631578947368421,0.6684210526315789,0.8105263157894737,0.6210526315789474,0.4789473684210527,0.38421052631578945,0.43157894736842106,0.5736842105263158,0.33684210526315794,0.2894736842105263,0.19473684210526315,1.0,0.24210526315789474,0.9052631578947369,0.5263157894736842,0.7157894736842105,0.1473684210526316,0.1,1.0,0.5,1.0,1.0,0.5,0.0,0.5,0.0,0.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.0,0.5,0.0,0.0,1.0,0.5,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.5,0.0,1.0,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.5,0.0,0.5,1.0,1.0,0.0,0.0,1.0,0.5,1.0,0.0,0.5,1.0,1.0,0.0,0.0,0.5,0.0,1.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.2895550543144734,-4.893133119003614,0.9350483654846242,0.8345186550859877,0.9136819200759786,0.8685349033930087,0.969180748825758
3,20,5,3,0.29884752070059184,0.2838853494919459,0.16665066095698045,0.3071037861495527,0.17373099285211135,0.3592294307804837,0.20458943628738302,0.7671596233000899,0.2346511286133382,0.3357279694126568,0.7154932462542343,0.6739858149955634,0.146228754556698,0.8298168643253834,0.13694030567973628,0.09163037303738697,0.2829711889036137,0.026762528916421488,0.27129711924895705,0.12379934394180055,0.8105263157894737,0.7631578947368421,0.6210526315789474,0.7157894736842105,0.5736842105263158,0.6684210526315789,0.4789473684210527,1.0,0.43157894736842106,0.5263157894736842,0.9052631578947369,0.8578947368421053,0.2894736842105263,0.9526315789473684,0.24210526315789474,0.19473684210526315,0.38421052631578945,0.1,0.33684210526315794,0.1473684210526316,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0,1.0,0.5,0.5,1.0,1.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.5,1.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.5,1.0,0.0,0.5,0.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,1.0,0.0,1.0,1.0,0.0,0.5,1.0,1.0,0.5,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,1.0,0.6320741957459501,-4.280228132754358,0.39855163006144667,0.28673688828462646,0.21977683531903164,0.3134847573091441,0.42830705933565544
4,20,5,3,0.27385087413899856,0.5208483434185769,0.4819345901737075,0.42476446193692585,0.5702208197656243,0.16864135939137248,0.348674845772489,0.4454963058174698,0.18283073848659587,0.13647201903781067,0.5232618092989846,0.10618290018369245,0.15603915447683708,0.06910015838560762,0.331308493338933,0.5208669610334457,0.4398669988295293,0.7262382321214734,0.07212591509830234,0.06580923436161978,0.9526315789473684,1.0,0.8578947368421053,0.7631578947368421,0.9052631578947369,0.4789473684210527,0.5736842105263158,0.6684210526315789,0.38421052631578945,0.33684210526315794,0.7157894736842105,0.24210526315789474,0.2894736842105263,0.19473684210526315,0.43157894736842106,0.6210526315789474,0.5263157894736842,0.8105263157894737,0.1473684210526316,0.1,1.0,1.0,1.0,0.5,0.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,0.0,0.5,0.0,1.0,1.0,0.5,0.0,0.5,1.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,1.0,0.5,0.5,1.0,0.5,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.6545655955116874,-5.211810427358964,0.3059156404943568,0.005257140624724137,0.18514605703634548,0.18245071451747832,0.4114056440716539
5,20,5,3,0.24334847115040048,0.48104921964565217,0.40389505946661053,0.39266206927821906,0.4361758741564251,0.39047754899280074,0.2974951344848587,0.6400750758650875,0.13981540631369868,0.3868672481797993,0.1540429071029166,0.07440260679340013,0.1247802539619513,0.05204317966832983,0.3483360129217692,0.3017425590524052,0.40311512491313367,0.5957131569860452,0.06437595362420566,0.11584121730291608,0.8578947368421053,1.0,0.9052631578947369,0.8105263157894737,0.7631578947368421,0.7157894736842105,0.6210526315789474,0.9526315789473684,0.38421052631578945,0.5736842105263158,0.33684210526315794,0.24210526315789474,0.2894736842105263,0.19473684210526315,0.4789473684210527,0.43157894736842106,0.5263157894736842,0.6684210526315789,0.1,0.1473684210526316,0.5,0.5,0.5,0.0,0.5,0.0,0.5,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.5,0.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0,0.0,0.5,0.0,0.5,0.5,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.5,0.0,1.0,0.6273424717011443,-5.0767263099459985,0.484868469775983,0.30665944336072154,0.4547332096641011,0.5700848453262347,0.6214926006444383
6,20,5,3,0.36715605751257685,0.33931329814689537,0.278912632659992,0.31862943298879604,0.48739464478476857,0.6933301375148067,0.25261820830768933,0.4040190442938947,0.16038471597017245,0.1323695652695143,0.24169327939191326,0.2924797217259741,0.44022179514385207,0.3993756977185829,0.12491169622472709,0.743899222528417,0.1293462741647203,0.0879963352417625,0.04369432324475253,0.11575933279390226,0.9526315789473684,0.9052631578947369,0.7631578947368421,0.7157894736842105,0.8105263157894737,1.0,0.5263157894736842,0.6684210526315789,0.38421052631578945,0.33684210526315794,0.43157894736842106,0.4789473684210527,0.6210526315789474,0.5736842105263158,0.2894736842105263,0.8578947368421053,0.24210526315789474,0.19473684210526315,0.1,0.1473684210526316,0.0,1.0,0.0,1.0,0.5,0.5,1.0,1.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,1.0,0.5,1.0,0.5,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,1.0,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,1.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.7205432628096007,-4.915081849626894,0.558303665790555,0.7171487441679617,0.6252853505212845,0.6939706151473933,0.4930123233554415
7,20,5,3,0.24308446176643783,0.20466857038745245,0.364170074387515,0.5439057097387169,0.7496993424217678,0.6423202097371282,0.3148853573097935,0.47405990108956175,0.12481519874407643,0.4091266047769636,0.33363368698429263,0.49863662418396254,0.1286937886789178,0.7983971340256123,0.33615701120251595,0.12892946875766523,0.32228648630271256,0.09862828386820782,0.29418223340864463,0.06660846097653443,0.7631578947368421,0.7157894736842105,0.8105263157894737,0.9526315789473684,1.0,0.8578947368421053,0.5263157894736842,0.6684210526315789,0.2894736842105263,0.5736842105263158,0.4789473684210527,0.6210526315789474,0.24210526315789474,0.9052631578947369,0.43157894736842106,0.19473684210526315,0.38421052631578945,0.1473684210526316,0.33684210526315794,0.1,1.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5,0.5,0.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0,0.5,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,0.5,1.0,0.5,1.0,1.0,0.5,0.5,1.0,0.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.2821917391848237,-4.825068001898405,0.6989308242263542,0.8058834830196436,1.0343788524345203,0.7497415828269459,0.7714291513154569
8,20,5,3,0.30847787260336645,0.36390853578199733,0.1856809710964068,0.3137459987576141,0.3940544220615686,0.2423800037327492,0.36724603667367206,0.5575875091497834,0.18887560201197176,0.24517434128278515,0.12221829068607487,0.7384809078910608,0.08509805553237182,0.18630845686855899,0.8612586823727852,0.3532520334025838,0.060656977635940454,0.4497772325456795,0.04956180907335487,0.15925798805253563,0.9526315789473684,0.8578947368421053,0.6210526315789474,0.7157894736842105,0.7631578947368421,0.5736842105263158,0.6684210526315789,0.8105263157894737,0.38421052631578945,0.43157894736842106,0.2894736842105263,0.9052631578947369,0.24210526315789474,0.33684210526315794,1.0,0.4789473684210527,0.1473684210526316,0.5263157894736842,0.1,0.19473684210526315,0.0,0.5,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.5,0.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.5,0.5,0.0,0.5,0.5,1.0,1.0,1.0,0.0,0.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.5,0.5,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.0,1.0,1.0,0.5,1.0,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.5,1.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.0,0.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.5,0.7331399485184172,-5.262949903599132,0.7161387959699153,0.6585720620631904,0.5422979177925222,0.6255336113816854,0.5960446900471719
9,20,5,3,0.3259160815475315,0.24115339600238006,0.22556579923063563,0.5394883566459223,0.5965130188561325,0.33161130109667203,0.5253742619816648,0.27997436323949454,0.6941417409154246,0.1822953786805029,0.06780856497186502,0.5974818540311647,0.19143012258799152,0.4463109380123207,0.35971845287809623,0.3170670088174374,0.09478544506852597,0.09198418297686356,0.2354472198386087,0.07013441049566312,0.8578947368421053,0.7157894736842105,0.6684210526315789,0.9526315789473684,1.0,0.6210526315789474,0.8105263157894737,0.5263157894736842,0.9052631578947369,0.38421052631578945,0.24210526315789474,0.7631578947368421,0.33684210526315794,0.5736842105263158,0.4789473684210527,0.43157894736842106,0.19473684210526315,0.1473684210526316,0.2894736842105263,0.1,0.5,1.0,1.0,0.5,0.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5,0.0,0.5,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,0.5,0.0,1.0,0.5,1.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.0,0.5,0.0,0.0,0.5,0.5,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,0.5,0.5,0.5,0.0,1.0,0.0,0.5,0.0,1.0,1.0,0.18828345796188414,-4.191655615761985,0.23503172459669794,0.3792745331377841,0.3430174733038494,0.1757048097594048,0.2720481939697912
