Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,p.P1,p.P2,p.P3,p.P4,p.P5,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,a.P1,a.P2,a.P3,a.P4,a.P5,b.1,b.2,b.3,b.4,b.5,gamma0,gamma1,eta0,eta1
0,5,1,3,0.3076136794844968,0.5565487247952048,0.15981762271530742,0.09302913980874364,0.06034847941530028,0.775,1.0,0.55,0.325,0.1,1.0,0.5,0.5,0.0,0.0,0.3640667641485166,0.2513977792974531,0.3560661399273718,0.3964991367419269,0.4060138634697462,3.404235632346356,4.995209329262255,2.3374329217048,3.2166964397095152,4.470328859587433,0.5722098079603803,1.2735889934981541,1,1
1,5,1,3,0.15553850196327734,0.6818036729355422,0.5489355970529435,0.2552873833684597,0.0703150026933481,0.55,1.0,0.775,0.325,0.1,0.0,1.0,0.5,0.5,0.5,0.3313939019418771,0.26164035406759256,0.4626252690578259,0.37633838098947153,0.3765896056951259,2.1449147710098546,2.533815857983264,4.776974252919828,3.429713057069246,3.9656420868670637,0.44959306537390453,1.2286463379179167,1,1
2,5,1,3,0.2565206025427036,0.5092749816805157,0.8214285218752183,0.028594913837235655,0.2901338528036037,0.55,0.775,1.0,0.1,0.325,0.5,1.0,0.5,0.0,1.0,0.28989293843012226,0.3940664286547006,0.46015131986450664,0.2284022033270753,0.25946362001393947,3.612624431488858,2.5458465171773548,3.8412629327406194,4.711562294055663,4.497175890221186,0.9145714250652909,1.6924282698616129,1,1
3,5,1,3,0.2952749642192807,0.2610790915521465,0.44378190734648854,0.03263935238205179,0.2682202261738732,1.0,0.775,0.55,0.1,0.325,0.5,1.0,0.0,0.0,0.5,0.30277885044778957,0.20656007584699393,0.435329233647869,0.4720836434027994,0.23235153087793206,4.506417183559836,3.9266805824882307,2.5717624251100575,2.7530219308806214,4.246219374643658,0.11055455759841015,1.5502441424743543,1,1
4,5,1,3,0.2963240974968185,0.188259232689588,0.11586886993662404,0.8510531194370219,0.0881566660390708,0.775,0.55,0.325,1.0,0.1,0.5,0.0,0.5,1.0,0.5,0.20288073429101078,0.4170910099801448,0.49808320904478354,0.2126782355897439,0.3583991490320054,3.9113686986466663,3.3865895538536357,3.383292768245773,3.786362045095683,4.8033639442982246,0.3003573193310993,1.7197917250397494,1,1
5,5,1,3,0.2914224100009595,0.5984302056697952,0.13112509124637392,0.4303156189819248,0.0535654527140252,0.775,1.0,0.325,0.55,0.1,1.0,1.0,0.5,1.0,0.0,0.2608129635696725,0.4849646045705671,0.3986160730393013,0.3670179406504115,0.30133284178286013,3.205549882530782,3.357912566499782,2.3074396342306835,3.6533060785231086,3.543294549241726,0.2806107273368632,1.1834915900358887,1,1
6,5,1,3,0.3621065849470897,0.5882158259976408,0.3669402428206331,0.253410854683265,0.06744291830642128,1.0,0.775,0.55,0.325,0.1,1.0,0.0,0.5,0.0,0.5,0.32164833821207234,0.2503922499007796,0.2832443778923607,0.27334898168626764,0.28031650578335143,3.8533399108362003,4.0305928503506525,3.3910299595041433,2.0781395600557877,3.8083597036484953,0.5782445933487602,1.7530600597916095,1,1
7,5,1,3,0.31835366990103814,0.7830217984180915,0.35996004987226415,0.24726179906704177,0.06556966857004262,0.775,1.0,0.55,0.325,0.1,0.5,1.0,0.5,0.5,0.0,0.29655480265678497,0.36560242542828514,0.27448771779757264,0.3771181880118961,0.3254499611259749,4.904506352121817,4.851478480550391,3.974521416079609,4.62586186976174,3.3309022403817776,0.727630861076586,1.2173288554346111,1,1
8,5,1,3,0.4041464783063832,0.10613125526191924,0.5756336113199968,0.36463776907770534,0.033030120125323775,1.0,0.325,0.775,0.55,0.1,1.0,0.5,0.5,0.0,0.0,0.4416638682872993,0.37544612710183867,0.47360147435229066,0.2410484970061303,0.32810690373657536,4.591467632016922,3.919606430836567,2.208225759865713,2.8602834554277994,3.8119360358026397,0.7769937961209475,1.7320299467800855,1,1
9,5,1,3,0.3586064733818186,0.20814976209230818,0.6176544278612649,0.25260169748415984,0.04108799726767492,1.0,0.55,0.775,0.325,0.1,1.0,0.0,1.0,1.0,0.0,0.37341008889791655,0.4453972091449617,0.48621181882333714,0.4429053398859325,0.3466858778358408,3.653046551650258,4.031086117620617,3.283524344535527,3.6323149033995965,3.747573801596825,0.13492142746843522,1.1801838553567912,1,1
10,5,1,3,0.19112876899971826,0.4626267787648914,0.7336068502558856,0.14644447800446306,0.0780848815392862,0.55,0.775,1.0,0.325,0.1,0.5,0.5,0.5,0.5,0.0,0.26062172386161764,0.29930292655906376,0.4670140526242393,0.41102172345647536,0.4681562874635191,3.879750877234866,2.0150458747849007,2.1536459053562247,4.294840792865282,2.3567430904396485,0.8134604060445858,1.1695950982961052,1,1
11,5,1,3,0.1847020185621614,0.48749831360952794,0.7709066092831001,0.1791011885098905,0.0747464478008524,0.55,0.775,1.0,0.325,0.1,0.0,0.5,0.5,1.0,0.5,0.44418095723918904,0.25119254772462757,0.37497068421703517,0.3933099734128543,0.3198435161591753,4.57552347935153,2.5603259486065273,4.0002264128674705,2.2637305587543866,3.8177472596789994,0.28014368471642037,1.063315494478751,1,1
12,5,1,3,0.47995658778978356,0.26100655439548015,0.1707185900729585,0.6467699091545842,0.061267323584399805,1.0,0.55,0.325,0.775,0.1,1.0,1.0,0.5,1.0,0.0,0.29547839121415015,0.27631360001361593,0.3592579586713657,0.4486453443724263,0.23132181518324227,4.535232906836546,2.2689279713716255,4.7774319849215825,4.043781662109986,4.440200712259445,0.704081647699628,1.489657674816542,1,1
