Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,p.P1,p.P2,p.P3,p.P4,p.P5,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta2.P1,theta2.P2,theta2.P3,theta2.P4,theta2.P5,theta3.P1,theta3.P2,theta3.P3,theta3.P4,theta3.P5,theta4.P1,theta4.P2,theta4.P3,theta4.P4,theta4.P5,theta5.P1,theta5.P2,theta5.P3,theta5.P4,theta5.P5,a.P1,a.P2,a.P3,a.P4,a.P5,b.1,b.2,b.3,b.4,b.5,gamma0,gamma1,gamma2,gamma3,gamma4,gamma5,eta0,eta1,eta2,eta3,eta4,eta5
0,5,5,3,0.3471245174395263,0.2376606108153302,0.1735871376732942,0.17795967592718642,0.06663338652264454,1.0,0.775,0.55,0.325,0.1,0.5,0.5,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.472214503859589,0.2692228416096014,0.4630372844172849,0.29527373238499216,0.35013525974729465,2.9305889609722087,4.733252503888501,4.934530942028219,3.706395657835495,2.028879888269641,0.5072790620754467,1.2973247396189733,1.2973247396189733,1.2973247396189733,1.2973247396189733,1.2973247396189733,1,1,1,1,1,1
1,5,5,3,0.49274336965399235,0.5529729365284942,0.18823772413812856,0.42773567871900664,0.03493475871855903,1.0,0.775,0.325,0.55,0.1,1.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.0,0.5,1.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.5,1.0,1.0,0.0,0.5,0.0,0.2510850387548763,0.34431606939926285,0.48647364583421937,0.264093755794506,0.39510433085982877,4.652458310623988,2.1952654728700676,3.5453871720232057,3.4793140003536434,2.4057998886849594,0.6930036747557254,1.7218223920326938,1.7218223920326938,1.7218223920326938,1.7218223920326938,1.7218223920326938,1,1,1,1,1,1
2,5,5,3,0.22266464242127448,0.7740576455045571,0.3453857441030735,0.153932501728463,0.06151238634947529,0.775,1.0,0.55,0.325,0.1,1.0,0.5,1.0,0.0,0.5,1.0,0.5,1.0,0.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.0,0.5,0.5,1.0,0.0,0.0,0.5,0.2765370962127815,0.4996299510977035,0.20793910437011487,0.4292641936839839,0.21138957051966728,2.5112242330666317,3.8503023663564813,4.550784932104969,2.2886992105561648,4.136044362352184,0.7690823660083813,1.0531313401588034,1.0531313401588034,1.0531313401588034,1.0531313401588034,1.0531313401588034,1,1,1,1,1,1
3,5,5,3,0.22483456483020736,0.7023782092140629,0.11022403554944366,0.3834607065066657,0.0819610880304768,0.775,1.0,0.325,0.55,0.1,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.0,0.5,0.5,0.0,0.0,0.5,1.0,1.0,1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.4338265387675903,0.4194738094543836,0.25154305477036615,0.35744455141452935,0.24117502786946954,2.545491718932748,3.1864470056457477,3.2332752921642918,2.271808958650648,3.728695181421398,0.714349233655055,1.0735968779570912,1.0735968779570912,1.0735968779570912,1.0735968779570912,1.0735968779570912,1,1,1,1,1,1
4,5,5,3,0.08459608440955663,0.7880353061510581,0.625955042365654,0.468125476113892,0.029148795525736182,0.325,1.0,0.775,0.55,0.1,0.5,1.0,0.5,1.0,0.0,0.5,0.5,1.0,0.5,0.0,0.0,1.0,1.0,0.5,0.0,0.5,0.5,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.4903743146106031,0.26461580896897585,0.4535391846645281,0.25895387856652574,0.34811528482642323,3.8622073097112293,3.9466848408994335,2.2391565654840746,2.0980693941048645,2.1933576016156584,0.28125868561404643,1.2054695620728855,1.2054695620728855,1.2054695620728855,1.2054695620728855,1.2054695620728855,1,1,1,1,1,1
5,5,5,3,0.49916774611209114,0.18721299079896192,0.5759551237652759,0.28660011581056777,0.06960726099437922,1.0,0.55,0.775,0.325,0.1,1.0,0.0,1.0,0.0,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.0,1.0,0.5,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0.5,0.5,1.0,0.5,0.20994191156414385,0.39972956862569353,0.26523772003021584,0.40421113253517815,0.20310976168228506,2.931996756254051,3.429795883297679,3.159073295894187,4.377566425074828,3.485859112061802,0.3911915125857601,1.1465648611528434,1.1465648611528434,1.1465648611528434,1.1465648611528434,1.1465648611528434,1,1,1,1,1,1
6,5,5,3,0.32565750743327404,0.1409057567062263,0.567735081443289,0.28540263371239344,0.06858490182885404,1.0,0.55,0.775,0.325,0.1,1.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.5,1.0,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.45028089048048,0.3971703546591009,0.22600665383342786,0.4949541272309902,0.4289878731316387,4.671558833176787,2.842149056829456,2.929703398663165,4.738220528528418,3.8750519335136087,0.7241712155378294,1.91696038328537,1.91696038328537,1.91696038328537,1.91696038328537,1.91696038328537,1,1,1,1,1,1
7,5,5,3,0.26979138920033097,0.4134927103483075,0.2829992331159234,0.24461418590962963,0.03899951082565241,1.0,0.775,0.55,0.325,0.1,1.0,0.5,0.5,0.0,0.5,1.0,1.0,0.5,0.5,0.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.0,1.0,0.5,0.0,0.5,0.0,0.2808911874437705,0.20069466534684577,0.32845315968894717,0.20171798855035122,0.4892729256203452,3.655440973237555,3.8207467622902564,2.8958613184482553,3.362886738075094,2.0159446161971735,0.9495295099933277,1.8234178761066588,1.8234178761066588,1.8234178761066588,1.8234178761066588,1.8234178761066588,1,1,1,1,1,1
8,5,5,3,0.20121431841679183,0.6366397385043223,0.44490725721999586,0.24340361222618218,0.0394285594049096,0.775,1.0,0.55,0.325,0.1,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.0,0.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,1.0,0.4821557082694578,0.43694864633543457,0.23058288555859754,0.4322299281514532,0.20486332614618707,4.389229434288914,3.8235268718369824,3.1267490942500884,3.016036309829675,3.5089249773128355,0.7442802304618195,1.8902558236664335,1.8902558236664335,1.8902558236664335,1.8902558236664335,1.8902558236664335,1,1,1,1,1,1
9,5,5,3,0.5104039489855678,0.46205821796696567,0.38594786962499206,0.05785953630633515,0.28736054853037196,1.0,0.775,0.55,0.1,0.325,0.5,0.5,0.0,0.0,0.5,0.5,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.24889716147719415,0.44979238195247595,0.3751021162093571,0.29336764309130636,0.4624998647798245,2.065620415530289,3.6504441951846456,3.8515078955939672,4.618230614912733,4.930968166144265,0.6900125259345694,1.756126612357442,1.756126612357442,1.756126612357442,1.756126612357442,1.756126612357442,1,1,1,1,1,1
