Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,c.P6,c.P7,c.P8,c.P9,c.P10,p.P1,p.P2,p.P3,p.P4,p.P5,p.P6,p.P7,p.P8,p.P9,p.P10,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta1.P6,theta1.P7,theta1.P8,theta1.P9,theta1.P10,a.P1,a.P2,a.P3,a.P4,a.P5,a.P6,a.P7,a.P8,a.P9,a.P10,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,gamma0,gamma1,eta0,eta1
0,10,1,3,0.4953772219649645,0.2807604733133104,0.23963158762648723,0.4903731565491207,0.1537297004640853,0.2718095695420085,0.7783185556048435,0.11544723045401382,0.026681391377619185,0.25295473860983897,1.0,0.7000000000000001,0.6,0.8,0.4,0.5,0.9,0.2,0.1,0.30000000000000004,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.3425287681130134,0.23291464599798523,0.3541216340695764,0.283809830601762,0.4754272931157516,0.28205803598640333,0.3257120542287011,0.3793507566597455,0.4488792353897697,0.4932275090621403,3.454710798398411,2.6907445284534086,4.68059256525016,2.5218213293585805,3.139736706951841,3.0187897827468433,4.578344958054548,2.250411773482596,2.1152099528378274,4.9153608666329625,0.37302679487473855,1.9098569388752418,1,1
1,10,1,3,0.36158601722709227,0.3945038284836907,0.7464646254342298,0.6499716211351023,0.3581077630976992,0.470693537511686,0.3073683096721508,0.15373664063062442,0.06510010948271498,0.2678073335031288,0.9,0.7000000000000001,1.0,0.8,0.5,0.6,0.4,0.2,0.1,0.30000000000000004,1.0,0.5,1.0,0.5,0.0,0.5,1.0,0.5,0.0,0.0,0.2510095988738304,0.33811899724275296,0.4590036463510434,0.4347185056979851,0.45820878091439754,0.25870657979814454,0.4254674310864244,0.2828118767913327,0.3053173562194502,0.41451393730986874,3.574870540230018,3.1642746901335195,3.855245525867063,2.899489924692145,2.5352706943744656,2.2400493127641132,2.2656920823699522,3.590237508932533,3.4973733176735697,2.1636499690672863,0.6740253911064598,1.7049404834424564,1,1
2,10,1,3,0.25555052636335285,0.2634275067679744,0.21013663760729295,0.44440891840897706,0.6820425785671916,0.09410021414616176,0.27966620100078327,0.6970439091792476,0.13918772112586475,0.06153367315551457,1.0,0.6,0.5,0.7000000000000001,0.9,0.30000000000000004,0.4,0.8,0.2,0.1,0.5,0.5,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.45128832141448766,0.46110179532155343,0.4637528276958177,0.32721164679769266,0.4975876396124101,0.2515995342592898,0.4226128781386199,0.2661115814793532,0.37233203690690686,0.36124722555202904,2.8302044534623922,3.533490218926678,4.270364336409206,3.8593937456326453,2.1595704626055605,2.313865665060959,2.5815935165439137,2.887130315565316,4.292967878303747,4.778657860182133,0.22074345381688243,1.9467879041932383,1,1
3,10,1,3,0.37816892516261746,0.21998284855399808,0.3364657806676927,0.609310589731908,0.22062776597546185,0.45880708348234056,0.18709316213889524,0.13073135723137191,0.44594305048048083,0.05912798757304843,1.0,0.8,0.7000000000000001,0.9,0.4,0.6,0.30000000000000004,0.2,0.5,0.1,1.0,0.5,0.5,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.3741264181017523,0.3303737269165904,0.29478860365838794,0.40825183572437607,0.25488236916638574,0.3194778378639322,0.45615564362302735,0.46119685581742337,0.41585942567965983,0.46390662398705423,3.7777891687775456,3.4010210237036933,4.580115896801465,4.961647278854178,3.744680685728871,3.144638735061923,4.698417021053469,3.4688695712127697,2.342056865883582,4.220939280629079,0.9004460104779077,1.0375169377648372,1,1
4,10,1,3,0.6586307266761791,0.570412790642746,0.21766352448597592,0.562730104809637,0.16184877964996716,0.5664027855420688,0.4714090317212438,0.3042549432346084,0.1330762831465225,0.04319574124519193,1.0,0.9,0.5,0.8,0.30000000000000004,0.7000000000000001,0.6,0.4,0.2,0.1,0.5,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.4336498935860145,0.41305799270271626,0.4841593237934683,0.21502394685849846,0.23826896431044217,0.2598551630018468,0.23595809637224074,0.26821148673607936,0.2397634951880624,0.3682806959356181,4.6441558485356325,3.718326333660867,3.2831380874386453,2.9671843431844405,2.2964050371387055,4.646821004693839,2.3781726984699723,2.863464908858476,2.950381508199673,2.664878373757489,0.704247230208943,1.2193444348863887,1,1
5,10,1,3,0.17504214714899813,0.32078870785077296,0.5300014468796203,0.290682530214579,0.13190033425452163,0.31998533987588773,0.866041488734046,0.18697988870654356,0.13039410675460758,0.06077871778873081,0.7000000000000001,0.8,0.9,0.6,0.4,0.5,1.0,0.30000000000000004,0.2,0.1,0.5,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.5,0.5,0.4795488708925664,0.39183218077583193,0.4148449551009925,0.2898928479412973,0.3515006322824169,0.40005773198790573,0.41321179060731494,0.2009193791529688,0.32237655169957735,0.47944544109666215,4.167839658707116,4.4559864816257715,2.0279734613127713,3.6882665048107075,4.701169731196139,2.7746418900622296,3.072432573616725,2.3507589975155287,2.90560998423383,2.84701037571775,0.8233708301468664,1.3122521794171813,1,1
6,10,1,3,0.4967536041580488,0.21514651476575952,0.1779322579518715,0.18246968024489948,0.41693331157164476,0.6659929456434699,0.7944165716448602,0.2243037417841076,0.13333898999985047,0.06222582761467817,1.0,0.7000000000000001,0.5,0.4,0.6,0.8,0.9,0.30000000000000004,0.2,0.1,0.5,0.5,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.4769315187811032,0.4296328767198785,0.31164155068517535,0.22008794501511736,0.29249391006123887,0.36426687157359083,0.29925415648084497,0.36313845809936746,0.4536661870759418,0.49409502028701274,4.327486504913493,4.718612143535594,2.167246338111909,2.720768429010797,2.91257246710091,2.344125974904684,4.387955039117697,4.11269471871109,3.947040145379363,3.554110925654446,0.9173583292540127,1.7193878302775398,1,1
7,10,1,3,0.41153970505961945,0.3997981904584029,0.16200782313720657,0.27100380866258617,0.49348721820729813,0.21519056881979304,0.12365245839272138,0.26770060655954636,0.09526381029949016,0.06777639694943226,1.0,0.9,0.6,0.7000000000000001,0.8,0.5,0.30000000000000004,0.4,0.2,0.1,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.2394162751701392,0.28333403575654015,0.4067851024673542,0.4203223020405271,0.4829806436625814,0.34166441911683276,0.33993894809292563,0.49888562751115917,0.3962716987031957,0.24636052343928044,4.047444893339361,3.368267017895765,3.9482035303515968,3.297666164988981,4.740709238205296,3.3456696757659863,4.133853214139397,3.209971320157217,3.442294256662032,2.5151863519186284,0.8465851543820873,1.7270676617631326,1,1
8,10,1,3,0.3076759975171335,0.2541419106228565,0.20371912539077242,0.45782849792346636,0.5960886532757825,0.23290457490724492,0.1474489130901861,0.2892891549013462,0.12151312026408961,0.02516925718523931,1.0,0.7000000000000001,0.6,0.8,0.9,0.5,0.30000000000000004,0.4,0.2,0.1,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.5,1.0,0.5,0.40277770589502737,0.3669809860314116,0.29269962276787803,0.2102152167739166,0.38437102565912235,0.3862343209739978,0.41773891073087543,0.41227750655203066,0.2968353776959159,0.3100678491623295,3.9257985336532344,4.217122391655893,3.8438711826262644,3.668213052751237,3.600605955420879,2.884368196307641,3.27910654365207,3.673418876026097,3.9459880720030323,2.2301579925929875,0.506146131850307,1.394845469162997,1,1
9,10,1,3,0.23701757700043358,0.23827943634464344,0.19644074711684623,0.1796423137700741,0.1212783176764336,0.35795693218408764,0.7699326796259311,0.050003800382122016,0.2621286907737996,0.07244323223702319,0.9,0.8,0.7000000000000001,0.5,0.4,0.6,1.0,0.2,0.30000000000000004,0.1,0.5,0.5,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.38012855582775873,0.2634080766651139,0.3255971841737111,0.2313821634578949,0.25841852254887704,0.2468174750125975,0.3530928368861681,0.4554208242156031,0.40783991279168763,0.44670305216589734,3.699154800200636,4.872830020018201,2.656720444812241,4.573612525107879,3.7580236202560404,3.6345497754605347,3.0191205865977504,4.82237971232628,2.855674395756091,2.0142014725324997,0.4090432934090835,1.6872693459464347,1,1
