Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,c.P6,c.P7,c.P8,c.P9,c.P10,p.P1,p.P2,p.P3,p.P4,p.P5,p.P6,p.P7,p.P8,p.P9,p.P10,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta1.P6,theta1.P7,theta1.P8,theta1.P9,theta1.P10,theta2.P1,theta2.P2,theta2.P3,theta2.P4,theta2.P5,theta2.P6,theta2.P7,theta2.P8,theta2.P9,theta2.P10,theta3.P1,theta3.P2,theta3.P3,theta3.P4,theta3.P5,theta3.P6,theta3.P7,theta3.P8,theta3.P9,theta3.P10,a.P1,a.P2,a.P3,a.P4,a.P5,a.P6,a.P7,a.P8,a.P9,a.P10,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,gamma0,gamma1,gamma2,gamma3,eta0,eta1,eta2,eta3
0,10,3,3,0.24585812896100573,0.6558410055083083,0.582219860982537,0.2320445869370198,0.5632326882480437,0.06466275386717973,0.6997211384509313,0.3046133450545969,0.2329745282619668,0.06233744960786869,0.6,1.0,0.9,0.5,0.7000000000000001,0.2,0.8,0.4,0.30000000000000004,0.1,0.0,1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,1.0,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.46436742493534733,0.4051591353155591,0.38344465198346656,0.43393093758563234,0.2364994819070396,0.4386034947890338,0.46812155614082895,0.27531375245875145,0.390153720405642,0.28686637354272965,3.5630138020394533,2.7727426980323164,3.321092324416713,4.178472856493277,4.08243558429537,4.394067115907295,2.2706741517629663,4.70482397582362,2.9837827894923556,2.8123743144176774,0.6029245961190872,1.177190321044281,1.177190321044281,1.177190321044281,1,1,1,1
1,10,3,3,0.23638114892060802,0.4528468249329707,0.17484890651224116,0.34728681150229657,0.12834767683704965,0.05901924453082372,0.3998436024758558,0.8021532519591709,0.32313972537752783,0.046996403175304846,0.8,1.0,0.6,0.7000000000000001,0.30000000000000004,0.2,0.5,0.9,0.4,0.1,0.5,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.0,0.5,1.0,1.0,0.0,0.5,0.5,0.0,1.0,1.0,0.5,0.0,0.5,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.5,0.3467374174458363,0.4884510134725286,0.24252477456248261,0.4457610800709372,0.3846979672955322,0.2303488388891033,0.37543764164427895,0.3810761600905268,0.2601873945026875,0.319890672903215,3.5354752437958172,3.701132097180586,2.174363660911566,2.995201527136082,4.5694916554845095,3.6478254075859087,2.9223259059335462,2.118615474775348,4.012864195721763,2.310137923520434,0.704142394729918,1.6171452432203175,1.6171452432203175,1.6171452432203175,1,1,1,1
2,10,3,3,0.426100696699535,0.2981492085981275,0.813469916435862,0.22866711886848173,0.6459805426146267,0.4504206745002004,0.1781071932788846,0.4468958979898589,0.053342405131434845,0.16886182323413662,0.9,0.7000000000000001,1.0,0.4,0.8,0.6,0.30000000000000004,0.5,0.1,0.2,1.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.4321872252596684,0.3053193431062888,0.2986228756519774,0.3651870064562769,0.24288753354131926,0.2426853914624868,0.2292396042975451,0.4835675415497379,0.42142207434439166,0.26929378812566196,4.69527099729358,3.97967301292643,3.901004026353948,3.0281185304532663,4.929600860335208,2.771536021152764,4.870550742179071,4.829858440375543,4.63271393634278,2.742534063899919,0.22898290049522246,1.7844579351439118,1.7844579351439118,1.7844579351439118,1,1,1,1
3,10,3,3,0.15340718678080945,0.5879985230069893,0.5160056800483405,0.08717284093759525,0.500289067468092,0.7844633784667189,0.08871104229760059,0.31996246909549864,0.43757091909606927,0.07737919450153649,0.6,1.0,0.8,0.30000000000000004,0.7000000000000001,0.9,0.2,0.4,0.5,0.1,1.0,1.0,0.5,1.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.5,0.5,1.0,0.5,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,1.0,0.0,0.4442698196342426,0.37837764548182695,0.45919649494784864,0.336765394530095,0.2950738184257168,0.3580671675110624,0.34891275079270756,0.2746231083772188,0.230536152116025,0.22174698977713977,2.906673654584832,4.057972043749324,4.379768632450248,2.9183549559175184,2.914798656623939,3.4453826733029675,3.9799140914676885,4.998481801730966,4.6158943700792285,2.6112468801437254,0.17132665520494575,1.31893451169306,1.31893451169306,1.31893451169306,1,1,1,1
4,10,3,3,0.2508049674537004,0.24367959911772197,0.41061506326140174,0.16298572276342171,0.7214639165943225,0.6324555838850408,0.058676441740117435,0.17589235739643483,0.44633694214708247,0.07442986109273292,1.0,0.6,0.7000000000000001,0.4,0.9,0.8,0.2,0.30000000000000004,0.5,0.1,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.5,0.0,1.0,0.5,0.5,0.0,1.0,1.0,0.5,0.5,0.0,0.5,0.3042549079836992,0.29034973252322105,0.4428614952655845,0.4117345649503163,0.2608192078585801,0.27746543843191995,0.336997094771333,0.46534047462046224,0.39221932123917014,0.2294173074884736,2.2046836492405655,2.6163178219701386,4.140263082650415,4.775988473190381,2.377162127181766,2.523176420841179,2.483972612473838,3.484685550681019,3.550359409419902,4.617535479050684,0.8560064610017517,1.6720697625357452,1.6720697625357452,1.6720697625357452,1,1,1,1
5,10,3,3,0.2137357557702264,0.5178337564113001,0.4904654093809869,0.10396182526858372,0.3228977321108573,0.08687755784743001,0.8713844664583944,0.41844144410933193,0.12026996519907768,0.025265206641490318,0.7000000000000001,0.9,0.8,0.4,0.6,0.30000000000000004,1.0,0.5,0.2,0.1,0.5,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.0,0.5,0.5,0.4756574712293244,0.30560361999912755,0.33178491683953604,0.3889409550350128,0.450275601619844,0.30516349168209134,0.438447560013429,0.4103076693805743,0.36197118095922975,0.4575502506518197,2.18516729306338,3.082219311399437,3.7630445773191603,3.9211599208477255,3.6668398386969274,4.698136523064954,3.6168350270994276,2.6013579115940595,2.1585573476207576,4.723083110729973,0.676710305321445,1.85797324735298,1.85797324735298,1.85797324735298,1,1,1,1
6,10,3,3,0.5915191326921427,0.4353607674442406,0.5809216316892284,0.7902794418023009,0.29246531444193413,0.2000319403049059,0.1094423400999865,0.5258621771076523,0.43551197838597155,0.08611390242763979,0.9,0.7000000000000001,0.8,1.0,0.4,0.30000000000000004,0.2,0.6,0.5,0.1,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.0,0.5,0.0,1.0,0.5,0.5,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.0,0.43005187590079597,0.2098608770733294,0.4011983395058064,0.4788597447293621,0.3715648455337438,0.3154980682120258,0.3275628328869086,0.3413456235496448,0.24320958080693272,0.47150865711791806,4.704822888107948,2.9828874588839116,4.716249290748324,4.230317109027252,3.4439203750691925,2.00985815018916,4.543591563403857,2.3211483647803024,3.131150084454103,2.873116563589812,0.5582518780504586,1.006017007844608,1.006017007844608,1.006017007844608,1,1,1,1
7,10,3,3,0.43105261120092614,0.24378265940671562,0.34914682690098586,0.2724016784693408,0.7096720858186578,0.19929186083228156,0.3047675429586857,0.14700124124247332,0.053918270624576596,0.1688105425060141,0.9,0.7000000000000001,0.8,0.6,1.0,0.4,0.5,0.30000000000000004,0.1,0.2,0.5,0.5,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.0,1.0,0.5,0.0,0.5,0.2698767969412241,0.3809236685194343,0.21876830936996208,0.4263235831114522,0.4654561643958089,0.24464466638873292,0.27254875586339744,0.299522365685143,0.3214176088933006,0.3168966589638944,3.6010013286507263,3.833479429223811,4.61263827468391,2.7651044713683515,4.0307349236024645,2.9023963262190824,3.054732577684368,4.927940451985794,2.834025440575492,3.9402680443561655,0.9826234370171137,1.346423375448329,1.346423375448329,1.346423375448329,1,1,1,1
8,10,3,3,0.23921625343944053,0.580796343018886,0.26575969908130714,0.5905331688854583,0.5957903145915905,0.21270533037871794,0.3329563026309899,0.4368998962150854,0.1461280089426744,0.07668848397426176,0.7000000000000001,1.0,0.6,0.9,0.8,0.30000000000000004,0.4,0.5,0.2,0.1,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.5,0.0,0.3013532344561849,0.22400649641749945,0.26418650967471063,0.2700015314757906,0.39153191163248724,0.2866788907065549,0.3924640953438912,0.2837575701130793,0.46388439013885324,0.4821311573609319,3.8790150340217417,3.2217856631435473,2.2749646180540593,2.7448008673215156,4.51125120274116,4.849437284712068,3.049792120036379,2.428806396455669,4.694518146936309,2.1822149724439606,0.6600361054380748,1.926373532471525,1.926373532471525,1.926373532471525,1,1,1,1
9,10,3,3,0.3103974998901791,0.42514509223219626,0.6495603976186908,0.07701147525542457,0.2095976501710367,0.6531014868076563,0.892462262576574,0.41531989325467544,0.07239321439730613,0.17454174279707568,0.6,0.7000000000000001,0.9,0.30000000000000004,0.4,0.8,1.0,0.5,0.1,0.2,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5,1.0,1.0,0.0,0.5,0.0,0.43413744458665343,0.28229551306890777,0.26642722891559356,0.33319902761960585,0.33834216054193744,0.32913363327939715,0.3398679155893757,0.39865127630256136,0.44952189375574725,0.34909225505482155,4.086977092304333,3.1785404573008913,3.1129300713812116,3.1520401074689346,4.255725567761492,2.5433626476655036,4.174988582866515,4.527960402826343,2.0751802907001458,3.1305144414889856,0.4453115749615265,1.135290351025962,1.135290351025962,1.135290351025962,1,1,1,1
