Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,c.P6,c.P7,c.P8,c.P9,c.P10,p.P1,p.P2,p.P3,p.P4,p.P5,p.P6,p.P7,p.P8,p.P9,p.P10,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta1.P6,theta1.P7,theta1.P8,theta1.P9,theta1.P10,theta2.P1,theta2.P2,theta2.P3,theta2.P4,theta2.P5,theta2.P6,theta2.P7,theta2.P8,theta2.P9,theta2.P10,theta3.P1,theta3.P2,theta3.P3,theta3.P4,theta3.P5,theta3.P6,theta3.P7,theta3.P8,theta3.P9,theta3.P10,theta4.P1,theta4.P2,theta4.P3,theta4.P4,theta4.P5,theta4.P6,theta4.P7,theta4.P8,theta4.P9,theta4.P10,theta5.P1,theta5.P2,theta5.P3,theta5.P4,theta5.P5,theta5.P6,theta5.P7,theta5.P8,theta5.P9,theta5.P10,a.P1,a.P2,a.P3,a.P4,a.P5,a.P6,a.P7,a.P8,a.P9,a.P10,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,gamma0,gamma1,gamma2,gamma3,gamma4,gamma5,eta0,eta1,eta2,eta3,eta4,eta5
0,10,5,3,0.24341715058364033,0.2712990813335312,0.34151646435467264,0.7612432731406494,0.394525609145712,0.11697914963740472,0.3178907707050824,0.2841061801251164,0.11120350267874926,0.035126819814167015,0.9,0.8,0.7000000000000001,1.0,0.6,0.30000000000000004,0.5,0.4,0.2,0.1,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.0,0.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.0,1.0,0.5,1.0,1.0,1.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.0,0.5,0.0,0.5,0.5,0.32211832312976857,0.365566860905375,0.49915545462602656,0.43898949366095097,0.25505399293739256,0.3143721855852577,0.27342358063936717,0.3858416900858691,0.45653105450045406,0.4253904636098158,3.462112198515337,2.513515645732209,3.695351917105933,3.9449689163386794,4.861259480514507,2.967742038234825,3.800678995483775,2.2329100947326443,3.1283781279403557,2.3439299957520148,0.8393967507020237,1.186846753967977,1.186846753967977,1.186846753967977,1.186846753967977,1.186846753967977,1,1,1,1,1,1
1,10,5,3,0.24768160873501638,0.1472829213264687,0.4581628341452203,0.7332009451281356,0.12826887460275402,0.2442162984670766,0.8063362106426275,0.5386931362475129,0.14554273275083116,0.06398259411084413,0.7000000000000001,0.5,0.8,1.0,0.30000000000000004,0.4,0.9,0.6,0.2,0.1,1.0,1.0,0.5,0.5,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.5,1.0,1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0,0.5,1.0,0.5,0.0,0.0,0.5,1.0,0.0,1.0,0.5,0.0,0.5,0.5,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.5,0.5,1.0,0.0,0.5,0.405195783369907,0.45884685867706915,0.36874807947590216,0.41411415278349284,0.43806564535810677,0.4588731165086721,0.48036156184751067,0.357470795508696,0.27147465496273904,0.36247935339646686,2.5679160633039695,2.1390009379976127,3.0469147145961486,2.265672386095561,3.2066377593377635,4.944878771932665,2.234047085687592,3.9418899320788956,3.7002922422712556,2.5033258764835873,0.22482365992117231,1.9116561039124924,1.9116561039124924,1.9116561039124924,1.9116561039124924,1.9116561039124924,1,1,1,1,1,1
2,10,5,3,0.43266939945764804,0.6125720455455406,0.5066833217640477,0.4686363135341252,0.3452477534152699,0.14973863979091398,0.06329361069769263,0.4746029496854023,0.27696046309142136,0.08098683266392,0.9,1.0,0.8,0.7000000000000001,0.5,0.30000000000000004,0.2,0.6,0.4,0.1,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,1.0,0.5,1.0,1.0,0.0,1.0,0.0,0.5,0.5,0.5,0.4940452956529886,0.4686450124734789,0.44983743799399734,0.3213461021350277,0.4358485573965026,0.4718567912852799,0.3074354876124151,0.2844960182322154,0.3181766867980119,0.33337249065058394,4.0985069538667265,2.8308895602761246,4.033928205914606,2.2438650118506946,3.0814251783168487,2.342141102751013,4.304816215826934,2.71873433813114,3.7814307286340236,2.655027609023264,0.23743602208295428,1.7379941080678154,1.7379941080678154,1.7379941080678154,1.7379941080678154,1.7379941080678154,1,1,1,1,1,1
3,10,5,3,0.4011729423914231,0.4180993436875933,0.729866013167505,0.1550437139230461,0.7677031008081007,0.39736036871259023,0.513763748163455,0.02895070943735445,0.3331490444588858,0.13410768626140457,0.8,0.7000000000000001,1.0,0.30000000000000004,0.9,0.5,0.6,0.1,0.4,0.2,1.0,0.5,1.0,0.5,1.0,1.0,0.5,0.5,1.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0,1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,0.5,0.0,0.0,1.0,1.0,0.5,0.0,0.5,0.0,1.0,0.5,0.5,0.5,0.2137390137958787,0.35842342691584805,0.2614338198108729,0.23741617800386214,0.22937920160306718,0.4971003435668018,0.41063691408116276,0.37701726878732567,0.35174467417722854,0.29028415588585577,2.3946483158530922,4.153547786587062,4.376178535426234,3.563662673678085,3.7887452484969346,2.3651734279129895,4.581426454501468,3.4708724409316107,3.2116959146323443,2.7885788730835963,0.42986147320737167,1.4555300733647571,1.4555300733647571,1.4555300733647571,1.4555300733647571,1.4555300733647571,1,1,1,1,1,1
4,10,5,3,0.2531985827354363,0.2579699342979278,0.22628661058109267,0.24292601756904453,0.17790828900384156,0.5350588696692631,0.44719816674053997,0.03483336059037445,0.14571727221798697,0.25382823926574194,1.0,0.9,0.8,0.5,0.4,0.7000000000000001,0.6,0.1,0.2,0.30000000000000004,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.0,1.0,0.5,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.0,0.0,0.430979356706102,0.32560853327283823,0.40964128620262663,0.4566244890782315,0.25362484975352084,0.3286484641595202,0.2662252809199469,0.4307628854119969,0.4871615252030222,0.3773264029237481,2.80031132221474,3.1906914388675482,2.6625494034324135,3.309150890274971,2.5377907796130037,3.3798835366713513,4.119426328769759,2.9479457924043357,3.9467319816143185,4.169502030579708,0.5025292753000519,1.6108153083359422,1.6108153083359422,1.6108153083359422,1.6108153083359422,1.6108153083359422,1,1,1,1,1,1
5,10,5,3,0.4611157115417678,0.1749861774239333,0.33412458158697045,0.43997921028646103,0.7968371526249519,0.14892520641537565,0.6775452397518694,0.31703531689316616,0.16123784299576568,0.08291869591053452,0.9,0.5,0.6,0.7000000000000001,1.0,0.30000000000000004,0.8,0.4,0.2,0.1,0.5,0.5,1.0,1.0,1.0,0.0,0.5,1.0,0.0,0.0,0.5,1.0,0.0,0.5,1.0,0.5,1.0,0.5,0.5,1.0,1.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.37368578223984117,0.47042222568757336,0.29299969739696224,0.34675719276833217,0.2440327505470331,0.3512760198240579,0.3060238799809768,0.3545222198641249,0.33460909725274934,0.39086350076288023,4.1915730821884685,2.8354732189533953,3.802218474847887,4.141110366027073,2.730811920939818,4.273192569372209,4.592796371261661,2.3310097976082593,2.396787404199248,3.8757571422935424,0.6983794130830638,1.434177517518837,1.434177517518837,1.434177517518837,1.434177517518837,1.434177517518837,1,1,1,1,1,1
6,10,5,3,0.29638819263556393,0.2533882767885772,0.2288167943455578,0.49332246575988564,0.25658957203482113,0.4903596147839447,0.13457374479386172,0.2755328726492787,0.1496870362247684,0.08236131997315926,1.0,0.9,0.6,0.8,0.5,0.7000000000000001,0.30000000000000004,0.4,0.2,0.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,1.0,0.0,0.5,1.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.5,1.0,1.0,1.0,0.5,0.0,0.0,0.5,0.0,0.5,1.0,0.5,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.2797066874975836,0.25062646691328316,0.3950135825592092,0.31880187394261633,0.40015007243069867,0.39603910598295244,0.39243151769716844,0.45484478783551885,0.2722651647162745,0.24407353682671565,3.5541033144059258,2.5857420390858583,2.75661820812247,3.8007847205542307,4.240113596826049,2.592175530502387,3.9477062243447945,3.760008598759497,2.1906640192415563,2.0220825750001175,0.7033336527846182,1.929891742493964,1.929891742493964,1.929891742493964,1.929891742493964,1.929891742493964,1,1,1,1,1,1
7,10,5,3,0.20354578695075481,0.27811621878373977,0.8128151396496441,0.2331105554789608,0.7437440452503147,0.4940054633893533,0.703657768241471,0.11552719755835783,0.23319572931920182,0.06337181828544514,0.7000000000000001,0.5,1.0,0.4,0.9,0.6,0.8,0.2,0.30000000000000004,0.1,1.0,0.0,1.0,1.0,0.5,0.0,1.0,0.5,1.0,0.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,0.0,0.5,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.5,0.0,0.5,1.0,1.0,0.0,0.5,0.5,1.0,0.5,0.5,0.5,0.49944339982979397,0.28938868442938503,0.40519620928442035,0.40543486960116937,0.2765860718977256,0.379994027073957,0.3810309714174727,0.2586793856314643,0.36432071916640874,0.43363801084639175,4.262812137783999,2.740878302908174,2.3749877111537296,3.1598772274705946,4.630678205482568,2.4066201768402387,3.6970168886202583,4.369763598225723,4.03895471130811,4.446197671850966,0.47983537447161784,1.910861428580437,1.910861428580437,1.910861428580437,1.910861428580437,1.910861428580437,1,1,1,1,1,1
8,10,5,3,0.43946676475419455,0.525364986344768,0.32656697031761267,0.15913247419983256,0.1140886662507431,0.4068419803365022,0.14541390733126935,0.6760155808918734,0.11407048584532452,0.06788251684200285,1.0,0.9,0.7000000000000001,0.5,0.4,0.6,0.30000000000000004,0.8,0.2,0.1,0.5,1.0,0.5,1.0,0.0,1.0,0.5,0.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,1.0,0.5,0.5,0.0,0.5,0.0,0.5,1.0,1.0,0.5,0.0,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.5,0.5,1.0,1.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.36886475769761085,0.4852953034755677,0.4446293944781873,0.4889479859267043,0.3142859602628749,0.3611841922011012,0.46289848263368555,0.28213081540159074,0.27537506951071483,0.44171540543986226,2.6714204806867423,3.796195794170722,3.859355163886421,2.237064345253808,2.9610146366387253,2.544280561221571,2.887301217739095,2.701153831426673,2.4162844396082765,4.577497553028882,0.837059691391237,1.5071615579733835,1.5071615579733835,1.5071615579733835,1.5071615579733835,1.5071615579733835,1,1,1,1,1,1
9,10,5,3,0.2530454138940043,0.5686888497518505,0.14164434243864255,0.47438745278150773,0.4326769348856701,0.14156965695262838,0.08979844755468064,0.7932866925968787,0.3382889690070775,0.046162331675313244,0.7000000000000001,1.0,0.5,0.8,0.6,0.30000000000000004,0.2,0.9,0.4,0.1,0.0,1.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,0.5,1.0,0.5,0.0,1.0,0.0,0.0,0.5,1.0,0.5,0.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.5,1.0,0.5,0.4536297033388522,0.2498044557611933,0.41665187768297623,0.20269930830398344,0.4341242892170016,0.38296682081236055,0.26904302339474573,0.42475664909057986,0.3762243186748755,0.35508983982329323,2.8805596501090323,3.1807009488361913,3.1399626397916203,3.7979782253329346,3.455053423360987,2.6006782710219287,4.520512039114243,2.6300647310801404,2.3957559631493717,3.765347225632928,0.38006685045210997,1.3956180605329895,1.3956180605329895,1.3956180605329895,1.3956180605329895,1.3956180605329895,1,1,1,1,1,1
