Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,p.P1,p.P2,p.P3,p.P4,p.P5,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,beta_0,beta_p,beta_theta1
0,5,1,3,0.3076136794844968,0.5565487247952048,0.15981762271530742,0.09302913980874364,0.06034847941530028,0.775,1.0,0.55,0.325,0.1,0.5,0.0,1.0,1.0,0.5,0.31684417323466196,-3.514850620107256,1.0899107848874645
1,5,1,3,0.15553850196327734,0.6818036729355422,0.5489355970529435,0.2552873833684597,0.0703150026933481,0.55,1.0,0.775,0.325,0.1,0.0,0.0,1.0,1.0,0.0,0.30061686436911494,-3.4338524318328587,1.05869229046073
2,5,1,3,0.2565206025427036,0.5092749816805157,0.8214285218752183,0.028594913837235655,0.2901338528036037,0.55,0.775,1.0,0.1,0.325,0.5,0.5,0.0,0.0,0.0,0.3715982985250272,-4.1521834162319475,1.3794400598667542
3,5,1,3,0.2952749642192807,0.2610790915521465,0.44378190734648854,0.03263935238205179,0.2682202261738732,1.0,0.775,0.55,0.1,0.325,0.5,1.0,0.0,0.0,0.5,0.21208713122307007,-3.365996867381469,1.3523204726432667
4,5,1,3,0.2963240974968185,0.188259232689588,0.11586886993662404,0.8510531194370219,0.0881566660390708,0.775,0.55,0.325,1.0,0.1,0.5,1.0,1.0,0.5,0.5,0.31699512486949316,-3.9500217779197873,1.485458072013125
5,5,1,3,0.2914224100009595,0.5984302056697952,0.13112509124637392,0.4303156189819248,0.0535654527140252,0.775,1.0,0.325,0.55,0.1,0.5,0.0,1.0,0.5,0.0,0.4656682510730429,-3.6821515990646883,1.105005874226042
6,5,1,3,0.3621065849470897,0.5882158259976408,0.3669402428206331,0.253410854683265,0.06744291830642128,1.0,0.775,0.55,0.325,0.1,0.0,0.5,0.5,0.5,1.0,0.18120804284259748,-3.3817996083732873,1.4292722007942769
7,5,1,3,0.31835366990103814,0.7830217984180915,0.35996004987226415,0.24726179906704177,0.06556966857004262,0.775,1.0,0.55,0.325,0.1,0.5,1.0,0.5,1.0,0.0,0.3433899412492979,-4.547336605973201,0.8886171766469559
8,5,1,3,0.4041464783063832,0.10613125526191924,0.5756336113199968,0.36463776907770534,0.033030120125323775,1.0,0.325,0.775,0.55,0.1,0.0,0.5,1.0,0.5,1.0,0.2939494590569223,-3.8188432522992186,1.6197826921891094
9,5,1,3,0.3586064733818186,0.20814976209230818,0.6176544278612649,0.25260169748415984,0.04108799726767492,1.0,0.55,0.775,0.325,0.1,0.5,1.0,0.5,1.0,0.0,0.29802672855709517,-3.8441637894099117,1.1028601526762205
10,5,1,3,0.19112876899971826,0.4626267787648914,0.7336068502558856,0.14644447800446306,0.0780848815392862,0.55,0.775,1.0,0.325,0.1,0.5,1.0,0.5,0.5,1.0,0.4650878660324565,-3.019376892412141,0.8311476925681983
11,5,1,3,0.1847020185621614,0.48749831360952794,0.7709066092831001,0.1791011885098905,0.0747464478008524,0.55,0.775,1.0,0.325,0.1,0.0,0.5,0.0,0.0,0.5,0.444715750773513,-3.457238128781093,0.8766074524709918
12,5,1,3,0.47995658778978356,0.26100655439548015,0.1707185900729585,0.6467699091545842,0.061267323584399805,1.0,0.55,0.325,0.775,0.1,0.0,0.5,1.0,0.0,1.0,0.3104010323304487,-4.077948952740933,1.2836297359760982
13,5,1,3,0.25876738973473545,0.36512762417717076,0.3882087567491152,0.03117421285128269,0.2640820289930801,1.0,0.775,0.55,0.1,0.325,1.0,1.0,1.0,1.0,0.5,0.3303925739072927,-3.6007882709888177,1.4610410569303356
14,5,1,3,0.3404385056896997,0.0830972834782801,0.38549736883583824,0.6195704427478733,0.06020230385470913,1.0,0.325,0.55,0.775,0.1,0.5,1.0,0.0,1.0,1.0,0.3240014793476946,-4.3290127496711515,1.4772729264044733
15,5,1,3,0.5414972664364679,0.11448957561366949,0.6242970635480184,0.4412455535236612,0.0764837898655703,1.0,0.325,0.775,0.55,0.1,1.0,0.0,1.0,0.5,1.0,0.48548445255792344,-4.04031362498796,1.4325566557840275
16,5,1,3,0.2176203728555669,0.4472584625855429,0.2466214952583245,0.12857330288235336,0.0807199022540138,0.775,1.0,0.55,0.325,0.1,0.5,0.0,1.0,1.0,0.5,-0.09898624141492476,-3.1461282912103674,1.5689506586455897
17,5,1,3,0.4785739488474028,0.44774190364737126,0.15575354983066825,0.4216883942083574,0.026658000449548955,1.0,0.775,0.325,0.55,0.1,1.0,0.0,0.0,0.0,0.5,0.11638096192381778,-4.167947254543457,1.1181870103965093
18,5,1,3,0.3119804207335449,0.7899073566030327,0.1459244904015982,0.4092327141688174,0.07399262113927547,0.775,1.0,0.325,0.55,0.1,1.0,0.5,1.0,0.0,0.0,0.11392788170500298,-2.7569985917020783,1.6357439321215432
19,5,1,3,0.5748214847543567,0.4537792011591419,0.3877530775174881,0.23087695255278598,0.05679978966815365,1.0,0.775,0.55,0.325,0.1,0.0,0.5,0.5,0.0,1.0,0.48301544086212805,-4.0141373005771035,1.5685067684474783
20,5,1,3,0.5842769438323264,0.4574918393538424,0.2827725664127097,0.09747350466807764,0.03495485295935569,1.0,0.775,0.55,0.325,0.1,0.0,0.5,0.5,0.0,0.5,0.37736018120521336,-3.695309878187403,1.646691763026583
21,5,1,3,0.28245256573668354,0.22082814613880086,0.29082585976263137,0.14716454896882855,0.06373063040374324,1.0,0.775,0.55,0.325,0.1,1.0,0.5,0.0,0.5,0.0,0.40810317296644694,-2.970489649074918,1.5897984995275083
22,5,1,3,0.41477286017330184,0.341831684605758,0.35485670183661,0.216111971867888,0.07383670865162754,1.0,0.775,0.55,0.325,0.1,1.0,0.5,0.0,0.0,1.0,0.3485527380195132,-4.387142110383654,1.1955196293796728
23,5,1,3,0.3609355577396204,0.6001141449021412,0.2883514239315506,0.17027311749493107,0.032739278394207066,0.775,1.0,0.55,0.325,0.1,0.5,1.0,1.0,0.5,1.0,0.4686982500108666,-3.2841115656606457,1.7574089576474963
24,5,1,3,0.56381530263209,0.3911990479965024,0.3049696334081507,0.029881973274335935,0.2592929780120111,1.0,0.775,0.55,0.1,0.325,0.0,0.5,0.0,0.0,0.5,0.13329328958004397,-4.096159576996638,1.8002055041931884
