Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,p.P1,p.P2,p.P3,p.P4,p.P5,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta2.P1,theta2.P2,theta2.P3,theta2.P4,theta2.P5,theta3.P1,theta3.P2,theta3.P3,theta3.P4,theta3.P5,beta_0,beta_p,beta_theta1,beta_theta2,beta_theta3
0,5,3,3,0.6209845090619254,0.5061359638365628,0.13951252557295343,0.36636951452935723,0.05635621791287572,1.0,0.775,0.325,0.55,0.1,0.0,0.0,0.5,1.0,0.5,0.5,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.5,1.0,0.16332844577554204,-3.686253080218608,1.783989996393648,1.700550347231418,1.7119658637314221
1,5,3,3,0.378280710375151,0.3989729374674313,0.4160219107516502,0.2519312668303937,0.06505190454846092,1.0,0.775,0.55,0.325,0.1,0.0,1.0,0.0,1.0,1.0,0.5,0.0,0.5,0.5,1.0,1.0,0.5,0.0,1.0,0.0,0.22529378392804614,-3.2504026090958478,1.2299931775287363,0.952374246058582,0.9879293542376568
2,5,3,3,0.46559331497101497,0.2967374450515691,0.5570676023100767,0.2657538994988417,0.05654730621374209,1.0,0.55,0.775,0.325,0.1,1.0,0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.03391981634149291,-3.8866216972829752,1.4993603644352207,1.6226330387534844,1.6397074695547542
3,5,3,3,0.601104438926806,0.5018373604231385,0.217098430586911,0.44770781828174955,0.03408030756260694,1.0,0.775,0.325,0.55,0.1,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.5,1.0,0.0,0.5,0.0,0.0,-0.18994214257512593,-3.484641131895952,1.3218719429341268,1.3267218515514607,1.3982868096170782
4,5,3,3,0.33587635893188306,0.3970084247544026,0.2798170290120629,0.20396222728977093,0.06462561098055733,1.0,0.775,0.55,0.325,0.1,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,-0.025053839555714014,-3.2273171956130753,1.617554736148064,1.6970032313133299,1.7378626003032933
5,5,3,3,0.15583649701597452,0.6782079360326942,0.5745453970053865,0.194906363348597,0.05643434641957439,0.55,1.0,0.775,0.325,0.1,0.5,1.0,0.5,0.5,1.0,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.16757145306605128,-4.636052192692779,1.2035493670604982,1.4194238163311819,1.3143348764615863
6,5,3,3,0.560326064937424,0.2230428011817494,0.5983868663569,0.24822049534736862,0.06290733747535797,1.0,0.55,0.775,0.325,0.1,0.5,0.0,0.0,1.0,1.0,0.5,0.0,0.5,0.5,1.0,1.0,0.5,1.0,0.0,0.0,0.35341446484130107,-3.0630277444306406,0.7911211322356406,0.7875079976354125,0.7824284564338922
7,5,3,3,0.3124986586179706,0.6296040064055938,0.2739493047072093,0.12293965688160913,0.04852184200172798,0.775,1.0,0.55,0.325,0.1,0.5,0.0,0.0,0.0,0.5,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.5,1.0,0.0,-0.014304651646510532,-3.569919154516046,1.7551914935668596,1.776282217279706,1.8146383928643444
8,5,3,3,0.21978493428747192,0.7180057183682462,0.2856074356492573,0.16523866417700234,0.06641760484799873,0.775,1.0,0.55,0.325,0.1,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.32313793794877066,-4.223377387660486,1.2120014494169968,1.1366685349289893,1.1661473873726838
9,5,3,3,0.08405917590128903,0.7647487004537216,0.5834478867152606,0.3995918096425533,0.071559328157092,0.325,1.0,0.775,0.55,0.1,0.5,1.0,0.0,0.0,0.5,1.0,0.0,0.5,0.5,1.0,0.0,1.0,1.0,0.0,0.0,-0.021568973157789148,-3.760554602868442,1.2119848259810444,0.852918766542763,1.2204073662976112
