Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,p.P1,p.P2,p.P3,p.P4,p.P5,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta2.P1,theta2.P2,theta2.P3,theta2.P4,theta2.P5,theta3.P1,theta3.P2,theta3.P3,theta3.P4,theta3.P5,theta4.P1,theta4.P2,theta4.P3,theta4.P4,theta4.P5,theta5.P1,theta5.P2,theta5.P3,theta5.P4,theta5.P5,beta_0,beta_p,beta_theta1,beta_theta2,beta_theta3,beta_theta4,beta_theta5
0,5,5,3,0.3471245174395263,0.2376606108153302,0.1735871376732942,0.17795967592718642,0.06663338652264454,1.0,0.775,0.55,0.325,0.1,0.5,0.0,0.5,0.5,1.0,1.0,0.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.0,-0.22881792770936876,-3.6777756708434226,1.2989541042637487,1.1670287087304554,1.1723949791061163,1.0872948890995366,1.308893774856132
1,5,5,3,0.49274336965399235,0.5529729365284942,0.18823772413812856,0.42773567871900664,0.03493475871855903,1.0,0.775,0.325,0.55,0.1,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.0,-0.8306561570953305,-3.376423808920338,1.5436185622709533,1.6738217192939757,1.5658305546971274,1.5623959610312523,1.680947771781487
2,5,5,3,0.22266464242127448,0.7740576455045571,0.3453857441030735,0.153932501728463,0.06151238634947529,0.775,1.0,0.55,0.325,0.1,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.5,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,-0.21252438517389463,-3.670614837512957,0.8998217440697165,1.170985642982907,1.006686370136328,1.1367739992522532,1.0801751448287635
3,5,5,3,0.22483456483020736,0.7023782092140629,0.11022403554944366,0.3834607065066657,0.0819610880304768,0.775,1.0,0.325,0.55,0.1,0.5,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.5,-0.002020505160436685,-3.3851231635338555,1.0215686151817929,1.2117261440642926,0.977293779121225,0.9929538598306661,1.0054239249017527
4,5,5,3,0.08459608440955663,0.7880353061510581,0.625955042365654,0.468125476113892,0.029148795525736182,0.325,1.0,0.775,0.55,0.1,0.5,0.0,0.0,1.0,0.5,1.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5,0.5,1.0,1.0,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.5,-0.49184000570564956,-3.0390411617477064,1.1381137322543124,1.321647776781458,1.0199251615305815,1.2202684874334842,1.176652672215458
5,5,5,3,0.49916774611209114,0.18721299079896192,0.5759551237652759,0.28660011581056777,0.06960726099437922,1.0,0.55,0.775,0.325,0.1,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.5,0.5,0.03447683005690055,-4.135126346029297,1.1353470870620588,1.254671116662499,1.1162150258972405,1.0204037452308587,1.1839420729258496
6,5,5,3,0.32565750743327404,0.1409057567062263,0.567735081443289,0.28540263371239344,0.06858490182885404,1.0,0.55,0.775,0.325,0.1,0.5,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.0,0.0,0.5,1.0,0.5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,0.5,0.0,-0.5367637485835348,-3.9935432911644497,1.6179250531812444,1.6943126872006125,1.7704635037799232,1.9081139914655443,1.648186583946082
7,5,5,3,0.26979138920033097,0.4134927103483075,0.2829992331159234,0.24461418590962963,0.03899951082565241,1.0,0.775,0.55,0.325,0.1,1.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,1.0,0.5,-0.272804327355085,-3.577975152900491,1.4848255542715612,1.4408711816988558,1.618232376323915,1.7946620869780965,1.6836247031135638
8,5,5,3,0.20121431841679183,0.6366397385043223,0.44490725721999586,0.24340361222618218,0.0394285594049096,0.775,1.0,0.55,0.325,0.1,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.0,0.5,1.0,0.5,1.0,0.5,0.0,1.0,0.0,1.0,0.5,0.5,-0.6203711306978605,-4.041974659988634,1.6960126384722525,1.6211868281288841,1.9214361428282691,1.767674709230886,2.0617162892321192
9,5,5,3,0.5104039489855678,0.46205821796696567,0.38594786962499206,0.05785953630633515,0.28736054853037196,1.0,0.775,0.55,0.1,0.325,1.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,-0.45173131132540434,-4.601681466729238,1.4931188825176782,1.963907090111872,1.7556678780767851,1.920779215828579,1.7632960735955334
10,5,5,3,0.5205807872741447,0.379800069730731,0.22188623695617893,0.15816262819524587,0.05154020392680473,1.0,0.775,0.55,0.325,0.1,0.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.5,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.5,1.0,0.5,1.0,-0.04179672120657499,-3.2804206438216235,1.3698858311493889,0.9797923667248623,1.190153762822787,0.9737712024701561,1.0990547258216947
11,5,5,3,0.30863089731590454,0.42632481406431805,0.28780456443237057,0.08402569300571994,0.056325296503604516,1.0,0.775,0.55,0.325,0.1,0.5,0.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.0,0.5,0.5,1.0,-0.3382465338078729,-4.642922795797543,1.3958577713677525,1.5026971328440035,1.5853951944694544,1.4533022573848051,1.512069189314699
12,5,5,3,0.3156999630126038,0.7360092809311183,0.4416979415364632,0.2437887164540867,0.07217448659833849,0.775,1.0,0.55,0.325,0.1,0.0,0.5,0.5,0.5,0.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.5,-0.919489929520959,-2.6408366986849554,1.6490305896129016,1.7721554916408595,1.6536547220581064,1.8160379707127947,1.8021850532427335
13,5,5,3,0.47621722452756876,0.7277368296719098,0.4180259677867058,0.25750464271403617,0.04154940653516506,0.775,1.0,0.55,0.325,0.1,0.5,1.0,1.0,0.5,0.0,0.5,1.0,1.0,0.0,0.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.034207866277006914,-3.6406480740530194,1.202742662054699,1.35724696839747,1.28723627352505,1.4073514856005123,1.214068019212403
14,5,5,3,0.3368934325745339,0.5670988763413842,0.1780328922548159,0.2298273785630699,0.045787595615546045,0.775,1.0,0.55,0.325,0.1,1.0,1.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.5,-0.3922111357283739,-4.529907218706242,1.6341833543836224,1.683288243064468,1.6970327136926413,1.7573911983123165,1.4858546769173686
