Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,c.P6,c.P7,c.P8,c.P9,c.P10,p.P1,p.P2,p.P3,p.P4,p.P5,p.P6,p.P7,p.P8,p.P9,p.P10,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta1.P6,theta1.P7,theta1.P8,theta1.P9,theta1.P10,beta_0,beta_p,beta_theta1
0,10,1,3,0.4953772219649645,0.2807604733133104,0.23963158762648723,0.4903731565491207,0.1537297004640853,0.2718095695420085,0.7783185556048435,0.11544723045401382,0.026681391377619185,0.25295473860983897,1.0,0.7000000000000001,0.6,0.8,0.4,0.5,0.9,0.2,0.1,0.30000000000000004,0.5,0.0,0.0,0.5,1.0,1.0,0.0,0.5,0.5,1.0,0.2622001820420176,-3.5239240042871263,1.905770412314217
1,10,1,3,0.36158601722709227,0.3945038284836907,0.7464646254342298,0.6499716211351023,0.3581077630976992,0.470693537511686,0.3073683096721508,0.15373664063062442,0.06510010948271498,0.2678073335031288,0.9,0.7000000000000001,1.0,0.8,0.5,0.6,0.4,0.2,0.1,0.30000000000000004,1.0,0.5,0.5,1.0,0.5,1.0,0.5,1.0,1.0,0.0,0.4786292699100732,-3.612436243655325,1.5471651346938686
2,10,1,3,0.25555052636335285,0.2634275067679744,0.21013663760729295,0.44440891840897706,0.6820425785671916,0.09410021414616176,0.27966620100078327,0.6970439091792476,0.13918772112586475,0.06153367315551457,1.0,0.6,0.5,0.7000000000000001,0.9,0.30000000000000004,0.4,0.8,0.2,0.1,0.0,1.0,0.5,0.5,0.0,0.0,1.0,0.5,1.0,1.0,0.38901536683891563,-3.095173105463757,1.6564151246928898
3,10,1,3,0.37816892516261746,0.21998284855399808,0.3364657806676927,0.609310589731908,0.22062776597546185,0.45880708348234056,0.18709316213889524,0.13073135723137191,0.44594305048048083,0.05912798757304843,1.0,0.8,0.7000000000000001,0.9,0.4,0.6,0.30000000000000004,0.2,0.5,0.1,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.42279665074541667,-4.27949338663393,0.9382841014840512
4,10,1,3,0.6586307266761791,0.570412790642746,0.21766352448597592,0.562730104809637,0.16184877964996716,0.5664027855420688,0.4714090317212438,0.3042549432346084,0.1330762831465225,0.04319574124519193,1.0,0.9,0.5,0.8,0.30000000000000004,0.7000000000000001,0.6,0.4,0.2,0.1,1.0,1.0,0.5,0.0,0.5,0.0,1.0,0.5,0.0,1.0,0.2989622897278427,-3.5317625641891026,1.1227022568360066
5,10,1,3,0.17504214714899813,0.32078870785077296,0.5300014468796203,0.290682530214579,0.13190033425452163,0.31998533987588773,0.866041488734046,0.18697988870654356,0.13039410675460758,0.06077871778873081,0.7000000000000001,0.8,0.9,0.6,0.4,0.5,1.0,0.30000000000000004,0.2,0.1,0.5,0.5,0.0,0.5,1.0,1.0,0.5,0.0,0.5,1.0,0.4702268444018582,-3.7463413244451034,1.0737206810220277
6,10,1,3,0.4967536041580488,0.21514651476575952,0.1779322579518715,0.18246968024489948,0.41693331157164476,0.6659929456434699,0.7944165716448602,0.2243037417841076,0.13333898999985047,0.06222582761467817,1.0,0.7000000000000001,0.5,0.4,0.6,0.8,0.9,0.30000000000000004,0.2,0.1,0.0,0.5,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.49659967224378804,-3.8689383192954137,1.4197001503599378
7,10,1,3,0.41153970505961945,0.3997981904584029,0.16200782313720657,0.27100380866258617,0.49348721820729813,0.21519056881979304,0.12365245839272138,0.26770060655954636,0.09526381029949016,0.06777639694943226,1.0,0.9,0.6,0.7000000000000001,0.8,0.5,0.30000000000000004,0.4,0.2,0.1,1.0,0.0,0.5,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.4144938087092542,-4.0940716535690544,1.6478899718281892
8,10,1,3,0.3076759975171335,0.2541419106228565,0.20371912539077242,0.45782849792346636,0.5960886532757825,0.23290457490724492,0.1474489130901861,0.2892891549013462,0.12151312026408961,0.02516925718523931,1.0,0.7000000000000001,0.6,0.8,0.9,0.5,0.30000000000000004,0.4,0.2,0.1,0.0,0.0,0.5,0.5,0.0,0.5,1.0,0.5,0.0,0.5,0.36291089720817704,-4.173031807907525,1.3189985653165364
9,10,1,3,0.23701757700043358,0.23827943634464344,0.19644074711684623,0.1796423137700741,0.1212783176764336,0.35795693218408764,0.7699326796259311,0.050003800382122016,0.2621286907737996,0.07244323223702319,0.9,0.8,0.7000000000000001,0.5,0.4,0.6,1.0,0.2,0.30000000000000004,0.1,1.0,0.5,1.0,0.0,0.0,1.0,1.0,0.5,0.0,1.0,0.18038961431067926,-3.5627131840909896,1.701407554427773
10,10,1,3,0.3208308638734163,0.2656701135590309,0.49353479676398637,0.39989527772320094,0.30224962582131304,0.11900971770659236,0.837007672864037,0.09791469058236722,0.3435474332380768,0.08981390261490081,0.9,0.6,0.8,0.7000000000000001,0.5,0.30000000000000004,1.0,0.2,0.4,0.1,0.5,0.5,0.5,0.0,1.0,0.0,0.5,1.0,0.5,1.0,0.4614906939144156,-4.159983706635554,1.2551647928637886
11,10,1,3,0.48489999599705824,0.1903421309950054,0.44768840426586526,0.35235667539651866,0.07549284738097631,0.20810261942615582,0.09216338304195881,0.70723111683975,0.41572163788451827,0.08765547231195278,1.0,0.7000000000000001,0.9,0.6,0.30000000000000004,0.4,0.2,0.8,0.5,0.1,0.5,0.5,0.5,0.5,1.0,0.0,1.0,0.0,1.0,0.5,0.3351522438808023,-3.207706209475717,1.590967951617813
12,10,1,3,0.39020574401321895,0.20228743938870203,0.44916564542529597,0.44151339536750744,0.4002314971674657,0.1605192746800359,0.09538722193221079,0.4070861727763191,0.3378117188024368,0.05929212245399618,1.0,0.7000000000000001,0.9,0.8,0.6,0.30000000000000004,0.2,0.5,0.4,0.1,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.5,0.0,1.0,0.567837214981142,-3.556357161774595,1.4292686646784034
13,10,1,3,0.4933669144289806,0.3296856751138549,0.5097052097017413,0.26864287887046523,0.381806013265192,0.24093254607966222,0.3555200378611678,0.09663434343503974,0.25677449685390197,0.06874317902788483,1.0,0.8,0.9,0.6,0.7000000000000001,0.4,0.5,0.2,0.30000000000000004,0.1,1.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.4622903520492387,-4.348592875531881,1.3951286161436542
14,10,1,3,0.4604900526813197,0.5439173686591986,0.17770018351580064,0.08820089227068983,0.5232946649856156,0.7565680640053237,0.07084766978974327,0.4965329054306781,0.3974140875917149,0.0467080110315936,1.0,0.8,0.4,0.30000000000000004,0.7000000000000001,0.9,0.2,0.6,0.5,0.1,0.5,0.0,0.5,0.5,1.0,0.0,0.0,0.0,1.0,1.0,0.39647332550456205,-3.472025341725604,1.1817608238332769
15,10,1,3,0.21315112112663503,0.6819270571547913,0.5920823589835172,0.2364112184516794,0.1574082762383512,0.11888703409673651,0.43983477062428206,0.06610310957589721,0.6112555576980874,0.06363662834367086,0.8,1.0,0.9,0.5,0.4,0.30000000000000004,0.6,0.2,0.7000000000000001,0.1,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.2851646053549268,-3.283874748592691,1.1636599145286313
16,10,1,3,0.4983036552818049,0.3057411367977133,0.6348288107061315,0.5717158206425829,0.09471990406202274,0.4011657762378173,0.3384540712909322,0.297908328836901,0.05601656224243354,0.17034423272129035,0.9,0.7000000000000001,1.0,0.8,0.30000000000000004,0.6,0.5,0.4,0.1,0.2,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.5,0.36284042680036643,-3.4239240481369047,1.0212736452046058
17,10,1,3,0.3416305773539623,0.3251232422550744,0.2954962316457102,0.4541955313414725,0.16373032936740628,0.38535151959760067,0.11783795756692478,0.2904081624193655,0.09929804894471589,0.07417407770127774,1.0,0.9,0.7000000000000001,0.8,0.5,0.6,0.30000000000000004,0.4,0.2,0.1,1.0,0.5,0.5,0.0,0.5,0.5,1.0,0.5,0.5,1.0,0.1806700450844216,-3.673568828431126,1.478842225780945
18,10,1,3,0.34592529133439676,0.23114649019249245,0.6668888292632278,0.49511726768104225,0.2092848429465918,0.15236290331258734,0.3562315050439807,0.4803818115924513,0.14873664156320174,0.049294400705975266,0.9,0.7000000000000001,1.0,0.8,0.4,0.30000000000000004,0.5,0.6,0.2,0.1,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,0.0,0.5,0.25931208996454247,-3.8563476646807096,1.07207676858028
19,10,1,3,0.38341542082226987,0.1778780869970802,0.5136487006167836,0.4594000944536649,0.1670861515348755,0.1974597478027782,0.5507671649281526,0.05603206444360376,0.17077557885801312,0.05905915638104903,1.0,0.6,0.9,0.8,0.5,0.4,0.7000000000000001,0.2,0.30000000000000004,0.1,0.5,1.0,0.5,1.0,0.0,1.0,0.5,0.0,0.0,1.0,0.2694983059421531,-3.9893407273421326,1.414682633630008
20,10,1,3,0.3713374293312868,0.6515690998669841,0.2541713544499338,0.3708488655797262,0.19993743746471815,0.6307236447710967,0.10253105872103485,0.3292953476388346,0.03995889234596942,0.16476128246060515,0.8,1.0,0.6,0.7000000000000001,0.5,0.9,0.30000000000000004,0.4,0.1,0.2,0.0,0.5,0.0,0.0,1.0,0.5,0.5,1.0,0.0,0.5,0.06718165848872727,-3.2570693613877415,1.9727907074134805
21,10,1,3,0.26773022220805587,0.25379745170393697,0.3488393636742203,0.15445279672224888,0.28019802647649417,0.15080680710667854,0.5212088737499765,0.13828102868097553,0.10163343189422228,0.03276774148327016,1.0,0.9,0.8,0.5,0.6,0.4,0.7000000000000001,0.30000000000000004,0.2,0.1,1.0,0.5,1.0,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.25095548543755186,-4.061829969257302,1.5798985004299197
22,10,1,3,0.2554315211848527,0.31081571638818745,0.24873198526885282,0.7605311474430293,0.6307790199845329,0.17107531548483654,0.2817595845661758,0.0888371015316638,0.7959080579054278,0.08042942325881818,0.7000000000000001,0.6,0.5,1.0,0.8,0.30000000000000004,0.4,0.2,0.9,0.1,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.5,0.0,1.0,0.33247938263359894,-3.486483279147486,1.1745488666670667
23,10,1,3,0.23352083011349345,0.4732339449392755,0.14634192970953386,0.6715982485822627,0.10031613359810876,0.5765246756422681,0.495960930587054,0.1025128732524153,0.44312814758425345,0.051231084101247326,0.8,1.0,0.4,0.9,0.30000000000000004,0.7000000000000001,0.6,0.2,0.5,0.1,1.0,0.0,1.0,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.33134259374897124,-4.109003326118476,1.450584851771918
24,10,1,3,0.2726779409761687,0.6035416178831935,0.3500450732488963,0.10323333456301786,0.22893836193206918,0.5681437459853316,0.11586085310775224,0.4830567426078781,0.04233614540400593,0.16460072538121867,0.9,1.0,0.7000000000000001,0.4,0.5,0.8,0.30000000000000004,0.6,0.1,0.2,0.5,0.5,1.0,0.5,0.5,0.0,0.5,1.0,1.0,0.0,0.19263012181341407,-3.3089373867545,1.1228096318274325
25,10,1,3,0.37211529597498016,0.24351362432255996,0.1838445063324865,0.3508892968509183,0.15630385522906298,0.07256818646586174,0.38707357762638156,0.8022951073092982,0.34225400784966115,0.05910437535027764,1.0,0.8,0.7000000000000001,0.6,0.30000000000000004,0.2,0.5,0.9,0.4,0.1,0.5,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.5,0.0,0.10326241210829815,-3.71250999595678,1.7587685171565983
26,10,1,3,0.3071864790621579,0.2840048772371169,0.6495460590772837,0.6764861498749101,0.396800621624718,0.24628743851326826,0.410001803830316,0.12528113293105989,0.028291660313808198,0.23255024864194113,0.8,0.7000000000000001,1.0,0.9,0.6,0.4,0.5,0.2,0.1,0.30000000000000004,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.2706334944718498,-3.7929658505177284,0.9417381214759966
