Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,c.P6,c.P7,c.P8,c.P9,c.P10,p.P1,p.P2,p.P3,p.P4,p.P5,p.P6,p.P7,p.P8,p.P9,p.P10,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta1.P6,theta1.P7,theta1.P8,theta1.P9,theta1.P10,theta2.P1,theta2.P2,theta2.P3,theta2.P4,theta2.P5,theta2.P6,theta2.P7,theta2.P8,theta2.P9,theta2.P10,theta3.P1,theta3.P2,theta3.P3,theta3.P4,theta3.P5,theta3.P6,theta3.P7,theta3.P8,theta3.P9,theta3.P10,theta4.P1,theta4.P2,theta4.P3,theta4.P4,theta4.P5,theta4.P6,theta4.P7,theta4.P8,theta4.P9,theta4.P10,theta5.P1,theta5.P2,theta5.P3,theta5.P4,theta5.P5,theta5.P6,theta5.P7,theta5.P8,theta5.P9,theta5.P10,beta_0,beta_p,beta_theta1,beta_theta2,beta_theta3,beta_theta4,beta_theta5
0,10,5,3,0.24341715058364033,0.2712990813335312,0.34151646435467264,0.7612432731406494,0.394525609145712,0.11697914963740472,0.3178907707050824,0.2841061801251164,0.11120350267874926,0.035126819814167015,0.9,0.8,0.7000000000000001,1.0,0.6,0.30000000000000004,0.5,0.4,0.2,0.1,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.5,0.0,0.5,1.0,0.5,0.5,1.0,0.0,0.10932828975014904,-3.6878848210326676,1.1380446905525388,1.1462556938700375,1.1482340850915176,1.0504899200081688,1.3148372984714112
1,10,5,3,0.24768160873501638,0.1472829213264687,0.4581628341452203,0.7332009451281356,0.12826887460275402,0.2442162984670766,0.8063362106426275,0.5386931362475129,0.14554273275083116,0.06398259411084413,0.7000000000000001,0.5,0.8,1.0,0.30000000000000004,0.4,0.9,0.6,0.2,0.1,0.0,0.0,0.5,0.0,0.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.5,1.0,0.0,0.5,1.0,1.0,1.0,0.0,1.0,0.5,1.0,0.5,0.0,0.0,0.5,0.5,1.0,0.5,0.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.0,1.0,0.5,-0.6078795592097547,-3.290418238611559,1.9299438038185635,1.9691102391592612,1.9307246800320057,1.978724208895074,1.8029291432838477
2,10,5,3,0.43266939945764804,0.6125720455455406,0.5066833217640477,0.4686363135341252,0.3452477534152699,0.14973863979091398,0.06329361069769263,0.4746029496854023,0.27696046309142136,0.08098683266392,0.9,1.0,0.8,0.7000000000000001,0.5,0.30000000000000004,0.2,0.6,0.4,0.1,1.0,0.5,1.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.5,-0.1734706381867283,-3.5094174661762696,1.6975976081927515,1.6952927026044602,1.9739605452045326,1.753729638364183,1.720873897960028
3,10,5,3,0.4011729423914231,0.4180993436875933,0.729866013167505,0.1550437139230461,0.7677031008081007,0.39736036871259023,0.513763748163455,0.02895070943735445,0.3331490444588858,0.13410768626140457,0.8,0.7000000000000001,1.0,0.30000000000000004,0.9,0.5,0.6,0.1,0.4,0.2,0.5,0.0,0.5,0.0,0.5,0.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.5,1.0,1.0,1.0,1.0,-0.27272594753382323,-3.809769803733519,1.4066445819672446,1.5454631250032793,1.3407613430692416,1.636205413037445,1.3933592433218114
4,10,5,3,0.2531985827354363,0.2579699342979278,0.22628661058109267,0.24292601756904453,0.17790828900384156,0.5350588696692631,0.44719816674053997,0.03483336059037445,0.14571727221798697,0.25382823926574194,1.0,0.9,0.8,0.5,0.4,0.7000000000000001,0.6,0.1,0.2,0.30000000000000004,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.5,1.0,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.0,1.0,1.0,0.0,0.5,1.0,0.5,1.0,0.0,0.5,1.0,0.0,0.0,0.4481258510756427,-3.7823755878132235,1.3452430899866952,1.5236032311296444,1.4582970258633816,1.828594133824577,1.4959670081377179
5,10,5,3,0.4611157115417678,0.1749861774239333,0.33412458158697045,0.43997921028646103,0.7968371526249519,0.14892520641537565,0.6775452397518694,0.31703531689316616,0.16123784299576568,0.08291869591053452,0.9,0.5,0.6,0.7000000000000001,1.0,0.30000000000000004,0.8,0.4,0.2,0.1,0.5,1.0,0.5,0.0,1.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.5,1.0,0.5,0.5,0.5,0.0,1.0,0.35036668944311483,-3.930904981377994,1.444288019285611,1.3221750375521555,1.371141461492293,1.3914280829051762,1.3836031084267102
6,10,5,3,0.29638819263556393,0.2533882767885772,0.2288167943455578,0.49332246575988564,0.25658957203482113,0.4903596147839447,0.13457374479386172,0.2755328726492787,0.1496870362247684,0.08236131997315926,1.0,0.9,0.6,0.8,0.5,0.7000000000000001,0.30000000000000004,0.4,0.2,0.1,0.0,0.5,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.5,1.0,0.0,0.0,0.5,-0.2327089897638175,-3.4407231895120933,1.8437442892264446,1.9378008103115376,1.8000983267047461,1.8096904501976232,1.7854679095862966
7,10,5,3,0.20354578695075481,0.27811621878373977,0.8128151396496441,0.2331105554789608,0.7437440452503147,0.4940054633893533,0.703657768241471,0.11552719755835783,0.23319572931920182,0.06337181828544514,0.7000000000000001,0.5,1.0,0.4,0.9,0.6,0.8,0.2,0.30000000000000004,0.1,0.0,1.0,1.0,0.0,0.5,0.5,1.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,1.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,1.0,1.0,-0.3975189074465954,-3.886300761110678,1.8584020158342238,1.799299031948329,1.800083121959583,1.8095424598151215,1.7163070518717392
8,10,5,3,0.43946676475419455,0.525364986344768,0.32656697031761267,0.15913247419983256,0.1140886662507431,0.4068419803365022,0.14541390733126935,0.6760155808918734,0.11407048584532452,0.06788251684200285,1.0,0.9,0.7000000000000001,0.5,0.4,0.6,0.30000000000000004,0.8,0.2,0.1,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.5,0.5,0.5,1.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.5,1.0,1.0,0.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,0.5,1.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.5,0.0,0.5,0.0,1.0,0.0,-0.05275158169580277,-3.5482816720795576,1.3669009953404587,1.4443748658308653,1.3862404263232468,1.5209131952772077,1.4712150072788455
9,10,5,3,0.2530454138940043,0.5686888497518505,0.14164434243864255,0.47438745278150773,0.4326769348856701,0.14156965695262838,0.08979844755468064,0.7932866925968787,0.3382889690070775,0.046162331675313244,0.7000000000000001,1.0,0.5,0.8,0.6,0.30000000000000004,0.2,0.9,0.4,0.1,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,1.0,0.0,0.5,1.0,0.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.0,1.0,1.0,0.15697411339732292,-3.2551459760507426,1.3574977416898169,1.2661971117255135,1.150247969172873,1.4298643408880984,1.3766172301388235
