Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,c.P6,c.P7,c.P8,c.P9,c.P10,c.P11,c.P12,c.P13,c.P14,c.P15,c.P16,c.P17,c.P18,c.P19,c.P20,p.P1,p.P2,p.P3,p.P4,p.P5,p.P6,p.P7,p.P8,p.P9,p.P10,p.P11,p.P12,p.P13,p.P14,p.P15,p.P16,p.P17,p.P18,p.P19,p.P20,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta1.P6,theta1.P7,theta1.P8,theta1.P9,theta1.P10,theta1.P11,theta1.P12,theta1.P13,theta1.P14,theta1.P15,theta1.P16,theta1.P17,theta1.P18,theta1.P19,theta1.P20,beta_0,beta_p,beta_theta1
0,20,1,3,0.3664431357499799,0.5145124413716554,0.3266016401917866,0.4804907469145564,0.31765675251460396,0.16358234158357754,0.5113072488144949,0.16203827539354468,0.1515963932001827,0.2638047853113481,0.7189560747362133,0.4454502992766246,0.35607813260233745,0.5628582353848054,0.04941151933116297,0.5253351775675013,0.17384641195646924,0.03469706358240751,0.25129643520619044,0.16552004527435463,0.9526315789473684,1.0,0.7631578947368421,0.9052631578947369,0.7157894736842105,0.5263157894736842,0.8105263157894737,0.38421052631578945,0.33684210526315794,0.43157894736842106,0.8578947368421053,0.5736842105263158,0.4789473684210527,0.6684210526315789,0.1473684210526316,0.6210526315789474,0.24210526315789474,0.1,0.2894736842105263,0.19473684210526315,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,0.0,0.5,0.1979747779728571,-3.757998743620234,1.4494148882170916
1,20,1,3,0.37776701368765453,0.4058565476292541,0.23706522223815718,0.313493279765206,0.7249360259356679,0.5646726869977624,0.7312053721989177,0.0813963046922036,0.6611110484911895,0.151963385225934,0.5495410086707886,0.08239013282013324,0.5577641212834826,0.33286069503669874,0.43178645877592803,0.400020554017413,0.07497214682831359,0.13133529223873605,0.332590839318417,0.06740596152231836,0.9052631578947369,0.7631578947368421,0.5736842105263158,0.6210526315789474,1.0,0.8105263157894737,0.9526315789473684,0.2894736842105263,0.8578947368421053,0.33684210526315794,0.7157894736842105,0.24210526315789474,0.6684210526315789,0.43157894736842106,0.5263157894736842,0.4789473684210527,0.1473684210526316,0.19473684210526315,0.38421052631578945,0.1,0.5,0.5,0.5,1.0,0.0,0.5,0.5,0.0,1.0,0.5,1.0,0.5,0.5,1.0,0.5,1.0,0.0,0.0,1.0,1.0,0.4304299741141698,-4.110243232814431,1.2213168803630237
2,20,1,3,0.37060330665691843,0.4069244024899615,0.24641776256837045,0.45953077706270096,0.4829974494858494,0.3527833485703234,0.3094720022562691,0.2119168985793752,0.16811262532372084,0.3130538085157578,0.6078036614975321,0.05392175786838721,0.8660261763356694,0.35094508974557,0.5914147079228871,0.13953517893537348,0.2551525097115105,0.03612310615033676,0.23898698167567545,0.11090243687824188,0.9526315789473684,0.9052631578947369,0.6684210526315789,0.8578947368421053,0.8105263157894737,0.6210526315789474,0.5736842105263158,0.43157894736842106,0.38421052631578945,0.5263157894736842,0.7631578947368421,0.19473684210526315,1.0,0.4789473684210527,0.7157894736842105,0.24210526315789474,0.33684210526315794,0.1,0.2894736842105263,0.1473684210526316,1.0,0.0,0.5,0.5,0.0,1.0,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.0,1.0,1.0,0.5,0.13374898136429084,-4.225676769400307,1.877545469709731
3,20,1,3,0.441513604094782,0.21826805715182906,0.5612999521693062,0.1291813469839868,0.26331223657989505,0.5986167215994824,0.1041943615259796,0.6268095096801727,0.4600026175912456,0.614099215168519,0.10221226565685562,0.3129282174778584,0.42771277518822254,0.6684643358368099,0.631664702272867,0.3118254278813422,0.03515915595248187,0.1361453386004228,0.09482705516849634,0.25950959573068755,1.0,0.6210526315789474,0.9526315789473684,0.4789473684210527,0.5736842105263158,0.9052631578947369,0.33684210526315794,0.8578947368421053,0.6684210526315789,0.8105263157894737,0.24210526315789474,0.43157894736842106,0.5263157894736842,0.7631578947368421,0.7157894736842105,0.38421052631578945,0.1,0.19473684210526315,0.1473684210526316,0.2894736842105263,1.0,0.0,0.5,0.0,0.5,1.0,1.0,0.5,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,0.4677038410783418,-4.107130265815193,1.6527017191241329
4,20,1,3,0.2515399262723029,0.25709003885722914,0.24273229893181847,0.3689483300254624,0.19655827667147935,0.2692353166930327,0.6693431382422896,0.3197547913635059,0.07842446856340554,0.6984476055828345,0.08624977677189963,0.5657587029015421,0.37659977379575565,0.35857440277222946,0.12291314781889932,0.37083604985400415,0.34234309894284914,0.0623376787548102,0.3023145050753176,0.12421006823732302,1.0,0.8105263157894737,0.7631578947368421,0.8578947368421053,0.6684210526315789,0.6210526315789474,0.9526315789473684,0.5736842105263158,0.2894736842105263,0.9052631578947369,0.24210526315789474,0.7157894736842105,0.5263157894736842,0.4789473684210527,0.19473684210526315,0.43157894736842106,0.38421052631578945,0.1,0.33684210526315794,0.1473684210526316,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,1.0,0.5,0.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.5,0.0,0.3581556997167445,-3.6170473194919373,1.9950293668832282
5,20,1,3,0.20751592997120827,0.18201788971810817,0.46745330980953104,0.4306313049834954,0.24368360903508446,0.2003173693208944,0.6754220688904327,0.37306489342988175,0.611465592182709,0.4948523109502084,0.7192237174221882,0.17309873204971343,0.2281539735911436,0.06576813237576626,0.3054989243962165,0.11082352672706622,0.03487160010058091,0.23668365547003756,0.29703259954584516,0.10992417989798049,0.7157894736842105,0.6210526315789474,0.8578947368421053,0.8105263157894737,0.5736842105263158,0.5263157894736842,1.0,0.6684210526315789,0.9052631578947369,0.7631578947368421,0.9526315789473684,0.38421052631578945,0.43157894736842106,0.24210526315789474,0.4789473684210527,0.19473684210526315,0.1,0.2894736842105263,0.33684210526315794,0.1473684210526316,0.0,0.5,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.5,1.0,0.5,0.0,0.0,1.0,0.5,0.5,0.5,0.0,0.5,0.32115156077486595,-3.843254275068474,1.5079292877001074
6,20,1,3,0.23567964409743258,0.2264988124034485,0.21637899812414552,0.5284348146017914,0.30437046251056066,0.16847972198015726,0.6434597720557335,0.3747496494430797,0.3157877449547388,0.19159210838489965,0.8746575828829118,0.7814965402440541,0.31524106335509583,0.48093906293402167,0.16177918551865522,0.027297348751277442,0.22820717436447038,0.14018473122091635,0.09657464061741866,0.297063475955286,0.8105263157894737,0.7631578947368421,0.7157894736842105,0.8578947368421053,0.6210526315789474,0.4789473684210527,0.9526315789473684,0.6684210526315789,0.5263157894736842,0.38421052631578945,1.0,0.9052631578947369,0.43157894736842106,0.5736842105263158,0.24210526315789474,0.1,0.2894736842105263,0.19473684210526315,0.1473684210526316,0.33684210526315794,0.5,0.0,0.5,0.5,0.5,0.0,0.5,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.523849852292207,-3.7807053755148194,1.7894743101006307
7,20,1,3,0.23693677807160762,0.2832288141503946,0.2651298376204227,0.40727145134691106,0.18118186356171329,0.27159737245936216,0.16373616034336236,0.6993582209386456,0.14171968129317639,0.4492317870170602,0.8064381851327179,0.6265878029724367,0.3643577139690924,0.1183755249146199,0.17794757082417,0.08464589472571979,0.037931292969131405,0.36957914143810583,0.2640704785275531,0.030388481223739633,0.9052631578947369,0.7631578947368421,0.7157894736842105,0.8578947368421053,0.6210526315789474,0.5736842105263158,0.43157894736842106,0.9526315789473684,0.38421052631578945,0.6684210526315789,1.0,0.8105263157894737,0.5263157894736842,0.24210526315789474,0.2894736842105263,0.19473684210526315,0.1473684210526316,0.4789473684210527,0.33684210526315794,0.1,1.0,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.3588941299519797,-3.9371480375463483,1.408782240392769
8,20,1,3,0.34297594694759903,0.23820650316562675,0.35362513952892116,0.365094962077196,0.5874183695499219,0.19058988071659377,0.4005884955815361,0.3682147279419145,0.43300608330437446,0.35504195894299284,0.7463649306046138,0.08431129900572773,0.27919954097180155,0.19985672479436045,0.5977790702839767,0.043206931671794166,0.29421386733149363,0.1347793498695452,0.23303288527539492,0.08086454935024932,1.0,0.7631578947368421,0.8578947368421053,0.8105263157894737,0.9526315789473684,0.4789473684210527,0.6684210526315789,0.5736842105263158,0.6210526315789474,0.5263157894736842,0.9052631578947369,0.24210526315789474,0.43157894736842106,0.33684210526315794,0.7157894736842105,0.1473684210526316,0.38421052631578945,0.19473684210526315,0.2894736842105263,0.1,1.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0,0.0,0.0,1.0,0.5,0.38592213300483114,-3.755037582678818,1.7145445659877445
9,20,1,3,0.2592688560514691,0.30952979073766784,0.24251697007906137,0.4951931845999345,0.2002700481821857,0.5194750513470522,0.255985825236922,0.4616733348346957,0.4164679657014483,0.07157927214428858,0.8317132194658169,0.6072012589836275,0.23453351178745627,0.4530270692265314,0.3288927305627286,0.050067147874246515,0.24325133448732153,0.12334546689417308,0.04699113491661275,0.24729782012550647,0.8578947368421053,0.9052631578947369,0.7157894736842105,0.9526315789473684,0.5263157894736842,0.8105263157894737,0.4789473684210527,0.6684210526315789,0.6210526315789474,0.24210526315789474,1.0,0.7631578947368421,0.38421052631578945,0.5736842105263158,0.43157894736842106,0.1473684210526316,0.33684210526315794,0.19473684210526315,0.1,0.2894736842105263,0.5,1.0,0.5,1.0,0.0,0.5,0.0,0.0,1.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,1.0,0.5,0.5,0.5,0.07430234884485819,-3.7132498509641856,1.7181087945325744
