Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,c.P6,c.P7,c.P8,c.P9,c.P10,c.P11,c.P12,c.P13,c.P14,c.P15,c.P16,c.P17,c.P18,c.P19,c.P20,p.P1,p.P2,p.P3,p.P4,p.P5,p.P6,p.P7,p.P8,p.P9,p.P10,p.P11,p.P12,p.P13,p.P14,p.P15,p.P16,p.P17,p.P18,p.P19,p.P20,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta1.P6,theta1.P7,theta1.P8,theta1.P9,theta1.P10,theta1.P11,theta1.P12,theta1.P13,theta1.P14,theta1.P15,theta1.P16,theta1.P17,theta1.P18,theta1.P19,theta1.P20,theta2.P1,theta2.P2,theta2.P3,theta2.P4,theta2.P5,theta2.P6,theta2.P7,theta2.P8,theta2.P9,theta2.P10,theta2.P11,theta2.P12,theta2.P13,theta2.P14,theta2.P15,theta2.P16,theta2.P17,theta2.P18,theta2.P19,theta2.P20,theta3.P1,theta3.P2,theta3.P3,theta3.P4,theta3.P5,theta3.P6,theta3.P7,theta3.P8,theta3.P9,theta3.P10,theta3.P11,theta3.P12,theta3.P13,theta3.P14,theta3.P15,theta3.P16,theta3.P17,theta3.P18,theta3.P19,theta3.P20,beta_0,beta_p,beta_theta1,beta_theta2,beta_theta3
0,20,3,3,0.41301985680138853,0.23265416622976431,0.5675366601630262,0.4989627506905296,0.3317650688477524,0.14948007917451678,0.8173014725983463,0.111578075175263,0.5463926647553808,0.611053350450315,0.4370885329569647,0.059431259478840565,0.2592864749048329,0.7467340310587497,0.3441775348133809,0.5429121869363157,0.08995895461922905,0.4302975478027993,0.20389369269820648,0.08991799914395879,0.9052631578947369,0.6684210526315789,0.9526315789473684,0.8105263157894737,0.5263157894736842,0.33684210526315794,1.0,0.2894736842105263,0.7157894736842105,0.7631578947368421,0.5736842105263158,0.19473684210526315,0.38421052631578945,0.8578947368421053,0.43157894736842106,0.6210526315789474,0.1473684210526316,0.4789473684210527,0.24210526315789474,0.1,0.0,0.5,0.0,0.5,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.5,0.5,1.0,0.5,1.0,0.0,0.0,0.5,0.5,1.0,0.2859369167454674,-2.979906949040882,1.0343778617164405,0.9687808785129471,1.1997994828235807
1,20,3,3,0.2804533148785442,0.3543870302711266,0.3050040074659448,0.4914455793877735,0.5562574200120912,0.34934741780679784,0.42309816700512076,0.318954321779053,0.20643639250208218,0.42004735647328567,0.06046845372443568,0.11444409264467206,0.2610644084776778,0.04947627765270406,0.3978101322908982,0.4493287809394287,0.5936502697760839,0.230242154083904,0.04671671679339839,0.29645884067839773,0.8578947368421053,0.9052631578947369,0.8105263157894737,0.9526315789473684,1.0,0.7631578947368421,0.7157894736842105,0.5736842105263158,0.43157894736842106,0.6210526315789474,0.19473684210526315,0.24210526315789474,0.38421052631578945,0.1473684210526316,0.4789473684210527,0.5263157894736842,0.6684210526315789,0.2894736842105263,0.1,0.33684210526315794,0.5,0.5,1.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0,0.5,0.0,0.5,1.0,1.0,1.0,0.0,0.0,0.199316913804311,-3.543436380277895,1.5126292017244678,1.4401955687563033,1.4212998517865236
2,20,3,3,0.3857601819438592,0.43136568195077685,0.3268446945606392,0.4717431115956979,0.3941852889963184,0.34442155067338104,0.4946793974099538,0.3872801270447892,0.29558506930524947,0.4487616174647501,0.1234624871989197,0.2669818541497673,0.19166634083944173,0.055365360837157096,0.05343573508156747,0.5048585571121222,0.17960945258081545,0.41849373578553756,0.33812914396774785,0.05975656228904787,1.0,0.9526315789473684,0.7631578947368421,0.9052631578947369,0.8105263157894737,0.7157894736842105,0.8578947368421053,0.6210526315789474,0.5263157894736842,0.6684210526315789,0.2894736842105263,0.43157894736842106,0.33684210526315794,0.19473684210526315,0.1473684210526316,0.5736842105263158,0.24210526315789474,0.4789473684210527,0.38421052631578945,0.1,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.0,0.5,1.0,0.5,1.0,0.5,0.5,0.0,1.0,0.5,0.5,1.0,0.5,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,0.5,0.5,1.0,1.0,0.5,0.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,1.0,-0.002798433252226166,-3.1455293527830737,1.5657165832869882,1.562428328121018,1.5114534271238784
3,20,3,3,0.2975413640562684,0.1531426903609976,0.40132596305519147,0.3055827023122406,0.6841871822789891,0.741208451393121,0.5088983011865496,0.7947476897945649,0.28688192248568944,0.43917750187301874,0.08078049962233702,0.5072403447588367,0.2786038027171826,0.6581261397168828,0.32770488663906,0.1388823936401687,0.2816206009650442,0.24141871122320974,0.10111269612692932,0.060751870802583444,0.8578947368421053,0.5263157894736842,0.7631578947368421,0.5736842105263158,0.9052631578947369,0.9526315789473684,0.7157894736842105,1.0,0.4789473684210527,0.6210526315789474,0.24210526315789474,0.6684210526315789,0.43157894736842106,0.8105263157894737,0.38421052631578945,0.19473684210526315,0.33684210526315794,0.2894736842105263,0.1473684210526316,0.1,0.5,0.5,0.5,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.0,0.5,0.5,0.0,1.0,0.0,1.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,1.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.3699507057574853,-3.7157374986194998,1.6334599006964732,1.5908533557670907,1.6717676238075598
4,20,3,3,0.2674175843180574,0.26396885844820617,0.4263358988354953,0.2678198747493573,0.24296810601455532,0.15863538585691128,0.2347217090404104,0.14541546200876443,0.4535992672752073,0.09945429323238553,0.7775258693424952,0.5454539447588794,0.7525456906873809,0.4323436860105527,0.26404768658223876,0.12898576868225356,0.040343516447402944,0.10279995838714445,0.23808212374484827,0.08206000561291849,0.8578947368421053,0.8105263157894737,0.9526315789473684,0.6684210526315789,0.6210526315789474,0.4789473684210527,0.5263157894736842,0.43157894736842106,0.7157894736842105,0.33684210526315794,1.0,0.7631578947368421,0.9052631578947369,0.5736842105263158,0.38421052631578945,0.24210526315789474,0.1473684210526316,0.19473684210526315,0.2894736842105263,0.1,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.5,0.5,0.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.5,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.06805470615372268,-3.3886715207616773,1.2715817391957178,1.4757612636424924,1.3007982713695176
5,20,3,3,0.2548341871388252,0.19399438300397476,0.3930602671913567,0.7106754442106922,0.5690794081790999,0.08939037530715921,0.14293997736855024,0.24241364774647348,0.5489216873840076,0.7987555097451824,0.15847446528984582,0.11242687693174744,0.5061781359638514,0.6076453816262678,0.46570880522977287,0.3258522450116104,0.42087921273458695,0.0910470317324986,0.1544409872151481,0.06505329152409929,0.9052631578947369,0.6684210526315789,0.8105263157894737,1.0,0.8578947368421053,0.33684210526315794,0.38421052631578945,0.4789473684210527,0.7631578947368421,0.9526315789473684,0.2894736842105263,0.24210526315789474,0.6210526315789474,0.7157894736842105,0.5736842105263158,0.43157894736842106,0.5263157894736842,0.1473684210526316,0.19473684210526315,0.1,0.5,0.0,1.0,1.0,0.5,0.5,1.0,0.0,1.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.0,1.0,0.0,1.0,0.5,0.0,1.0,1.0,0.5,0.5,0.5,0.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,0.5,1.0,0.275600004548733,-3.252930038424936,1.7575450583584744,1.7936495177051006,1.8244167170084498
6,20,3,3,0.2792214254050117,0.28856784667850244,0.2679005203390763,0.28463560020654227,0.5550473661256161,0.4747903493152536,0.19163100255592364,0.18962778480559592,0.4804040034621544,0.16699481804810531,0.12097783580217555,0.2776359832266584,0.09583648956915189,0.383996228385615,0.8153026721481356,0.5023688653272508,0.09204472194387911,0.5125254153622525,0.09292068472887084,0.07272776093744313,1.0,0.9052631578947369,0.8105263157894737,0.7157894736842105,0.8578947368421053,0.7631578947368421,0.4789473684210527,0.38421052631578945,0.6684210526315789,0.33684210526315794,0.2894736842105263,0.43157894736842106,0.24210526315789474,0.5263157894736842,0.9526315789473684,0.6210526315789474,0.19473684210526315,0.5736842105263158,0.1473684210526316,0.1,1.0,0.5,0.5,1.0,0.5,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,1.0,0.5,0.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.5,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.0,0.5,0.34537068312561675,-3.0856429756557864,1.0144902048171214,1.1071090325212714,0.9800657829664159
7,20,3,3,0.295410905585779,0.18348086207716396,0.42456842583419857,0.19565665280290745,0.2872730127453796,0.3995423564907441,0.20155039929534346,0.549705289121364,0.22127238171870978,0.151248082041414,0.6754572243193171,0.22189073885958,0.7983709629537891,0.2847073609153752,0.4274383531972528,0.07112449794753693,0.12944353445319381,0.2244276887955053,0.03878602595932337,0.098395790295322,1.0,0.7157894736842105,0.9052631578947369,0.6210526315789474,0.6684210526315789,0.7631578947368421,0.5263157894736842,0.8105263157894737,0.4789473684210527,0.33684210526315794,0.8578947368421053,0.38421052631578945,0.9526315789473684,0.43157894736842106,0.5736842105263158,0.19473684210526315,0.24210526315789474,0.2894736842105263,0.1,0.1473684210526316,0.5,0.0,1.0,1.0,0.0,0.0,0.5,0.5,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,0.345696733724563,-3.8427358769194213,1.4556627480674,1.4950685530222587,1.4448348696780924
8,20,3,3,0.2451381229766677,0.4114650082099558,0.25576737440241426,0.22620997925709407,0.3586633500879629,0.20137714446268995,0.5260199085048228,0.30175900964260527,0.3221330993161658,0.13492231895982743,0.3831344769880508,0.2643605397037089,0.3788671703034796,0.2870882900348956,0.15068641103182112,0.057754904099299745,0.6375226464975571,0.23657299494090261,0.14851578239981914,0.06902130337648348,0.9052631578947369,1.0,0.8105263157894737,0.7631578947368421,0.8578947368421053,0.6684210526315789,0.9526315789473684,0.6210526315789474,0.5263157894736842,0.33684210526315794,0.5736842105263158,0.43157894736842106,0.4789473684210527,0.38421052631578945,0.24210526315789474,0.1473684210526316,0.7157894736842105,0.2894736842105263,0.19473684210526315,0.1,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.5,1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.0,0.5,0.0,0.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.0,0.5,1.0,1.0,0.2663582935834711,-3.425660439407736,1.381324904990994,1.4571588478295423,1.4606119439185392
9,20,3,3,0.23082885341001635,0.1414203650966777,0.38387489397524593,0.339114077177948,0.5973743112775383,0.4729205084654803,0.7644386264711704,0.8226277849564967,0.49734902934104847,0.12041525314742654,0.7846216869766739,0.26555545278756465,0.7508408321273423,0.19412669698727383,0.1024358512731193,0.35457476051616876,0.0750858330158049,0.2653249233637132,0.42851464597519057,0.08432586294180111,0.7157894736842105,0.5263157894736842,0.7631578947368421,0.5736842105263158,0.8105263157894737,0.6684210526315789,0.9526315789473684,1.0,0.6210526315789474,0.24210526315789474,0.9052631578947369,0.38421052631578945,0.8578947368421053,0.2894736842105263,0.19473684210526315,0.43157894736842106,0.1473684210526316,0.33684210526315794,0.4789473684210527,0.1,0.0,0.5,0.5,1.0,0.5,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.5,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,1.0,0.0,0.5,0.5,0.5,1.0,0.5,0.5,0.0,1.0,0.33829123537582095,-3.9270601316301517,1.6599517728363888,1.9105047093869285,1.617988790007036
