Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,c.P6,c.P7,c.P8,c.P9,c.P10,c.P11,c.P12,c.P13,c.P14,c.P15,c.P16,c.P17,c.P18,c.P19,c.P20,p.P1,p.P2,p.P3,p.P4,p.P5,p.P6,p.P7,p.P8,p.P9,p.P10,p.P11,p.P12,p.P13,p.P14,p.P15,p.P16,p.P17,p.P18,p.P19,p.P20,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta1.P6,theta1.P7,theta1.P8,theta1.P9,theta1.P10,theta1.P11,theta1.P12,theta1.P13,theta1.P14,theta1.P15,theta1.P16,theta1.P17,theta1.P18,theta1.P19,theta1.P20,theta2.P1,theta2.P2,theta2.P3,theta2.P4,theta2.P5,theta2.P6,theta2.P7,theta2.P8,theta2.P9,theta2.P10,theta2.P11,theta2.P12,theta2.P13,theta2.P14,theta2.P15,theta2.P16,theta2.P17,theta2.P18,theta2.P19,theta2.P20,theta3.P1,theta3.P2,theta3.P3,theta3.P4,theta3.P5,theta3.P6,theta3.P7,theta3.P8,theta3.P9,theta3.P10,theta3.P11,theta3.P12,theta3.P13,theta3.P14,theta3.P15,theta3.P16,theta3.P17,theta3.P18,theta3.P19,theta3.P20,theta4.P1,theta4.P2,theta4.P3,theta4.P4,theta4.P5,theta4.P6,theta4.P7,theta4.P8,theta4.P9,theta4.P10,theta4.P11,theta4.P12,theta4.P13,theta4.P14,theta4.P15,theta4.P16,theta4.P17,theta4.P18,theta4.P19,theta4.P20,theta5.P1,theta5.P2,theta5.P3,theta5.P4,theta5.P5,theta5.P6,theta5.P7,theta5.P8,theta5.P9,theta5.P10,theta5.P11,theta5.P12,theta5.P13,theta5.P14,theta5.P15,theta5.P16,theta5.P17,theta5.P18,theta5.P19,theta5.P20,beta_0,beta_p,beta_theta1,beta_theta2,beta_theta3,beta_theta4,beta_theta5
0,20,5,3,0.4472934323122937,0.32010951755565253,0.5959753602019999,0.30065754722139565,0.6916041209204173,0.2943677189731538,0.24989369137887668,0.1212375044397502,0.22230923417774406,0.658832219805685,0.4432077605659686,0.5893603367165582,0.5529294755091926,0.2776491494908756,0.7085983660825111,0.10101025674252107,0.03682100024209918,0.08912160556856694,0.1957343731411664,0.26001774918351095,0.9052631578947369,0.7631578947368421,1.0,0.5736842105263158,0.9526315789473684,0.5263157894736842,0.4789473684210527,0.33684210526315794,0.43157894736842106,0.8578947368421053,0.6210526315789474,0.7157894736842105,0.6684210526315789,0.38421052631578945,0.8105263157894737,0.19473684210526315,0.1,0.1473684210526316,0.24210526315789474,0.2894736842105263,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.5,1.0,0.5,0.0,1.0,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,1.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.3975753948092486,-4.237382533583444,1.7390864221411018,1.7837605152960883,1.7894177482364673,1.8178815556720547,1.6918511745305194
1,20,5,3,0.32198309410350257,0.24220854629257882,0.411450370867449,0.3184771987448327,0.2720742683501229,0.46831917123071315,0.1417463540947359,0.3301022985723716,0.2910277691628304,0.14407955940291362,0.0677581214672918,0.1241782983430712,0.2666246349278605,0.3261263027097278,0.2797778581369492,0.8999066824031089,0.5705915659878494,0.0921352192942748,0.15103023049905515,0.08926426089264076,0.9526315789473684,0.8105263157894737,0.8578947368421053,0.7631578947368421,0.7157894736842105,0.9052631578947369,0.5263157894736842,0.6210526315789474,0.5736842105263158,0.33684210526315794,0.24210526315789474,0.2894736842105263,0.43157894736842106,0.4789473684210527,0.38421052631578945,1.0,0.6684210526315789,0.1473684210526316,0.19473684210526315,0.1,0.5,0.5,0.0,0.5,0.0,0.0,1.0,0.5,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.5,1.0,1.0,0.5,0.5,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,-0.38087566840727033,-3.3669956200762527,1.4987325310121642,1.5297389933182648,1.4123089248066207,1.3523901676059629,1.4697195048590335
2,20,5,3,0.2909291578427309,0.22288377301045903,0.5582933780538167,0.318292979749809,0.39009073158688806,0.22385040209046791,0.1797071685806712,0.13362430245128243,0.1203615319753385,0.6210807331224701,0.43284327259832645,0.4074755620002631,0.2774845721527907,0.15580677665754286,0.14858040075059722,0.7725335681356157,0.07294152022959144,0.1256498902433689,0.05238413886976406,0.10235514557872778,0.9526315789473684,0.8105263157894737,1.0,0.7157894736842105,0.7631578947368421,0.5736842105263158,0.5263157894736842,0.43157894736842106,0.38421052631578945,0.8578947368421053,0.6684210526315789,0.6210526315789474,0.4789473684210527,0.33684210526315794,0.2894736842105263,0.9052631578947369,0.19473684210526315,0.24210526315789474,0.1,0.1473684210526316,0.0,1.0,0.0,0.5,0.5,1.0,0.0,0.5,0.0,0.0,1.0,0.5,0.0,1.0,0.5,0.0,0.5,1.0,0.5,0.5,1.0,0.5,1.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,0.5,1.0,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0914788403315403,-3.500240013389459,1.2641885742464438,1.0919334365709257,1.2228961780799894,1.195068074422573,1.0498743809984223
3,20,5,3,0.363772458749379,0.321654260897277,0.3079478312315003,0.26976967310965416,0.2327718468490052,0.45862150677836167,0.32994959644730926,0.2689779045259634,0.6954469544443183,0.3106068437389744,0.08786437128489594,0.3020473362164849,0.07083998689144372,0.19123199805076127,0.7908699487965628,0.2848221997799694,0.05049948377843391,0.34752792015200473,0.15156030462573034,0.07102088203667427,0.9526315789473684,0.8578947368421053,0.7631578947368421,0.7157894736842105,0.6210526315789474,0.8105263157894737,0.6684210526315789,0.5736842105263158,1.0,0.5263157894736842,0.2894736842105263,0.4789473684210527,0.24210526315789474,0.33684210526315794,0.9052631578947369,0.38421052631578945,0.1473684210526316,0.43157894736842106,0.19473684210526315,0.1,1.0,0.5,1.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.5,0.5,1.0,1.0,0.5,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.5,0.0,1.0,0.0,0.5,1.0,0.5,0.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,-0.15976832491337908,-3.436580802628726,1.099014317144142,1.1609207032599942,1.1364267175825573,1.1582580863978351,1.1636999536665988
4,20,5,3,0.3083485969078399,0.26807951341348435,0.4496836831721426,0.5259213303257647,0.4741905722085515,0.14588624574696496,0.7233382507587678,0.297846915369143,0.07456068420293216,0.512297403988645,0.2347304876156615,0.19593789689615637,0.49451506093680475,0.4056723525553668,0.371514281308492,0.6438430807876506,0.1270431872135341,0.03928120213900174,0.19127451440051976,0.11821482355216395,0.8578947368421053,0.8105263157894737,0.9052631578947369,0.9526315789473684,0.7631578947368421,0.43157894736842106,1.0,0.5736842105263158,0.2894736842105263,0.6684210526315789,0.38421052631578945,0.33684210526315794,0.6210526315789474,0.5263157894736842,0.4789473684210527,0.7157894736842105,0.19473684210526315,0.1,0.24210526315789474,0.1473684210526316,1.0,0.5,1.0,0.5,0.5,0.0,0.5,0.0,0.5,0.5,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,0.5,1.0,0.5,0.0,0.5,0.5,1.0,0.5,0.0,1.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.0,0.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.5,0.5,-0.29028609438682695,-3.9752431518856786,1.2378293941507008,1.3559299890210155,1.5428861179406923,1.289885841879321,1.4213961296787063
5,20,5,3,0.30942057436178827,0.3296217399471535,0.26262781246441813,0.16455801615847876,0.22529108878827325,0.13168145974801476,0.7533249013315011,0.07680915612713196,0.7183185159524492,0.6046658214559707,0.5616015731863918,0.42524153644246376,0.24760257032481636,0.07019932467124727,0.12080087450041509,0.23815636309064972,0.7144049488944778,0.5841044260314805,0.06395592833592163,0.04253617500864352,0.9526315789473684,0.8578947368421053,0.6210526315789474,0.4789473684210527,0.5263157894736842,0.43157894736842106,1.0,0.2894736842105263,0.9052631578947369,0.7631578947368421,0.7157894736842105,0.5736842105263158,0.38421052631578945,0.19473684210526315,0.24210526315789474,0.33684210526315794,0.8105263157894737,0.6684210526315789,0.1473684210526316,0.1,1.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5,1.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,1.0,0.5,0.5,0.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.5,1.0,0.0,1.0,0.5,0.5,0.5,0.0,1.0,1.0,0.5,1.0,0.0,0.5,0.5,1.0,0.0,0.5,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.0,-0.5338582398120304,-3.4129026786350467,1.2859248187609302,1.483334997320846,1.6487544101725393,1.520479358939979,1.3563844401201375
6,20,5,3,0.21617685715924484,0.4877432470583716,0.3141724010770692,0.2651373525792166,0.5286102234818257,0.4224206954060078,0.15508930945373478,0.26821153970684236,0.31730743697516484,0.7136796177777803,0.25689536524795165,0.18422578138622817,0.4247445762782583,0.14336108771839226,0.6436589737481313,0.08703493990102915,0.13500473231245905,0.08312956034027294,0.10008585994809588,0.0602445842889898,0.8578947368421053,1.0,0.7631578947368421,0.6684210526315789,0.9052631578947369,0.7157894736842105,0.43157894736842106,0.5263157894736842,0.5736842105263158,0.9526315789473684,0.4789473684210527,0.38421052631578945,0.6210526315789474,0.33684210526315794,0.8105263157894737,0.24210526315789474,0.2894736842105263,0.19473684210526315,0.1473684210526316,0.1,0.0,1.0,0.0,0.5,1.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,1.0,1.0,0.5,0.5,1.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,1.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0,1.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.0,0.0,1.0,0.5,1.0,0.0,0.0,1.0,0.5,1.0,0.0,0.5,0.5,0.5,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.19660049355548798,-3.552810933608103,1.9458410799564774,1.9866156892982274,1.8789712155685059,1.9152054393304776,1.9832470688125328
7,20,5,3,0.3099564042163252,0.341820145123932,0.18810587879603774,0.18827754332854718,0.1466101556557361,0.39751767368122903,0.3689576899756045,0.15324189130977411,0.6811790710095211,0.6284532027708571,0.685988259740257,0.6089845813709798,0.19630898388876675,0.11522910049798676,0.0809239374275692,0.04435086381795918,0.19758506087530256,0.3089546303304004,0.5079540001868273,0.058731143936443075,1.0,0.8105263157894737,0.6210526315789474,0.5263157894736842,0.4789473684210527,0.7157894736842105,0.6684210526315789,0.43157894736842106,0.9526315789473684,0.8578947368421053,0.9052631578947369,0.7631578947368421,0.33684210526315794,0.24210526315789474,0.19473684210526315,0.1473684210526316,0.2894736842105263,0.38421052631578945,0.5736842105263158,0.1,1.0,0.5,0.0,1.0,0.5,0.5,0.0,1.0,0.0,1.0,0.5,0.5,1.0,0.5,1.0,0.0,0.0,0.5,0.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,1.0,0.5,0.0,1.0,0.0,0.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,1.0,0.0,0.5,0.5,1.0,1.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.5,0.0,1.0,0.5,1.0,1.0,1.0,-0.4807426065299182,-3.7685146102094813,1.3484590161878478,1.5634153594449656,1.3333916638776666,1.684709918445615,1.5769112290023761
8,20,5,3,0.3724644189068641,0.21173773839932641,0.4545860921400521,0.19006574843167268,0.1592910213732267,0.5467510342154605,0.5372516604259642,0.3111250327357188,0.19547075643394454,0.1802523367735524,0.4816731593237311,0.34778482186676957,0.4042776494810158,0.8052880295479582,0.16641557564818074,0.035621294803527104,0.29005672023191786,0.10448811309579602,0.248229297040918,0.17463432780758975,0.9526315789473684,0.7631578947368421,1.0,0.7157894736842105,0.6210526315789474,0.8578947368421053,0.8105263157894737,0.5736842105263158,0.43157894736842106,0.38421052631578945,0.6684210526315789,0.4789473684210527,0.5263157894736842,0.9052631578947369,0.24210526315789474,0.1,0.33684210526315794,0.1473684210526316,0.2894736842105263,0.19473684210526315,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,1.0,0.0,1.0,0.5,0.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.4809059164127027,-3.3518239210132266,1.6005030336593524,1.273888426537881,1.4578591761476236,1.5386284062234508,1.5194281263881824
9,20,5,3,0.39890962665708884,0.4877361033722889,0.20387100259194152,0.12342265937796887,0.6643288758522521,0.5480637835269719,0.5319424110602917,0.4102603590398607,0.1477226654554656,0.1401429985036084,0.2374986511964182,0.5446511867438254,0.6049044523810568,0.43627326835176927,0.4071501459376244,0.1715450553249722,0.10365007171692744,0.09899156157964777,0.054942264425250235,0.2158724299609833,0.9052631578947369,0.9526315789473684,0.6210526315789474,0.4789473684210527,1.0,0.8578947368421053,0.8105263157894737,0.6684210526315789,0.38421052631578945,0.33684210526315794,0.43157894736842106,0.7157894736842105,0.7631578947368421,0.5736842105263158,0.5263157894736842,0.2894736842105263,0.19473684210526315,0.1473684210526316,0.1,0.24210526315789474,0.0,1.0,1.0,1.0,0.0,0.5,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,1.0,1.0,0.5,0.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.5,0.0,1.0,0.5,1.0,0.0,-0.16322289000363194,-4.219161665881516,1.514799768243591,1.6207325744506036,1.6688059783978122,1.6302361813944235,1.7603785370585316
