Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,p.P1,p.P2,p.P3,p.P4,p.P5,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,a.P1,a.P2,a.P3,a.P4,a.P5,b.1,b.2,b.3,b.4,b.5,gamma0,gamma1,eta0,eta1
0,5,1,3,0.31171189567478375,0.1803159116972166,0.5251219781598863,0.09866811457168231,0.05710830502642397,1.0,0.55,0.775,0.325,0.1,0.5,1.0,0.5,0.0,0.5,0.4288069889253766,0.23507947242917263,0.46930538551957635,0.23782156942693017,0.21410178118958562,3.350635807605601,4.373362846118292,2.7657485291846413,2.7326770820267257,4.160825612560567,1.162588047346754,1.162588047346754,1,1
1,5,1,3,0.3415345528616728,0.31089033491809537,0.6624129991438632,0.2769100873170232,0.05730930052288651,1.0,0.55,0.775,0.325,0.1,0.5,1.0,0.5,0.0,0.5,0.49753431476271637,0.25413703038033036,0.42910371744863707,0.46830386774640925,0.44334606861599996,3.711727594543964,2.193847261506767,4.140143412222623,3.532185240758408,3.583048235285655,1.9640054080037652,1.9640054080037652,1,1
2,5,1,3,0.5791341298778411,0.8553399453508155,0.44605733783198287,0.2767518195814217,0.0753546593426083,0.775,1.0,0.55,0.325,0.1,0.5,0.5,0.5,0.5,0.0,0.4475018970841602,0.34814759617172875,0.49653630663199927,0.2611229055792542,0.47944356732201865,4.567491905630604,2.7595991282551564,2.153038726389049,4.272581246001835,3.3375039478344215,1.2582562817605774,1.2582562817605774,1,1
3,5,1,3,0.3951901213510015,0.23654439843542463,0.2253095319401867,0.2025423302214366,0.031092698918312928,1.0,0.775,0.55,0.325,0.1,0.5,0.0,0.5,0.5,0.5,0.22564383970141988,0.3414215947706718,0.2882912991144676,0.49252728964474213,0.45723058763517005,4.526395839981216,2.48016830632917,4.670632153343234,2.7114001673614188,4.625812058573789,1.8554547914239379,1.8554547914239379,1,1
4,5,1,3,0.491723332175113,0.2897008095915024,0.13736199402293764,0.40417447769749343,0.04844991877491506,1.0,0.775,0.325,0.55,0.1,1.0,0.5,0.0,0.5,0.0,0.4451405977395418,0.3308344979087551,0.4759478142243423,0.38256496451745103,0.2992451862751327,3.718358127670547,2.839899635394368,2.591299677117706,3.551283178308809,4.635688310085996,1.1132061768934025,1.1132061768934025,1,1
5,5,1,3,0.36959426510415705,0.281043815026319,0.755065594097323,0.2714797376892049,0.08812925485889171,0.775,0.55,1.0,0.325,0.1,0.0,1.0,1.0,0.0,0.0,0.25357155366834466,0.4210093412696876,0.37324827894176993,0.30640250332425534,0.2688766477998148,4.9129205180212505,2.551950253346555,4.9373250661889365,2.1413292655303477,3.345329447056907,1.974010666318581,1.974010666318581,1,1
6,5,1,3,0.6160998566752849,0.438222887461948,0.4830479857529439,0.29086229044827955,0.08043104860264479,1.0,0.775,0.55,0.325,0.1,0.5,0.5,0.0,1.0,0.0,0.4943594420097325,0.4395044199626265,0.39624240383164255,0.36986900510984183,0.4415892451055358,4.772155917079613,3.4391785330959874,2.9665598593840956,4.810408887667553,4.944653769881049,1.4237442606152981,1.4237442606152981,1,1
7,5,1,3,0.47751695972182834,0.8166198564827464,0.43528282121968287,0.031242815565237878,0.2704319775333139,0.775,1.0,0.55,0.1,0.325,1.0,0.5,1.0,0.5,0.5,0.43913166144709065,0.27550861115168446,0.2230141663487386,0.4007787405716279,0.3508331158586121,3.353720587447976,4.567080013028595,3.2315541386129842,2.288069089119726,3.5466056926752487,1.8891875851979463,1.8891875851979463,1,1
8,5,1,3,0.3952677509196431,0.7108446492241978,0.35325549201069095,0.15288623047282282,0.08548984448028929,0.775,1.0,0.55,0.325,0.1,0.5,0.5,0.5,0.5,0.0,0.35790787363280474,0.3309816286359403,0.28592939934901107,0.2050299424566891,0.20678602756197806,3.2422913754018197,4.774390905512201,2.0111724490656773,4.574879234512976,2.882047996704318,1.9780684977910328,1.9780684977910328,1,1
9,5,1,3,0.5274273474056601,0.15405316845490835,0.8809855467748781,0.4324561449010523,0.07532858304403604,0.775,0.325,1.0,0.55,0.1,0.5,0.0,1.0,0.5,0.5,0.29217147851201625,0.4112041955104707,0.34532534090399714,0.3069768975861321,0.3560312850792001,4.2305717789328945,4.11706418083469,2.1005259556743425,4.757686485590758,2.985269479096324,1.2578064113371275,1.2578064113371275,1,1
10,5,1,3,0.6329225642744754,0.20226589903731262,0.5009135372279507,0.11250286247136534,0.051255400554782164,1.0,0.55,0.775,0.325,0.1,0.5,0.5,1.0,0.5,0.5,0.33725391725850284,0.3053911057103612,0.28360086641003857,0.4448164916488773,0.4718858157025072,3.515238826633225,3.494695165942746,3.4406919307967967,4.246334866379477,3.724912262510855,1.9865426070564962,1.9865426070564962,1,1
