Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,p.P1,p.P2,p.P3,p.P4,p.P5,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta2.P1,theta2.P2,theta2.P3,theta2.P4,theta2.P5,theta3.P1,theta3.P2,theta3.P3,theta3.P4,theta3.P5,a.P1,a.P2,a.P3,a.P4,a.P5,b.1,b.2,b.3,b.4,b.5,gamma0,gamma1,gamma2,gamma3,eta0,eta1,eta2,eta3
0,5,3,3,0.26206702553477423,0.2515769999672083,0.3341027251532535,0.13220937956264056,0.04076047033281334,1.0,0.775,0.55,0.325,0.1,0.5,1.0,0.5,0.0,0.5,1.0,0.5,1.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.3326405454004644,0.3342537457196961,0.23452664351343167,0.4708435482927967,0.3870579326627315,2.4641350254429275,3.5001893533273853,2.8732466371903365,3.3251340466524786,2.3140461459014725,1.8373740561540415,1.8373740561540415,1.8373740561540415,1.8373740561540415,1,1,1,1
1,5,3,3,0.32531641792756405,0.5958168638466429,0.3427189986411046,0.05013111531453401,0.2912300293326144,0.775,1.0,0.55,0.1,0.325,0.5,0.5,0.5,0.5,0.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.23900559904551863,0.37071387306883974,0.2424501373834393,0.49717528423422364,0.442361160599365,2.276837579623376,4.9128254913254885,4.837849557025185,2.6255297552244583,4.454703881937455,1.2481523629789755,1.2481523629789755,1.2481523629789755,1.2481523629789755,1,1,1,1
2,5,3,3,0.6374012432403627,0.2938310949988856,0.6142083692191023,0.2479796498441714,0.03422301673849745,1.0,0.55,0.775,0.325,0.1,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.41197992447861603,0.3930259054878419,0.3317431148328696,0.3189520474314236,0.22212709750192708,3.4964801040798346,3.5920399667715026,2.2743524983072083,2.444733495148089,4.6905263923779135,1.8431007383136273,1.8431007383136273,1.8431007383136273,1.8431007383136273,1,1,1,1
3,5,3,3,0.5126913679556822,0.2138495118566331,0.4911788923451312,0.226107629597217,0.03211439316579573,1.0,0.55,0.775,0.325,0.1,1.0,1.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.5,0.0,0.2748301487444146,0.39783133214047894,0.21301969418386757,0.32126083346942436,0.22870944925556216,4.058632798989452,3.3317820836352343,4.454693202533561,4.481738139259613,2.490235555897626,1.7939427788168678,1.7939427788168678,1.7939427788168678,1.7939427788168678,1,1,1,1
4,5,3,3,0.31474554784657227,0.8227925796771143,0.19198637266081192,0.6594731423994956,0.08072880769650885,0.55,1.0,0.325,0.775,0.1,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.0,0.5,1.0,0.5,1.0,0.5,0.2708858712284704,0.32111319496159085,0.3658633982649323,0.49201442471944357,0.4937479426795974,3.859927960889327,2.12105725379271,2.4844449595429965,2.7713808014941135,2.6346251542774404,1.7923189436653726,1.7923189436653726,1.7923189436653726,1.7923189436653726,1,1,1,1
5,5,3,3,0.6421940810189177,0.22857776427512566,0.12706611951370117,0.5988251296077363,0.056742564213387685,1.0,0.55,0.325,0.775,0.1,1.0,0.5,0.5,0.5,0.0,0.5,1.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.40073134963607315,0.22646603761277506,0.32861927696656823,0.4121455973048246,0.4903313440423311,4.144103856601342,4.390709558542799,4.078388993919778,4.289906288535793,4.591285891924589,1.1220072127745206,1.1220072127745206,1.1220072127745206,1.1220072127745206,1,1,1,1
6,5,3,3,0.6065827473490948,0.32473163048900505,0.16225198998540408,0.6167830739659044,0.06727759485957067,1.0,0.55,0.325,0.775,0.1,1.0,0.5,1.0,0.5,0.0,0.5,1.0,0.5,0.5,0.0,1.0,0.0,1.0,1.0,0.5,0.26069940228091126,0.3786046018683789,0.48731291900879475,0.3226964647029542,0.4395964559506175,3.8711033930946046,3.544815376836249,4.670473501383141,4.024746555403975,2.895623774144329,1.9620848255648595,1.9620848255648595,1.9620848255648595,1.9620848255648595,1,1,1,1
7,5,3,3,0.4355839988502326,0.40754572158238334,0.20210235034110485,0.4459968981025613,0.08323215861531462,1.0,0.775,0.325,0.55,0.1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.2425605903994009,0.20179368673525128,0.34469579323254496,0.47454770787930217,0.4880275934379023,3.171291979744014,3.7983042664978526,3.6884814224724214,4.376556249814028,2.3085644078032077,1.6973833303276376,1.6973833303276376,1.6973833303276376,1.6973833303276376,1,1,1,1
8,5,3,3,0.21425933829955135,0.6101651411953293,0.13549230539908688,0.36464298445450416,0.060401159125550365,0.775,1.0,0.325,0.55,0.1,0.0,0.5,0.5,0.0,0.5,1.0,1.0,0.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.29800804982207746,0.39588005265342696,0.36832656826362076,0.3091670310845376,0.4647923744004348,3.6173922204008124,2.0144860460049125,4.056811899150606,4.358872907009773,4.364016417184443,1.017986506691831,1.017986506691831,1.017986506691831,1.017986506691831,1,1,1,1
9,5,3,3,0.2889236431939931,0.16940863597112932,0.11018540756475406,0.6626655835467921,0.06226699897852346,1.0,0.55,0.325,0.775,0.1,1.0,0.5,0.0,1.0,0.5,0.5,0.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.0,0.24931741854198008,0.30766194698302446,0.4386846414462774,0.38497131201360574,0.47635795849283874,2.0085363378581604,2.8397169929147354,3.7913889475423384,2.3973210648951246,2.5440506817470765,1.472158641024707,1.472158641024707,1.472158641024707,1.472158641024707,1,1,1,1
10,5,3,3,0.40577633174113115,0.6918071192378109,0.30793430520481657,0.14029014007833188,0.031434199281365816,0.775,1.0,0.55,0.325,0.1,0.5,1.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.4479014063637311,0.2338655206633759,0.3547552685060912,0.38627837683415656,0.4640191569394888,2.3439139397018884,2.6062433179564386,3.3480967737590066,4.152610540732979,2.947736644449293,1.7774058497960994,1.7774058497960994,1.7774058497960994,1.7774058497960994,1,1,1,1
11,5,3,3,0.36822345484823915,0.7639502236197133,0.38544342750114985,0.18803497821911347,0.04763262037048185,0.775,1.0,0.55,0.325,0.1,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.5,1.0,0.5,0.0,1.0,0.5,0.5,0.5,0.44631990017986145,0.479738032342735,0.2732602245028684,0.4521520039084708,0.31987342671387775,3.627871362897894,4.116320622844661,4.443537386551313,2.674600156558407,4.8747097616393855,1.7554769690182086,1.7554769690182086,1.7554769690182086,1.7554769690182086,1,1,1,1
12,5,3,3,0.52187344950467,0.20076013421870872,0.42658896837018434,0.6750901085973157,0.06971896879303513,1.0,0.325,0.55,0.775,0.1,1.0,0.0,0.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.3161163987564639,0.4471844347154873,0.49350392145350236,0.3449996804929253,0.3889993224688928,4.696839101765187,3.466824732839033,3.9860183304152885,2.15527753609536,2.8125896321922834,1.736797570658193,1.736797570658193,1.736797570658193,1.736797570658193,1,1,1,1
13,5,3,3,0.3546875698646865,0.21017749996750967,0.09943883597550587,0.6071743055479889,0.046239369766155565,1.0,0.55,0.325,0.775,0.1,1.0,0.5,0.5,1.0,0.0,1.0,0.5,0.5,0.0,0.0,1.0,0.5,0.0,1.0,0.0,0.3769507833530956,0.38310749663020593,0.32888415862539205,0.40325848755921023,0.36763809686368776,3.819524283423193,2.0212698234371356,3.0518973405449956,2.4059783010788545,2.1044537315567613,1.2438396907860603,1.2438396907860603,1.2438396907860603,1.2438396907860603,1,1,1,1
14,5,3,3,0.46648741892092704,0.4207450065395764,0.24666370142327748,0.1473273859583475,0.04194742739996304,1.0,0.775,0.55,0.325,0.1,0.5,0.5,0.0,0.5,0.0,1.0,1.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.3721557928530479,0.43837430009546896,0.4857691095061174,0.42248008156145345,0.21423214672636848,3.5003476507881164,3.2080607025956454,4.761103782853607,4.123741926254249,2.3766870242517895,1.9301895439352794,1.9301895439352794,1.9301895439352794,1.9301895439352794,1,1,1,1
15,5,3,3,0.37883990516398736,0.36643763882542063,0.1126268443992266,0.4226130983448307,0.04225999862726172,1.0,0.775,0.325,0.55,0.1,1.0,1.0,0.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.3886847393282462,0.2916790565972633,0.35469214111990677,0.42706408157363485,0.41846816749580973,4.100365974113265,2.211347611051902,4.505307441870171,3.0822546342544013,3.4740010744988172,1.2892726803680379,1.2892726803680379,1.2892726803680379,1.2892726803680379,1,1,1,1
16,5,3,3,0.4953612628965073,0.5354078812063915,0.10564381527333488,0.3713054200974165,0.07122452439035448,1.0,0.775,0.325,0.55,0.1,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,1.0,1.0,0.5,0.340928633243915,0.33364355877614654,0.36481776440686986,0.2176431259305981,0.24817474273242335,4.180478904719154,2.2709027176765315,2.005467767408783,4.698735182700605,4.960421617114633,1.6389592478295676,1.6389592478295676,1.6389592478295676,1.6389592478295676,1,1,1,1
17,5,3,3,0.25661411296979597,0.1824937093888469,0.8690735907894682,0.23705655034068002,0.04235442177935253,0.775,0.55,1.0,0.325,0.1,0.5,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.0,0.5,1.0,0.5,1.0,0.40268826899686033,0.2345563239749306,0.28047782350053047,0.2891613017706285,0.3924588702870394,2.292244922778967,3.0574651965873114,2.649424241856571,2.910861333039249,2.1862033831147176,1.8005991952164155,1.8005991952164155,1.8005991952164155,1.8005991952164155,1,1,1,1
18,5,3,3,0.23932759371697798,0.7749066539780247,0.4415521525030882,0.23299815448825956,0.06455142626853073,0.775,1.0,0.55,0.325,0.1,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.3974288250228315,0.37820805141961855,0.29447912358832484,0.35363681338550323,0.40577057174244424,2.6683983398969424,3.975757272894744,3.541042331779819,2.1819582162090514,2.599659898552817,1.8597619610883556,1.8597619610883556,1.8597619610883556,1.8597619610883556,1,1,1,1
