Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,p.P1,p.P2,p.P3,p.P4,p.P5,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta2.P1,theta2.P2,theta2.P3,theta2.P4,theta2.P5,theta3.P1,theta3.P2,theta3.P3,theta3.P4,theta3.P5,theta4.P1,theta4.P2,theta4.P3,theta4.P4,theta4.P5,theta5.P1,theta5.P2,theta5.P3,theta5.P4,theta5.P5,a.P1,a.P2,a.P3,a.P4,a.P5,b.1,b.2,b.3,b.4,b.5,gamma0,gamma1,gamma2,gamma3,gamma4,gamma5,eta0,eta1,eta2,eta3,eta4,eta5
0,5,5,3,0.2479588605979608,0.7737657919201439,0.13267597335830678,0.4330055974440787,0.059276465545340676,0.775,1.0,0.325,0.55,0.1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.0,0.5,1.0,0.5,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.27918385122547384,0.4584756623103078,0.47137091277788107,0.3732218723451445,0.36064800328757846,2.551499318310105,2.9519323043230745,2.0749967713430615,2.521465103680237,4.304895233086171,1.2395328484713566,1.2395328484713566,1.2395328484713566,1.2395328484713566,1.2395328484713566,1.2395328484713566,1,1,1,1,1,1
1,5,5,3,0.44867599270837033,0.4791783248298388,0.38925713184906324,0.19175020732606876,0.04744717647182203,1.0,0.775,0.55,0.325,0.1,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.2733209478035541,0.28681318276826884,0.41261580754971877,0.22921365680381728,0.3806790795729712,4.134157174547176,4.22379355361191,4.81642125165745,2.62362049335096,3.7577503312485656,1.2780471466556163,1.2780471466556163,1.2780471466556163,1.2780471466556163,1.2780471466556163,1.2780471466556163,1,1,1,1,1,1
2,5,5,3,0.666211491351653,0.378585887090306,0.19108189814043205,0.683139000850256,0.08481583372242349,1.0,0.55,0.325,0.775,0.1,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.0,0.3697457430929224,0.22344542176759796,0.25371441536214995,0.41829189574851444,0.24604496367772677,4.036212722583622,4.050235405874583,2.782601469665373,3.649600867956663,3.163350379802694,1.0540100509617636,1.0540100509617636,1.0540100509617636,1.0540100509617636,1.0540100509617636,1.0540100509617636,1,1,1,1,1,1
3,5,5,3,0.2274947038336993,0.5196252223643136,0.11056930416855304,0.8952870671183063,0.08171358313403598,0.55,0.775,0.325,1.0,0.1,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,1.0,0.5,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.33393518823319535,0.35019161993734604,0.4879187178672064,0.43856711276519944,0.20467141724902116,4.0579992425318165,4.142146548691812,4.256442729044084,4.963187921893353,4.7079993655654455,1.0522274622724117,1.0522274622724117,1.0522274622724117,1.0522274622724117,1.0522274622724117,1.0522274622724117,1,1,1,1,1,1
4,5,5,3,0.3436846594213196,0.697840469468594,0.3059794916467385,0.132251009840746,0.07967852754512694,0.775,1.0,0.55,0.325,0.1,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,1.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.24135327873885415,0.46175445060414055,0.2238532821564127,0.49364499744045476,0.3172956447224271,2.437307226837355,4.995624513275853,2.305337163743282,3.2132192339308414,3.8485496013072216,1.424767273045171,1.424767273045171,1.424767273045171,1.424767273045171,1.424767273045171,1.424767273045171,1,1,1,1,1,1
5,5,5,3,0.5582028940220448,0.2725465993870748,0.5354424347281475,0.13115263906076904,0.07879185872363255,1.0,0.55,0.775,0.325,0.1,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,0.5,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.4420862128683344,0.37057926638868127,0.20393562180534397,0.4351132482035277,0.3625493961732319,3.9473048138649287,2.212201296554541,4.59556226689862,3.2047793075370334,4.460467951587998,1.0624720219340693,1.0624720219340693,1.0624720219340693,1.0624720219340693,1.0624720219340693,1.0624720219340693,1,1,1,1,1,1
6,5,5,3,0.468801922233257,0.32782625072474475,0.2913831275044132,0.2516996266725442,0.048771852780312305,1.0,0.775,0.55,0.325,0.1,0.5,1.0,0.0,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.29662570252553255,0.344263966923677,0.4684075194631972,0.48261509714410417,0.26280716158014983,3.546839444942548,3.3083304831766527,3.057485502313,2.334449329921605,4.101043111513607,1.8668903679709603,1.8668903679709603,1.8668903679709603,1.8668903679709603,1.8668903679709603,1.8668903679709603,1,1,1,1,1,1
7,5,5,3,0.1803916935061669,0.6315169204830337,0.6346934685331772,0.04991446086210935,0.27834013398084045,0.55,1.0,0.775,0.1,0.325,0.5,0.5,1.0,0.0,0.5,1.0,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.5,0.362310984434864,0.26312383281494167,0.4331378174427266,0.32077145044765937,0.4377468829166304,3.966395621316389,4.038036931586155,3.919140945032553,4.636217817294075,2.0316442654495632,1.361211358550091,1.361211358550091,1.361211358550091,1.361211358550091,1.361211358550091,1.361211358550091,1,1,1,1,1,1
8,5,5,3,0.6435626703690153,0.42916940728486963,0.23582512007270007,0.12444290511958622,0.03298500373576234,1.0,0.775,0.55,0.325,0.1,0.5,1.0,0.0,0.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.3417180922107337,0.26452091234416036,0.39784709893522696,0.29898717415869286,0.4792293070020536,4.454022799934386,4.260257963620285,3.30423942627422,2.0326912064425535,3.9397215643584595,1.4830661745085139,1.4830661745085139,1.4830661745085139,1.4830661745085139,1.4830661745085139,1.4830661745085139,1,1,1,1,1,1
9,5,5,3,0.28432411733368873,0.5495661062049125,0.14475818043663935,0.21182491460002947,0.038060768367776276,0.775,1.0,0.55,0.325,0.1,1.0,0.5,0.5,0.0,1.0,1.0,1.0,0.5,0.5,0.0,0.5,1.0,0.5,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.5,0.5,1.0,0.5,0.0,0.37228488278022703,0.3068466975213171,0.45917782503168497,0.4490254194249902,0.25939514892742643,3.430232500292623,3.302544502967764,4.320135826614098,3.09435608978351,4.829456931741859,1.7896209400647818,1.7896209400647818,1.7896209400647818,1.7896209400647818,1.7896209400647818,1.7896209400647818,1,1,1,1,1,1
