Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,c.P6,c.P7,c.P8,c.P9,c.P10,p.P1,p.P2,p.P3,p.P4,p.P5,p.P6,p.P7,p.P8,p.P9,p.P10,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta1.P6,theta1.P7,theta1.P8,theta1.P9,theta1.P10,a.P1,a.P2,a.P3,a.P4,a.P5,a.P6,a.P7,a.P8,a.P9,a.P10,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,gamma0,gamma1,eta0,eta1
0,10,1,3,0.32107015445533904,0.2468989967633189,0.5055739845825723,0.5319799277117688,0.2464907161666759,0.413463764518708,0.18996388345936618,0.1374679974012353,0.34110868222205365,0.07005074960306105,1.0,0.7000000000000001,0.9,0.8,0.5,0.6,0.30000000000000004,0.2,0.4,0.1,0.5,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.34727857316885713,0.43496545214808224,0.3396622579360387,0.23604411488172414,0.21609859512027518,0.40165756453237594,0.3699984598873475,0.2358409325987311,0.3559840856867439,0.3389223335231585,2.5840795032026183,4.8985783589149845,4.834869835757571,3.0051897864152237,2.0416059848356056,3.4314439295808743,3.6369389716904577,2.4886245726096563,2.263815911193919,3.02973014366952,1.0272301466438254,1.0272301466438254,1,1
1,10,1,3,0.5760963582927641,0.508836074572178,0.3124408163202082,0.45685134675214645,0.28437526793373535,0.6320335249109021,0.27189563753962903,0.08700561382971923,0.025056361012717243,0.24809106108952808,1.0,0.9,0.6,0.7000000000000001,0.5,0.8,0.4,0.2,0.1,0.30000000000000004,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.3819903005472387,0.20296041624672181,0.2837718653423522,0.21041374788820422,0.32271774345205356,0.3436139424679695,0.3550411351303755,0.2828339732755215,0.4376682913202239,0.3237830825245239,4.500048754984476,3.197142798780208,2.013644106588781,2.1368835913191107,3.5177823487379722,2.5226278448599326,4.293569498315154,3.870271152116627,3.9682694526804014,4.007003452897623,1.807369360975274,1.807369360975274,1,1
2,10,1,3,0.27723527166862727,0.3336878274312519,0.2962327750145759,0.1622203732673217,0.35502223696747975,0.2752925596572135,0.07617883901554862,0.20577975854510494,0.43570701711389187,0.0535481870818768,1.0,0.9,0.8,0.6,0.7000000000000001,0.4,0.2,0.30000000000000004,0.5,0.1,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.33715500996816455,0.3201043816835123,0.3913309456056513,0.28192458500864065,0.28925214533165455,0.36910361446764645,0.22079751113437027,0.23917597693931125,0.23700500911745698,0.24730225197759376,4.0598690120407905,2.669765005103489,2.659896415735569,4.930536820962148,2.0082522646549674,3.522679525649468,4.41876821679033,4.249484330806346,2.193825080136884,4.836451383698829,1.7456093569634445,1.7456093569634445,1,1
3,10,1,3,0.6343539038004786,0.4479358819991248,0.30443835165021044,0.5001977873915524,0.20411970958934683,0.7253008808552,0.37972493574126165,0.09590055171629662,0.22814652065938543,0.07822877121716308,1.0,0.8,0.6,0.7000000000000001,0.4,0.9,0.5,0.2,0.30000000000000004,0.1,0.5,0.5,1.0,0.5,0.0,1.0,0.5,0.0,0.0,0.0,0.3921123507888896,0.32324958438650964,0.25913099936721057,0.3982773718124878,0.2281071238819086,0.4415649564790873,0.3055111722405637,0.2741696212430529,0.48106160681379145,0.35713833192349453,4.2426113070668725,3.0549519560170157,3.7196299201689644,4.801643757242512,4.946468537582138,2.048827010739141,3.8250399051573303,3.843435484247547,4.320850307072872,2.513199417645756,1.414615518854181,1.414615518854181,1,1
4,10,1,3,0.5925405997811428,0.2316516592515977,0.6372182510155667,0.19099156642232026,0.4354661456521124,0.6864213933313564,0.21726078100986906,0.6265692782526663,0.13261506624282574,0.07624875781544815,1.0,0.5,0.9,0.4,0.6,0.8,0.30000000000000004,0.7000000000000001,0.2,0.1,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.5,1.0,0.0,0.3822509264586911,0.4926129291930709,0.31374968086008176,0.4762096714108084,0.29712402804000293,0.3377663757706091,0.4509552634521651,0.41083325895856293,0.3594939394889226,0.3067114072086217,4.753733062296509,2.5396457036630817,3.342649180877305,4.13437488252494,3.8576022934407064,2.5367395477716714,4.377896998943998,2.3487356281525162,2.0387471345474477,4.118156744758798,1.4771539961232856,1.4771539961232856,1,1
5,10,1,3,0.5461041615658606,0.2266479072491121,0.49493171674406117,0.11779687562829924,0.5265974632515874,0.7597882591385249,0.3008218544874598,0.42875862769006795,0.03998769165187943,0.16153898516262205,1.0,0.6,0.8,0.30000000000000004,0.7000000000000001,0.9,0.4,0.5,0.1,0.2,1.0,0.5,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.22755570435040764,0.42119266313127474,0.4053326195979644,0.27533852309489454,0.43830907110864037,0.3439033124800537,0.47414340442424185,0.36574592397398786,0.23542494446352005,0.3079116325764228,4.316447383886676,2.2235514339353784,3.993333932469271,2.7005424576775754,3.04956423864245,4.460255090020572,4.03822757795069,2.6148411884181497,3.7901204801367028,3.623120464192483,1.1393034201829573,1.1393034201829573,1,1
6,10,1,3,0.2583948254800642,0.49729121564969103,0.29792231818641285,0.45473534794227,0.2858861492756345,0.28097032703048835,0.10864604376369419,0.32839700024278856,0.04218480530769525,0.2548740440557817,0.9,1.0,0.7000000000000001,0.8,0.6,0.5,0.2,0.4,0.1,0.30000000000000004,0.5,0.5,1.0,0.5,0.5,0.0,0.5,1.0,0.5,0.0,0.2780492389735534,0.48411840095283604,0.3643462733342826,0.30582354653968985,0.4669575107958356,0.2587954583629848,0.28354394906488634,0.28254526784537976,0.2720221363475819,0.36666137364691476,2.4471326611259427,2.7909899707442936,2.115882469303775,4.398367042161812,4.798643238733416,3.2021016305422076,2.11978256598787,2.844261206397597,2.6301550649452663,3.059730091378046,1.436994527890328,1.436994527890328,1,1
7,10,1,3,0.3392842212034964,0.17268243538247563,0.6857004163751789,0.1817955266425781,0.41859889950516777,0.6575457911552494,0.0702240939316493,0.7930541234654783,0.20475928356013057,0.03215874591572236,0.7000000000000001,0.5,1.0,0.4,0.6,0.8,0.2,0.9,0.30000000000000004,0.1,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.5,0.0,0.5,0.4877304654889449,0.45787283139617135,0.20597294487484186,0.20497495024200785,0.34176781731988504,0.2787233162958099,0.4186260149248431,0.42958921045873866,0.23832549433097033,0.2941210165846713,3.933649629974254,2.6340229214775865,2.817774067454618,2.265500059616895,3.527596026627611,3.251978384254187,2.808524501795028,4.7029381097075635,4.385994014181047,2.4028362014947797,1.6607642193469598,1.6607642193469598,1,1
8,10,1,3,0.43278057006214143,0.23486955928691544,0.26363442526419895,0.09353305757547181,0.705200802439366,0.3401948084357837,0.6627965681521324,0.2681055697080007,0.02869905193956529,0.13620524495441996,1.0,0.7000000000000001,0.6,0.30000000000000004,0.9,0.5,0.8,0.4,0.1,0.2,0.5,0.5,0.5,0.0,1.0,1.0,0.5,1.0,0.5,0.5,0.4860231347275005,0.49155317974847706,0.3534894689997474,0.2786873287502228,0.35397420554404824,0.2550744958099456,0.4877044145081651,0.31317274338821843,0.38974699167214233,0.36521111057284994,4.61116623880223,2.1628894920703456,4.556850031286633,2.588024306912721,3.4332651085926895,4.266702868642251,4.46504265793635,3.4185060760328123,2.355188325480604,4.578178425126946,1.9384210816525158,1.9384210816525158,1,1
9,10,1,3,0.303916087547042,0.2217956250378006,0.16117618647581666,0.11864135973499235,0.6602814430084127,0.8365244254666703,0.590032882955188,0.1945771552041507,0.1378322758017465,0.06324818549642879,0.8,0.6,0.5,0.4,0.9,1.0,0.7000000000000001,0.30000000000000004,0.2,0.1,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.3311074905083641,0.4018927305266328,0.4405303687562555,0.36380977819630655,0.32960563267766074,0.39835294586246883,0.3651951801591943,0.27501742210397767,0.23741587944409956,0.49085304212654185,4.771989369387294,3.271186931986642,2.638007926918167,4.674478399135131,3.9611821161641947,3.7229877924857755,3.3471240689027426,4.008340867280256,4.249884605797481,2.6121492266000423,1.6667266327183659,1.6667266327183659,1,1
