Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,c.P6,c.P7,c.P8,c.P9,c.P10,p.P1,p.P2,p.P3,p.P4,p.P5,p.P6,p.P7,p.P8,p.P9,p.P10,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta1.P6,theta1.P7,theta1.P8,theta1.P9,theta1.P10,theta2.P1,theta2.P2,theta2.P3,theta2.P4,theta2.P5,theta2.P6,theta2.P7,theta2.P8,theta2.P9,theta2.P10,theta3.P1,theta3.P2,theta3.P3,theta3.P4,theta3.P5,theta3.P6,theta3.P7,theta3.P8,theta3.P9,theta3.P10,theta4.P1,theta4.P2,theta4.P3,theta4.P4,theta4.P5,theta4.P6,theta4.P7,theta4.P8,theta4.P9,theta4.P10,theta5.P1,theta5.P2,theta5.P3,theta5.P4,theta5.P5,theta5.P6,theta5.P7,theta5.P8,theta5.P9,theta5.P10,a.P1,a.P2,a.P3,a.P4,a.P5,a.P6,a.P7,a.P8,a.P9,a.P10,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,gamma0,gamma1,gamma2,gamma3,gamma4,gamma5,eta0,eta1,eta2,eta3,eta4,eta5
0,10,5,3,0.33875777288227665,0.1576853389587365,0.4671779688682756,0.27489445943516216,0.7007692076829639,0.7569761983957488,0.20089719471551534,0.3120147925555943,0.14735231028080756,0.0899119226274307,0.7000000000000001,0.5,0.8,0.6,1.0,0.9,0.30000000000000004,0.4,0.2,0.1,0.5,0.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.0,0.5,0.5,0.5,1.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.4003719824192707,0.25270062248264324,0.4272771884385044,0.45073094010492065,0.42580244304288517,0.44283002497821433,0.4834962192247985,0.2641553313689202,0.2020005681766528,0.2585762819301091,2.176092574253178,4.4360625814542995,3.6930111090688804,4.215677265709767,3.7861606788184465,3.3592699954790546,3.4003066933177752,3.671273061923185,2.759436577629512,2.2956573190858105,1.1906364230602215,1.1906364230602215,1.1906364230602215,1.1906364230602215,1.1906364230602215,1.1906364230602215,1,1,1,1,1,1
1,10,5,3,0.22766569130483538,0.2518969491284676,0.23326109671018336,0.08423129077701763,0.18767349383409548,0.7947048916301593,0.4846762790559971,0.5948236213442657,0.12430387630324904,0.07706998658764008,0.9,0.8,0.5,0.30000000000000004,0.4,1.0,0.6,0.7000000000000001,0.2,0.1,0.5,0.5,0.5,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.5,0.5,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,1.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.2564919022435751,0.3956577595660866,0.21115655505472283,0.2773051726570408,0.26022098894098733,0.20752337247257255,0.27351650438002545,0.4936043278561102,0.4111467236925418,0.37973900602353694,4.562657936708816,3.3745010163692877,2.2583505079149253,3.315437967022379,4.706403514511184,4.688825063713203,2.3710454929971734,2.211391269729769,3.356547455866604,3.604607974888679,1.857961248381565,1.857961248381565,1.857961248381565,1.857961248381565,1.857961248381565,1.857961248381565,1,1,1,1,1,1
2,10,5,3,0.3035966995321657,0.17222684328774196,0.6199269920222363,0.36218638174593804,0.47776577405127874,0.12584967324024024,0.6265622294604456,0.24530052342294595,0.03625258228951719,0.1459450336116169,1.0,0.5,0.9,0.6,0.7000000000000001,0.30000000000000004,0.8,0.4,0.1,0.2,0.5,0.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.0,1.0,0.5,1.0,0.5,0.5,1.0,0.0,0.5,0.5,0.5,0.4698810527540605,0.3516495112136041,0.4929560962571888,0.2983052128669105,0.23685562415507283,0.3915668030892837,0.3138040303036848,0.40348655593157545,0.4926999666999002,0.34694534162595697,2.249940207198073,3.7346016359002614,4.416580861420865,4.244891007594809,3.8580954070755595,2.1968591576887233,3.745786996871543,2.7987170255367833,3.8130331765061847,4.567670602656802,1.0417759332238212,1.0417759332238212,1.0417759332238212,1.0417759332238212,1.0417759332238212,1.0417759332238212,1,1,1,1,1,1
3,10,5,3,0.3691424899228644,0.5138674728667842,0.6150566482792843,0.1891588325489454,0.3437601870623226,0.06716283450686716,0.1953885342230521,0.609703525249743,0.5164754415895538,0.041888299811422336,0.8,0.9,1.0,0.4,0.5,0.2,0.30000000000000004,0.7000000000000001,0.6,0.1,0.5,0.5,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.5,1.0,1.0,0.0,0.5,0.5,0.0,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.32513544356539303,0.4018400116806832,0.4187528831626837,0.41262592579692786,0.26128112692089533,0.25121008460378186,0.4968977054896508,0.2675134274377118,0.24475234468123447,0.36171734567025005,2.9686897257915925,4.939360791866906,2.934140421207509,3.961948295113583,2.063908350796338,4.235647693059944,2.045107053759827,3.132950000836688,3.550220245178312,4.689309281320954,1.6306473715483705,1.6306473715483705,1.6306473715483705,1.6306473715483705,1.6306473715483705,1.6306473715483705,1,1,1,1,1,1
4,10,5,3,0.3954840874300507,0.13627173918544572,0.3577786445881958,0.47545213121310054,0.2036608529440822,0.4147451872554224,0.8019733973753914,0.1238321344541693,0.05081801152988093,0.26242882136918577,1.0,0.5,0.7000000000000001,0.8,0.4,0.6,0.9,0.2,0.1,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,1.0,0.0,0.5,0.5,1.0,0.5,0.0,0.5,1.0,1.0,0.5,0.0,0.0,0.4856532696203716,0.48312885193689603,0.4306308225134607,0.2947974978473003,0.4023151461473058,0.44786239016553064,0.3616049302505021,0.38918035697641234,0.47191198772570725,0.47571761201897567,4.322983631433933,2.678655862188388,4.03962291090069,2.9904005163412366,2.6144511843853815,2.344352153219375,4.369583739523014,2.619279220426619,4.158442835607231,3.421348091472948,1.5536099767445979,1.5536099767445979,1.5536099767445979,1.5536099767445979,1.5536099767445979,1.5536099767445979,1,1,1,1,1,1
5,10,5,3,0.3990965021087043,0.4241997888339562,0.21071621655320427,0.3876790416577218,0.5029810025819155,0.17451684888620855,0.28234544341369855,0.12856680732393697,0.02594273374283139,0.13377664859945967,1.0,0.9,0.6,0.7000000000000001,0.8,0.4,0.5,0.30000000000000004,0.1,0.2,1.0,1.0,0.0,0.5,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,1.0,1.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,0.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,0.5,0.0,1.0,0.5,0.0,0.0,0.4291165350545807,0.3549976370711662,0.2972085177112965,0.3312487948391813,0.40361486775025535,0.4651627719919656,0.3689020217819061,0.3467820997160109,0.3793692321989619,0.31614478425018233,3.6434691062577116,2.5417235404011733,3.3387236258943336,4.578138252593627,2.311317601551763,2.3684139284950114,4.123119010943616,2.4924272896875106,4.847239082275801,3.735874725124456,1.7190768980488271,1.7190768980488271,1.7190768980488271,1.7190768980488271,1.7190768980488271,1.7190768980488271,1,1,1,1,1,1
6,10,5,3,0.35225804813792605,0.17669596528371312,0.40743287461497696,0.7244352374648925,0.07190406458470378,0.17968925064520255,0.5852197311990375,0.6872211450271268,0.03573126105721411,0.3480832401811758,1.0,0.5,0.6,0.9,0.2,0.30000000000000004,0.7000000000000001,0.8,0.1,0.4,0.5,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.0,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.0,0.5,0.5,0.5,1.0,0.0,0.5,0.5,1.0,0.5,1.0,0.2283934800068344,0.20789885842379785,0.2583783573778258,0.23728347675090594,0.37454649099717285,0.39513103458044085,0.32211239480469894,0.4145696494926161,0.2645992292026896,0.4988971289405006,4.648466164579261,4.371552096475219,2.8293729698778693,3.9664781298694622,3.432236690055621,2.6151114683839705,3.6063425133566294,3.5145220493006364,2.560310357089501,4.445246983892273,1.2293809840191727,1.2293809840191727,1.2293809840191727,1.2293809840191727,1.2293809840191727,1.2293809840191727,1,1,1,1,1,1
7,10,5,3,0.2566669619619075,0.16036965105948298,0.5175651073077591,0.1732027957985016,0.8046255179126943,0.5315759020263839,0.3973067977899939,0.02562629751345745,0.24196894882227263,0.14326621437911155,0.8,0.6,0.9,0.4,1.0,0.7000000000000001,0.5,0.1,0.30000000000000004,0.2,1.0,0.0,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.0,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.34747117131015415,0.4806319051729082,0.3130523893100755,0.3691573080585929,0.45197471659712707,0.4854806444230043,0.4689608900056095,0.23630801654600556,0.37855967616762076,0.440076201886588,2.9053544404759863,3.019328442711582,2.106189640530996,3.595516284718676,2.7910031468579524,4.779220638989116,3.626991511244307,2.523952843719083,3.277232901077341,3.2292966572089115,1.9260203051119098,1.9260203051119098,1.9260203051119098,1.9260203051119098,1.9260203051119098,1.9260203051119098,1,1,1,1,1,1
8,10,5,3,0.5365056862421915,0.26905411330863466,0.12746138998773499,0.2672657973631233,0.616783651137237,0.12488797495658427,0.794133798311804,0.1058002937903762,0.5080167898639661,0.07032764606524265,1.0,0.7000000000000001,0.4,0.5,0.8,0.30000000000000004,0.9,0.2,0.6,0.1,0.5,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.0,0.5,0.0,0.5,1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.0,1.0,0.5,0.0,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.3321450226221899,0.2575722303930708,0.40916454933469015,0.2984118510741429,0.3881662594547943,0.4775423250095171,0.2708820761670436,0.48014873291292903,0.3907522973299206,0.31495572692801577,3.4478751971710193,2.5693736659597466,2.380207337417371,3.2330870600323642,2.9808016531859804,2.898018042909543,3.8300881578285537,4.772905667990637,3.75828143152701,2.86809815686552,1.15382192893453,1.15382192893453,1.15382192893453,1.15382192893453,1.15382192893453,1.15382192893453,1,1,1,1,1,1
9,10,5,3,0.44535924681742933,0.2536819972042428,0.27204454130912126,0.5948738496536721,0.14475603087379518,0.4681651984268745,0.3688364611053586,0.20713775970422324,0.1717877293739745,0.07366876311873997,1.0,0.8,0.7000000000000001,0.9,0.4,0.6,0.5,0.30000000000000004,0.2,0.1,0.5,1.0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.5,1.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5,0.5,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.0,0.0,0.2905486429229644,0.49698726131612153,0.40105144720141844,0.40776325787082746,0.46423475489912924,0.28268835160924866,0.4604546542024901,0.4046549324825824,0.4892624263264162,0.4594789341001793,4.572573337177381,4.81665143996312,2.126564332374199,3.1756750564721195,2.3824087688081637,4.368894171899551,3.9293598337669766,4.492024368279638,2.013831621881808,4.479569963053556,1.3319694218495128,1.3319694218495128,1.3319694218495128,1.3319694218495128,1.3319694218495128,1.3319694218495128,1,1,1,1,1,1
