Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,p.P1,p.P2,p.P3,p.P4,p.P5,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,beta_0,beta_p,beta_theta1
0,5,1,3,0.31171189567478375,0.1803159116972166,0.5251219781598863,0.09866811457168231,0.05710830502642397,1.0,0.55,0.775,0.325,0.1,0.0,0.5,0.0,0.5,0.5,0.4834661568781209,-4.199613005116438,0.8724542250115734
1,5,1,3,0.3415345528616728,0.31089033491809537,0.6624129991438632,0.2769100873170232,0.05730930052288651,1.0,0.55,0.775,0.325,0.1,0.5,1.0,1.0,1.0,0.5,0.5880252306696356,-4.855853298259846,1.8924267135052204
2,5,1,3,0.5791341298778411,0.8553399453508155,0.44605733783198287,0.2767518195814217,0.0753546593426083,0.775,1.0,0.55,0.325,0.1,0.5,0.5,0.5,0.5,0.0,0.32711655938824846,-3.94112760049846,1.2989067262098897
3,5,1,3,0.3951901213510015,0.23654439843542463,0.2253095319401867,0.2025423302214366,0.031092698918312928,1.0,0.775,0.55,0.325,0.1,1.0,0.0,0.0,1.0,1.0,0.4748843980014827,-4.453538832415719,1.4785013054522884
4,5,1,3,0.491723332175113,0.2897008095915024,0.13736199402293764,0.40417447769749343,0.04844991877491506,1.0,0.775,0.325,0.55,0.1,1.0,0.0,1.0,1.0,1.0,0.48091608665542335,-4.229397785574764,0.9978541796805193
5,5,1,3,0.36959426510415705,0.281043815026319,0.755065594097323,0.2714797376892049,0.08812925485889171,0.775,0.55,1.0,0.325,0.1,0.0,0.0,1.0,0.0,1.0,0.4709881771374335,-4.443215591860305,1.7094461181782907
6,5,1,3,0.6160998566752849,0.438222887461948,0.4830479857529439,0.29086229044827955,0.08043104860264479,1.0,0.775,0.55,0.325,0.1,1.0,1.0,0.5,0.0,1.0,0.1246282809857216,-4.803615874030127,1.6001138816491824
7,5,1,3,0.47751695972182834,0.8166198564827464,0.43528282121968287,0.031242815565237878,0.2704319775333139,0.775,1.0,0.55,0.1,0.325,0.5,0.0,0.5,1.0,0.0,0.516863737217322,-4.552118771633161,1.6244925598105482
8,5,1,3,0.3952677509196431,0.7108446492241978,0.35325549201069095,0.15288623047282282,0.08548984448028929,0.775,1.0,0.55,0.325,0.1,0.5,1.0,0.0,0.5,1.0,0.3877527529836599,-4.733202305107242,1.8288437798787578
9,5,1,3,0.5274273474056601,0.15405316845490835,0.8809855467748781,0.4324561449010523,0.07532858304403604,0.775,0.325,1.0,0.55,0.1,0.0,1.0,0.5,0.5,0.0,0.4339359755644199,-3.99310811127001,1.1825734045103133
10,5,1,3,0.6329225642744754,0.20226589903731262,0.5009135372279507,0.11250286247136534,0.051255400554782164,1.0,0.55,0.775,0.325,0.1,0.5,1.0,0.5,0.0,0.5,0.4334916324852818,-4.959370899121143,2.0451309504042023
11,5,1,3,0.22462898093617067,0.5404103500500255,0.14318878605123744,0.3804843154218755,0.02563510929529675,0.775,1.0,0.325,0.55,0.1,0.5,1.0,1.0,0.5,0.0,0.6016490050567134,-4.697040920377689,1.5862658921801491
12,5,1,3,0.5849872242209728,0.441049056688719,0.3350318930791664,0.1621860237258007,0.04796809775095246,1.0,0.775,0.55,0.325,0.1,0.0,0.5,1.0,0.0,0.0,0.49078901091583427,-3.8977341974299873,1.3087011884289248
13,5,1,3,0.4395688702936637,0.2768756073506098,0.7369575241438748,0.14439527952216422,0.02692997373822796,0.775,0.55,1.0,0.325,0.1,0.0,0.0,0.5,1.0,0.5,0.4655784061170616,-4.78916546874283,1.668154707889347
14,5,1,3,0.2526233918855751,0.7150703372691818,0.08991899982036419,0.5876613047444973,0.060719438538379404,0.55,1.0,0.325,0.775,0.1,0.5,1.0,1.0,0.5,0.5,0.48492510036441394,-4.118150129588476,1.6888385381028097
15,5,1,3,0.2677079847401692,0.5744595246824943,0.08756021166638603,0.41826534238067736,0.07433172960241202,0.775,1.0,0.325,0.55,0.1,0.0,0.5,0.0,1.0,0.0,0.5136585178620199,-4.569114303419826,1.1424015862747356
16,5,1,3,0.3791442766975247,0.2903759578528817,0.12560020057680793,0.5903911039452117,0.049676187784483475,1.0,0.55,0.325,0.775,0.1,0.0,0.0,0.5,0.5,1.0,0.6599219944325049,-4.394214585811808,1.1322983300414595
17,5,1,3,0.1753221912539017,0.4123590228169218,0.6598321942042584,0.1961255002716685,0.02710910065467291,0.55,0.775,1.0,0.325,0.1,0.0,0.0,0.5,0.5,1.0,0.47364963598857374,-4.24346144878449,1.5812972120721094
18,5,1,3,0.25538544966797727,0.3217778105849301,0.23237901480387968,0.08599530851464471,0.08693826157039268,1.0,0.775,0.55,0.325,0.1,0.0,1.0,1.0,0.5,0.0,0.4529625039608685,-3.705642779065376,1.1456679195223027
19,5,1,3,0.2698285624158985,0.3119437313319121,0.11476382446650676,0.4361195730296921,0.029451801685046256,1.0,0.775,0.325,0.55,0.1,0.0,1.0,0.5,0.5,0.5,0.5860057159716181,-3.6785029034081727,1.3231906492660959
20,5,1,3,0.303936845277051,0.21335262650669273,0.6105725264851607,0.2487906645160338,0.07386331589300775,1.0,0.55,0.775,0.325,0.1,0.5,0.5,0.0,1.0,1.0,0.47801282165280684,-4.587416265432767,1.6073972950789215
21,5,1,3,0.40603082674524243,0.7106399900453256,0.39602869514443517,0.22958869359687625,0.05017546725205712,0.775,1.0,0.55,0.325,0.1,1.0,0.5,0.5,0.0,0.0,0.4313161437822848,-4.102220333415995,0.969279037349191
22,5,1,3,0.38933908145483453,0.7160582761758059,0.36011443316116026,0.18818593278416812,0.08131974767791589,0.775,1.0,0.55,0.325,0.1,0.5,0.5,1.0,0.5,1.0,0.14612817148223,-3.9988011400485077,1.5127434275364549
23,5,1,3,0.11063804899864293,0.8507178459296385,0.653064653399806,0.031139741843858315,0.48808975171176344,0.325,1.0,0.775,0.1,0.55,0.0,0.5,0.5,1.0,1.0,0.3771745612425726,-4.404679319994694,1.591328811237657
24,5,1,3,0.3503046516318208,0.2695498054435172,0.7650669621562262,0.17267654737707205,0.05506203070269186,0.775,0.55,1.0,0.325,0.1,0.0,1.0,0.0,0.5,1.0,0.46699939017690206,-4.633738601846643,1.9621387764379106
25,5,1,3,0.3202248178485446,0.3246876658149288,0.29436353016406025,0.2685113229360289,0.06268375421764312,1.0,0.775,0.55,0.325,0.1,1.0,0.0,1.0,0.5,0.0,0.5269662276111379,-4.756265980737009,1.4758895323458079
26,5,1,3,0.620181832771687,0.5807556819099573,0.4256549116969049,0.2259689592932693,0.028958198663970286,1.0,0.775,0.55,0.325,0.1,1.0,1.0,1.0,1.0,0.5,0.48981264122238416,-4.44340064690774,1.790798991998752
27,5,1,3,0.2530375935204453,0.4095560212357838,0.34417971336671555,0.0469501364258442,0.2825560813643317,1.0,0.775,0.55,0.1,0.325,1.0,1.0,1.0,0.5,0.5,0.3816386710094323,-3.583734324044326,1.020540392894602
28,5,1,3,0.4885866291862528,0.7180152769825024,0.08816235475957734,0.33865495558937103,0.026541775258624903,0.775,1.0,0.325,0.55,0.1,0.0,0.0,1.0,0.0,1.0,0.23747990590008428,-4.433614379947169,1.0599184722895136
29,5,1,3,0.44125461859640047,0.4240653926831202,0.20928425057677202,0.1186209757464618,0.08387991523166013,1.0,0.775,0.55,0.325,0.1,0.5,0.5,1.0,0.5,0.5,0.36836521121640153,-4.327053431818234,1.8790024918590336
30,5,1,3,0.21001674924843228,0.2550163627878935,0.7744760573844657,0.1727750746780385,0.04136982584228738,0.775,0.55,1.0,0.325,0.1,0.0,1.0,1.0,0.0,0.0,0.4709816147064824,-3.9268621351167408,1.2022255008419371
31,5,1,3,0.2870985095676095,0.49042431988107604,0.3208857119486865,0.19146451809852993,0.038982595744849524,1.0,0.775,0.55,0.325,0.1,0.0,0.0,0.5,1.0,1.0,0.2999270474221842,-4.108614827091734,1.1775775218590812
32,5,1,3,0.3368687075746296,0.14317148400339097,0.5171529430730942,0.17737745724169246,0.030270490057897184,1.0,0.55,0.775,0.325,0.1,0.5,0.5,0.5,0.0,0.0,0.2576831295534606,-3.41704218742139,1.12938984504638
33,5,1,3,0.2534982184981823,0.6076789976171664,0.24135846251837112,0.17924581144793644,0.05548949255226557,0.775,1.0,0.55,0.325,0.1,1.0,0.5,0.5,1.0,0.5,0.4932661882867837,-3.3144509054210474,0.9188778593851274
34,5,1,3,0.21255046662295074,0.7176561067874068,0.29837300899982966,0.1759882812807189,0.046235528917126345,0.775,1.0,0.55,0.325,0.1,0.0,0.0,0.5,1.0,0.0,0.32928710484828455,-4.4567867049755225,1.4191161364819374
35,5,1,3,0.26455060275502196,0.4844104984100816,0.4233674402504543,0.26579911943277057,0.07965208819614648,1.0,0.775,0.55,0.325,0.1,1.0,0.5,0.5,0.5,1.0,0.602174349264543,-3.981415258676614,1.4755252059237884
36,5,1,3,0.2710071628442645,0.6933076970444041,0.1215955517982355,0.4868575114172678,0.06574311489112553,0.775,1.0,0.325,0.55,0.1,0.5,0.0,1.0,0.0,0.5,0.7444314100177024,-4.7706169774458544,1.800421765210729
37,5,1,3,0.2400941563976744,0.7237775508650998,0.6213292736940571,0.2520857479048205,0.07142377181936699,0.55,1.0,0.775,0.325,0.1,1.0,0.5,0.5,1.0,1.0,0.10995548740945812,-4.842941235777233,1.898715712224718
38,5,1,3,0.1969814684664733,0.45821440159496585,0.8936670812542644,0.24459928432288433,0.07199192608125064,0.55,0.775,1.0,0.325,0.1,0.5,0.5,0.0,0.0,0.0,0.584428601243972,-3.9226140557618665,1.4525468447711354
39,5,1,3,0.6762374409856411,0.2643528445207038,0.1389294690615045,0.6729991381584661,0.05438007959917495,1.0,0.55,0.325,0.775,0.1,1.0,0.0,0.5,0.0,1.0,0.37237025984920363,-4.59975575121726,1.586539211468282
40,5,1,3,0.17432293274276367,0.47556607783607946,0.755741608829274,0.10788337606690346,0.0736869814604784,0.55,0.775,1.0,0.325,0.1,0.5,1.0,0.0,0.5,1.0,0.23779150569026075,-3.548857231152803,1.3643068586537477
41,5,1,3,0.5875009364460151,0.38383988944818226,0.1035891038517999,0.34477246470319073,0.03279640531453776,1.0,0.775,0.325,0.55,0.1,0.0,0.5,1.0,1.0,0.0,0.562537977257368,-4.471604586524811,1.606063463156608
42,5,1,3,0.5002404048981218,0.17521137945133441,0.547253500791837,0.15534536159540618,0.057956036016251294,1.0,0.55,0.775,0.325,0.1,1.0,0.5,0.0,1.0,1.0,0.4714341391880209,-4.841385119252247,1.6584011806738856
43,5,1,3,0.20169550039774176,0.47060726341795245,0.20709335037972354,0.2635333796726905,0.08313566306329086,0.775,1.0,0.55,0.325,0.1,1.0,1.0,0.5,0.5,1.0,0.3828141183385936,-4.4393995015455365,1.1183826331617572
44,5,1,3,0.4932195492984057,0.331413639721784,0.253450182590274,0.28128036254515415,0.06563885709614381,1.0,0.775,0.55,0.325,0.1,1.0,1.0,0.0,0.5,1.0,0.35159235608421346,-4.46033670767138,1.9305590717673513
45,5,1,3,0.370495737985147,0.6095641673061126,0.4179002874395369,0.28431252668640905,0.06337646517610898,1.0,0.775,0.55,0.325,0.1,1.0,1.0,0.0,0.0,0.0,0.5623001360267442,-4.432900354907204,0.7929719009261579
46,5,1,3,0.5774145616396493,0.21463755289065534,0.1732074072513438,0.647786034088553,0.06109205723976139,1.0,0.55,0.325,0.775,0.1,0.5,0.5,0.5,0.5,1.0,0.4566707809116692,-3.56861198724345,1.4463477425989637
47,5,1,3,0.25926050511058707,0.37702031682131515,0.8871813707147965,0.24712972591398935,0.04569945255215659,0.775,0.55,1.0,0.325,0.1,0.5,0.0,0.0,1.0,0.0,0.28521980192046653,-4.3781197360133,1.3926922073866275
48,5,1,3,0.30932905514244224,0.43103855871447655,0.11890116368222434,0.4599903718697641,0.04606551599347278,1.0,0.775,0.325,0.55,0.1,1.0,0.5,1.0,1.0,0.5,0.48197150294265384,-4.283796093316009,1.611133456522184
49,5,1,3,0.8625111151819953,0.6505490327408168,0.44278156334103086,0.23590307954659956,0.07197564001138443,1.0,0.775,0.55,0.325,0.1,0.5,1.0,0.5,0.5,1.0,0.5522079839105265,-4.504310467522231,1.7416348799005417
50,5,1,3,0.36003915449862967,0.43995302140530396,0.2404268499214972,0.2625864121722056,0.08884336203324142,1.0,0.775,0.55,0.325,0.1,0.5,0.5,0.0,1.0,0.5,0.7714022092461348,-4.282408732011925,1.2369362830140003
51,5,1,3,0.5653685515264897,0.4244772070441799,0.1334925060357808,0.3899910543910852,0.05128620283661922,1.0,0.775,0.325,0.55,0.1,0.0,0.0,0.0,0.5,1.0,0.47391557602514095,-3.5794232945789677,1.229803046665272
52,5,1,3,0.5867925169095343,0.37143317221429684,0.4067171553235375,0.22228099566027162,0.036202462631785476,1.0,0.775,0.55,0.325,0.1,0.0,0.5,0.5,0.5,1.0,0.2908600714859162,-3.7683022450668684,1.7946247124781778
53,5,1,3,0.43729979381553213,0.8173384909673161,0.21638255963533673,0.4864969820904908,0.0767206866573694,0.775,1.0,0.325,0.55,0.1,0.5,1.0,0.5,0.5,0.0,0.5013637190721175,-4.420401981689561,0.9171005112482508
54,5,1,3,0.389545364949504,0.18257635960792146,0.1605591929236292,0.6664130891750067,0.058186305981235024,1.0,0.55,0.325,0.775,0.1,1.0,1.0,0.0,0.5,1.0,0.351710381132083,-3.4402151876002502,1.6805041851003657
55,5,1,3,0.2961182585784237,0.23009200421967257,0.6999716792994224,0.26526547248583854,0.06877327943724025,0.775,0.55,1.0,0.325,0.1,0.5,0.5,1.0,0.0,0.5,0.528827121878184,-4.394426245444826,0.9784748048337997
56,5,1,3,0.4570686367455392,0.40560916890005705,0.1782091624326048,0.40662559745618404,0.07353837872538282,1.0,0.775,0.325,0.55,0.1,0.5,1.0,0.5,1.0,0.0,0.34688929106632177,-4.511209938087873,1.3225362062055535
57,5,1,3,0.4582560971311995,0.6071696394278193,0.22120862205732872,0.45296207258069376,0.05478309283057286,1.0,0.775,0.325,0.55,0.1,1.0,0.0,0.5,0.0,0.5,0.4786783660892485,-4.154663014373178,1.0947231193680214
58,5,1,3,0.4202027342653697,0.685660299998055,0.4407499305240285,0.2402404090805637,0.05830208219847813,0.775,1.0,0.55,0.325,0.1,0.0,1.0,1.0,1.0,0.5,0.22489537182645655,-4.338227148318931,1.5679572494762195
59,5,1,3,0.26219482165234,0.41700306849339047,0.39574567306471364,0.04410210663751851,0.290776970975494,1.0,0.775,0.55,0.1,0.325,1.0,1.0,1.0,0.0,0.5,0.513739433718935,-4.159682806312882,1.5030074411131678
60,5,1,3,0.34789292031516733,0.804946499384485,0.1334388695054274,0.4013938414689216,0.05330944944851153,0.775,1.0,0.325,0.55,0.1,0.0,1.0,1.0,0.5,0.0,0.3004164469750377,-3.104637593004124,1.0302833515506735
61,5,1,3,0.4389051198177579,0.25332961431172313,0.5651814495823695,0.14827111656012257,0.06433721394916152,1.0,0.55,0.775,0.325,0.1,0.5,0.5,1.0,0.0,1.0,0.41630941701519736,-3.6067885454510997,0.7278722029421476
62,5,1,3,0.5125184844598739,0.8188963931102631,0.1491109154725349,0.47263304492909397,0.05251076173124763,0.775,1.0,0.325,0.55,0.1,1.0,0.0,1.0,1.0,0.0,0.44455893415217634,-4.1702492342990025,1.5781820643070474
63,5,1,3,0.25620173326484663,0.18816189261173422,0.44970248967024545,0.04976720612199185,0.2771456637691398,1.0,0.55,0.775,0.1,0.325,0.5,1.0,0.0,0.5,0.5,0.3905973551949624,-4.707082096394501,1.9010068470265142
64,5,1,3,0.6917633463125894,0.5999991330596577,0.45409693473003315,0.27734845147156745,0.0697882815108289,1.0,0.775,0.55,0.325,0.1,0.5,1.0,0.0,0.0,1.0,0.44525093787903797,-4.4223559118684275,1.8928997213119845
65,5,1,3,0.6499768973199687,0.24949008402127615,0.5209399146295968,0.20554831536845355,0.08707715800687349,1.0,0.55,0.775,0.325,0.1,1.0,0.0,1.0,0.5,0.5,0.4650546715713994,-3.938460393571524,1.4245138430778883
66,5,1,3,0.27094430032279415,0.3577192427216162,0.15327830168409215,0.8490266799625709,0.05012127474028602,0.775,0.55,0.325,1.0,0.1,0.0,0.5,1.0,0.5,0.5,0.16751351764545663,-4.177543648037989,1.5868634027053286
67,5,1,3,0.2019868164858898,0.7092082378820127,0.0963153273864768,0.4533608130287333,0.05395500095452424,0.775,1.0,0.325,0.55,0.1,0.5,1.0,0.5,0.5,0.0,0.5654721988248921,-4.565390358592761,1.4922121636651484
68,5,1,3,0.5139647479327543,0.3686583705771198,0.3558174474548694,0.27103854288237644,0.07420704676307466,1.0,0.775,0.55,0.325,0.1,0.5,0.5,0.0,0.0,0.5,0.7354892110567818,-4.149721484430277,0.9489277751765282
69,5,1,3,0.26987530312436236,0.28013610873214756,0.09303369574766751,0.7976784015178183,0.03877198249534245,0.775,0.55,0.325,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4107704411160588,-3.8732771709868588,1.1840150059295855
70,5,1,3,0.6523950223295212,0.47523216767041965,0.3193032473947791,0.2766837103660691,0.07314507620752356,1.0,0.775,0.55,0.325,0.1,0.0,0.0,1.0,0.5,1.0,0.3857609632685657,-3.8360759274535106,1.5630463585928784
71,5,1,3,0.3604016748369055,0.17878443730696003,0.8146091162298253,0.0481826834177802,0.279782040455871,0.775,0.55,1.0,0.1,0.325,0.5,0.0,0.0,0.0,1.0,0.26040313418898203,-3.4445883015732766,1.1341466414082553
72,5,1,3,0.2060532589972519,0.7191199325583695,0.6177289206348309,0.23946145184472156,0.05060057263244247,0.55,1.0,0.775,0.325,0.1,1.0,1.0,0.0,0.5,0.5,0.4045378250744439,-3.7075162452077164,1.6250847078967234
73,5,1,3,0.5700079246109848,0.1941947295217017,0.4327170805055627,0.08552928508723304,0.08985648173651238,1.0,0.55,0.775,0.325,0.1,0.0,0.5,1.0,0.0,1.0,0.5464569138454911,-4.155140410907773,1.640752886431161
74,5,1,3,0.4153795613862298,0.42577980163888596,0.23683650518937321,0.16877573225391224,0.07228179698920291,1.0,0.775,0.55,0.325,0.1,0.0,0.5,0.0,1.0,0.0,0.3470500016790174,-5.009630562750374,1.85723099627498
75,5,1,3,0.27850053670738967,0.5363461332031841,0.10377037324267127,0.35765111739133715,0.053947219751421686,0.775,1.0,0.325,0.55,0.1,0.5,0.5,0.5,0.5,0.5,0.5169054532516724,-3.9532054445176907,1.247042232022975
76,5,1,3,0.4538821608719046,0.5203437932131849,0.3530257466103073,0.15838044133662818,0.08849209147382499,1.0,0.775,0.55,0.325,0.1,0.5,0.5,1.0,0.0,0.5,0.5386046392562042,-3.932565954998292,1.0890886805724724
77,5,1,3,0.38062672066140346,0.2767922466153686,0.4189054424648982,0.20210827234511172,0.07592006254033239,1.0,0.775,0.55,0.325,0.1,0.0,0.0,1.0,0.0,0.5,0.34320840029793204,-4.685630083742949,1.582406153435086
78,5,1,3,0.27765586997702174,0.5161875678318976,0.14505857146654594,0.3843643260088286,0.026132615241954094,1.0,0.775,0.325,0.55,0.1,0.5,0.5,0.5,1.0,0.0,0.3102206692396699,-3.9011330805481146,1.48200022745285
79,5,1,3,0.31221537501453095,0.7020023463116585,0.27288569877074015,0.20177218208609302,0.061900803995355774,0.775,1.0,0.55,0.325,0.1,1.0,1.0,0.0,0.5,0.0,0.4145012649796512,-4.5153770812124705,1.3987080598487698
80,5,1,3,0.2602408885493661,0.5557639652336027,0.39030691922576916,0.1719500563596961,0.04494847325129755,1.0,0.775,0.55,0.325,0.1,0.5,0.5,0.0,0.0,0.0,0.34829211764480084,-4.806756675769743,1.5171206689378436
81,5,1,3,0.37683410175350857,0.2804256344189801,0.08953325438630877,0.8334225406059479,0.04384350708758078,0.775,0.55,0.325,1.0,0.1,1.0,0.5,1.0,0.0,0.5,0.2810262894225028,-4.100126892434036,1.3365534387090128
82,5,1,3,0.4455289730965065,0.16316507944609293,0.4169883573077704,0.19808217158091193,0.031408111133614636,1.0,0.55,0.775,0.325,0.1,0.0,0.0,1.0,0.5,0.0,0.5006617758652838,-4.545913671696774,1.3036821931713876
83,5,1,3,0.3612271555902252,0.2304272539940994,0.748596288166187,0.10696969847402438,0.060668383395143737,0.775,0.55,1.0,0.325,0.1,0.5,0.5,1.0,1.0,1.0,0.5621929983708172,-4.478245551840068,1.2795154763495746
84,5,1,3,0.4994460997236283,0.40823973296051513,0.36420629320383957,0.1576982635018801,0.06931387616502391,1.0,0.775,0.55,0.325,0.1,0.0,0.5,1.0,1.0,0.0,0.39773872371309876,-5.467578797035509,1.167484821346733
85,5,1,3,0.6354821123041483,0.24036576455210734,0.4921151920258615,0.04361270731971634,0.2789337877858159,1.0,0.55,0.775,0.1,0.325,0.5,0.0,0.0,0.5,1.0,0.4861898702429865,-4.326281404996443,0.8989563409162162
86,5,1,3,0.22517453240133467,0.7201351681159338,0.5848407836652302,0.20352681067608194,0.07367040404707252,0.55,1.0,0.775,0.325,0.1,1.0,0.0,0.0,0.5,0.0,0.32427769129303774,-4.0177193407809435,1.3536568653905112
87,5,1,3,0.43571470037983295,0.3881821259691499,0.3351005302943563,0.24021551942337419,0.07446589842990509,1.0,0.775,0.55,0.325,0.1,0.5,0.5,0.5,1.0,0.0,0.3158707336045019,-3.951986255884986,1.7383166470882259
88,5,1,3,0.6099236152802434,0.2733667148552108,0.1399780527498,0.5981258625297498,0.06258703681293001,1.0,0.55,0.325,0.775,0.1,1.0,1.0,0.0,0.5,0.5,0.39815718497376235,-4.469422866292457,1.5444418852013237
89,5,1,3,0.09899077067942652,0.8082616191436409,0.633159007558622,0.4182247904634584,0.06530842054039869,0.325,1.0,0.775,0.55,0.1,0.0,0.0,0.5,0.5,0.5,0.3831886167258483,-4.633256128762321,1.5366491021482331
90,5,1,3,0.4619969786817172,0.3859336230003701,0.10559118559804265,0.42102285818765073,0.029032355607664526,1.0,0.775,0.325,0.55,0.1,0.5,0.5,1.0,1.0,0.0,0.4859803241597321,-4.856351260651368,1.794333482836101
91,5,1,3,0.5646201990028326,0.20548902224169963,0.12585938978398223,0.685984393484463,0.03717835897596852,1.0,0.55,0.325,0.775,0.1,0.5,1.0,0.5,0.5,1.0,0.4915045434343857,-4.726848440052158,1.7739280244041755
