Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,p.P1,p.P2,p.P3,p.P4,p.P5,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta2.P1,theta2.P2,theta2.P3,theta2.P4,theta2.P5,theta3.P1,theta3.P2,theta3.P3,theta3.P4,theta3.P5,beta_0,beta_p,beta_theta1,beta_theta2,beta_theta3
0,5,3,3,0.26206702553477423,0.2515769999672083,0.3341027251532535,0.13220937956264056,0.04076047033281334,1.0,0.775,0.55,0.325,0.1,0.5,1.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.4112346998457414,-4.58759876787082,1.711746837110029,1.661479385124723,1.7843705589063408
1,5,3,3,0.32531641792756405,0.5958168638466429,0.3427189986411046,0.05013111531453401,0.2912300293326144,0.775,1.0,0.55,0.1,0.325,1.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,0.5,0.3213835618064429,-4.368347506745806,1.237590307193092,1.1174402242142065,1.1510741459667602
2,5,3,3,0.6374012432403627,0.2938310949988856,0.6142083692191023,0.2479796498441714,0.03422301673849745,1.0,0.55,0.775,0.325,0.1,0.5,0.5,0.0,1.0,0.5,1.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.20909033249406198,-4.514757823235339,1.7994341359314672,1.779623085945483,1.7150788973002795
3,5,3,3,0.5126913679556822,0.2138495118566331,0.4911788923451312,0.226107629597217,0.03211439316579573,1.0,0.55,0.775,0.325,0.1,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.5,0.3510470939919596,-5.159090486391307,1.5835041212380923,1.702869570560824,1.7227677423798025
4,5,3,3,0.31474554784657227,0.8227925796771143,0.19198637266081192,0.6594731423994956,0.08072880769650885,0.55,1.0,0.325,0.775,0.1,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,1.0,0.0,0.23831637328847144,-3.869053158853939,1.5927598892912953,1.6971866481761928,1.78815972288639
5,5,3,3,0.6421940810189177,0.22857776427512566,0.12706611951370117,0.5988251296077363,0.056742564213387685,1.0,0.55,0.325,0.775,0.1,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.06419028954332881,-4.995637800852584,1.0768566684466008,1.0154356141745913,1.233542410074421
6,5,3,3,0.6065827473490948,0.32473163048900505,0.16225198998540408,0.6167830739659044,0.06727759485957067,1.0,0.55,0.325,0.775,0.1,0.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5561134151232046,-5.231872340062258,1.76036949641139,1.795263201171923,1.6077069046686419
7,5,3,3,0.4355839988502326,0.40754572158238334,0.20210235034110485,0.4459968981025613,0.08323215861531462,1.0,0.775,0.325,0.55,0.1,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.5,0.0,0.3694654339632976,-4.603384877093762,1.691597239425657,1.4825826238482815,1.6539915047699045
8,5,3,3,0.21425933829955135,0.6101651411953293,0.13549230539908688,0.36464298445450416,0.060401159125550365,0.775,1.0,0.325,0.55,0.1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.5451293388732666,-3.9459777302413865,0.8076946960893836,0.7952069472444128,0.8767539559145417
9,5,3,3,0.2889236431939931,0.16940863597112932,0.11018540756475406,0.6626655835467921,0.06226699897852346,1.0,0.55,0.325,0.775,0.1,0.0,0.5,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.0,0.5,0.5,1.0,0.28459986220858674,-3.6496192548218946,1.2726518346976106,1.411013323463569,1.3364529667607234
10,5,3,3,0.40577633174113115,0.6918071192378109,0.30793430520481657,0.14029014007833188,0.031434199281365816,0.775,1.0,0.55,0.325,0.1,0.5,1.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.21132948458091158,-4.4039341265593785,1.61033520679742,1.6699513721227441,1.7695599405113793
11,5,3,3,0.36822345484823915,0.7639502236197133,0.38544342750114985,0.18803497821911347,0.04763262037048185,0.775,1.0,0.55,0.325,0.1,1.0,0.5,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.7138778937370395,-4.9082429018700235,1.3402528851775648,1.432246291169007,1.3750916456639595
12,5,3,3,0.52187344950467,0.20076013421870872,0.42658896837018434,0.6750901085973157,0.06971896879303513,1.0,0.325,0.55,0.775,0.1,0.0,0.0,0.5,1.0,0.0,0.5,1.0,0.5,1.0,0.5,0.0,0.0,1.0,0.5,0.0,0.11688448799893833,-4.86820110008448,1.694010252163322,1.6458703992970078,1.6879854842768234
13,5,3,3,0.3546875698646865,0.21017749996750967,0.09943883597550587,0.6071743055479889,0.046239369766155565,1.0,0.55,0.325,0.775,0.1,0.5,1.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.5,0.38794305221188485,-3.7460812262836476,1.0502308786582744,1.235083394235752,1.2964425349861592
14,5,3,3,0.46648741892092704,0.4207450065395764,0.24666370142327748,0.1473273859583475,0.04194742739996304,1.0,0.775,0.55,0.325,0.1,1.0,0.5,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,0.5,0.5,1.0,0.40050096968283183,-4.716877005382158,1.8312185003142865,1.657459786605556,1.6504165746048276
15,5,3,3,0.37883990516398736,0.36643763882542063,0.1126268443992266,0.4226130983448307,0.04225999862726172,1.0,0.775,0.325,0.55,0.1,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0.5,0.5,1.0,1.0,0.0,0.5,0.44213000633437816,-4.186649533370802,1.0588629468792794,1.0888797456343933,1.1166748744822605
