Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,p.P1,p.P2,p.P3,p.P4,p.P5,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta2.P1,theta2.P2,theta2.P3,theta2.P4,theta2.P5,theta3.P1,theta3.P2,theta3.P3,theta3.P4,theta3.P5,theta4.P1,theta4.P2,theta4.P3,theta4.P4,theta4.P5,theta5.P1,theta5.P2,theta5.P3,theta5.P4,theta5.P5,beta_0,beta_p,beta_theta1,beta_theta2,beta_theta3,beta_theta4,beta_theta5
0,5,5,3,0.2479588605979608,0.7737657919201439,0.13267597335830678,0.4330055974440787,0.059276465545340676,0.775,1.0,0.325,0.55,0.1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.5,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.0,0.5,0.0,0.3343933117467779,-3.7935323800199723,1.2881638595134801,1.0884833051360676,1.050498584447761,0.9681449222294254,1.0835502160044879
1,5,5,3,0.44867599270837033,0.4791783248298388,0.38925713184906324,0.19175020732606876,0.04744717647182203,1.0,0.775,0.55,0.325,0.1,0.0,1.0,0.5,0.5,0.5,1.0,0.0,0.5,0.5,0.0,1.0,0.0,0.5,0.0,1.0,0.5,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,-0.056182252602407536,-4.7722635161856815,1.046426237229922,1.26809527276174,1.1188427071431435,1.2461114835640332,1.2838327072076523
2,5,5,3,0.666211491351653,0.378585887090306,0.19108189814043205,0.683139000850256,0.08481583372242349,1.0,0.55,0.325,0.775,0.1,0.5,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,0.5,0.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,0.5,0.5,1.0,0.09791507922164631,-4.365585074932487,0.841043573703898,0.626844969471278,1.0463189374104291,1.030229117194586,1.0169940834345677
3,5,5,3,0.2274947038336993,0.5196252223643136,0.11056930416855304,0.8952870671183063,0.08171358313403598,0.55,0.775,0.325,1.0,0.1,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5,0.0,1.0,1.0,1.0,0.5,0.0,0.5,0.0,1.0,0.5,0.5,0.06371364210661995,-4.772834516332085,1.066269275883141,0.8215657656123116,0.8917590193113422,0.8427420432490422,0.9332917625947773
4,5,5,3,0.3436846594213196,0.697840469468594,0.3059794916467385,0.132251009840746,0.07967852754512694,0.775,1.0,0.55,0.325,0.1,1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.5,1.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,0.0,0.013161657661749681,-4.625391447373895,1.35202462094161,1.3899344364720183,1.371153353039489,1.616182824548598,1.3027580633402396
5,5,5,3,0.5582028940220448,0.2725465993870748,0.5354424347281475,0.13115263906076904,0.07879185872363255,1.0,0.55,0.775,0.325,0.1,0.5,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.0,1.0,1.0,1.0,0.11785358195464192,-3.9015256282380313,0.9802826859120877,1.0064176572565207,0.8722425378368018,0.9253413733391014,1.032393710394065
6,5,5,3,0.468801922233257,0.32782625072474475,0.2913831275044132,0.2516996266725442,0.048771852780312305,1.0,0.775,0.55,0.325,0.1,0.5,0.5,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.5,1.0,0.5,0.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,0.5,0.5,-0.41613799852846584,-4.869440263195207,1.9061434245147144,1.8719371270449496,2.032745087460054,1.8960096140870812,1.8184633712660747
7,5,5,3,0.1803916935061669,0.6315169204830337,0.6346934685331772,0.04991446086210935,0.27834013398084045,0.55,1.0,0.775,0.1,0.325,0.0,0.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.0,1.0,0.0,0.22937415644572898,-4.778460518602048,1.45562995469707,1.1324439655367056,1.3419283570546547,1.1081781673540605,1.3348730552416332
8,5,5,3,0.6435626703690153,0.42916940728486963,0.23582512007270007,0.12444290511958622,0.03298500373576234,1.0,0.775,0.55,0.325,0.1,0.5,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,-0.22040720188152405,-4.455874946673793,1.47268064873595,1.5423124754898065,1.2427685560047403,1.3311236857447108,1.4240786620722363
9,5,5,3,0.28432411733368873,0.5495661062049125,0.14475818043663935,0.21182491460002947,0.038060768367776276,0.775,1.0,0.55,0.325,0.1,1.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.41831393445723175,-5.059352669582014,1.5987492618308292,1.5924615343243995,1.850049749924281,1.4300912357741864,1.460353767223475
10,5,5,3,0.5381691288050154,0.48559804506805826,0.36072930286052063,0.18012982979439862,0.05005791259223311,1.0,0.775,0.55,0.325,0.1,1.0,0.0,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.5,0.5,0.0,1.0,0.5,-0.14209261762925368,-4.091810836184827,1.7415362548403819,1.7795156165459818,2.0612914687075046,1.8560049693446348,1.5494502971462956
11,5,5,3,0.3727495455540694,0.15848053057511025,0.8617888520219745,0.22882488090767478,0.040349537149768556,0.775,0.55,1.0,0.325,0.1,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.32319960893461724,-4.652459735733643,1.6254314284174967,1.2602067261570014,1.6238176391554062,1.5153904494113484,1.6120037542368222
