Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,c.P6,c.P7,c.P8,c.P9,c.P10,p.P1,p.P2,p.P3,p.P4,p.P5,p.P6,p.P7,p.P8,p.P9,p.P10,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta1.P6,theta1.P7,theta1.P8,theta1.P9,theta1.P10,theta2.P1,theta2.P2,theta2.P3,theta2.P4,theta2.P5,theta2.P6,theta2.P7,theta2.P8,theta2.P9,theta2.P10,theta3.P1,theta3.P2,theta3.P3,theta3.P4,theta3.P5,theta3.P6,theta3.P7,theta3.P8,theta3.P9,theta3.P10,beta_0,beta_p,beta_theta1,beta_theta2,beta_theta3
0,10,3,3,0.22356212590360258,0.5946887624944919,0.24885374608386157,0.6999025544841538,0.22816763273938256,0.13873100644450118,0.6622753760726414,0.11660099456879697,0.5192088513972488,0.06514772450569366,0.7000000000000001,1.0,0.5,0.9,0.4,0.30000000000000004,0.8,0.2,0.6,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,1.0,1.0,0.3319527657742411,-4.1334327822763415,1.0482606552320932,1.135017045241437,1.1040258155509968
1,10,3,3,0.2642996748787453,0.5183441353885586,0.21850479723014055,0.4321942810833355,0.7930325982180128,0.39894923791189774,0.3020895995185132,0.20854313481960335,0.11064926213056137,0.07867044375488827,0.9,0.8,0.5,0.7000000000000001,1.0,0.6,0.4,0.30000000000000004,0.2,0.1,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.5,1.0,0.0,0.0,1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.7048218301316148,-5.234666295995345,1.7126882572682967,1.617565512800039,1.6610133495600743
2,10,3,3,0.44094683764926845,0.5901889996961253,0.20821473683383868,0.8022308530479767,0.25912040055264524,0.16415752316258447,0.6056257996777368,0.514993193956386,0.04645512420135335,0.15568476587917113,0.8,0.9,0.5,1.0,0.4,0.30000000000000004,0.7000000000000001,0.6,0.1,0.2,0.5,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.0,1.0,1.0,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,1.0,0.4413548712730482,-4.973271507134124,1.733507360000963,1.5424997520762667,1.4352123865432642
3,10,3,3,0.3149843780330054,0.5992216600905016,0.3680476075626806,0.11386375495269685,0.4210676780884995,0.13391995443997318,0.35975680787711767,0.6795732276603951,0.09379311905438904,0.033754846334800775,0.9,1.0,0.7000000000000001,0.4,0.6,0.30000000000000004,0.5,0.8,0.2,0.1,0.5,1.0,0.5,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5,1.0,1.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.20754727317492802,-4.682430457603394,1.3322759308187928,1.4210051300783393,1.3228992661078405
4,10,3,3,0.26178388395138363,0.10397676236029668,0.5982066618220706,0.29908192286870217,0.10777081189577309,0.8084160944762785,0.4697238357759946,0.7890610735441753,0.10766333035262021,0.08588693043135243,0.7000000000000001,0.4,0.8,0.5,0.30000000000000004,1.0,0.6,0.9,0.2,0.1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,1.0,1.0,0.3870078455947669,-4.583992251051617,1.0447560248366152,1.2239692688275072,1.0794612166850721
5,10,3,3,0.4055569702084319,0.5094579498029046,0.6168293630776357,0.45501831722126257,0.34513598338003193,0.24709442855937463,0.5389979366915484,0.24833559118540377,0.16096180766458792,0.06632503751631214,0.8,0.9,1.0,0.7000000000000001,0.5,0.4,0.6,0.30000000000000004,0.2,0.1,0.5,0.0,0.5,1.0,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.5,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.39552779670271276,-3.842091135134186,1.1948061093620523,0.8261466553492263,0.6807006233120053
6,10,3,3,0.3573666507772132,0.2558588487480638,0.07766903419819526,0.7832048545484885,0.6214389698003033,0.2289926931798462,0.3813627228397093,0.5933449578374931,0.11853839030741607,0.07669648196828079,0.9,0.6,0.30000000000000004,1.0,0.8,0.4,0.5,0.7000000000000001,0.2,0.1,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5,0.0,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.6103957351044068,-5.364069185420095,1.5323747166031945,1.5281271754010257,1.3762097741567556
7,10,3,3,0.34458631465662215,0.1651780822958584,0.432754463640382,0.17580514365522656,0.4815481476012421,0.792671886825732,0.12357973314652293,0.08204646385640921,0.4087658178461865,0.045279425414179036,0.9,0.6,0.8,0.4,0.7000000000000001,1.0,0.30000000000000004,0.2,0.5,0.1,1.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.5,1.0,0.5,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,0.5,0.0,1.0,0.5,1.0,0.0,0.5,0.0,0.3640402500335207,-5.042060089236062,1.3990601245368364,1.5251309612087598,1.3090897438149374
8,10,3,3,0.27991464353497353,0.5740274977449911,0.19285425032552306,0.42739592840233653,0.1591311732312397,0.6618297803861912,0.320369711452842,0.12855450492426085,0.15889924298679522,0.0604871041160697,0.8,1.0,0.6,0.7000000000000001,0.4,0.9,0.5,0.30000000000000004,0.2,0.1,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,0.15319162590525454,-5.1663691983768505,1.4100309032669922,1.6190648568627375,1.6403889802476708
9,10,3,3,0.3650130300151305,0.42013149559779,0.4599874969606617,0.29923611305609504,0.09508705109702642,0.2953701024518689,0.6226320416978536,0.132098529743059,0.43679031990458894,0.07188530024405525,1.0,0.9,0.8,0.6,0.30000000000000004,0.4,0.7000000000000001,0.2,0.5,0.1,0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,1.0,0.0,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.20036611500478313,-3.992919212635295,1.1147953200631442,1.0372798364804627,1.2526571900763221
