Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,c.P6,c.P7,c.P8,c.P9,c.P10,p.P1,p.P2,p.P3,p.P4,p.P5,p.P6,p.P7,p.P8,p.P9,p.P10,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta1.P6,theta1.P7,theta1.P8,theta1.P9,theta1.P10,theta2.P1,theta2.P2,theta2.P3,theta2.P4,theta2.P5,theta2.P6,theta2.P7,theta2.P8,theta2.P9,theta2.P10,theta3.P1,theta3.P2,theta3.P3,theta3.P4,theta3.P5,theta3.P6,theta3.P7,theta3.P8,theta3.P9,theta3.P10,theta4.P1,theta4.P2,theta4.P3,theta4.P4,theta4.P5,theta4.P6,theta4.P7,theta4.P8,theta4.P9,theta4.P10,theta5.P1,theta5.P2,theta5.P3,theta5.P4,theta5.P5,theta5.P6,theta5.P7,theta5.P8,theta5.P9,theta5.P10,beta_0,beta_p,beta_theta1,beta_theta2,beta_theta3,beta_theta4,beta_theta5
0,10,5,3,0.33875777288227665,0.1576853389587365,0.4671779688682756,0.27489445943516216,0.7007692076829639,0.7569761983957488,0.20089719471551534,0.3120147925555943,0.14735231028080756,0.0899119226274307,0.7000000000000001,0.5,0.8,0.6,1.0,0.9,0.30000000000000004,0.4,0.2,0.1,0.0,0.5,0.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.09373513369141592,-4.5499776599652115,1.1180060624632233,1.2825037798091612,1.1449842849872898,1.0172557978708683,1.2818421523247012
1,10,5,3,0.22766569130483538,0.2518969491284676,0.23326109671018336,0.08423129077701763,0.18767349383409548,0.7947048916301593,0.4846762790559971,0.5948236213442657,0.12430387630324904,0.07706998658764008,0.9,0.8,0.5,0.30000000000000004,0.4,1.0,0.6,0.7000000000000001,0.2,0.1,1.0,0.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.5,0.5,1.0,0.5,-0.5083470099428681,-4.5878592691454125,1.7466964854712592,1.6030756706535474,1.76632433172424,1.7863119975932775,1.60276909880604
2,10,5,3,0.3035966995321657,0.17222684328774196,0.6199269920222363,0.36218638174593804,0.47776577405127874,0.12584967324024024,0.6265622294604456,0.24530052342294595,0.03625258228951719,0.1459450336116169,1.0,0.5,0.9,0.6,0.7000000000000001,0.30000000000000004,0.8,0.4,0.1,0.2,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.0,1.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5,0.5,1.0,0.0,1.0,0.5,0.5,1.0,0.0,1.0,0.5298604200704896,-4.461774914798781,0.8545816174126292,0.9722389199361587,0.8932821763325638,1.0863691348532774,1.03925535159027
3,10,5,3,0.3691424899228644,0.5138674728667842,0.6150566482792843,0.1891588325489454,0.3437601870623226,0.06716283450686716,0.1953885342230521,0.609703525249743,0.5164754415895538,0.041888299811422336,0.8,0.9,1.0,0.4,0.5,0.2,0.30000000000000004,0.7000000000000001,0.6,0.1,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,1.0,0.5,0.0,0.0,0.5,0.5,0.5,1.0,0.5,0.0,1.0,0.0,1.0,0.5,0.0,0.20123461138626375,-4.831423654782996,1.6786376896333401,1.5825180048175882,1.60269865087065,1.502698542938851,1.672077268294048
4,10,5,3,0.3954840874300507,0.13627173918544572,0.3577786445881958,0.47545213121310054,0.2036608529440822,0.4147451872554224,0.8019733973753914,0.1238321344541693,0.05081801152988093,0.26242882136918577,1.0,0.5,0.7000000000000001,0.8,0.4,0.6,0.9,0.2,0.1,0.30000000000000004,0.0,1.0,0.5,0.5,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5,0.5,0.0,1.0,0.0,0.5,0.5,1.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.5,0.25907893263689424,-4.671192675291817,1.211785645697929,1.4594779962184854,1.4136562231494947,1.526471374903456,1.4434121958127337
5,10,5,3,0.3990965021087043,0.4241997888339562,0.21071621655320427,0.3876790416577218,0.5029810025819155,0.17451684888620855,0.28234544341369855,0.12856680732393697,0.02594273374283139,0.13377664859945967,1.0,0.9,0.6,0.7000000000000001,0.8,0.4,0.5,0.30000000000000004,0.1,0.2,1.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,1.0,0.5,1.0,0.5,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.8301289506970604,-4.8947466946961145,1.6939813682558889,1.5583315749275457,1.6282279014949335,1.4697049274151393,1.5922105930946506
6,10,5,3,0.35225804813792605,0.17669596528371312,0.40743287461497696,0.7244352374648925,0.07190406458470378,0.17968925064520255,0.5852197311990375,0.6872211450271268,0.03573126105721411,0.3480832401811758,1.0,0.5,0.6,0.9,0.2,0.30000000000000004,0.7000000000000001,0.8,0.1,0.4,0.0,0.5,0.5,0.0,0.5,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.5,1.0,0.5,0.0,1.0,1.0,1.0,0.5,0.5,1.0,0.3275758755362232,-4.8491854985775396,1.1345400435477309,1.0603339138342796,1.2270894057930097,1.3082769792821887,1.1323722956548619
7,10,5,3,0.2566669619619075,0.16036965105948298,0.5175651073077591,0.1732027957985016,0.8046255179126943,0.5315759020263839,0.3973067977899939,0.02562629751345745,0.24196894882227263,0.14326621437911155,0.8,0.6,0.9,0.4,1.0,0.7000000000000001,0.5,0.1,0.30000000000000004,0.2,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.5,0.0,0.5,1.0,1.0,0.5,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.3857331776325339,-4.82842845045785,1.8748195193642838,1.9987157595824903,1.7166429328794885,1.944072101907497,1.8973060428338586
8,10,5,3,0.5365056862421915,0.26905411330863466,0.12746138998773499,0.2672657973631233,0.616783651137237,0.12488797495658427,0.794133798311804,0.1058002937903762,0.5080167898639661,0.07032764606524265,1.0,0.7000000000000001,0.4,0.5,0.8,0.30000000000000004,0.9,0.2,0.6,0.1,1.0,0.0,0.0,0.5,1.0,0.5,0.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,1.0,0.0,0.5,0.0,1.0,0.5,0.0,0.5,0.5,0.0,0.0,1.0,0.0,1.0,0.04771124634225545,-4.263671878643832,1.0628667152687683,1.062799994561022,1.31798909851484,1.2440099070815587,1.1610096940873753
9,10,5,3,0.44535924681742933,0.2536819972042428,0.27204454130912126,0.5948738496536721,0.14475603087379518,0.4681651984268745,0.3688364611053586,0.20713775970422324,0.1717877293739745,0.07366876311873997,1.0,0.8,0.7000000000000001,0.9,0.4,0.6,0.5,0.30000000000000004,0.2,0.1,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.0,0.5,1.0,1.0,0.5,0.5,1.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.6113656295748622,-4.409774987480199,1.0124447571632196,1.4844721964333873,1.084311808870544,1.16525458100844,1.255600907346317
10,10,5,3,0.33059923918321965,0.3988931064692688,0.3472394428070771,0.27538097870631395,0.49074444243573645,0.2576646555385921,0.16530729843900333,0.5190966996895384,0.05341809151528146,0.15963368827369112,1.0,0.9,0.8,0.5,0.7000000000000001,0.4,0.30000000000000004,0.6,0.1,0.2,0.0,1.0,0.5,1.0,0.0,1.0,0.0,1.0,0.5,0.0,0.5,1.0,0.0,0.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.5,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,1.0,0.24499157631008517,-3.6333924015553802,0.837777859911105,1.0594266078998333,1.1653728565416612,0.9835340749376039,1.121003364309094
11,10,5,3,0.47759928690311165,0.23379120643446505,0.3687804871864176,0.10795203118316471,0.20980904997902006,0.7234616729571776,0.595863099090332,0.05055288547136183,0.25915795197552,0.16544150261780388,0.9,0.6,0.7000000000000001,0.4,0.5,1.0,0.8,0.1,0.30000000000000004,0.2,0.0,0.0,0.5,1.0,1.0,0.0,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.5,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,-0.360861712082432,-4.222222962322084,1.6666620033416841,1.404400893520436,1.4533174037476981,1.3774668697777608,1.3199055639588642
12,10,5,3,0.644277986675506,0.16953504480916948,0.4001757727332975,0.11014898345159052,0.6471682204666859,0.38068484019312354,0.6188163570545027,0.24823367875862476,0.16395890476850972,0.08687074994774181,1.0,0.5,0.7000000000000001,0.4,0.9,0.6,0.8,0.30000000000000004,0.2,0.1,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,0.5,0.5,0.04682319353197159,-4.831904690265269,1.6791806141348904,1.8734922435981631,1.9335508512547677,1.5658090922799008,1.7199415795953403
13,10,5,3,0.340965820841745,0.3118275062786168,0.4177775810350235,0.2005937459310012,0.5446365636340135,0.06407954494880952,0.40441214925501706,0.2158143367100296,0.5264680582206002,0.06185000627382582,1.0,0.9,0.8,0.4,0.7000000000000001,0.2,0.5,0.30000000000000004,0.6,0.1,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.5,0.5,1.0,0.5,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.5,1.0,0.5,1.0,1.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5,0.5,0.0,0.2919539724872274,-4.659412158035411,1.5834999785949009,1.2201400178744917,1.3209086688523246,1.5803074172145541,1.5730057690367167
14,10,5,3,0.5117387682836076,0.3395832554094147,0.18933176056939371,0.2283351089597117,0.6859135766714468,0.1278780161386218,0.5508247804317659,0.05510602680243648,0.3442087979370281,0.08716958443758932,1.0,0.8,0.6,0.5,0.9,0.30000000000000004,0.7000000000000001,0.2,0.4,0.1,1.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.0,0.5,1.0,0.5,0.5,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.5,1.0,0.5,-0.032552607233402114,-4.207122601970044,1.1971344382342488,1.1935819888322885,1.2552816602383159,1.3572257959014395,1.1697608154040202
15,10,5,3,0.3451609962764767,0.24712470050651003,0.21841583841581236,0.6611431453653609,0.1859112854703141,0.1783925826980991,0.46564222681371925,0.08868148585123325,0.23845984937491352,0.07758347408667644,0.9,0.8,0.7000000000000001,1.0,0.5,0.4,0.6,0.2,0.30000000000000004,0.1,0.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.5,1.0,0.0,0.5,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,0.5,0.5,1.0,0.5,1.0,0.023083935642322882,-4.738446842488002,1.2969151686255087,1.1718058590363334,1.2869257020135583,1.235291120527095,1.2555307127085218
16,10,5,3,0.2488830355016317,0.6486495432752126,0.305688602995277,0.6073028216407514,0.18914092114339354,0.5075238151338639,0.1423940850673797,0.3841894201393627,0.09989469966074148,0.046761650675899324,0.8,1.0,0.6,0.9,0.4,0.7000000000000001,0.30000000000000004,0.5,0.2,0.1,0.5,1.0,0.5,0.5,1.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.5,1.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.0,-0.030781522062875526,-5.8059675326000715,1.6125261238429658,1.6308446410482489,1.6361743751458926,1.708663866887647,1.8417682641557118
