Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,c.P6,c.P7,c.P8,c.P9,c.P10,c.P11,c.P12,c.P13,c.P14,c.P15,c.P16,c.P17,c.P18,c.P19,c.P20,p.P1,p.P2,p.P3,p.P4,p.P5,p.P6,p.P7,p.P8,p.P9,p.P10,p.P11,p.P12,p.P13,p.P14,p.P15,p.P16,p.P17,p.P18,p.P19,p.P20,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta1.P6,theta1.P7,theta1.P8,theta1.P9,theta1.P10,theta1.P11,theta1.P12,theta1.P13,theta1.P14,theta1.P15,theta1.P16,theta1.P17,theta1.P18,theta1.P19,theta1.P20,beta_0,beta_p,beta_theta1
0,20,1,3,0.431317318927263,0.2633241533200975,0.3243531797109178,0.3040994416052666,0.28722804211427583,0.59319720617742,0.3196398045987622,0.15737894624293902,0.27103442422850454,0.6457174548756024,0.1269077597878291,0.17563890315532327,0.10824441528342466,0.4513186507360387,0.374838987906275,0.20609442420843804,0.13158576862689902,0.13530398452081335,0.09246211773083965,0.05368443929536987,1.0,0.8105263157894737,0.8578947368421053,0.7631578947368421,0.7157894736842105,0.9526315789473684,0.6684210526315789,0.4789473684210527,0.5736842105263158,0.9052631578947369,0.38421052631578945,0.43157894736842106,0.2894736842105263,0.6210526315789474,0.5263157894736842,0.33684210526315794,0.24210526315789474,0.19473684210526315,0.1473684210526316,0.1,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.6787038988219345,-4.5400150686108,1.3492596060308142
1,20,1,3,0.3175579967102488,0.5144898232468844,0.4905305693329218,0.38787522931351637,0.1704707496589587,0.28508189662408573,0.5696579929758239,0.15726635223475166,0.4634652508925944,0.7124316090540521,0.35501297944084925,0.30310473326599335,0.21085302506740675,0.5126992015899458,0.15993521794966725,0.16676908837538765,0.2888505408274492,0.15326004708101207,0.11261185061306218,0.06794111011851081,0.8105263157894737,1.0,0.9052631578947369,0.7631578947368421,0.5263157894736842,0.6210526315789474,0.8578947368421053,0.43157894736842106,0.7157894736842105,0.9526315789473684,0.5736842105263158,0.4789473684210527,0.38421052631578945,0.6684210526315789,0.2894736842105263,0.24210526315789474,0.33684210526315794,0.19473684210526315,0.1473684210526316,0.1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.4771016672508593,-4.602011198163473,1.2592296214488492
2,20,1,3,0.305149553962066,0.38740265648035355,0.4964161867535095,0.15986066876995586,0.31928555050833757,0.2631585427927791,0.40935406628817306,0.29082552615824847,0.4480554008340777,0.6556799181290152,0.1940121996381946,0.15520477613054778,0.25039647367604984,0.7581694175501978,0.3623549778725359,0.18547093375343598,0.4288165651887704,0.12075692491161476,0.16839573731860133,0.0805359020931055,0.9526315789473684,0.9052631578947369,1.0,0.5736842105263158,0.7157894736842105,0.6210526315789474,0.7631578947368421,0.5263157894736842,0.6684210526315789,0.8105263157894737,0.33684210526315794,0.2894736842105263,0.38421052631578945,0.8578947368421053,0.43157894736842106,0.24210526315789474,0.4789473684210527,0.1473684210526316,0.19473684210526315,0.1,0.0,1.0,1.0,0.0,0.5,1.0,0.5,0.0,1.0,0.5,0.0,0.0,0.5,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.3241493670237458,-4.986812081098212,1.7569104317778979
3,20,1,3,0.3738038779266354,0.261420754507394,0.13869316680583188,0.5737760328151978,0.4561338912190913,0.1545415528090197,0.16545293733575098,0.7386837355655981,0.5998090693722478,0.1281111015995937,0.46964328478246614,0.5403545031861429,0.47087422686048014,0.899173281301014,0.059840375220394815,0.10795270904756805,0.35628571761193084,0.4529968746035784,0.05603101378104212,0.2115259139103109,0.9526315789473684,0.8105263157894737,0.4789473684210527,0.8578947368421053,0.7157894736842105,0.38421052631578945,0.33684210526315794,0.9052631578947369,0.7631578947368421,0.2894736842105263,0.6210526315789474,0.6684210526315789,0.5736842105263158,1.0,0.1473684210526316,0.19473684210526315,0.43157894736842106,0.5263157894736842,0.1,0.24210526315789474,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.5,1.0,0.5,1.0,0.0,0.0,1.0,0.0,0.5,0.5646481674687799,-4.595726746904373,1.2407419260603016
4,20,1,3,0.2504249812566487,0.4312519526712816,0.38281031590458975,0.18201219992624385,0.3412322256333081,0.5447227655776298,0.1402152964942105,0.2234323197366735,0.4743629911353414,0.7773870839065323,0.0869373536892023,0.1613070068034803,0.083048735888997,0.4222508041227396,0.6357287465553899,0.11393656063612671,0.31367338655129484,0.5509792348718724,0.04399452135358562,0.1292835122892197,0.9052631578947369,0.9526315789473684,0.8105263157894737,0.5263157894736842,0.6684210526315789,0.8578947368421053,0.43157894736842106,0.4789473684210527,0.7157894736842105,1.0,0.2894736842105263,0.33684210526315794,0.24210526315789474,0.5736842105263158,0.7631578947368421,0.19473684210526315,0.38421052631578945,0.6210526315789474,0.1,0.1473684210526316,0.0,0.5,0.0,0.5,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.6446307977714903,-4.64137331901489,1.4915397303314994
5,20,1,3,0.2855853981765699,0.4278475171061633,0.19787944628931864,0.22073441390741366,0.12945618045414348,0.379716938989874,0.35088536110703195,0.724982477651664,0.6414212070750276,0.7099387556285885,0.5485746637608848,0.1353812151858712,0.2150763134325165,0.18698623010150442,0.3368648880160442,0.05536587706623526,0.4353313293183563,0.17644397199957854,0.1507960238158374,0.07185210343714868,0.8105263157894737,0.8578947368421053,0.6210526315789474,0.5736842105263158,0.4789473684210527,0.7157894736842105,0.6684210526315789,1.0,0.9052631578947369,0.9526315789473684,0.7631578947368421,0.33684210526315794,0.38421052631578945,0.2894736842105263,0.43157894736842106,0.1473684210526316,0.5263157894736842,0.24210526315789474,0.19473684210526315,0.1,1.0,1.0,0.5,0.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,1.0,0.0,1.0,0.5,0.5,0.39933425713603443,-4.0453972716855295,1.0616899866193137
6,20,1,3,0.2688374383700495,0.2770642243965532,0.5066024119991842,0.3274091354946553,0.5190640445380533,0.17507046882648036,0.23867912742492536,0.6251558787075614,0.3956093498217323,0.06661004188357775,0.8302951394968272,0.13671646563013257,0.24354929564656913,0.0767814768596588,0.6177723975582303,0.35427146347851607,0.5502310648390982,0.04481960234649249,0.30291061203115544,0.13218985363456068,0.8105263157894737,0.7631578947368421,0.9526315789473684,0.6684210526315789,0.8578947368421053,0.4789473684210527,0.5263157894736842,0.9052631578947369,0.5736842105263158,0.24210526315789474,1.0,0.2894736842105263,0.38421052631578945,0.19473684210526315,0.7157894736842105,0.43157894736842106,0.6210526315789474,0.1,0.33684210526315794,0.1473684210526316,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.5,0.5,1.0,0.5,0.5,1.0,0.36361269269584073,-5.061075945937084,1.7230045953354567
7,20,1,3,0.2703035785093838,0.20487674683927182,0.39237827326614233,0.4260541153813382,0.2043357155749127,0.18473834977400347,0.6739751896762189,0.7785542355358165,0.329955231682597,0.38985357459497405,0.45721391230623176,0.5198329022737433,0.20606339117334907,0.6577884651753989,0.18920784391578216,0.28994087831252513,0.11059556562775384,0.08653506560443963,0.05414023665010719,0.20918221045487656,0.9526315789473684,0.7157894736842105,0.8578947368421053,0.8105263157894737,0.4789473684210527,0.43157894736842106,0.9052631578947369,1.0,0.5263157894736842,0.5736842105263158,0.6210526315789474,0.6684210526315789,0.33684210526315794,0.7631578947368421,0.2894736842105263,0.38421052631578945,0.19473684210526315,0.1473684210526316,0.1,0.24210526315789474,0.0,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.49884486083961765,-4.576469226453198,0.9615774034795292
8,20,1,3,0.42166051684610184,0.2654471520750853,0.18598508655325052,0.5494518547361688,0.19242710753209097,0.5910633816895072,0.11934667431168366,0.46578297742750135,0.6023705462722336,0.08517447984178356,0.5614661123811466,0.3561361689938416,0.5226922556478438,0.05894558709951139,0.26859460315911904,0.5121502696066869,0.044085437746256624,0.3305258478667467,0.19635565552248688,0.16961527562356168,1.0,0.8105263157894737,0.6684210526315789,0.9526315789473684,0.5263157894736842,0.9052631578947369,0.43157894736842106,0.7631578947368421,0.8578947368421053,0.2894736842105263,0.7157894736842105,0.4789473684210527,0.6210526315789474,0.1473684210526316,0.33684210526315794,0.5736842105263158,0.1,0.38421052631578945,0.24210526315789474,0.19473684210526315,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.5,0.0,0.0,1.0,0.5,0.5,0.0,0.5,0.5,0.39044045048726694,-4.34673564709681,1.3110737483448822
9,20,1,3,0.32701865616990267,0.3943510467796195,0.2537957272022783,0.35565415175434634,0.1789431928892382,0.12812811423755927,0.3160764695880669,0.2921147365141345,0.6415167077825431,0.12054108501827054,0.17178776296740592,0.799321855969537,0.4728236961583925,0.26621653122471395,0.6278151932569214,0.18416981523393305,0.1415560584561261,0.06335909915438269,0.16239357422532158,0.1315433448340919,0.9526315789473684,0.9052631578947369,0.7157894736842105,0.8105263157894737,0.6210526315789474,0.4789473684210527,0.5736842105263158,0.5263157894736842,0.8578947368421053,0.33684210526315794,0.38421052631578945,1.0,0.6684210526315789,0.43157894736842106,0.7631578947368421,0.2894736842105263,0.24210526315789474,0.1,0.19473684210526315,0.1473684210526316,0.5,1.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.40483850916267616,-4.726499134355115,1.4859394059159619
