Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,c.P6,c.P7,c.P8,c.P9,c.P10,c.P11,c.P12,c.P13,c.P14,c.P15,c.P16,c.P17,c.P18,c.P19,c.P20,p.P1,p.P2,p.P3,p.P4,p.P5,p.P6,p.P7,p.P8,p.P9,p.P10,p.P11,p.P12,p.P13,p.P14,p.P15,p.P16,p.P17,p.P18,p.P19,p.P20,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta1.P6,theta1.P7,theta1.P8,theta1.P9,theta1.P10,theta1.P11,theta1.P12,theta1.P13,theta1.P14,theta1.P15,theta1.P16,theta1.P17,theta1.P18,theta1.P19,theta1.P20,theta2.P1,theta2.P2,theta2.P3,theta2.P4,theta2.P5,theta2.P6,theta2.P7,theta2.P8,theta2.P9,theta2.P10,theta2.P11,theta2.P12,theta2.P13,theta2.P14,theta2.P15,theta2.P16,theta2.P17,theta2.P18,theta2.P19,theta2.P20,theta3.P1,theta3.P2,theta3.P3,theta3.P4,theta3.P5,theta3.P6,theta3.P7,theta3.P8,theta3.P9,theta3.P10,theta3.P11,theta3.P12,theta3.P13,theta3.P14,theta3.P15,theta3.P16,theta3.P17,theta3.P18,theta3.P19,theta3.P20,beta_0,beta_p,beta_theta1,beta_theta2,beta_theta3
0,20,3,3,0.20777962682799223,0.2632676558639096,0.31366033366005003,0.2648695522565121,0.55599717420006,0.4347646766477971,0.6984314951912377,0.7973735409148952,0.2801696531675479,0.09105773843840226,0.7644463980107189,0.4382777266258331,0.2577359612666404,0.21200625835867448,0.097210422837812,0.20276825090589287,0.04855120300445745,0.12290898327340823,0.4556566671146009,0.0870494616740779,0.8105263157894737,0.7631578947368421,0.6684210526315789,0.5736842105263158,0.8578947368421053,0.7157894736842105,0.9052631578947369,1.0,0.4789473684210527,0.2894736842105263,0.9526315789473684,0.6210526315789474,0.43157894736842106,0.38421052631578945,0.24210526315789474,0.33684210526315794,0.1473684210526316,0.19473684210526315,0.5263157894736842,0.1,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.5,1.0,0.5,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.0,0.5,1.0,1.0,0.2662371714824797,-5.258911309948399,1.9442883818787675,1.685781235695531,1.9511329995070397
1,20,3,3,0.2644642153741201,0.38406235375462094,0.3370801687877667,0.2859539915888792,0.3456483994072199,0.2299733035351889,0.15550946114405384,0.14521771485791868,0.764888067803023,0.20537273631304248,0.1605738243872343,0.6573115622121729,0.09652515071116799,0.38012852332139,0.06129504228377325,0.5901573253371064,0.21644720405534387,0.5019379881137923,0.14308447825850135,0.04959097372298475,0.8578947368421053,0.9526315789473684,0.9052631578947369,0.7157894736842105,0.7631578947368421,0.6210526315789474,0.5263157894736842,0.43157894736842106,1.0,0.38421052631578945,0.33684210526315794,0.8105263157894737,0.24210526315789474,0.4789473684210527,0.1473684210526316,0.6684210526315789,0.2894736842105263,0.5736842105263158,0.19473684210526315,0.1,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.5,1.0,0.0,1.0,1.0,0.5,1.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,1.0,0.0,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.5281590854644956,-4.661935997483938,1.5210507071222654,1.5157917205759943,1.2745101726188552
2,20,3,3,0.282959347852889,0.4303987091774164,0.27468681380610727,0.19242473407323463,0.3187364173414869,0.1782039170587974,0.48273619417066893,0.5988326669453393,0.1821758360345051,0.5170087637145812,0.4052118230998649,0.12176227901546022,0.08664482203360008,0.2895133099144631,0.1661326275221682,0.7469599850556764,0.273700136180568,0.10768838444889325,0.059828370049227225,0.13201776647066502,0.9526315789473684,1.0,0.7157894736842105,0.5736842105263158,0.6684210526315789,0.5263157894736842,0.8105263157894737,0.9052631578947369,0.4789473684210527,0.7631578947368421,0.6210526315789474,0.33684210526315794,0.24210526315789474,0.43157894736842106,0.2894736842105263,0.8578947368421053,0.38421052631578945,0.19473684210526315,0.1,0.1473684210526316,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.5,0.0,1.0,0.5,1.0,0.5,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.0,1.0,0.5,1.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.0,1.0,0.0,0.5,0.5,1.0,0.3348534727688984,-4.158641702092951,0.8769103475384268,1.1296673250440707,1.1358898867883793
3,20,3,3,0.5280487233153222,0.22755430317676617,0.40053260731130563,0.6444467840990085,0.5583645112878793,0.252669921652035,0.5078960634300902,0.37337054124098384,0.1485095359179029,0.5778992268795394,0.23211069213935678,0.08550747754467988,0.3362358022568794,0.17056458624477694,0.4827700868730105,0.8146385995521397,0.0798289966460197,0.15120742884225621,0.2936846087118352,0.06566928003265025,1.0,0.6684210526315789,0.7157894736842105,0.9526315789473684,0.8578947368421053,0.5263157894736842,0.7631578947368421,0.6210526315789474,0.38421052631578945,0.8105263157894737,0.43157894736842106,0.24210526315789474,0.4789473684210527,0.2894736842105263,0.5736842105263158,0.9052631578947369,0.1473684210526316,0.19473684210526315,0.33684210526315794,0.1,0.5,1.0,0.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.5,1.0,0.5,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.5,1.0,0.5,0.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.0,0.5,1.0,0.0,0.0,1.0,0.5,0.5,0.5509862003158099,-4.748770980174805,1.424416079981506,1.5117200127621053,1.5806855677277116
4,20,3,3,0.21009612056394134,0.37490295003712504,0.5204688340525803,0.21424687391857827,0.35825078797430643,0.3165220892199441,0.133200792536258,0.5862409093840848,0.1406046133874521,0.3318203970231387,0.31040846693022656,0.7495183432333506,0.44463343907796465,0.125525267512229,0.20985921461382595,0.32798086097296647,0.0668407304322621,0.17149534946601389,0.1299788218158287,0.05987847795231627,0.8105263157894737,0.9052631578947369,1.0,0.6684210526315789,0.7631578947368421,0.7157894736842105,0.4789473684210527,0.8578947368421053,0.38421052631578945,0.5736842105263158,0.5263157894736842,0.9526315789473684,0.6210526315789474,0.2894736842105263,0.33684210526315794,0.43157894736842106,0.1473684210526316,0.24210526315789474,0.19473684210526315,0.1,1.0,1.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,1.0,0.5,0.5,1.0,0.5,0.5,0.0,0.5,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.5031048647259452,-4.245027964041261,1.4505103305807325,1.4142806467201503,1.2575681760934492
5,20,3,3,0.5536144505476546,0.4103257590693422,0.6241813458925696,0.697167000906145,0.3736973002006867,0.6394275893496849,0.31980136198668196,0.14048143397152113,0.32666321731739034,0.5772425972273295,0.2937764632218549,0.154659803943269,0.5429764124587277,0.6570556772542129,0.1366888461217645,0.04631393980545051,0.0944493363409978,0.5028925877613154,0.3354007282095968,0.06883380708715804,1.0,0.8105263157894737,0.9052631578947369,0.9526315789473684,0.6210526315789474,0.8578947368421053,0.5263157894736842,0.33684210526315794,0.4789473684210527,0.7157894736842105,0.43157894736842106,0.2894736842105263,0.6684210526315789,0.7631578947368421,0.24210526315789474,0.1473684210526316,0.19473684210526315,0.5736842105263158,0.38421052631578945,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5,0.5,0.5,1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,0.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.6980289718559328,-4.818032685740503,1.1939028810377652,1.126892268439755,1.1610765474584133
6,20,3,3,0.32098226528455465,0.25327264962406815,0.30889430853730027,0.18177990441492153,0.2988054104624294,0.5843674725444861,0.1591273648221156,0.636184776309861,0.13940835572158414,0.5782580970503807,0.12559553217510844,0.39899020116895906,0.5010259774580158,0.8726807579050424,0.3134460362550922,0.054669517539605667,0.15544844261028967,0.11134811047890067,0.21360251639094333,0.05046106057515679,0.8578947368421053,0.7631578947368421,0.7157894736842105,0.5263157894736842,0.6210526315789474,0.9052631578947369,0.4789473684210527,0.9526315789473684,0.38421052631578945,0.8105263157894737,0.33684210526315794,0.5736842105263158,0.6684210526315789,1.0,0.43157894736842106,0.1473684210526316,0.24210526315789474,0.19473684210526315,0.2894736842105263,0.1,1.0,0.0,0.5,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.4797316709096488,-4.743622684371099,1.2247536149855789,1.1258418075313652,1.3395581287181053
7,20,3,3,0.2837478699154755,0.18723977052357466,0.43527348609099376,0.2590551437239477,0.5419153592489621,0.386142800562698,0.4975566110682466,0.2625348926935636,0.7256036307261493,0.12149964652108769,0.24255141381487985,0.5396354707426506,0.22266281943630173,0.3513617014617967,0.17049270096549055,0.04540350626377383,0.2400585662474754,0.1606449689927259,0.20970955882521625,0.12101493010578711,0.9526315789473684,0.6210526315789474,0.8578947368421053,0.6684210526315789,0.9052631578947369,0.7157894736842105,0.8105263157894737,0.5736842105263158,1.0,0.38421052631578945,0.4789473684210527,0.7631578947368421,0.43157894736842106,0.5263157894736842,0.33684210526315794,0.1,0.2894736842105263,0.19473684210526315,0.24210526315789474,0.1473684210526316,1.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.5,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,0.0,1.0,0.5,0.5,0.0,1.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.16490678658762667,-4.815214802797235,1.5654570362905442,1.4300151758561332,1.5864171949064272
8,20,3,3,0.2687860342702715,0.32019176384916503,0.18674201914764987,0.18568542122681297,0.6178235167715858,0.34531322583258733,0.6751278172291754,0.40081472452124967,0.6024951263720523,0.1856838467877946,0.6978710351535158,0.29551149348317984,0.581727836510185,0.21505993534741422,0.38703115153841283,0.15084661561096988,0.09139474800704989,0.14438126696750528,0.05695004486924409,0.25593214561844085,1.0,0.7631578947368421,0.5736842105263158,0.5263157894736842,0.9526315789473684,0.6684210526315789,0.9052631578947369,0.6210526315789474,0.8105263157894737,0.38421052631578945,0.8578947368421053,0.43157894736842106,0.7157894736842105,0.33684210526315794,0.4789473684210527,0.24210526315789474,0.1473684210526316,0.19473684210526315,0.1,0.2894736842105263,0.5,0.5,0.5,0.5,0.0,0.5,0.0,1.0,0.5,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.5,0.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.0,1.0,0.5,1.0,0.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5515316067075112,-4.297000739874998,1.6551722250962122,1.6236977870241736,1.6775546536198853
9,20,3,3,0.2878725596859105,0.5123927265461536,0.3211327100969182,0.2704888889605413,0.37625442220825045,0.20645107621884856,0.16179283506128533,0.49570484668356746,0.12370239887597623,0.2927699463069496,0.10374639735510993,0.8157879765105326,0.7384585629171637,0.47217894782922254,0.16457366739259174,0.1285043329890389,0.7711663253309481,0.11164686605730344,0.0710364325545362,0.05306720319059656,0.8105263157894737,0.9526315789473684,0.7157894736842105,0.5736842105263158,0.6684210526315789,0.4789473684210527,0.43157894736842106,0.7631578947368421,0.38421052631578945,0.5263157894736842,0.33684210526315794,1.0,0.9052631578947369,0.6210526315789474,0.2894736842105263,0.24210526315789474,0.8578947368421053,0.19473684210526315,0.1473684210526316,0.1,0.5,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,0.5,1.0,0.5,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,0.5,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.5,0.5272900589878399,-4.537520538114977,1.3337650494355435,1.2635844499789357,1.4861066955158793
