Instance,N,K,L,c.P1,c.P2,c.P3,c.P4,c.P5,c.P6,c.P7,c.P8,c.P9,c.P10,c.P11,c.P12,c.P13,c.P14,c.P15,c.P16,c.P17,c.P18,c.P19,c.P20,p.P1,p.P2,p.P3,p.P4,p.P5,p.P6,p.P7,p.P8,p.P9,p.P10,p.P11,p.P12,p.P13,p.P14,p.P15,p.P16,p.P17,p.P18,p.P19,p.P20,theta1.P1,theta1.P2,theta1.P3,theta1.P4,theta1.P5,theta1.P6,theta1.P7,theta1.P8,theta1.P9,theta1.P10,theta1.P11,theta1.P12,theta1.P13,theta1.P14,theta1.P15,theta1.P16,theta1.P17,theta1.P18,theta1.P19,theta1.P20,theta2.P1,theta2.P2,theta2.P3,theta2.P4,theta2.P5,theta2.P6,theta2.P7,theta2.P8,theta2.P9,theta2.P10,theta2.P11,theta2.P12,theta2.P13,theta2.P14,theta2.P15,theta2.P16,theta2.P17,theta2.P18,theta2.P19,theta2.P20,theta3.P1,theta3.P2,theta3.P3,theta3.P4,theta3.P5,theta3.P6,theta3.P7,theta3.P8,theta3.P9,theta3.P10,theta3.P11,theta3.P12,theta3.P13,theta3.P14,theta3.P15,theta3.P16,theta3.P17,theta3.P18,theta3.P19,theta3.P20,theta4.P1,theta4.P2,theta4.P3,theta4.P4,theta4.P5,theta4.P6,theta4.P7,theta4.P8,theta4.P9,theta4.P10,theta4.P11,theta4.P12,theta4.P13,theta4.P14,theta4.P15,theta4.P16,theta4.P17,theta4.P18,theta4.P19,theta4.P20,theta5.P1,theta5.P2,theta5.P3,theta5.P4,theta5.P5,theta5.P6,theta5.P7,theta5.P8,theta5.P9,theta5.P10,theta5.P11,theta5.P12,theta5.P13,theta5.P14,theta5.P15,theta5.P16,theta5.P17,theta5.P18,theta5.P19,theta5.P20,beta_0,beta_p,beta_theta1,beta_theta2,beta_theta3,beta_theta4,beta_theta5
0,20,5,3,0.29374255928460147,0.45217738415296715,0.41056597304691295,0.6247546537300843,0.162166268650971,0.485253730572526,0.10705104869354165,0.3587580224545791,0.5339294753836288,0.5828944842365504,0.30135212082353435,0.16167691404755694,0.4313968678196671,0.32443329397394,0.05174369988211834,0.1993848446496663,0.11362664789820108,0.599484229731288,0.04986778887640556,0.1963997475506936,0.9052631578947369,0.9526315789473684,0.8578947368421053,1.0,0.5263157894736842,0.8105263157894737,0.38421052631578945,0.6210526315789474,0.7157894736842105,0.7631578947368421,0.4789473684210527,0.33684210526315794,0.5736842105263158,0.43157894736842106,0.1473684210526316,0.2894736842105263,0.19473684210526315,0.6684210526315789,0.1,0.24210526315789474,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,1.0,0.0,0.5,0.0,1.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.0,0.5,1.0,0.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,1.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0,0.0,0.5,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.5,-0.742122376210656,-4.731257681715574,1.6372131586225593,1.8070765144973433,1.7018998452053005,1.776968326332216,1.4974799433404347
1,20,5,3,0.30265109622575614,0.23266724717829113,0.5267952425883109,0.24887068312263316,0.1704588637737522,0.44934269321347226,0.1708628315454685,0.18862228697100092,0.14974062316573974,0.5770188774703896,0.831753925122099,0.314116396229474,0.14238491451818278,0.42757246928728143,0.7200727069188667,0.06765623626131229,0.13633992497457179,0.5687757996387387,0.05683440573670004,0.04134523765398451,0.9052631578947369,0.8105263157894737,0.9526315789473684,0.6210526315789474,0.5263157894736842,0.7157894736842105,0.43157894736842106,0.38421052631578945,0.33684210526315794,0.7631578947368421,1.0,0.4789473684210527,0.2894736842105263,0.5736842105263158,0.8578947368421053,0.19473684210526315,0.24210526315789474,0.6684210526315789,0.1473684210526316,0.1,1.0,0.0,0.5,0.0,0.0,0.5,1.0,1.0,0.5,1.0,0.5,0.0,0.5,1.0,1.0,0.5,0.0,0.5,0.5,0.0,0.0,0.5,1.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.5,0.5,1.0,0.5,0.5,0.0,1.0,0.5,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.0,1.0,0.3513273605734915,-5.5710891010957075,1.9634645770654415,1.8719319301510675,1.6279952344581643,1.7689909649837205,1.9669961528329456
2,20,5,3,0.31730973339776136,0.27070230944933166,0.16740144640575239,0.217217596150037,0.45486917304398033,0.18289570026976304,0.630876669597362,0.7061402045090066,0.1195001988320511,0.2156895795068675,0.07819993483876364,0.46528448463311434,0.7155267954587986,0.1088975570696872,0.3012472951317975,0.6579331106072159,0.072543309010808,0.26933832851054407,0.13090148708029486,0.042350940589558864,0.9052631578947369,0.7157894736842105,0.5736842105263158,0.6210526315789474,0.8105263157894737,0.5263157894736842,0.9526315789473684,1.0,0.38421052631578945,0.4789473684210527,0.2894736842105263,0.6684210526315789,0.8578947368421053,0.24210526315789474,0.43157894736842106,0.7631578947368421,0.1473684210526316,0.33684210526315794,0.19473684210526315,0.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.5,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,1.0,0.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.5,1.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.5,1.0,0.5,0.5,0.0,1.0,0.5,0.5,1.0,1.0,0.46238761962155595,-4.907639021296321,1.2741680420738273,1.3513713258886657,1.0806019785933347,1.1242779942979482,1.2677346363217645
3,20,5,3,0.35749794105877586,0.23155039415457984,0.2553959441004963,0.37613254377329414,0.14218295942759696,0.24677070604326,0.6678733289614736,0.34216074846155964,0.6501249586800862,0.3465766116877757,0.7273943465791337,0.16333647009128754,0.8353234943756758,0.09318086642191341,0.058479383320257705,0.3147090497593396,0.27602750049918995,0.3744580793233736,0.1984012999422362,0.05724842160655469,0.9052631578947369,0.7157894736842105,0.6684210526315789,0.7631578947368421,0.5263157894736842,0.6210526315789474,1.0,0.5736842105263158,0.8105263157894737,0.4789473684210527,0.8578947368421053,0.2894736842105263,0.9526315789473684,0.19473684210526315,0.1473684210526316,0.38421052631578945,0.33684210526315794,0.43157894736842106,0.24210526315789474,0.1,0.0,1.0,0.0,0.0,0.5,0.5,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,1.0,1.0,0.5,0.0,1.0,0.5,0.5,0.5,0.5,1.0,0.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.5,0.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,0.5,1.0,1.0,0.5,0.5,0.0,0.5,0.0701341323101308,-5.238353392039856,1.8465529753351042,1.8382402462346246,1.7029764662960023,1.7825925925077353,1.8496521723972392
4,20,5,3,0.2703029884614881,0.5418170267242239,0.2104128044831306,0.5411440124707771,0.4887628557932852,0.5410199971677228,0.15450729738901037,0.2744324731088821,0.23470105941798103,0.1529952551695456,0.4686658240690562,0.0918638224240032,0.5727967816449699,0.2085606523286414,0.17196559771797948,0.5268204592226507,0.10429078702877427,0.05978975373730279,0.04318918972186858,0.2121864065407132,0.7631578947368421,1.0,0.6684210526315789,0.9526315789473684,0.8578947368421053,0.9052631578947369,0.4789473684210527,0.5736842105263158,0.5263157894736842,0.43157894736842106,0.7157894736842105,0.33684210526315794,0.8105263157894737,0.38421052631578945,0.2894736842105263,0.6210526315789474,0.19473684210526315,0.1473684210526316,0.1,0.24210526315789474,0.5,0.5,0.0,0.5,0.0,0.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.5,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.5,1.0,0.0,1.0,0.5,1.0,0.5,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,1.0,0.5,0.0,0.43186524744046345,-5.340033527314244,1.8476429544420603,1.8570027104775946,1.7090005649627085,1.982638838666136,2.004735568178289
5,20,5,3,0.29452138200418343,0.3880077492669881,0.40547944315993645,0.3502426926412704,0.32976156431014486,0.6260090232398432,0.1710719900961869,0.7050589296001456,0.12123932784054767,0.2639268817900666,0.09024670812787317,0.436016002768202,0.35661732543281965,0.6055079396723554,0.08901605049319597,0.2553042789676044,0.44692082887767753,0.035080642186396824,0.0959605375102583,0.154018773851013,1.0,0.8578947368421053,0.8105263157894737,0.7157894736842105,0.6684210526315789,0.9052631578947369,0.43157894736842106,0.9526315789473684,0.33684210526315794,0.4789473684210527,0.2894736842105263,0.6210526315789474,0.5263157894736842,0.7631578947368421,0.24210526315789474,0.38421052631578945,0.5736842105263158,0.1,0.1473684210526316,0.19473684210526315,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,0.5,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.0,1.0,0.5,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,-0.18371924562230052,-4.810973839987644,1.530663848765079,1.6124598440587343,1.6493385102740998,1.644915196438781,1.707408699923676
6,20,5,3,0.41525229486157655,0.27792177947915386,0.24029543343329507,0.19214618105067005,0.25930849665537836,0.7230017487343466,0.2578877182214668,0.23389129676696888,0.6880353362369424,0.24819769360968122,0.11139438258940082,0.2066274616188406,0.7140489671697033,0.22763699818349012,0.15112592259086113,0.6861005067508612,0.5063236545986595,0.08177244136419264,0.12969626169259615,0.04844777617646089,0.9526315789473684,0.8105263157894737,0.7157894736842105,0.6210526315789474,0.6684210526315789,1.0,0.5263157894736842,0.4789473684210527,0.9052631578947369,0.43157894736842106,0.2894736842105263,0.38421052631578945,0.8578947368421053,0.33684210526315794,0.24210526315789474,0.7631578947368421,0.5736842105263158,0.1473684210526316,0.19473684210526315,0.1,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.5,0.0,1.0,1.0,0.0,1.0,0.5,1.0,0.5,0.5,0.0,1.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,1.0,0.5,0.5,1.0,0.5,0.0,1.0,0.0,0.3935421025779954,-4.411327227236544,1.3117858254278303,1.149592316615204,0.9130099973633015,1.0057756800462998,1.195744527913535
7,20,5,3,0.25483449881553843,0.295252553286516,0.5428967836080519,0.14395440956739003,0.4854751102598633,0.12341173870268618,0.3638886706674583,0.582589790467449,0.4961350643500835,0.2160910193953488,0.04870266539309426,0.3913470478915172,0.21537769944829593,0.8407664579724989,0.516688292594513,0.6189747555888437,0.08377612673730456,0.19393961900113507,0.25892648566132703,0.07128604157379895,1.0,0.8578947368421053,0.9052631578947369,0.4789473684210527,0.8105263157894737,0.43157894736842106,0.5736842105263158,0.7631578947368421,0.6684210526315789,0.38421052631578945,0.19473684210526315,0.5263157894736842,0.33684210526315794,0.9526315789473684,0.6210526315789474,0.7157894736842105,0.1473684210526316,0.24210526315789474,0.2894736842105263,0.1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,1.0,1.0,0.0,0.5,0.0,0.5,0.5,1.0,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,1.0,1.0,0.5,0.2644104747599151,-4.448419261658533,1.4572181171205085,1.2929379097070741,1.441245591543454,1.2338457421215372,1.3965471098141375
8,20,5,3,0.3526910251979968,0.2971226019896408,0.39740068130290745,0.16229787579606236,0.5032594460049871,0.2697030811644013,0.24970998371105335,0.41424226826155114,0.6570535791778863,0.18714494223648687,0.27856861492621643,0.5584358882672574,0.2464379129997509,0.03688060323715661,0.3352491111609683,0.24571054588481694,0.10505797943187177,0.21228278209590856,0.1806113701666173,0.06047185508434062,0.9526315789473684,0.8105263157894737,0.8578947368421053,0.5736842105263158,0.9052631578947369,0.6684210526315789,0.6210526315789474,0.7631578947368421,1.0,0.5263157894736842,0.4789473684210527,0.7157894736842105,0.38421052631578945,0.1473684210526316,0.43157894736842106,0.33684210526315794,0.19473684210526315,0.2894736842105263,0.24210526315789474,0.1,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,1.0,0.5,0.5,0.5,0.0,0.5,1.0,0.0,0.0,1.0,0.5,0.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.0,1.0,1.0,0.5,1.0,0.0,0.5,1.0,0.5,0.0,1.0,0.0,1.0,0.5,0.5,0.5,1.0,-0.09795600801231691,-4.673893960542167,1.58512120103688,1.573493346021484,1.5368158082418764,1.601376072538159,1.372421040503681
9,20,5,3,0.30452602785021465,0.376616369356619,0.3849199930720632,0.3046450549019271,0.5526174679576444,0.11728688409252802,0.45173295993493007,0.38485796260862104,0.10969647884501849,0.64277829396813,0.22918147359180882,0.0787303252642915,0.41357754866179086,0.06723912359227358,0.828606630199983,0.4095199500756902,0.047440864195206475,0.029326397006987304,0.22176453461160375,0.4306228136337053,1.0,0.8105263157894737,0.7631578947368421,0.6684210526315789,0.9052631578947369,0.38421052631578945,0.7157894736842105,0.6210526315789474,0.33684210526315794,0.8578947368421053,0.43157894736842106,0.24210526315789474,0.5736842105263158,0.19473684210526315,0.9526315789473684,0.5263157894736842,0.1473684210526316,0.1,0.2894736842105263,0.4789473684210527,0.5,0.0,1.0,1.0,0.0,0.5,1.0,1.0,0.5,0.0,0.5,0.5,1.0,1.0,0.5,0.5,0.0,1.0,0.5,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,1.0,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.0,1.0,0.0,0.5,0.0,1.0,1.0,0.5,1.0,0.0,0.5,0.5,1.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.5,0.0,0.5,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.5,0.5,0.0,1.0,0.0,0.5,1.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.2714353772631924,-4.854333874332835,1.589797914059255,1.6625248856978698,1.6020514435167164,1.507035667724719,1.6313842309096864
