Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1
0,5,1,3,0.10010220464289593,1,1,0,0,0,2,0.7559826756256705,6,15,0,P02,P01
1,5,1,3,0.050989735999171004,1,1,1,0,0,3,0.7479412315063416,5,15,0,P03,P01
2,5,1,3,0.05659897905316435,1,1,1,1,0,4,0.9795578157066493,7,15,0,P04,P01
3,5,1,3,0.09332904008189394,1,1,1,1,0,4,1.0920235133141736,6,15,0,P03,P04
4,5,1,3,0.0739187127909571,1,1,1,0,0,3,1.0097749785303263,8,15,0,P03,P01
5,5,1,3,0.11353920846637927,1,1,1,0,0,3,0.9488280850335217,6,15,0,P03,P03
6,5,1,3,0.0900577301453624,1,1,1,1,0,4,1.0998648484924267,8,15,0,P03,P02
7,5,1,3,0.08880330186434401,1,1,1,1,0,4,1.0592279037422956,7,15,0,P04,P01
8,5,1,3,0.1522133709294694,1,1,1,1,0,4,1.416060091250634,6,15,0,P03,P02
9,5,1,3,0.10062555467831628,1,1,0,0,0,2,0.8229351882133357,7,15,0,P02,P02
10,5,1,3,0.1256418970006892,1,1,1,0,0,3,0.9348157583167281,5,15,0,P03,P03
11,5,1,3,0.06490087720923321,1,1,1,0,0,3,1.0512227353148176,7,15,0,P03,P02
12,5,1,3,0.1642777170969012,1,1,1,0,0,3,1.0718479209703435,9,15,0,P03,P03
13,5,1,3,0.07107276839662975,1,1,1,1,0,4,0.952497915574362,7,15,0,P04,P03
14,5,1,3,0.06296942724639377,1,1,1,1,0,4,1.102843666729573,5,15,0,P03,P03
15,5,1,3,0.11449857727250612,1,1,0,0,0,2,0.8063571899065043,7,15,0,P01,P01
16,5,1,3,0.09465425354421887,1,1,1,0,0,3,1.069552327960378,7,15,0,P02,P02
17,5,1,3,0.14678832627535449,1,1,1,0,0,3,1.2241575688822204,6,15,0,P03,P03
18,5,1,3,0.08089634471085883,1,1,1,1,0,4,1.275778590954746,7,15,0,P04,P02
19,5,1,3,0.06688721471734749,1,1,1,1,0,4,1.0284889901079115,5,15,0,P04,P03
20,5,1,3,0.11444104460588983,1,1,1,1,0,4,1.4108159898868673,7,15,0,P02,P04
21,5,1,3,0.09931519079312344,1,1,1,0,0,3,0.8256268441798525,5,15,0,P02,P01
22,5,1,3,0.1309990965929547,1,1,1,0,0,3,1.0836795193133835,5,15,0,P03,P03
23,5,1,3,0.05671764532034253,1,1,1,0,0,3,0.8855546633080096,5,15,0,P03,P02
24,5,1,3,0.08114097323668368,1,1,1,0,0,3,0.8477292445917133,6,15,0,P03,P03
25,5,1,3,0.09814543409448717,1,1,1,0,0,3,0.8212567880635313,5,15,0,P03,P01
26,5,1,3,0.11446080968609448,1,1,1,1,0,4,1.2474980603018873,6,15,0,P04,P01
27,5,1,3,0.09815420952347897,1,1,1,1,0,4,1.263255110509954,6,15,0,P03,P03
28,5,1,3,0.1824992592048545,1,1,1,0,0,3,1.10848825089455,6,15,0,P03,P03
29,5,1,3,0.05966697974463805,1,1,1,0,1,4,3.9219582458838578,6,15,1,P05,P02
30,5,1,3,0.10313501754179052,1,1,1,1,0,4,1.161555967045374,7,15,0,P04,P04
31,5,1,3,0.13472936611679326,1,1,0,0,0,2,0.9128479180716504,7,15,0,P01,P01
32,5,1,3,0.10476132040656363,1,1,1,0,0,3,1.1951819249578461,7,15,0,P02,P01
33,5,1,3,0.09526531314814797,1,1,1,1,0,4,1.1308908525222763,6,15,0,P03,P03
34,5,1,3,0.10139989127213749,1,1,0,1,0,3,0.8810751596478005,8,15,1,P04,P04
35,5,1,3,0.09335679391994757,1,1,1,1,0,4,1.0571556961097024,6,15,0,P04,P04
36,5,1,3,0.09077858517665788,1,1,1,1,0,4,1.2936236078063332,6,15,0,P04,P01
37,5,1,3,0.09506642481470287,1,1,1,0,0,3,0.8409434287732502,7,15,0,P03,P03
38,5,1,3,0.05897107050143894,1,1,1,1,0,4,1.2654827578646182,8,15,0,P02,P01
39,5,1,3,0.08298525171804177,1,1,1,0,0,3,0.9438427926969764,6,15,0,P02,P02
