Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1,Ref for Attr2,Ref for Attr3
0,5,3,3,0.08508556389030456,1,1,1,1,0,4,1.0807618483783472,7,135,0,P04,P01,P01,P02
1,5,3,3,0.16172917730245523,1,1,1,0,0,3,1.0586222349924164,9,135,0,P02,P02,P01,P01
2,5,3,3,0.09630460133047676,1,1,1,0,0,3,1.0573171284079115,8,135,0,P02,P03,P01,P03
3,5,3,3,0.14336597378734434,1,1,1,1,0,4,1.2617616070220343,9,135,0,P04,P03,P01,P03
4,5,3,3,0.127404537917555,1,1,1,0,0,3,0.9363025079263965,9,135,0,P03,P02,P03,P03
5,5,3,3,0.08389883698911416,1,1,1,1,0,4,1.239783616523799,7,135,0,P04,P02,P04,P04
6,5,3,3,0.14450034124557182,1,1,1,0,0,3,1.2267959627747653,8,135,0,P03,P02,P02,P02
7,5,3,3,0.12824898980765165,1,1,1,1,0,4,1.1382172942745916,7,135,0,P04,P04,P01,P04
8,5,3,3,0.07356408322616569,1,1,1,1,0,4,1.6069937708292774,9,135,0,P04,P04,P03,P03
9,5,3,3,0.10672943710588909,1,1,0,0,0,2,0.786860574010334,10,135,0,P02,P02,P02,P02
10,5,3,3,0.1348175941632684,1,1,1,1,0,4,1.4321921634574881,10,135,0,P03,P01,P01,P03
11,5,3,3,0.07256365961236043,1,1,1,0,0,3,1.4539510830857405,7,135,0,P01,P01,P01,P01
12,5,3,3,0.1093915586671022,1,1,1,1,0,4,1.265335184809293,6,135,0,P03,P02,P03,P01
13,5,3,3,0.08043557375030548,1,1,1,1,0,4,1.0657227667159899,10,135,0,P04,P04,P01,P01
14,5,3,3,0.13538704713092742,1,1,1,0,0,3,1.110925649332897,9,135,0,P03,P03,P03,P02
15,5,3,3,0.09835672000813084,1,1,1,1,0,4,1.3385261040479066,10,135,0,P04,P04,P02,P01
16,5,3,3,0.1546187311437754,1,1,1,0,0,3,1.0154961906925384,7,135,0,P03,P03,P01,P01
