Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1,Ref for Attr2,Ref for Attr3,Ref for Attr4,Ref for Attr5
0,5,5,3,0.1273404081642385,1,1,1,1,0,4,1.5465730380363036,8,1215,0,P02,P01,P02,P02,P02,P04
1,5,5,3,0.09803449273291909,1,1,1,1,0,4,1.3198638517252452,9,1215,0,P02,P04,P01,P02,P04,P01
2,5,5,3,0.07851786166717781,1,1,1,1,0,4,1.2414414366119666,8,1215,0,P02,P02,P02,P02,P02,P02
3,5,5,3,0.09875316062637528,1,1,1,1,0,4,1.4057865198782675,14,1215,0,P04,P01,P01,P03,P02,P01
4,5,5,3,0.11035515223145864,1,1,1,1,0,4,1.0118230875595315,11,1215,0,P04,P03,P03,P02,P01,P01
5,5,5,3,0.1154559213286417,1,1,1,1,0,4,1.365116276337028,10,1215,0,P04,P02,P04,P01,P02,P01
6,5,5,3,0.09885310729375854,1,1,1,1,0,4,1.3717629284178683,12,1215,0,P03,P01,P01,P03,P02,P02
7,5,5,3,0.1106350645977563,1,1,1,1,0,4,1.3488263102895433,12,1215,0,P04,P01,P01,P01,P01,P03
8,5,5,3,0.11977705097689066,1,1,1,1,0,4,1.4009382926084273,11,1215,0,P04,P04,P04,P02,P01,P04
9,5,5,3,0.20766479344474642,1,1,1,0,0,3,1.290264201938994,9,1215,0,P03,P02,P02,P03,P01,P03
10,5,5,3,0.26878607406639327,1,1,1,0,0,3,1.4793904758417633,11,1215,0,P03,P02,P03,P02,P02,P03
11,5,5,3,0.17160975152301594,1,1,1,0,0,3,1.0749726775575956,9,1215,0,P03,P03,P01,P02,P01,P03
12,5,5,3,0.0946839745620699,1,1,1,1,0,4,1.1979741375561885,10,1215,0,P03,P02,P04,P03,P03,P01
13,5,5,3,0.08383557322310883,1,1,1,1,0,4,1.1252400264251572,14,1215,0,P04,P02,P01,P02,P04,P02
14,5,5,3,0.054519037146676205,1,1,1,1,0,4,1.1484042207700105,10,1215,0,P04,P04,P03,P02,P02,P03
15,5,5,3,0.09612092263081859,1,1,1,1,0,4,1.255211300300688,9,1215,0,P03,P01,P04,P03,P01,P01
16,5,5,3,0.12532159499335496,1,1,1,1,0,4,1.4024469188995177,16,1215,0,P03,P04,P01,P01,P03,P02
17,5,5,3,0.15366092509568582,1,1,0,0,0,2,1.185118769682799,11,1215,0,P02,P01,P01,P01,P01,P01
18,5,5,3,0.22323442479268388,1,1,1,0,0,3,1.6397839998442452,10,1215,0,P03,P03,P01,P03,P02,P03
19,5,5,3,0.09811042658827594,1,1,1,0,0,3,1.5543726171704506,9,1215,0,P03,P02,P03,P03,P02,P03
20,5,5,3,0.12016833002266189,1,1,1,0,0,3,1.5001153690515223,15,1215,0,P03,P01,P02,P03,P03,P01
21,5,5,3,0.40570627095524314,1,1,0,1,0,3,2.3065820112222637,9,1215,1,P04,P04,P04,P02,P04,P04
