Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1
0,10,1,3,0.10432423454759707,1,1,1,1,1,0,0,0,0,0,5,0.8728674420358671,19,30,0,P02,P03
1,10,1,3,0.09916111712660353,1,1,1,1,1,1,0,0,0,0,6,1.1086926876006888,17,30,0,P03,P04
2,10,1,3,0.13328555597468655,1,1,1,1,1,1,1,0,0,0,7,1.5908299232978158,12,30,0,P07,P07
3,10,1,3,0.173205172081743,1,1,1,1,1,1,0,0,0,0,6,1.1128189426984705,15,30,0,P06,P03
4,10,1,3,0.08772694224012789,1,1,1,1,0,0,0,0,0,0,4,0.9240237875456127,15,30,0,P04,P01
5,10,1,3,0.11234238432555699,1,1,1,1,1,1,1,1,0,0,8,1.3461385570571385,12,30,0,P08,P02
6,10,1,3,0.1075609572982502,1,1,1,1,1,1,1,0,0,0,7,1.4584065883992476,17,30,0,P07,P06
7,10,1,3,0.16668855091895293,1,1,1,1,0,0,0,0,0,0,4,1.0843038773389022,15,30,0,P02,P04
8,10,1,3,0.18945038867019343,1,1,1,1,1,1,0,0,0,0,6,1.4685396409858638,15,30,0,P03,P06
9,10,1,3,0.15145654522597507,1,1,1,1,1,0,1,0,0,0,6,1.239194888351411,14,30,1,P05,P05
10,10,1,3,0.13887146474417855,1,1,1,1,1,1,1,0,0,0,7,1.4898277684255121,16,30,0,P06,P01
11,10,1,3,0.09687845159314855,1,1,1,1,1,1,1,1,0,0,8,1.7459185978953098,16,30,0,P04,P02
12,10,1,3,0.16589180601264114,1,1,1,1,1,1,0,0,0,0,6,1.1752657529515635,15,30,0,P05,P05
13,10,1,3,0.1767281578993351,1,1,1,1,1,1,0,0,0,0,6,1.7423500477220095,15,30,0,P06,P04
14,10,1,3,0.17263814675455508,1,1,1,1,1,1,0,0,1,0,7,1.9938665638893727,14,30,1,P06,P09
15,10,1,3,0.18342117017362908,1,1,1,1,1,1,0,0,0,0,6,1.6338649208266776,17,30,0,P04,P05
16,10,1,3,0.12216749279205487,1,1,1,1,1,0,0,0,0,0,5,0.9545943458814308,14,30,0,P04,P03
17,10,1,3,0.13402118895050716,1,1,1,1,1,1,1,0,0,0,7,1.2006546136649017,17,30,0,P05,P07
18,10,1,3,0.1410099127723425,1,1,1,1,1,1,0,1,0,0,7,1.4852649983029675,14,30,1,P08,P08
19,10,1,3,0.16376556007622908,1,1,0,1,0,0,0,0,0,0,3,1.0110507641404711,15,30,1,P04,P02
20,10,1,3,0.19737766564561224,1,1,1,1,1,1,0,0,0,0,6,1.3900394031752978,15,30,0,P03,P02
21,10,1,3,0.2101961884775108,1,1,1,1,1,1,0,0,0,0,6,1.3009858035302364,16,30,0,P06,P06
22,10,1,3,0.1441957263167438,1,1,1,1,1,1,0,1,0,0,7,1.2462716982010646,15,30,1,P05,P08
23,10,1,3,0.1390305806173409,1,1,1,1,1,0,0,0,0,0,5,0.982115710643461,12,30,0,P03,P02
24,10,1,3,0.14424778646004188,1,1,1,1,1,1,0,0,0,0,6,1.2166337766426891,11,30,0,P05,P04
25,10,1,3,0.14524557076393918,1,1,1,1,1,1,0,0,0,0,6,1.2531022733439818,14,30,0,P03,P02
26,10,1,3,0.10396839815159545,1,1,1,1,1,1,0,0,0,0,6,1.377739057074161,11,30,0,P04,P01
27,10,1,3,0.1872121697930966,1,1,1,0,0,1,0,0,0,0,4,1.0833125413956362,17,30,1,P01,P06
28,10,1,3,0.1097942866869765,1,1,1,1,1,0,0,0,0,0,5,1.0254291493077026,13,30,0,P04,P01
29,10,1,3,0.22304253920839878,1,1,1,1,1,0,0,0,0,0,5,1.370817644745837,11,30,0,P05,P04
30,10,1,3,0.13642979103360023,1,1,1,1,1,1,1,1,0,0,8,1.6389691798241985,15,30,0,P08,P08
31,10,1,3,0.11769854506682409,1,1,1,1,1,0,0,0,0,0,5,1.1919118597606007,12,30,0,P02,P01
32,10,1,3,0.11408594444236624,1,1,1,1,1,1,0,0,0,0,6,1.027346161963202,14,30,0,P05,P02
33,10,1,3,0.16550198804799315,1,1,1,1,1,1,0,0,0,0,6,1.1703152172457676,11,30,0,P05,P02
34,10,1,3,0.1260165309115996,1,1,1,1,1,0,0,0,0,0,5,0.977833625290298,14,30,0,P03,P05
35,10,1,3,0.10622704063182703,1,1,1,1,1,1,1,0,0,0,7,1.083418945933068,16,30,0,P05,P02
36,10,1,3,0.1577232119045761,1,1,1,1,1,0,1,0,0,0,6,1.6754188472019615,14,30,1,P07,P07
37,10,1,3,0.10344616867087822,1,1,1,1,1,1,0,0,0,0,6,1.0473704378626587,13,30,0,P04,P03
38,10,1,3,0.10505446700952048,1,1,1,1,1,0,0,1,0,0,6,1.1340320534894517,12,30,1,P03,P03
39,10,1,3,0.15236003714219104,1,1,1,1,1,0,1,0,0,0,6,1.422540122160454,17,30,1,P04,P07
40,10,1,3,0.16044279266295103,1,1,1,1,1,1,0,0,0,0,6,1.2555640539880188,16,30,0,P06,P04
41,10,1,3,0.1490478786610524,1,1,1,1,1,1,1,0,0,0,7,1.4876836599611472,15,30,0,P04,P04
