Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1,Ref for Attr2,Ref for Attr3
0,10,3,3,0.24654190055751174,1,1,1,0,0,0,0,0,0,0,3,1.1659710979491562,31,270,0,P03,P01,P03,P02
1,10,3,3,0.14711294186706061,1,1,1,1,0,1,0,0,0,0,5,1.236255901878863,22,270,1,P03,P06,P03,P01
2,10,3,3,0.2964331062669233,1,1,1,1,0,0,0,0,0,0,4,1.6212335599544079,31,270,0,P04,P04,P04,P03
3,10,3,3,0.20343651154513143,1,1,1,1,1,0,0,0,0,0,5,2.1535380964283672,28,270,0,P04,P04,P01,P01
4,10,3,3,0.1671355198541915,1,1,1,1,1,0,0,0,0,0,5,1.53803801903689,35,270,0,P05,P05,P02,P05
5,10,3,3,0.20290303332776288,1,1,1,1,1,1,0,0,0,0,6,2.380265718631046,32,270,0,P05,P04,P06,P06
6,10,3,3,0.16398570008096702,1,1,1,1,1,1,0,0,0,0,6,1.3200753795968434,32,270,0,P06,P06,P03,P02
7,10,3,3,0.19970042205555547,1,1,1,1,0,0,0,0,0,0,4,1.065030390993859,14,270,0,P04,P01,P04,P04
8,10,3,3,0.1106052434179596,1,1,1,1,1,1,1,1,0,0,8,1.7123984223283037,39,270,0,P07,P03,P07,P08
9,10,3,3,0.1690427720906006,1,1,1,1,0,1,0,0,0,0,5,1.5889347818616164,29,270,1,P04,P01,P03,P06
10,10,3,3,0.22372505556135297,1,1,1,1,0,1,1,0,0,0,6,1.6221455068049164,23,270,2,P07,P01,P07,P06
11,10,3,3,0.17402728857943922,1,1,1,1,1,1,1,0,0,0,7,1.432599819264234,21,270,0,P06,P01,P06,P02
12,10,3,3,0.12213165565156298,1,1,1,1,1,1,0,0,0,0,6,1.103355679448423,22,270,0,P05,P02,P05,P05
13,10,3,3,0.21831146693448056,1,1,1,1,1,0,0,0,0,0,5,1.6406967707971942,36,270,0,P05,P01,P04,P05
14,10,3,3,0.15901451919720197,1,1,1,1,1,0,0,1,0,0,6,1.700721677657778,33,270,1,P05,P03,P08,P02
15,10,3,3,0.25876547650293824,1,1,1,1,1,0,0,1,0,0,6,2.368023050989746,27,270,1,P08,P08,P08,P05
16,10,3,3,0.3503751706813807,1,1,1,1,0,0,0,0,0,0,4,1.6075157755586393,27,270,0,P04,P04,P03,P04
17,10,3,3,0.19693126507153336,1,1,1,1,1,1,0,0,0,0,6,1.4336005991248975,23,270,0,P06,P06,P04,P02
18,10,3,3,0.2128969930188204,1,1,1,1,0,0,0,0,0,0,4,1.6883432776850302,32,270,0,P04,P04,P03,P04
19,10,3,3,0.11779792185815335,1,1,1,1,1,1,1,0,0,0,7,1.493064678099894,34,270,0,P06,P07,P03,P02
20,10,3,3,0.10875661711450771,1,1,1,1,1,1,1,1,0,0,8,1.8158335322771357,21,270,0,P06,P04,P06,P08
21,10,3,3,0.2671268029367144,1,1,1,1,1,1,0,0,0,0,6,1.7785085680802286,25,270,0,P06,P06,P02,P06
22,10,3,3,0.19647031237825063,1,1,1,1,1,0,0,0,0,0,5,1.5184543492426614,21,270,0,P04,P03,P04,P01
23,10,3,3,0.1526470212942471,1,1,1,1,1,1,0,0,0,0,6,1.550708630775381,25,270,0,P03,P05,P04,P01
24,10,3,3,0.20256501088882403,1,1,1,1,1,0,0,0,0,0,5,1.6950668715825694,38,270,0,P05,P02,P05,P02
25,10,3,3,0.16680479658259642,1,1,1,1,0,0,1,0,0,0,5,1.722412600360355,24,270,1,P04,P01,P07,P04
26,10,3,3,0.20147172987912393,1,1,1,1,1,0,0,0,0,0,5,1.481656347693672,20,270,0,P05,P03,P02,P01
27,10,3,3,0.11842363544984189,1,1,1,1,0,1,1,0,0,0,6,1.1333471017332544,23,270,2,P03,P01,P03,P03
28,10,3,3,0.13380482242606517,1,1,1,1,1,1,0,0,0,0,6,1.3057608128556528,27,270,0,P04,P04,P06,P04
