Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1,Ref for Attr2,Ref for Attr3,Ref for Attr4,Ref for Attr5
0,10,5,3,0.15554437716773656,1,1,1,1,1,1,0,0,0,0,6,1.4443280263520097,39,2430,0,P05,P05,P01,P05,P01,P02
1,10,5,3,0.2212801147872992,1,1,1,1,1,1,1,0,0,0,7,2.206783206289533,25,2430,0,P07,P02,P07,P07,P07,P05
2,10,5,3,0.1683424868786431,1,1,1,1,1,1,0,0,0,0,6,1.5156204327019704,37,2430,0,P06,P06,P03,P05,P02,P02
3,10,5,3,0.25101791317073796,1,1,1,1,0,0,0,0,0,0,4,1.656275487324415,27,2430,0,P03,P01,P02,P01,P02,P02
4,10,5,3,0.19304521189103635,1,1,1,1,1,0,0,0,0,0,5,1.2810687887362688,31,2430,0,P05,P04,P04,P01,P01,P05
5,10,5,3,0.16653001979153434,1,1,1,1,1,1,0,0,0,0,6,1.5229681520600973,31,2430,0,P06,P04,P05,P04,P06,P06
6,10,5,3,0.28266012091757503,1,1,1,1,1,0,0,0,0,0,5,1.9771750063495555,29,2430,0,P05,P02,P05,P04,P02,P05
7,10,5,3,0.18449441540508635,1,1,1,1,1,1,1,0,0,0,7,1.6202214167604172,67,2430,0,P07,P06,P03,P04,P07,P05
8,10,5,3,0.33827990717428497,1,1,1,0,1,1,0,0,0,0,5,1.9672458316850507,72,2430,2,P05,P02,P01,P05,P05,P06
9,10,5,3,0.22726775374748834,1,1,1,1,1,0,0,0,1,0,6,2.081032165968775,38,2430,1,P09,P03,P09,P03,P09,P09
10,10,5,3,0.23991803795988165,1,1,1,1,1,1,1,0,0,0,7,2.080937570011742,42,2430,0,P05,P03,P05,P01,P05,P01
11,10,5,3,0.2787571190666259,1,1,1,1,1,1,0,0,0,0,6,2.5551389055351534,27,2430,0,P04,P06,P06,P06,P02,P04
12,10,5,3,0.2107048623874615,1,1,1,1,0,0,0,0,0,0,4,1.2106214103216604,33,2430,0,P03,P04,P01,P03,P03,P02
13,10,5,3,0.17861287322602265,1,1,1,1,1,1,1,0,0,0,7,2.6397481320342626,60,2430,0,P06,P06,P07,P04,P06,P03
14,10,5,3,0.257456274893079,1,1,1,1,1,0,0,1,0,0,6,3.0116502919589943,55,2430,1,P08,P08,P02,P01,P08,P04
15,10,5,3,0.14422197056987177,1,1,1,1,1,0,0,0,0,0,5,1.0493041754428378,25,2430,0,P03,P03,P01,P02,P02,P03
16,10,5,3,0.3384510589862083,1,1,1,1,0,0,0,0,0,0,4,2.331838062078763,63,2430,0,P03,P01,P01,P03,P04,P02
17,10,5,3,0.08592546201622428,1,1,1,1,1,1,0,0,0,0,6,1.0944784183210545,34,2430,0,P06,P04,P06,P06,P02,P06
18,10,5,3,0.12836586988866344,1,1,1,1,1,1,1,0,0,0,7,1.8017022366972917,28,2430,0,P07,P07,P02,P01,P01,P07
19,10,5,3,0.26267309680698336,1,1,1,1,0,1,1,0,0,0,6,2.120043286559347,34,2430,2,P07,P04,P07,P07,P07,P06
20,10,5,3,0.15640835593527708,1,1,1,1,1,1,1,0,1,0,8,1.8303757900532993,48,2430,1,P07,P09,P01,P06,P01,P07
21,10,5,3,0.1834960022255754,1,1,1,1,0,1,0,0,0,0,5,1.9551268173145484,29,2430,1,P06,P01,P03,P02,P06,P01
22,10,5,3,0.1969057089176428,1,1,1,1,1,0,0,0,0,0,5,1.5249548512111883,40,2430,0,P04,P05,P04,P01,P04,P05
23,10,5,3,0.18958354461786764,1,1,1,1,1,0,0,0,0,0,5,1.7396655819586986,24,2430,0,P04,P02,P05,P01,P01,P04
24,10,5,3,0.24893442107835634,1,1,1,1,1,1,0,0,0,0,6,2.0180871891529697,38,2430,0,P06,P03,P01,P06,P01,P01
25,10,5,3,0.2280651302653165,1,1,1,1,1,0,0,0,0,0,5,1.6672114800752924,37,2430,0,P04,P04,P01,P01,P01,P04
26,10,5,3,0.23333046367372542,1,1,1,1,1,1,0,0,0,0,6,1.8571579268913747,46,2430,0,P02,P01,P02,P06,P03,P02
27,10,5,3,0.15941349687056877,1,1,1,1,1,1,1,0,0,0,7,2.091214191651341,40,2430,0,P04,P01,P01,P02,P03,P01
28,10,5,3,0.17878282159936493,1,1,1,1,1,1,0,0,0,0,6,1.590221062417331,26,2430,0,P05,P05,P06,P02,P05,P01
29,10,5,3,0.45166276318577897,1,1,1,0,1,1,0,0,0,0,5,2.8856394196500244,40,2430,2,P05,P06,P05,P05,P06,P05
30,10,5,3,0.12086817653727872,1,1,1,1,1,0,0,0,0,0,5,1.295554269360666,54,2430,0,P04,P01,P05,P01,P04,P03
31,10,5,3,0.18710812117649028,1,1,1,1,1,0,0,0,0,0,5,1.6426436706085306,31,2430,0,P05,P03,P01,P05,P01,P05
32,10,5,3,0.16150715602254448,1,1,1,1,0,0,0,0,0,0,4,1.017550337277584,40,2430,0,P02,P02,P01,P01,P02,P02
33,10,5,3,0.17892683121490094,1,1,1,1,1,0,0,1,0,0,6,1.5680727503136473,45,2430,1,P04,P02,P02,P05,P08,P01
34,10,5,3,0.24959929670295594,1,1,1,0,0,0,0,0,0,0,3,1.5473041864493684,26,2430,0,P03,P02,P02,P03,P03,P03
35,10,5,3,0.19692887693215128,1,1,1,1,1,1,0,0,0,0,6,1.258032644155462,69,2430,0,P06,P01,P05,P05,P01,P02
36,10,5,3,0.3425547185214313,1,1,1,1,1,0,1,0,0,0,6,2.521381219266343,46,2430,1,P07,P05,P02,P02,P04,P07
37,10,5,3,0.2158753427986302,1,1,1,1,1,0,0,0,0,0,5,1.4716938097810461,40,2430,0,P03,P01,P02,P04,P04,P05
38,10,5,3,0.15329593446643314,1,1,1,1,0,0,0,1,0,0,5,1.1940150111879209,35,2430,1,P04,P03,P08,P02,P04,P04
39,10,5,3,0.12228590859730377,1,1,1,1,1,1,0,0,0,0,6,2.6327946764802523,48,2430,0,P05,P06,P05,P02,P03,P01
40,10,5,3,0.3282348423408253,1,1,1,1,1,1,0,1,0,0,7,3.3981082392475974,46,2430,1,P08,P08,P06,P06,P02,P08
41,10,5,3,0.1087721928696085,1,1,1,1,1,1,0,0,0,0,6,1.321211507898785,44,2430,0,P04,P01,P04,P02,P03,P02
42,10,5,3,0.3158531705944114,1,1,1,1,0,0,0,0,0,0,4,1.5028284285560125,69,2430,0,P03,P03,P02,P01,P01,P01
43,10,5,3,0.1498733254320431,1,1,1,1,1,1,1,0,0,0,7,1.3719021203825572,39,2430,0,P04,P07,P02,P01,P07,P01
44,10,5,3,0.14970898209049466,1,1,1,1,0,0,1,0,0,0,5,1.4034688965369058,36,2430,1,P03,P07,P03,P02,P02,P04
45,10,5,3,0.2626266722613296,1,1,1,0,0,0,0,0,1,0,4,1.8757727687104135,37,2430,1,P09,P02,P03,P09,P02,P02
46,10,5,3,0.29092613997163297,1,1,1,0,0,0,0,0,0,0,3,1.3308737533442425,53,2430,0,P02,P03,P02,P02,P01,P01
47,10,5,3,0.18159451445232733,1,1,1,1,1,0,1,0,0,0,6,1.542421565484821,27,2430,1,P07,P07,P02,P07,P02,P04
48,10,5,3,0.16054098349632356,1,1,1,1,1,1,1,1,0,0,8,1.6462236683710798,27,2430,0,P06,P06,P08,P01,P03,P06
