Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1
0,20,1,3,0.18115673003665772,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.2786551645526774,25,60,0,P09,P02
1,20,1,3,0.24799630078729798,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.6068565610972096,31,60,0,P06,P11
2,20,1,3,0.17543474354997557,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,9,1.3765643073438665,28,60,1,P08,P05
3,20,1,3,0.19709049511657448,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1.4270320544312036,39,60,1,P04,P14
4,20,1,3,0.18763026101160202,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.3277711844278886,30,60,0,P06,P07
5,20,1,3,0.1502815378334084,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.7308281559135041,32,60,0,P08,P03
6,20,1,3,0.23800400777301872,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.436194685881858,28,60,0,P07,P04
7,20,1,3,0.1449423425749392,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,12,1.39377458244515,40,60,0,P07,P12
8,20,1,3,0.25128928240695675,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1.547639430751387,34,60,1,P05,P17
9,20,1,3,0.09759567703400804,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.4256366241311156,26,60,0,P11,P07
10,20,1,3,0.2216880652982921,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1.5321767452677624,38,60,2,P02,P01
11,20,1,3,0.19328657355510748,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.041050592419476,29,60,1,P03,P01
12,20,1,3,0.20464049351886285,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.764384054513322,38,60,0,P09,P07
13,20,1,3,0.2139110216130881,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.6817276159851677,28,60,0,P08,P03
14,20,1,3,0.19431486997450725,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.481253051253324,39,60,0,P10,P03
15,20,1,3,0.1809227891551567,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,11,1.566457472647835,27,60,2,P13,P13
16,20,1,3,0.1996608553498294,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.4808916328517854,28,60,0,P11,P11
17,20,1,3,0.15463928147086062,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,13,1.710815955970134,27,60,1,P10,P16
18,20,1,3,0.16350082425614632,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.5548430569501277,37,60,0,P09,P07
19,20,1,3,0.2353231537859171,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,10,1.567263647009073,36,60,2,P06,P11
20,20,1,3,0.1946034412220775,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.2266900350877363,37,60,0,P04,P03
21,20,1,3,0.18715213050897217,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.5484477286083065,30,60,0,P06,P04
22,20,1,3,0.19359173007876979,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.5517179410129003,42,60,0,P11,P01
23,20,1,3,0.19240250227985056,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.4113277617754223,28,60,0,P07,P03
24,20,1,3,0.20329360324216866,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,11,1.7088632427810957,29,60,1,P10,P12
25,20,1,3,0.21513453322589965,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.5469617117078345,28,60,0,P10,P10
26,20,1,3,0.15500415493253888,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,12,1.4432584319601518,30,60,0,P08,P08
27,20,1,3,0.19639774010434646,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,10,1.4148185340306068,34,60,3,P05,P04
28,20,1,3,0.22187580106844856,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1.2303303353856267,37,60,1,P13,P13
29,20,1,3,0.21960287264844983,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.2770915254604094,28,60,0,P07,P05
30,20,1,3,0.1847554331882465,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,12,1.6922630359455013,30,60,0,P10,P03
31,20,1,3,0.14783648663801263,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.6903764658523976,36,60,0,P05,P05
