Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1,Ref for Attr2,Ref for Attr3
0,20,3,3,0.15673436547445835,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,11,1.5826998963303502,86,540,1,P10,P02,P12,P07
1,20,3,3,0.14610076654085422,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.8211695195750495,79,540,0,P07,P07,P06,P02
2,20,3,3,0.24002315156209275,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1.5570158022289613,100,540,1,P13,P01,P13,P04
3,20,3,3,0.2619064493543892,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.876458521630545,118,540,0,P05,P09,P07,P08
4,20,3,3,0.18658323241837663,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,13,1.7198691699303956,92,540,0,P09,P03,P06,P07
5,20,3,3,0.2136559354765365,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.2694656192938405,78,540,0,P05,P04,P03,P04
6,20,3,3,0.21171454043933802,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,9,1.8152343434136125,114,540,1,P10,P10,P08,P04
7,20,3,3,0.341944865486765,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,2.0776954793550284,88,540,1,P14,P05,P02,P14
8,20,3,3,0.3258339159589643,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,2.1234504251102475,46,540,0,P09,P09,P07,P09
9,20,3,3,0.24015487091090765,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.839409148156506,98,540,0,P04,P05,P05,P01
10,20,3,3,0.2303658498430862,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.8524413638091048,93,540,0,P07,P02,P05,P11
11,20,3,3,0.34945593763895083,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1.771563856501091,72,540,1,P08,P03,P08,P03
12,20,3,3,0.3054737765925139,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,2.644733446716527,112,540,0,P09,P06,P09,P01
13,20,3,3,0.20711148476268484,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,10,1.300033674976657,59,540,1,P08,P08,P01,P04
14,20,3,3,0.25195959825481223,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.3092625738964883,88,540,0,P02,P01,P02,P01
15,20,3,3,0.19330679609246482,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.4534258994793476,81,540,0,P02,P03,P10,P05
16,20,3,3,0.19381254494561745,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1.3186315265190394,84,540,2,P07,P04,P04,P02
17,20,3,3,0.3359121027546782,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.7547602810306864,84,540,0,P07,P07,P08,P04
18,20,3,3,0.18152188862410662,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,2.186537580082553,61,540,0,P10,P02,P03,P11
19,20,3,3,0.3811035654656134,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8,2.3589506618183305,55,540,2,P15,P15,P09,P09
20,20,3,3,0.17863410305067853,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,8,1.28920641999137,41,540,3,P03,P03,P03,P03
21,20,3,3,0.2414694360045913,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,10,1.9170669665855389,61,540,1,P05,P08,P11,P09
22,20,3,3,0.2604742697528408,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.5665662304470467,82,540,0,P10,P07,P10,P03
23,20,3,3,0.2876544403354444,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,11,2.8639534850167307,111,540,1,P09,P01,P04,P16
24,20,3,3,0.2715677912404675,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,10,1.786829449803236,89,540,1,P06,P07,P16,P06
25,20,3,3,0.21795967774293917,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1.5648215366791949,87,540,1,P05,P13,P03,P04
26,20,3,3,0.22977239098224722,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.663924618147559,78,540,0,P09,P04,P01,P02
27,20,3,3,0.1432731485288855,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,12,1.793435274095339,118,540,0,P12,P05,P05,P09
28,20,3,3,0.20163594610000934,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.5556607671411422,66,540,0,P04,P03,P04,P06
29,20,3,3,0.32395914970518297,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.3395817765427083,75,540,0,P01,P01,P01,P01
30,20,3,3,0.3447357523171871,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2.0008314197204466,65,540,0,P07,P02,P04,P05
31,20,3,3,0.2068315624735636,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.4975553323144897,93,540,0,P06,P02,P06,P03
32,20,3,3,0.20115360039357053,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1.2447229122391188,100,540,2,P01,P16,P16,P16
33,20,3,3,0.20654516030633746,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,1.448151629160547,94,540,1,P05,P04,P11,P04
34,20,3,3,0.2590805726836787,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.9369980458731262,62,540,0,P08,P08,P02,P02
35,20,3,3,0.23314257161612856,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,8,1.3451550338647502,97,540,3,P04,P17,P05,P04
36,20,3,3,0.18851830854277865,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9890009648846194,66,540,0,P05,P01,P05,P01
37,20,3,3,0.17924201609996765,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.731714058372296,90,540,0,P10,P02,P06,P08
