Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,Cardinality,Consumer Surplus
0,5,3,3,0.08889159307978124,1,1,1,1,0,4,1.106568040444596
1,5,3,3,0.13239651751083242,1,1,1,1,0,4,1.2335205289350135
2,5,3,3,0.08483788582832742,1,1,1,1,0,4,1.1396142136958072
3,5,3,3,0.13953669402790972,1,1,1,1,0,4,1.2363962073873402
4,5,3,3,0.11285005316614148,1,1,1,0,0,3,0.9424794052598949
5,5,3,3,0.07381255250865729,1,1,1,0,0,3,0.8839425107514123
6,5,3,3,0.15766160555241404,1,1,1,0,0,3,1.3231639161226547
7,5,3,3,0.1062802407277658,1,1,1,1,0,4,1.1506267836705724
8,5,3,3,0.07027521524109757,1,1,1,1,1,5,3.127904307668086
9,5,3,3,0.07770348950142303,1,1,1,1,0,4,1.1408246321626836
10,5,3,3,0.12342255093759041,1,1,1,0,0,3,1.2685647331257073
11,5,3,3,0.06703579458476684,1,1,0,0,0,2,0.8106704562070555
12,5,3,3,0.10801781142522168,1,1,1,0,0,3,1.189883857873526
13,5,3,3,0.07818309477405712,1,1,1,1,0,4,1.0398854349830773
14,5,3,3,0.0720861398891266,1,1,1,0,0,3,1.1061818519601156
15,5,3,3,0.07777064420359232,1,1,1,1,0,4,1.4945552782556133
16,5,3,3,0.11825882205315859,1,1,1,0,0,3,0.8825710703542422
17,5,3,3,0.10869740481295564,1,1,1,1,0,4,1.1598223331770967
18,5,3,3,0.07674917119111632,1,1,1,1,0,4,1.199831719737761
19,5,3,3,0.04387788072636425,1,1,1,1,0,4,1.2098065080943474
20,5,3,3,0.061688503030313986,1,1,1,1,0,4,1.2963500511386568
21,5,3,3,0.10826430431009032,1,1,1,1,0,4,1.0985046427124128
22,5,3,3,0.07174435997097792,1,1,1,1,0,4,1.0092321334306162
23,5,3,3,0.10208829399968639,1,1,1,0,0,3,0.9545895190903648
24,5,3,3,0.11942015615807185,1,1,1,1,0,4,1.158959511233558
25,5,3,3,0.0952012373650442,1,1,1,1,0,4,1.138242808774625
26,5,3,3,0.08454708463664606,1,1,1,1,0,4,1.2875440123589694
27,5,3,3,0.11516465203862247,1,1,1,1,0,4,1.2834083635881979
28,5,3,3,0.08716763462651328,1,1,1,1,0,4,1.2197683505264125
29,5,3,3,0.10244546411775346,1,1,1,0,0,3,1.589558720617072
30,5,3,3,0.1038093048390723,1,1,1,1,0,4,1.3606791911468163
