Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,Cardinality,Consumer Surplus
0,10,3,3,0.1686437530596855,1,1,1,1,0,0,0,0,0,0,4,1.0899789457456444
1,10,3,3,0.09662004337844454,1,1,1,1,0,0,0,0,0,0,4,0.939700906622471
2,10,3,3,0.1984323775471291,1,1,1,1,0,0,0,0,0,0,4,1.1849914484034358
3,10,3,3,0.18395465764299693,1,1,1,1,1,0,0,0,0,0,5,1.877711767789152
4,10,3,3,0.12773505578687425,1,1,1,1,1,1,1,0,0,0,7,1.3866343370292387
5,10,3,3,0.17641031245797345,1,1,1,1,1,1,0,0,0,0,6,1.891806097218518
6,10,3,3,0.12360765761915056,1,1,1,1,1,1,1,0,0,0,7,1.4227136038896895
7,10,3,3,0.17218444845069586,1,1,1,1,1,0,0,0,0,0,5,1.0694736556071627
8,10,3,3,0.09928288633217447,1,1,1,1,1,1,1,1,0,0,8,1.6033262451712122
9,10,3,3,0.14653670488716777,1,1,1,1,1,0,0,0,0,0,5,1.487364761012541
10,10,3,3,0.13640913719827935,1,1,1,1,1,1,1,0,0,0,7,1.34605387119978
11,10,3,3,0.1688075803816781,1,1,1,1,1,1,0,0,0,0,6,1.3713196172370277
12,10,3,3,0.12050186646879225,1,1,1,1,1,1,0,0,0,0,6,1.1222060834317555
13,10,3,3,0.13187739859542036,1,1,1,1,1,0,0,0,0,0,5,1.2413272269489501
14,10,3,3,0.13032368065553196,1,1,1,1,1,1,0,0,0,0,6,1.4519856431976406
15,10,3,3,0.19776787621262434,1,1,1,1,1,0,0,0,0,0,5,1.4163452799109748
16,10,3,3,0.1915778323963303,1,1,1,1,1,1,0,0,0,0,6,1.1970433381071186
17,10,3,3,0.16432381134897578,1,1,1,1,1,1,0,0,0,0,6,1.2141397750150609
18,10,3,3,0.14022567404931102,1,1,1,1,1,0,0,0,0,0,5,1.4823661950812805
19,10,3,3,0.10613210784508778,1,1,1,1,1,1,1,0,0,0,7,1.3734697042419
20,10,3,3,0.0981940403191117,1,1,1,1,1,1,1,0,0,0,7,1.559714074202987
21,10,3,3,0.22134089920076488,1,1,1,1,1,0,0,0,0,0,5,1.3259343092715574
22,10,3,3,0.17534274209440592,1,1,1,1,1,1,0,0,0,0,6,1.493399537992755
23,10,3,3,0.11453169547719483,1,1,1,1,1,1,0,0,0,0,6,1.2402332158542333
24,10,3,3,0.19082745621694602,1,1,1,1,1,1,0,0,0,0,6,1.5898129952536961
25,10,3,3,0.13118103816178464,1,1,1,1,0,0,0,0,0,0,4,1.3591812316985183
26,10,3,3,0.18439224926744474,1,1,1,1,1,0,0,0,0,0,5,1.3622050441033453
27,10,3,3,0.10950833939620233,1,1,1,1,1,1,0,0,0,0,6,1.1017628219885394
28,10,3,3,0.11671077933320896,1,1,1,1,1,1,0,0,0,0,6,1.2727424203396749
29,10,3,3,0.17895736946143814,1,1,1,1,0,0,0,0,0,0,4,1.188201771912797
30,10,3,3,0.11545295127716794,1,1,1,1,1,1,0,0,0,0,6,1.1952855791284518
31,10,3,3,0.10582943491127644,1,1,1,1,1,0,0,0,0,0,5,1.5948997234361308
32,10,3,3,0.10535949468478109,1,1,1,1,1,0,0,0,0,0,5,1.228709145066332
33,10,3,3,0.1705146902225246,1,1,1,1,1,1,1,0,0,0,7,1.4258989234467494
34,10,3,3,0.21780502371643432,1,1,1,1,1,1,0,0,0,0,6,1.5906888940629922
35,10,3,3,0.11277724274396947,1,1,1,1,1,1,1,0,0,0,7,1.4869653011355033
36,10,3,3,0.164875226596713,1,1,1,1,1,1,0,0,0,0,6,1.3206183572503876
37,10,3,3,0.18534407928465882,1,1,1,1,1,1,1,1,0,0,8,1.6147890468223105
38,10,3,3,0.22136539493704538,1,1,1,1,1,1,0,0,0,0,6,1.4629670267342867
39,10,3,3,0.08776978554367491,1,1,1,1,1,1,1,1,0,0,8,1.5970245670601932
40,10,3,3,0.1099189511669024,1,1,1,1,1,1,0,0,0,0,6,1.552230405532968
41,10,3,3,0.1634846285037244,1,1,1,1,1,1,0,0,0,0,6,1.6133344527274578
42,10,3,3,0.18514871959180176,1,1,1,1,1,1,0,0,0,0,6,1.5366713826211689
43,10,3,3,0.11885650806457534,1,1,1,1,1,1,1,0,0,0,7,1.498631325248343
44,10,3,3,0.18813278595070665,1,1,1,1,1,0,0,0,0,0,5,1.3540218503794468
45,10,3,3,0.12479557769554088,1,1,1,1,1,1,0,0,0,0,6,1.466031255877962
46,10,3,3,0.1754347733726042,1,1,1,1,1,1,0,0,0,0,6,1.281525677401521
47,10,3,3,0.14408701563513543,1,1,1,1,1,1,0,0,0,0,6,1.436892097993904
48,10,3,3,0.18461803448719571,1,1,1,1,1,1,0,0,0,0,6,1.3691204709732983
49,10,3,3,0.1901076197366094,1,1,1,1,1,0,0,0,0,0,5,1.257124386258137
50,10,3,3,0.10486854354552352,1,1,1,1,1,1,1,0,0,0,7,1.5827407360430423
51,10,3,3,0.14405832194429025,1,1,1,1,1,1,1,0,0,0,7,1.4977851576964665
52,10,3,3,0.1383542603491556,1,1,1,1,1,0,0,0,0,0,5,1.2152699726853182
53,10,3,3,0.12652957821413027,1,1,1,1,1,1,1,1,0,0,8,1.7328683839992411
54,10,3,3,0.2055888093546088,1,1,1,1,1,0,0,0,0,0,5,1.2020478033049777
55,10,3,3,0.11460402078502593,1,1,1,1,1,1,0,0,0,0,6,1.9301487779599014
56,10,3,3,0.11559598231423403,1,1,1,1,1,1,1,0,0,0,7,1.5903344739351084
57,10,3,3,0.09909120145536274,1,1,1,1,1,1,0,0,0,0,6,1.2271670037678168
58,10,3,3,0.11140884950332008,1,1,1,1,1,1,1,1,1,0,9,1.6862711915202335
59,10,3,3,0.1944310383530107,1,1,1,1,1,1,0,0,0,0,6,1.3639831945082002
60,10,3,3,0.10979931861543707,1,1,1,1,1,1,1,1,1,0,9,1.7579745550994503
61,10,3,3,0.11387473497450389,1,1,1,1,1,1,1,0,0,0,7,1.2734265976692067
62,10,3,3,0.12787041888300896,1,1,1,1,1,1,1,1,0,0,8,1.5955852661777432
63,10,3,3,0.11390557101450147,1,1,1,1,1,1,1,0,0,0,7,1.6382902454111132
