Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,Cardinality,Consumer Surplus
0,20,3,3,0.1503269017591899,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.4569168556052365
1,20,3,3,0.12522315101455303,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.3455516092565318
2,20,3,3,0.1777841083416394,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.3689753977701589
3,20,3,3,0.2051766885323048,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.742467030573748
4,20,3,3,0.17735448015246555,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,13,1.6594747929346236
5,20,3,3,0.19354055256248676,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.5895703620998436
6,20,3,3,0.16077292662785814,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.158241796588022
7,20,3,3,0.26334251545709286,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,2.0387506581330794
8,20,3,3,0.2961082286952389,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.6814071292123272
9,20,3,3,0.20184714449789692,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,12,1.9813292926620818
10,20,3,3,0.1907614140436253,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.5163738963807605
11,20,3,3,0.2788549508769607,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.7958210146050608
12,20,3,3,0.2437163190626317,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.964514668658346
13,20,3,3,0.17764480674178895,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.4209005505440924
14,20,3,3,0.1764041611932344,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.7831790345407676
15,20,3,3,0.16795793815552354,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.2825151107204098
16,20,3,3,0.18750145326584455,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.8233415648973614
17,20,3,3,0.2720941771318181,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.8522768588945664
18,20,3,3,0.15844569008835843,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.688997015677638
19,20,3,3,0.25187658425956483,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.415982019873777
20,20,3,3,0.17035238792104387,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,12,1.5790900573281976
21,20,3,3,0.18246218903795022,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.6707201808159837
22,20,3,3,0.2017480236259596,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,12,1.574061700387965
23,20,3,3,0.2691430693938549,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,2.0135686933139554
24,20,3,3,0.23059925337636422,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,12,1.6412046714400281
25,20,3,3,0.18612055340864336,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.4831799556702205
26,20,3,3,0.22042257465150814,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.56049014007372
27,20,3,3,0.13526809891134306,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,12,1.6730115443086118
28,20,3,3,0.16627470643812803,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.607524669165585
29,20,3,3,0.21897120190889385,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.5696779055799017
30,20,3,3,0.31106415352470196,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.8093111493883818
31,20,3,3,0.1610495568109587,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,12,1.7433543470279558
32,20,3,3,0.1551280789015328,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,12,1.5602055790718992
33,20,3,3,0.16224400565339409,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,12,1.5427008248979908
34,20,3,3,0.22766297539141725,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.63837049148546
35,20,3,3,0.17909522828363605,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.4562868805504925
36,20,3,3,0.15379105994073172,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.42995417463272
37,20,3,3,0.16278540728958785,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.6565903524768757
38,20,3,3,0.21867559125021616,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.2468824446305096
39,20,3,3,0.16413396553593207,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.8549224097436268
40,20,3,3,0.22781134821781593,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,12,1.4245706510021854
41,20,3,3,0.22549771648487277,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.608285917627096
42,20,3,3,0.23719701699164303,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.6351037119296312
43,20,3,3,0.18110791055735354,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.4076680302070643
44,20,3,3,0.23469225562411516,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.8780898567236632
45,20,3,3,0.33191396059640393,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.868586853793805
46,20,3,3,0.17773729147586742,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.6120030618938026
47,20,3,3,0.22277220825021904,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.6504480070194196
48,20,3,3,0.15595915366140733,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.2821929734750777
49,20,3,3,0.17769627186324016,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,12,1.7919768326725647
50,20,3,3,0.19188238942692443,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.440429952949618
51,20,3,3,0.2224734266119428,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.4962872891020524
52,20,3,3,0.19091062157701894,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,12,1.7352926406730536
53,20,3,3,0.13555941563058274,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.6811632111627257
54,20,3,3,0.23054471613791588,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.6145200716389074
55,20,3,3,0.18577726614197934,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.6759231032885062
56,20,3,3,0.1828268760120241,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,12,1.6463859698914312
57,20,3,3,0.20437918266170504,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,13,1.922927642670063
58,20,3,3,0.19453191579241214,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.9375428676700381
59,20,3,3,0.12839540562054996,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.4048462553877101
60,20,3,3,0.20332735331209173,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.7964706646800699
61,20,3,3,0.19967836169556552,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.454396224406081
62,20,3,3,0.18862822558903258,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.5823947785448533
63,20,3,3,0.2147701309699807,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.770291740515896
64,20,3,3,0.2478581272671248,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.5122936514331022
65,20,3,3,0.16561214057044943,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.3824284854636206
66,20,3,3,0.1876423374290146,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.5536723247011834
67,20,3,3,0.15336252431631636,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,13,1.8605126398038694
68,20,3,3,0.199180697032373,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.3461109215614546
69,20,3,3,0.26445545919854774,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.5352623149582862
70,20,3,3,0.2133844305171724,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.630892625629551
71,20,3,3,0.20709957940276189,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.6879383304159954
72,20,3,3,0.286406327787067,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.5403575295231375
73,20,3,3,0.17036656038665757,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1.190035781116122
74,20,3,3,0.17469165423525923,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.6404247519132205
75,20,3,3,0.1961765889210582,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.5197730124167004
76,20,3,3,0.12633274257919558,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0538944614402903
77,20,3,3,0.21771212902228054,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,1.816949651235153
78,20,3,3,0.21641897497246926,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.5541286022122807
79,20,3,3,0.23908598727687239,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.7239345921309788
80,20,3,3,0.23824801500670412,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,2.0952833376882727
81,20,3,3,0.18566435686359614,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,12,1.5856431269751217
82,20,3,3,0.1457116300228484,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.3092418033794264
83,20,3,3,0.23742856332103873,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.3016988556835138
84,20,3,3,0.20453629593965014,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.598825722603988
85,20,3,3,0.16397324900905783,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,1.6175212074799803
