Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,Cardinality,Consumer Surplus,Num Feasible Lists,Num Max Lists,Num Ref Products,Ref for Attr0,Ref for Attr1
0,5,1,3,0.177383596829039,1,1,1,1,0,4,1.2747700013887686,6,15,0,P04,P04
1,5,1,3,0.11606478580872084,1,1,1,0,0,3,0.9954725898873871,7,15,0,P01,P01
2,5,1,3,0.10974376532095287,1,1,1,1,0,4,1.5405933272056282,7,15,0,P04,P04
3,5,1,3,0.24052933871122809,1,1,1,0,0,3,1.433258067046593,7,15,0,P03,P03
4,5,1,3,0.16110148897386106,1,1,1,0,0,3,1.4116085634291924,7,15,0,P03,P02
5,5,1,3,0.14408015353868905,1,1,1,0,0,3,1.1871619634954058,5,15,0,P03,P03
6,5,1,3,0.12077630503471036,1,1,1,0,0,3,1.3551026036335334,7,15,0,P03,P02
7,5,1,3,0.04450306791095163,1,1,1,1,0,4,1.0513398772321987,5,15,0,P04,P01
8,5,1,3,0.1613657881264405,1,1,1,1,0,4,1.7744218374358556,6,15,0,P02,P04
9,5,1,3,0.11668987631924546,1,1,1,0,0,3,1.0687501518098625,6,15,0,P02,P02
10,5,1,3,0.1430944889855153,1,1,1,1,0,4,1.4174171162479703,5,15,0,P04,P01
11,5,1,3,0.12811294311484925,1,1,1,1,0,4,1.5865209524606043,8,15,0,P04,P01
12,5,1,3,0.11880245013609209,1,1,1,1,0,4,1.1837085230812563,5,15,0,P03,P03
13,5,1,3,0.06856084056831466,1,1,1,0,0,3,0.9188197338558994,6,15,0,P03,P03
14,5,1,3,0.09940514598877706,1,1,1,1,0,4,1.1139224934561418,6,15,0,P02,P02
15,5,1,3,0.08970249977398975,1,1,1,1,0,4,1.1951757018585862,5,15,0,P02,P02
16,5,1,3,0.1824393450777939,1,1,1,1,0,4,1.6651147469156662,7,15,0,P04,P01
17,5,1,3,0.08500626506035362,1,1,1,1,0,4,1.2198124292340586,6,15,0,P03,P01
18,5,1,3,0.10369682578201753,1,1,1,1,0,4,1.5255068833354433,7,15,0,P03,P01
19,5,1,3,0.07220813676650632,1,1,1,1,0,4,1.3579488778411282,6,15,0,P04,P02
20,5,1,3,0.12894077547388713,1,1,1,1,0,4,1.2892194503548713,6,15,0,P04,P01
21,5,1,3,0.34952794184852387,1,1,1,0,0,3,1.4087321293488113,6,15,0,P03,P03
22,5,1,3,0.11776605047043866,1,1,1,0,0,3,0.918113140084095,6,15,0,P03,P03
23,5,1,3,0.21228955358940182,1,1,1,0,0,3,2.0957788564755573,8,15,0,P03,P01
24,5,1,3,0.06735504414217725,1,1,1,0,0,3,0.811527882948003,5,15,0,P03,P01
25,5,1,3,0.098940305745043,1,1,1,0,0,3,1.022837074952811,6,15,0,P03,P01
26,5,1,3,0.13972354050317332,1,1,1,1,0,4,1.3853669751968414,8,15,0,P04,P01
27,5,1,3,0.15030485193786833,1,1,1,1,0,4,1.4276569240907435,5,15,0,P04,P04
28,5,1,3,0.12255396308626029,1,1,1,1,0,4,1.5521098183676876,7,15,0,P04,P03
29,5,1,3,0.10982351627714948,1,1,1,0,0,3,0.9011458362665449,7,15,0,P03,P03
30,5,1,3,0.19454235728758595,1,1,1,1,0,4,1.3173253175344892,5,15,0,P04,P04
31,5,1,3,0.12985225283176172,1,1,1,0,0,3,0.8968089601748328,5,15,0,P03,P03
32,5,1,3,0.10493459893892507,1,1,1,1,0,4,1.419868827398274,6,15,0,P03,P02
33,5,1,3,0.14356168247325476,1,1,1,1,0,4,1.4061279791342223,6,15,0,P04,P01
34,5,1,3,0.14660686753931004,1,1,1,0,0,3,1.0362095194413892,7,15,0,P03,P01
35,5,1,3,0.12242203686513149,1,1,1,0,0,3,1.4302337822863604,7,15,0,P03,P01
36,5,1,3,0.11905273618560475,1,1,0,0,0,2,0.8349855908857777,7,15,0,P01,P02
37,5,1,3,0.08651777165943084,1,1,1,1,0,4,1.320974463296125,6,15,0,P04,P04
38,5,1,3,0.16206226062480955,1,1,1,1,0,4,1.4662607280688094,7,15,0,P04,P02
39,5,1,3,0.18018606411455107,1,1,1,0,0,3,1.4458674643493707,6,15,0,P03,P03
40,5,1,3,0.10813699026821166,1,1,0,0,0,2,1.0498985532228884,6,15,0,P01,P02
41,5,1,3,0.14677077827933743,1,1,1,1,0,4,2.0430207816098087,8,15,0,P02,P04
42,5,1,3,0.10015270294576842,1,1,1,1,0,4,1.294066824596809,5,15,0,P04,P01
43,5,1,3,0.11928548965883373,1,1,0,0,0,2,0.8398378529610563,7,15,0,P02,P02
44,5,1,3,0.15174569614856778,1,1,0,1,0,3,1.6168902206428686,6,15,1,P02,P04
45,5,1,3,0.09253810724157438,1,1,1,1,0,4,1.6664106959333207,7,15,0,P04,P01
46,5,1,3,0.16710071118670405,1,1,1,0,0,3,1.4123768955315352,5,15,0,P03,P03
